,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,28.33,28.42,27.67,27.75,734707,-0.75,-2.63%,27.75,20.49m,6057
2,10/31/16,28.16,28.56,28.04,28.50,1081960,0.43,1.53%,28.50,30.76m,6329
3,10/28/16,28.19,28.42,27.94,28.07,920024,-0.06,-0.21%,28.07,25.93m,7793
4,10/27/16,28.53,28.88,27.80,28.13,1109741,-0.45,-1.57%,28.13,31.07m,8638
5,10/26/16,29.07,29.07,28.53,28.58,657702,-0.66,-2.26%,28.58,18.83m,6248
6,10/25/16,29.46,29.78,29.1499,29.24,503011,-0.27,-0.91%,29.24,14.71m,4822
7,10/24/16,29.72,29.72,29.21,29.51,629808,0.19,0.65%,29.51,18.52m,4731
8,10/21/16,29.03,29.32,29.00,29.32,475791,0.12,0.41%,29.32,13.91m,3916
9,10/20/16,29.17,29.265,28.92,29.20,372200,0.03,0.10%,29.20,10.84m,3171
10,10/19/16,29.30,29.30,29.03,29.17,332693,-0.17,-0.58%,29.17,9.7m,2974
11,10/18/16,29.44,29.54,29.26,29.34,279290,0.08,0.27%,29.34,8.21m,2716
12,10/17/16,29.16,29.39,29.10,29.26,520265,0.13,0.45%,29.26,15.22m,4132
13,10/14/16,29.14,29.41,28.89,29.13,461372,-0.09,-0.31%,29.13,13.46m,4320
14,10/13/16,28.88,29.78,28.78,29.22,518668,0.29,1.00%,29.22,15.13m,3696
15,10/12/16,28.77,29.05,28.70,28.93,492037,0.24,0.84%,28.93,14.21m,3646
16,10/11/16,28.95,29.16,28.59,28.69,822676,-0.35,-1.21%,28.69,23.66m,6143
17,10/10/16,28.87,29.20,28.79,29.04,450479,0.14,0.48%,29.04,13.09m,3509
18,10/07/16,29.11,29.55,28.80,28.90,599288,-0.06,-0.21%,28.90,17.36m,4684
19,10/06/16,29.04,29.25,28.70,28.96,1198514,-0.25,-0.86%,28.96,34.77m,8743
20,10/05/16,29.97,30.06,29.08,29.21,1315098,-0.72,-2.41%,29.21,38.5m,7872
21,10/04/16,29.91,30.00,29.65,29.93,841135,-0.02,-0.07%,29.93,25.12m,7526
22,10/03/16,30.46,30.60,29.94,29.95,617757,-0.66,-2.16%,29.95,18.59m,7133
23,09/30/16,31.08,31.18,30.60,30.61,721652,-0.24,-0.78%,30.61,22.16m,5851
24,09/29/16,31.37,31.43,30.72,30.85,655108,-0.67,-2.13%,30.85,20.27m,5833
25,09/28/16,31.30,31.52,31.16,31.52,658316,0.32,1.03%,31.52,20.65m,5225
26,09/27/16,31.68,31.77,31.115,31.20,394837,-0.36,-1.14%,31.20,12.4m,3759
27,09/26/16,31.33,31.67,31.25,31.56,503169,0.13,0.41%,31.56,15.88m,4367
28,09/23/16,31.16,31.56,30.99,31.43,674799,0.13,0.42%,31.43,21.13m,6017
29,09/22/16,30.87,31.32,30.85,31.30,814797,0.75,2.45%,31.30,25.43m,6194
30,09/21/16,30.22,30.58,29.77,30.55,649741,0.33,1.09%,30.55,19.65m,5885
31,09/20/16,30.46,30.46,30.20,30.22,396565,-0.03,-0.10%,30.22,12.01m,3623
32,09/19/16,29.98,30.28,29.905,30.25,419909,0.34,1.14%,30.25,12.66m,3991
33,09/16/16,29.79,29.94,29.57,29.91,2157185,0.06,0.20%,29.91,64.41m,6452
34,09/15/16,29.71,29.95,29.49,29.85,870947,0.15,0.51%,29.85,25.95m,6477
35,09/14/16,29.80,29.86,29.53,29.70,548196,0.02999,0.10%,29.70,16.28m,4792
36,09/13/16,30.42,30.42,29.76,29.89,892233,-0.655142,-2.16%,29.67,26.81m,7229
37,09/12/16,30.24,30.64,30.17,30.55,899300,0.24816,0.83%,30.3252,27.39m,6210
38,09/09/16,31.02,31.27,30.19,30.30,1035923,-1.1316,-3.63%,30.077,31.55m,7472
39,09/08/16,31.40,31.51,31.27,31.44,588604,-0.138969,-0.44%,31.2086,18.48m,4508
40,09/07/16,31.53,31.59,31.39,31.58,1135299,0.029779,0.10%,31.3476,35.78m,7481
41,09/06/16,31.47,31.61,31.21,31.55,859191,0.13897,0.45%,31.3178,27.08m,6487
42,09/05/16,,,,31.41,0,,0.00%,31.1788,,
43,09/02/16,31.11,31.57,31.01,31.41,624936,0.436761,1.42%,31.1788,19.58m,5634
44,09/01/16,30.95,31.10,30.72,30.97,779028,-0.069485,-0.23%,30.7421,24.11m,5868
45,08/31/16,30.99,31.15,30.88,31.04,688279,-0.019852,-0.06%,30.8115,21.36m,4445
46,08/30/16,31.20,31.20,30.79,31.06,437309,-0.089338,-0.29%,30.8314,13.55m,3812
47,08/29/16,31.01,31.25,30.99,31.15,381441,0.268013,0.87%,30.9207,11.88m,3525
48,08/26/16,31.07,31.33,30.66,30.88,544009,-0.218381,-0.71%,30.6527,16.85m,4992
49,08/25/16,30.96,31.22,30.91,31.10,603807,0.158822,0.52%,30.8711,18.77m,4881
50,08/24/16,31.21,31.21,30.815,30.94,809853,-0.21838,-0.71%,30.7123,25.05m,6597
51,08/23/16,31.53,31.58,31.12,31.16,865941,-0.218381,-0.70%,30.9307,27.07m,6448
52,08/22/16,31.02,31.38,31.015,31.38,569660,0.35735,1.16%,31.149,17.8m,4130
53,08/19/16,31.33,31.33,30.91,31.02,452060,-0.307718,-0.99%,30.7917,14.03m,3406
54,08/18/16,31.22,31.34,31.17,31.33,524071,0.10919,0.35%,31.0994,16.39m,4136
55,08/17/16,30.89,31.26,30.82,31.22,697466,0.277939,0.90%,30.9902,21.68m,4999
56,08/16/16,31.37,31.55,30.94,30.94,726715,-0.416908,-1.34%,30.7123,22.6m,5794
57,08/15/16,31.58,31.7199,31.31,31.36,864368,-0.317645,-1.01%,31.1292,27.17m,5117
58,08/12/16,31.68,32.0399,31.63,31.68,384262,0.069485,0.22%,31.4468,12.22m,3372
59,08/11/16,32.36,32.36,31.51,31.61,606977,-0.674996,-2.11%,31.3774,19.24m,4967
60,08/10/16,32.40,32.49,32.24,32.29,310784,0.009927,0.03%,32.0523,10.04m,3541
61,08/09/16,32.27,32.48,32.00,32.28,1095041,-0.009927,-0.03%,32.0424,35.25m,8852
62,08/08/16,32.36,32.57,32.215,32.29,360434,-0.129043,-0.40%,32.0523,11.67m,3745
63,08/05/16,32.50,32.53,32.27,32.42,435521,-0.059558,-0.18%,32.1814,14.1m,3588
64,08/04/16,32.69,32.69,32.45,32.48,405014,-0.129043,-0.40%,32.2409,13.18m,4292
65,08/03/16,32.76,32.76,32.41,32.61,456144,-0.13897,-0.43%,32.37,14.86m,4405
66,08/02/16,33.07,33.25,32.73,32.75,672576,-0.49632,-1.50%,32.509,22.13m,6032
67,08/01/16,33.29,33.46,33.135,33.25,572035,-0.019853,-0.06%,33.0053,19.02m,4966
68,07/29/16,32.82,33.40,32.82,33.27,1159798,0.49632,1.53%,33.0251,38.56m,8336
69,07/28/16,32.04,32.92,32.04,32.77,1075920,0.575731,1.80%,32.5288,35.11m,8284
70,07/27/16,32.17,32.20,31.78,32.19,918526,-0.009926,-0.03%,31.9531,29.45m,7797
71,07/26/16,32.44,32.47,32.12,32.20,479806,-0.188602,-0.59%,31.963,15.46m,3852
72,07/25/16,32.38,32.50,32.23,32.39,541661,0.059559,0.19%,32.1516,17.53m,4860
73,07/22/16,32.14,32.47,32.14,32.33,579453,0.119117,0.37%,32.0921,18.76m,4157
74,07/21/16,31.94,32.23,31.82,32.21,612220,0.198528,0.62%,31.9729,19.65m,4400
75,07/20/16,32.09,32.09,31.855,32.01,421871,0.009926,0.03%,31.7744,13.48m,3511
76,07/19/16,31.82,32.03,31.66,32.00,758295,0.188602,0.60%,31.7645,24.18m,4695
77,07/18/16,31.78,31.94,31.60,31.81,1098478,0.059558,0.19%,31.5759,34.9m,6190
78,07/15/16,31.74,31.85,31.59,31.75,849655,-0.049632,-0.16%,31.5163,26.95m,5172
79,07/14/16,32.13,32.2301,31.78,31.80,791996,-0.486394,-1.52%,31.566,25.28m,5400
80,07/13/16,32.19,32.30,32.08,32.29,780426,0.268013,0.84%,32.0523,25.14m,5287
81,07/12/16,32.28,32.28,31.87,32.02,765971,-0.377203,-1.17%,31.7843,24.51m,6687
82,07/11/16,32.37,32.52,32.15,32.40,1063868,0.039706,0.12%,32.1615,34.46m,8227
83,07/08/16,32.21,32.48,32.09,32.36,942742,0.307718,0.97%,32.1218,30.48m,7321
