,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,10.59,10.67,10.48,10.53,304442,-0.049538,-0.47%,10.4327,3.22m,827
2,10/31/16,10.65,10.66,10.58,10.58,241507,-0.079261,-0.75%,10.4822,2.57m,625
3,10/28/16,10.67,10.6992,10.64,10.66,299024,-0.029722,-0.28%,10.5615,3.19m,749
4,10/27/16,10.75,10.75,10.68,10.69,197316,-0.029723,-0.28%,10.5912,2.11m,642
5,10/26/16,10.69,10.75,10.68,10.72,276505,0.009907,0.09%,10.6209,2.96m,921
6,10/25/16,10.68,10.73,10.67,10.71,232124,0.049538,0.47%,10.611,2.48m,546
7,10/24/16,10.74,10.781,10.66,10.66,387592,-0.069353,-0.65%,10.5615,4.15m,745
8,10/21/16,10.70,10.73,10.67,10.73,164117,-0.009907,-0.09%,10.6309,1.75m,407
9,10/20/16,10.76,10.78,10.69,10.74,243873,-0.062117,-0.58%,10.6408,2.62m,572
10,10/19/16,10.81,10.90,10.78,10.90,199441,0.11783,1.11%,10.7029,2.16m,465
11,10/18/16,10.77,10.785,10.72,10.78,166761,0.137468,1.32%,10.585,1.8m,446
12,10/17/16,10.80,10.82,10.64,10.64,321707,-0.157106,-1.48%,10.4476,3.45m,1360
13,10/14/16,10.87,10.89,10.79,10.80,178900,-0.049096,-0.46%,10.6047,1.94m,814
14,10/13/16,10.85,10.87,10.79,10.85,248941,-0.049096,-0.46%,10.6538,2.7m,543
15,10/12/16,10.89,10.90,10.86,10.90,155935,0.029457,0.28%,10.7029,1.7m,391
16,10/11/16,11.01,11.017,10.86,10.87,236879,-0.137468,-1.27%,10.6734,2.58m,669
17,10/10/16,11.01,11.05,10.98,11.01,173826,0.019639,0.18%,10.8109,1.91m,635
18,10/07/16,11.05,11.05,10.92,10.99,231046,-0.009819,-0.09%,10.7913,2.53m,733
19,10/06/16,10.99,11.0199,10.95,11.00,265420,0.009819,0.09%,10.8011,2.92m,548
20,10/05/16,10.96,11.00,10.9201,10.99,234292,0.078553,0.73%,10.7913,2.57m,651
21,10/04/16,10.88,10.93,10.86,10.91,511335,-0.088372,-0.82%,10.7127,5.57m,1083
22,10/03/16,11.02,11.025,10.97,11.00,171368,-0.00982,-0.09%,10.8011,1.89m,524
23,09/30/16,10.97,11.05,10.9259,11.01,336579,0.108011,1.01%,10.8109,3.7m,826
24,09/29/16,11.00,11.00,10.8618,10.90,301316,-0.137468,-1.27%,10.7029,3.29m,1051
25,09/28/16,11.02,11.05,10.96,11.04,203693,0.049096,0.45%,10.8403,2.24m,424
26,09/27/16,10.88,10.99,10.88,10.99,226210,0.108011,1.01%,10.7913,2.47m,798
27,09/26/16,10.92,10.94,10.86,10.88,288819,-0.088373,-0.82%,10.6832,3.15m,946
28,09/23/16,10.93,10.99,10.92,10.97,162977,0.00,0.00%,10.7716,1.79m,449
29,09/22/16,11.03,11.0334,10.95,10.97,316309,0.019639,0.18%,10.7716,3.47m,843
30,09/21/16,10.96,10.979,10.87,10.95,372366,0.056268,0.53%,10.752,4.07m,1026
31,09/20/16,11.03,11.05,10.98,10.99,233647,-0.009731,-0.09%,10.6957,2.58m,615
32,09/19/16,10.99,11.01,10.95,11.00,286776,0.04866,0.46%,10.7054,3.15m,845
33,09/16/16,10.96,10.97,10.9201,10.95,211634,-0.029196,-0.27%,10.6568,2.32m,530
34,09/15/16,10.83,11.02,10.83,10.98,220493,0.116786,1.10%,10.686,2.42m,538
35,09/14/16,10.90,10.9786,10.83,10.86,274690,-0.038928,-0.37%,10.5692,2.99m,918
36,09/13/16,10.96,11.00,10.84,10.90,300321,-0.097322,-0.91%,10.6081,3.28m,811
37,09/12/16,10.88,11.03,10.85,11.00,253602,0.058393,0.55%,10.7054,2.78m,785
38,09/09/16,11.07,11.0999,10.94,10.94,363246,-0.204377,-1.88%,10.647,4m,1043
39,09/08/16,11.11,11.15,11.06,11.15,241521,0.038929,0.36%,10.8514,2.69m,838
40,09/07/16,11.12,11.14,11.06,11.11,288034,0.019465,0.18%,10.8125,3.2m,872
41,09/06/16,11.07,11.09,11.04,11.09,335013,0.077858,0.73%,10.793,3.71m,771
42,09/05/16,,,,11.01,0,,0.00%,10.7152,,
43,09/02/16,11.02,11.03,10.97,11.01,241422,0.038927,0.36%,10.7152,2.65m,626
44,09/01/16,10.95,10.9801,10.87,10.97,221962,0.048663,0.46%,10.6762,2.43m,546
45,08/31/16,10.95,10.99,10.89,10.92,438007,0.00,0.00%,10.6276,4.79m,1208
46,08/30/16,10.84,10.995,10.83,10.92,340358,0.04866,0.46%,10.6276,3.71m,893
47,08/29/16,10.88,10.92,10.85,10.87,204407,-0.009731,-0.09%,10.5789,2.23m,663
48,08/26/16,10.86,10.93,10.82,10.88,274109,0.068124,0.65%,10.5886,2.98m,792
49,08/25/16,10.87,10.90,10.79,10.81,261803,-0.058393,-0.55%,10.5205,2.84m,975
50,08/24/16,10.95,10.99,10.86,10.87,283059,-0.04866,-0.46%,10.5789,3.1m,739
51,08/23/16,11.00,11.01,10.89,10.92,341805,-0.009734,-0.09%,10.6276,3.74m,911
52,08/22/16,10.99,10.99,10.92,10.93,248580,-0.031823,-0.30%,10.6373,2.72m,696
53,08/19/16,11.04,11.09,11.01,10.9627,227889,-0.009652,-0.09%,10.6691,2.51m,572
54,08/18/16,11.03,11.08,11.0299,11.07,219915,0.057879,0.54%,10.6788,2.43m,450
55,08/17/16,11.03,11.04,10.95,11.01,588388,0.00,0.00%,10.6209,6.47m,1163
56,08/16/16,10.98,11.025,10.93,11.01,260080,0.028941,0.27%,10.6209,2.86m,885
57,08/15/16,10.96,11.02,10.92,10.98,303640,0.028939,0.27%,10.592,3.33m,970
58,08/12/16,10.94,10.97,10.9287,10.95,198896,0.009647,0.09%,10.563,2.18m,518
59,08/11/16,10.91,10.94,10.89,10.94,251493,0.057879,0.55%,10.5534,2.75m,692
60,08/10/16,10.87,10.9199,10.83,10.88,197165,-0.019293,-0.18%,10.4955,2.14m,562
61,08/09/16,10.83,10.90,10.8118,10.90,232428,0.08682,0.83%,10.5148,2.53m,724
62,08/08/16,10.86,10.87,10.78,10.81,194557,-0.048233,-0.46%,10.428,2.1m,610
63,08/05/16,10.80,10.86,10.787,10.86,247223,0.096466,0.93%,10.4762,2.68m,688
64,08/04/16,10.73,10.78,10.70,10.76,187118,0.057879,0.56%,10.3797,2.01m,363
65,08/03/16,10.65,10.72,10.64,10.70,250413,0.067526,0.66%,10.3219,2.68m,443
66,08/02/16,10.78,10.79,10.62,10.63,268066,-0.125405,-1.21%,10.2543,2.86m,667
67,08/01/16,10.81,10.81,10.75,10.76,320661,-0.019294,-0.19%,10.3797,3.46m,572
68,07/29/16,10.75,10.8299,10.735,10.78,254815,0.048233,0.47%,10.399,2.75m,653
69,07/28/16,10.66,10.75,10.66,10.73,320414,0.077174,0.75%,10.3508,3.43m,530
70,07/27/16,10.67,10.70,10.6264,10.65,321560,0.009646,0.09%,10.2736,3.43m,799
71,07/26/16,10.60,10.65,10.5969,10.64,232691,0.057879,0.57%,10.264,2.47m,729
72,07/25/16,10.61,10.6276,10.54,10.58,244817,-0.019293,-0.19%,10.2061,2.59m,553
73,07/22/16,10.62,10.62,10.57,10.60,146130,0.00,0.00%,10.2254,1.55m,464
74,07/21/16,10.58,10.625,10.55,10.60,374226,0.019293,0.19%,10.2254,3.97m,827
75,07/20/16,10.56,10.585,10.50,10.58,377500,0.084215,0.83%,10.2061,3.98m,545
76,07/19/16,10.55,10.59,10.46,10.4927,762477,0.057349,0.57%,10.1219,8.03m,1491
77,07/18/16,10.50,10.55,10.47,10.53,479017,0.066906,0.67%,10.0645,5.03m,846
78,07/15/16,10.45,10.48,10.41,10.46,250538,0.00,0.00%,9.9976,2.62m,562
79,07/14/16,10.48,10.48,10.40,10.46,359853,0.057347,0.58%,9.9976,3.75m,694
80,07/13/16,10.37,10.40,10.31,10.40,237904,0.057348,0.58%,9.9403,2.46m,521
81,07/12/16,10.44,10.45,10.31,10.34,684706,-0.009558,-0.10%,9.8829,7.1m,1471
82,07/11/16,10.41,10.4399,10.33,10.35,527965,0.009558,0.10%,9.8925,5.47m,1258
83,07/08/16,10.44,10.45,10.33,10.34,427960,0.019116,0.19%,9.8829,4.45m,861
84,07/07/16,10.36,10.40,10.31,10.32,298069,0.00,0.00%,9.8638,3.09m,852
85,07/06/16,10.30,10.32,10.21,10.32,629690,0.019115,0.19%,9.8638,6.46m,1052
86,07/05/16,10.36,10.41,10.28,10.30,369010,-0.105137,-1.06%,9.8447,3.81m,884
87,07/04/16,,,,10.41,0,,0.00%,9.9498,,
88,07/01/16,10.41,10.46,10.36,10.41,233053,0.019116,0.19%,9.9498,2.43m,574
89,06/30/16,10.38,10.41,10.35,10.39,414487,0.057348,0.58%,9.9307,4.3m,835
90,06/29/16,10.20,10.3999,10.20,10.33,430225,0.219833,2.28%,9.8734,4.45m,1530
91,06/28/16,10.18,10.23,10.07,10.10,694911,0.066907,0.70%,9.6535,7.06m,1337
92,06/27/16,10.36,10.36,10.01,10.03,695184,-0.372761,-3.74%,9.5866,7.03m,1547
93,06/24/16,10.34,10.49,10.31,10.42,591271,-0.210276,-2.07%,9.9594,6.16m,1269
94,06/23/16,10.63,10.65,10.59,10.64,240921,0.066905,0.66%,10.1697,2.56m,575
95,06/22/16,10.57,10.59,10.5359,10.57,193024,0.028675,0.28%,10.1028,2.04m,511
96,06/21/16,10.54,10.57,10.499,10.54,274967,0.054767,0.55%,10.0741,2.9m,721
97,06/20/16,10.58,10.60,10.55,10.4827,203699,0.104175,1.05%,10.0193,2.15m,466
98,06/17/16,10.41,10.47,10.39,10.47,223567,0.089966,0.92%,9.9152,2.33m,606
99,06/16/16,10.36,10.40,10.303,10.375,219184,-0.014206,-0.14%,9.8252,2.27m,787
100,06/15/16,10.40,10.4299,10.37,10.39,194806,0.01894,0.19%,9.8394,2.03m,422
101,06/14/16,10.43,10.43,10.34,10.37,243813,-0.04735,-0.48%,9.8205,2.53m,615
102,06/13/16,10.62,10.62,10.41,10.42,332526,-0.208342,-2.07%,9.8678,3.49m,951
103,06/10/16,10.65,10.6501,10.58,10.64,262367,-0.02841,-0.28%,10.0761,2.79m,696
104,06/09/16,10.61,10.68,10.5847,10.67,186003,0.037881,0.38%,10.1046,1.98m,592
105,06/08/16,10.63,10.65,10.5819,10.63,280328,0.02841,0.28%,10.0667,2.97m,816
106,06/07/16,10.65,10.66,10.57,10.60,427977,-0.04735,-0.47%,10.0383,4.54m,1106
107,06/06/16,10.67,10.68,10.62,10.65,313415,0.00,0.00%,10.0856,3.34m,942
108,06/03/16,10.63,10.66,10.57,10.65,225032,-0.00947,-0.09%,10.0856,2.39m,1009
109,06/02/16,10.60,10.66,10.53,10.66,213342,0.04735,0.47%,10.0951,2.26m,522
110,06/01/16,10.55,10.62,10.51,10.61,260698,0.037881,0.38%,10.0477,2.76m,602
