,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,5.93,5.93,5.8508,5.8608,8697,-0.1492,-2.48%,5.8608,51.17k,12
2,10/31/16,6.01,6.05,5.95,6.01,3296,-0.04,-0.66%,6.01,19.75k,20
3,10/28/16,6.08,6.08,6.05,6.05,1466,-0.06,-0.98%,6.05,8.89k,5
4,10/27/16,6.11,6.11,6.11,6.11,100,-0.0078,-0.13%,6.11,611.00,1
5,10/26/16,6.20,6.20,6.1178,6.1178,3700,-0.0722,-1.17%,6.1178,22.76k,17
6,10/25/16,6.19,6.19,6.19,6.19,1032,0.045,0.73%,6.19,6.39k,14
7,10/24/16,6.14,6.15,6.14,6.145,300,0.035,0.57%,6.145,1.84k,3
8,10/21/16,,,,6.11,0,,0.00%,6.11,,
9,10/20/16,,,,6.11,0,,0.00%,6.11,,
10,10/19/16,6.1593,6.40,6.10,6.11,7600,-0.06,-0.97%,6.11,47.2k,47
11,10/18/16,6.20,6.2134,6.17,6.17,2134,0.1099,1.81%,6.17,13.22k,21
12,10/17/16,,,,6.0601,0,,0.00%,6.0601,,
13,10/14/16,6.10,6.1001,6.0601,6.0601,4300,-0.0962,-1.56%,6.0601,26.22k,4
14,10/13/16,6.25,6.25,6.07,6.1563,4900,-0.1031,-1.65%,6.1563,30.2k,17
15,10/12/16,6.2594,6.2594,6.2594,6.2594,400,-0.0906,-1.43%,6.2594,2.5k,1
16,10/11/16,,,,6.35,1,0.00,0.00%,6.35,,1
17,10/10/16,6.35,6.35,6.35,6.35,380,-0.10,-1.55%,6.35,2.41k,3
18,10/07/16,,,,6.45,0,,0.00%,6.45,,
19,10/06/16,6.40,6.50,6.40,6.45,8732,0.105,1.65%,6.45,56.23k,20
20,10/05/16,6.23,6.375,6.23,6.345,34921,0.135,2.17%,6.345,221.02k,19
21,10/04/16,6.21,6.21,6.21,6.21,300,-0.04,-0.64%,6.21,1.86k,1
22,10/03/16,6.30,6.30,6.23,6.25,1130,-0.13,-2.04%,6.25,7.07k,7
23,09/30/16,6.2748,6.39,6.259,6.38,3230,0.08,1.27%,6.38,20.47k,23
24,09/29/16,6.34,6.35,6.30,6.30,500,-0.14,-2.17%,6.30,3.17k,7
25,09/28/16,6.44,6.44,6.44,6.44,250,-0.0191,-0.30%,6.44,1.61k,2
26,09/27/16,6.44,6.4591,6.44,6.4591,1300,0.0591,0.92%,6.4591,8.39k,4
27,09/26/16,6.40,6.40,6.40,6.40,200,-0.116,-1.78%,6.40,1.28k,2
28,09/23/16,,,,6.516,0,,0.00%,6.516,,
29,09/22/16,6.49,6.516,6.49,6.516,1680,0.006,0.09%,6.516,10.92k,5
