,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,47.30,47.50,46.725,47.00,240456,-0.199198,-0.42%,46.8116,11.3m,2733
2,10/31/16,46.75,47.60,46.75,47.20,313987,0.099599,0.21%,47.0108,14.81m,2491
3,10/28/16,50.05,50.05,46.55,47.10,334473,-2.5398,-5.14%,46.9112,15.84m,2960
4,10/27/16,51.95,53.25,49.50,49.65,304319,2.241,4.75%,49.451,15.3m,2487
5,10/26/16,47.40,47.95,47.10,47.40,207233,-0.497996,-1.04%,47.21,9.83m,2263
6,10/25/16,47.75,48.25,47.30,47.90,234606,0.199199,0.42%,47.708,11.2m,1913
7,10/24/16,46.95,47.75,46.95,47.70,145197,0.846593,1.81%,47.5088,6.9m,1412
8,10/21/16,46.31,46.88,46.14,46.85,133306,-0.159359,-0.34%,46.6622,6.22m,1339
9,10/20/16,46.80,47.22,46.66,47.01,108982,-0.03984,-0.09%,46.8216,5.12m,996
10,10/19/16,46.07,47.43,46.00,47.05,165549,0.846594,1.84%,46.8614,7.75m,1556
11,10/18/16,46.52,46.59,46.07,46.20,153129,0.039839,0.09%,46.0148,7.08m,1653
12,10/17/16,46.50,46.55,46.00,46.16,177926,-0.398397,-0.86%,45.975,8.21m,2203
13,10/14/16,47.73,47.85,46.21,46.56,169591,-0.816713,-1.73%,46.3734,7.91m,1756
14,10/13/16,48.95,49.54,47.20,47.38,288381,0.00,0.00%,47.1901,13.85m,2375
15,10/12/16,47.60,47.66,47.08,47.38,116043,-0.239038,-0.50%,47.1901,5.5m,1203
16,10/11/16,48.87,48.87,47.31,47.62,103463,-0.677275,-1.41%,47.4291,4.94m,1076
17,10/10/16,47.40,48.37,47.21,48.30,150330,0.995992,2.11%,48.1064,7.22m,1748
18,10/07/16,46.69,47.41,46.47,47.30,232849,0.657355,1.42%,47.1104,10.96m,1882
19,10/06/16,47.89,47.89,46.61,46.64,217063,-1.2649,-2.65%,46.4531,10.17m,2088
20,10/05/16,48.08,48.52,47.88,47.91,130228,-0.099599,-0.21%,47.718,6.27m,1477
21,10/04/16,49.37,49.37,47.53,48.01,283602,-1.0757,-2.20%,47.8176,13.63m,2618
22,10/03/16,48.21,50.30,48.19,49.09,699442,2.0019,4.27%,48.8932,34.6m,5100
23,09/30/16,46.70,47.30,46.05,47.08,230304,0.836633,1.82%,46.8913,10.79m,1768
24,09/29/16,47.61,47.61,45.88,46.24,149656,-0.687235,-1.47%,46.0547,6.94m,1533
