,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,155.14,155.56,151.92,152.28,568874,-2.4324,-1.58%,151.8069,87.35m,4798
2,10/31/16,155.85,156.49,154.64,154.72,411939,-0.737701,-0.48%,154.2393,64.07m,3885
3,10/28/16,154.21,156.77,154.21,155.46,400893,1.2062,0.78%,154.977,62.51m,4642
4,10/27/16,154.97,155.10,153.07,154.25,331834,-0.448602,-0.29%,153.7707,51.27m,3462
5,10/26/16,152.23,155.58,152.23,154.70,290771,1.6548,1.08%,154.2193,44.96m,3312
6,10/25/16,153.95,154.43,152.64,153.04,360514,-1.3657,-0.89%,152.5645,55.25m,3946
7,10/24/16,156.84,156.84,154.32,154.41,209247,-0.508416,-0.33%,153.9302,32.43m,3121
8,10/21/16,152.77,155.85,152.35,154.92,450578,1.605,1.05%,154.4387,69.77m,4623
9,10/20/16,154.69,155.23,152.83,153.31,283897,-2.0137,-1.30%,152.8337,43.61m,3272
10,10/19/16,155.78,156.715,155.28,155.33,181698,-0.508415,-0.33%,154.8474,28.31m,2551
11,10/18/16,156.16,156.5799,154.89,155.84,297834,1.1165,0.72%,155.3558,46.36m,3425
12,10/17/16,155.00,155.71,154.50,154.72,228394,-0.478509,-0.31%,154.2393,35.41m,2375
13,10/14/16,156.36,157.29,155.00,155.20,267538,0.009969,0.01%,154.7178,41.67m,3067
14,10/13/16,154.99,156.49,154.5001,155.19,428588,-0.976955,-0.63%,154.7078,66.7m,4278
15,10/12/16,156.38,156.93,155.69,156.17,493219,0.00,0.00%,155.6848,77.02m,4888
16,10/11/16,157.73,157.73,155.73,156.17,348437,-1.8542,-1.18%,155.6848,54.47m,4293
17,10/10/16,158.09,159.02,157.90,158.03,259415,0.647981,0.41%,157.539,41.07m,3282
18,10/07/16,159.00,159.27,157.31,157.38,235155,-1.6249,-1.03%,156.891,37.12m,3112
19,10/06/16,158.30,159.19,157.45,159.01,348328,0.657949,0.42%,158.516,55.24m,4288
20,10/05/16,158.29,159.37,157.58,158.35,398891,0.368851,0.23%,157.858,63.26m,4590
21,10/04/16,159.79,160.90,156.91,157.98,519757,-1.4654,-0.92%,157.4892,82.39m,6120
22,10/03/16,161.98,162.04,158.88,159.45,480469,-2.6418,-1.63%,158.9546,76.76m,5370
23,09/30/16,161.09,162.97,160.43,162.10,470640,1.8841,1.18%,161.5964,76.31m,4944
24,09/29/16,162.03,163.18,159.29,160.21,829810,-2.1732,-1.34%,159.7122,133.46m,7569
25,09/28/16,164.34,165.168,159.54,162.39,1204299,-1.9439,-1.19%,161.8855,195.51m,11572
26,09/27/16,168.00,169.89,161.83,164.34,2073874,-11.8132,-6.73%,163.8294,344.03m,18228
27,09/26/16,177.67,178.06,174.98,176.19,471997,-2.3726,-1.33%,175.6426,83.15m,5350
28,09/23/16,179.02,179.42,177.98,178.57,315787,-1.2262,-0.68%,178.0152,56.4m,3289
29,09/22/16,178.98,180.23,178.43,179.80,262913,1.5651,0.88%,179.2414,47.2m,2994
30,09/21/16,177.09,178.55,175.28,178.23,296725,2.2929,1.31%,177.6762,52.54m,3374
31,09/20/16,177.91,177.91,175.00,175.93,305067,-0.618074,-0.35%,175.3834,53.75m,3391
32,09/19/16,177.74,178.98,175.36,176.55,324358,-0.019938,-0.01%,176.0015,57.3m,3596
33,09/16/16,177.09,178.36,176.33,176.57,472836,-1.4654,-0.83%,176.0214,83.66m,4008
34,09/15/16,174.80,178.61,174.58,178.04,226169,3.0505,1.75%,177.4868,40.16m,2610
35,09/14/16,176.12,176.88,174.22,174.98,421537,-0.927111,-0.53%,174.4363,73.99m,4082
36,09/13/16,177.39,178.16,174.75,175.91,359205,-2.5122,-1.41%,175.3634,63.2m,4419
37,09/12/16,175.67,178.49,175.12,178.43,285621,2.0038,1.14%,177.8756,50.53m,3748
38,09/09/16,180.05,180.48,176.23,176.42,255249,-4.2667,-2.37%,175.8719,45.3m,3268
39,09/08/16,181.44,181.44,180.25,180.70,169153,-0.707794,-0.39%,180.1386,30.6m,2370
40,09/07/16,179.70,181.69,179.32,181.41,232092,1.2661,0.71%,180.8464,41.99m,2597
41,09/06/16,182.27,183.17,179.86,180.14,251212,-1.3757,-0.76%,179.5803,45.29m,3762
42,09/05/16,,,,181.52,0,,0.00%,180.956,,
43,09/02/16,179.95,182.06,179.80,181.52,286729,1.3857,0.77%,180.956,51.94m,3416
44,09/01/16,178.34,180.37,177.75,180.13,275354,2.0935,1.18%,179.5703,49.38m,3699
45,08/31/16,178.70,179.56,177.17,178.03,229941,-0.777576,-0.44%,177.4769,40.97m,3035
46,08/30/16,178.69,179.73,178.01,178.81,234976,0.478508,0.27%,178.2544,41.98m,2901
