,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,15.54,15.636,15.20,15.42,165829,-0.120869,-0.78%,15.3142,2.55m,596
2,10/31/16,15.65,15.6801,15.51,15.66,128128,-0.02957,-0.19%,15.4351,2m,453
3,10/28/16,15.60,15.75,15.55,15.69,109139,-0.009855,-0.06%,15.4646,1.71m,347
4,10/27/16,15.87,15.88,15.69,15.70,100106,-0.118277,-0.76%,15.4745,1.58m,396
5,10/26/16,15.85,15.95,15.78,15.82,112449,-0.088707,-0.57%,15.5928,1.78m,322
6,10/25/16,16.04,16.142,15.89,15.91,72940,-0.236553,-1.49%,15.6815,1.17m,293
7,10/24/16,16.07,16.17,15.995,16.15,112908,0.147846,0.94%,15.918,1.81m,601
8,10/21/16,15.98,16.0601,15.95,16.00,76626,0.00,0.00%,15.7702,1.23m,375
9,10/20/16,15.77,16.04,15.7601,16.00,95216,0.128132,0.82%,15.7702,1.51m,501
10,10/19/16,15.88,15.90,15.76,15.87,66966,0.118276,0.76%,15.642,1.06m,271
11,10/18/16,15.83,15.83,15.5801,15.75,67296,0.13799,0.90%,15.5238,1.06m,212
12,10/17/16,15.82,15.85,15.55,15.61,117060,-0.147846,-0.95%,15.3858,1.83m,474
13,10/14/16,15.85,15.88,15.67,15.76,116330,-0.019713,-0.13%,15.5336,1.83m,531
14,10/13/16,15.78,15.88,15.66,15.78,157989,-0.167558,-1.07%,15.5533,2.49m,820
15,10/12/16,15.85,15.98,15.80,15.95,106311,0.00,0.00%,15.7209,1.69m,527
16,10/11/16,16.09,16.09,15.82,15.95,108566,-0.098563,-0.62%,15.7209,1.73m,406
17,10/10/16,16.00,16.07,15.99,16.05,100616,0.147846,0.94%,15.8195,1.61m,565
18,10/07/16,15.97,16.06,15.89,15.90,64741,-0.059139,-0.38%,15.6716,1.03m,221
19,10/06/16,16.08,16.10,15.90,15.96,96447,-0.029569,-0.19%,15.7307,1.54m,518
20,10/05/16,16.12,16.18,15.98,15.99,96673,-0.049282,-0.31%,15.7603,1.55m,428
21,10/04/16,16.29,16.3525,15.92,16.04,99213,-0.246408,-1.53%,15.8096,1.6m,318
22,10/03/16,16.47,16.47,16.27,16.29,54546,-0.149516,-0.92%,16.056,890.68k,188
23,09/30/16,16.56,16.62,16.39,16.56,104336,0.146788,0.91%,16.2055,1.73m,367
24,09/29/16,16.47,16.55,16.3177,16.41,130344,0.00,0.00%,16.0587,2.14m,299
25,09/28/16,16.20,16.4142,15.97,16.41,122426,0.293579,1.86%,16.0587,1.98m,569
26,09/27/16,16.02,16.15,16.01,16.11,102570,-0.117432,-0.74%,15.7652,1.65m,418
27,09/26/16,16.27,16.27,16.13,16.23,74532,0.000098,0.00%,15.8826,1.21m,279
28,09/23/16,16.37,16.38,16.19,16.2299,71262,-0.127315,-0.80%,15.8825,1.16m,288
29,09/22/16,16.35,16.41,16.23,16.36,96182,0.215291,1.36%,16.0098,1.57m,398
30,09/21/16,15.98,16.16,15.88,16.14,68977,0.352294,2.28%,15.7945,1.1m,358
31,09/20/16,15.90,15.9574,15.77,15.78,90944,-0.166361,-1.07%,15.4422,1.44m,343
32,09/19/16,15.84,15.9721,15.80,15.95,81525,0.264221,1.72%,15.6086,1.3m,285
33,09/16/16,15.65,15.73,15.60,15.68,50463,-0.029359,-0.19%,15.3444,790.87k,129
34,09/15/16,15.75,15.786,15.65,15.71,87751,0.04893,0.32%,15.3737,1.38m,329
35,09/14/16,15.52,15.83,15.52,15.66,68789,0.068502,0.45%,15.3248,1.08m,284
36,09/13/16,15.88,15.93,15.46,15.59,108735,-0.391437,-2.50%,15.2563,1.7m,473
37,09/12/16,15.88,16.10,15.8701,15.99,96465,0.009785,0.06%,15.6477,1.54m,435
38,09/09/16,16.28,16.28,15.915,15.98,90765,-0.362179,-2.26%,15.6379,1.46m,363
39,09/08/16,16.37,16.40,16.2117,16.3501,122393,0.16646,1.05%,16.0001,2m,560
40,09/07/16,16.26,16.26,16.16,16.18,68896,0.039144,0.25%,15.8337,1.12m,290
41,09/06/16,15.84,16.15,15.84,16.14,131813,0.234863,1.51%,15.7945,2.11m,707
42,09/05/16,,,,15.90,0,,0.00%,15.5597,,
43,09/02/16,15.58,15.90,15.5317,15.90,95676,0.371866,2.45%,15.5597,1.5m,462
44,09/01/16,15.40,15.56,15.35,15.52,118367,0.086409,0.57%,15.1878,1.83m,607
45,08/31/16,15.66,15.66,15.49,15.4317,186653,-0.105933,-0.70%,15.1014,2.9m,901
46,08/30/16,15.90,15.90,15.62,15.66,124766,-0.135953,-0.89%,15.2073,1.96m,657
47,08/29/16,16.02,16.02,15.7868,15.80,213969,-0.184508,-1.19%,15.3433,3.39m,1120
48,08/26/16,16.08,16.1899,15.90,15.99,189280,0.009712,0.06%,15.5278,3.03m,992
49,08/25/16,16.17,16.17,15.95,15.98,226014,-0.213641,-1.36%,15.5181,3.63m,1167
50,08/24/16,16.34,16.41,16.15,16.20,122708,-0.155375,-0.98%,15.7317,1.99m,482
51,08/23/16,16.36,16.42,16.30,16.36,106385,0.058266,0.37%,15.8871,1.74m,362
52,08/22/16,16.17,16.30,16.09,16.30,166002,0.00,0.00%,15.8288,2.69m,615
53,08/19/16,16.39,16.39,16.23,16.30,114753,-0.106821,-0.67%,15.8288,1.87m,304
54,08/18/16,16.33,16.50,16.2701,16.41,246768,0.135953,0.86%,15.9356,4.05m,799
55,08/17/16,16.13,16.32,16.05,16.27,209004,0.116531,0.74%,15.7997,3.38m,815
56,08/16/16,16.15,16.19,16.00,16.15,201013,0.145665,0.94%,15.6831,3.23m,826
57,08/15/16,15.99,16.06,15.90,16.00,169716,0.135953,0.88%,15.5375,2.72m,643
58,08/12/16,15.78,15.899,15.74,15.86,69733,0.155374,1.02%,15.4015,1.1m,272
59,08/11/16,15.69,15.80,15.58,15.70,174848,0.184508,1.23%,15.2462,2.75m,688
60,08/10/16,15.79,15.79,15.39,15.51,99336,-0.194219,-1.27%,15.0616,1.54m,450
61,08/09/16,15.89,15.89,15.61,15.71,120387,-0.067977,-0.44%,15.2559,1.89m,566
62,08/08/16,15.56,15.86,15.52,15.78,163266,0.320462,2.14%,15.3238,2.57m,628
63,08/05/16,15.41,15.52,15.31,15.45,48708,0.058265,0.39%,15.0034,751.85k,223
64,08/04/16,15.38,15.53,15.31,15.39,89396,-0.019422,-0.13%,14.9451,1.38m,424
65,08/03/16,15.23,15.54,15.20,15.41,144251,0.184507,1.25%,14.9645,2.22m,656
66,08/02/16,15.32,15.467,15.16,15.22,147356,-0.097109,-0.65%,14.78,2.25m,632
67,08/01/16,15.63,15.6423,15.31,15.32,98654,-0.360955,-2.37%,14.8771,1.52m,441
68,07/29/16,15.75,15.93,15.73,15.6917,136325,-0.057824,-0.38%,15.2381,2.16m,468
69,07/28/16,15.85,15.999,15.7601,15.87,87015,0.009638,0.06%,15.2959,1.38m,282
70,07/27/16,15.98,16.10,15.79,15.86,79088,-0.019276,-0.13%,15.2863,1.26m,339
71,07/26/16,15.76,16.00,15.73,15.88,141729,0.125298,0.83%,15.3056,2.25m,686
72,07/25/16,15.79,15.80,15.64,15.75,142819,-0.05783,-0.38%,15.1803,2.25m,550
73,07/22/16,15.65,15.85,15.58,15.81,133265,0.231317,1.54%,15.2381,2.09m,571
74,07/21/16,15.68,15.75,15.53,15.57,86010,-0.038551,-0.26%,15.0068,1.34m,251
75,07/20/16,15.38,15.63,15.31,15.61,111527,0.173488,1.17%,15.0453,1.73m,415
76,07/19/16,15.42,15.5435,15.32,15.43,97119,-0.067468,-0.45%,14.8718,1.5m,472
77,07/18/16,15.37,15.56,15.2001,15.50,130839,0.134936,0.91%,14.9393,2.01m,709
78,07/15/16,15.49,15.499,15.16,15.36,87382,0.038552,0.26%,14.8044,1.34m,351
79,07/14/16,15.44,15.5999,15.2626,15.32,128551,-0.067467,-0.45%,14.7658,1.98m,622
80,07/13/16,15.57,15.57,15.22,15.39,134230,-0.17349,-1.16%,14.8333,2.07m,526
81,07/12/16,15.57,15.66,15.50,15.57,108985,0.17349,1.17%,15.0068,1.7m,436
82,07/11/16,15.31,15.41,15.17,15.39,158942,0.106021,0.72%,14.8333,2.43m,672
83,07/08/16,15.40,15.4085,15.08,15.28,168440,0.10602,0.73%,14.7273,2.56m,901
84,07/07/16,15.49,15.63,15.10,15.17,117975,-0.183126,-1.24%,14.6212,1.81m,567
85,07/06/16,15.25,15.39,15.1601,15.36,63974,0.038552,0.26%,14.8044,978.85k,231
86,07/05/16,15.19,15.39,15.19,15.32,96503,-0.231319,-1.54%,14.7658,1.47m,382
87,07/04/16,,,,15.56,0,,0.00%,14.9971,,
88,07/01/16,15.50,15.6099,15.47,15.56,61433,0.046555,0.31%,14.9971,953.93k,349
89,06/30/16,15.55,15.66,15.35,15.5117,163070,0.096525,0.65%,14.9506,2.54m,770
90,06/29/16,15.58,15.61,15.47,15.53,124672,0.172164,1.17%,14.8541,1.94m,522
91,06/28/16,15.19,15.41,15.09,15.35,157957,0.554756,3.93%,14.6819,2.4m,943
92,06/27/16,15.01,15.19,14.52,14.77,166153,-0.468673,-3.21%,14.1271,2.46m,687
93,06/24/16,15.15,15.6499,15.01,15.26,161967,-0.439979,-2.93%,14.5958,2.48m,592
94,06/23/16,15.83,15.83,15.55,15.72,157594,0.172166,1.16%,15.0358,2.47m,735
95,06/22/16,15.52,15.63,15.39,15.54,82010,0.019129,0.13%,14.8636,1.27m,338
96,06/21/16,15.37,15.58,15.29,15.52,101067,0.172166,1.17%,14.8445,1.56m,391
97,06/20/16,15.46,15.49,15.29,15.34,105057,0.066954,0.46%,14.6723,1.62m,459
98,06/17/16,15.29,15.37,15.09,15.27,128731,0.210424,1.46%,14.6054,1.96m,476
99,06/16/16,14.75,15.12,14.57,15.05,200313,0.229554,1.62%,14.3949,2.99m,1046
100,06/15/16,14.84,14.97,14.68,14.81,192889,0.009564,0.07%,14.1654,2.86m,966
101,06/14/16,14.90,14.99,14.70,14.80,228989,-0.172166,-1.20%,14.1558,3.39m,1018
102,06/13/16,15.20,15.32,14.86,14.98,266675,-0.30607,-2.09%,14.328,4.03m,1012
