,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,13.32,13.374,13.31,13.3469,22466,0.025093,0.19%,13.2905,299.52k,62
2,10/31/16,13.35,13.435,13.29,13.3217,5718,-0.008264,-0.06%,13.2654,76.12k,26
3,10/28/16,13.38,13.38,13.33,13.33,1789,-0.039831,-0.30%,13.2736,23.91k,16
4,10/27/16,13.48,13.489,13.36,13.37,20076,-0.129451,-0.96%,13.3135,269.36k,83
5,10/26/16,13.49,13.52,13.49,13.50,16657,-0.019915,-0.15%,13.4429,224.79k,74
6,10/25/16,13.50,13.53,13.50,13.52,5330,0.009958,0.07%,13.4628,72.05k,12
7,10/24/16,13.53,13.567,13.501,13.51,11058,-0.029873,-0.22%,13.4529,149.62k,23
8,10/21/16,13.42,13.54,13.42,13.54,7826,0.099577,0.74%,13.4827,105.66k,30
9,10/20/16,13.48,13.54,13.44,13.44,31863,0.00,0.00%,13.3832,430.26k,106
10,10/19/16,13.43,13.5199,13.35,13.44,43183,0.023899,0.18%,13.3832,580.84k,201
11,10/18/16,13.44,13.63,13.32,13.47,21722,-0.029753,-0.22%,13.3593,291.08k,91
12,10/17/16,13.53,13.53,13.47,13.50,36206,0.00,0.00%,13.389,488.26k,190
13,10/14/16,13.60,13.625,13.50,13.50,9949,-0.128931,-0.95%,13.389,135.02k,44
14,10/13/16,13.76,13.76,13.63,13.63,3924,-0.128931,-0.94%,13.5179,53.7k,28
15,10/12/16,13.85,13.8799,13.76,13.76,12792,-0.128932,-0.94%,13.6469,176.74k,36
16,10/11/16,13.80,13.89,13.80,13.89,23243,0.029754,0.22%,13.7758,322.07k,135
17,10/10/16,13.87,13.87,13.76,13.86,10033,0.029753,0.22%,13.7461,138.96k,59
18,10/07/16,13.83,13.847,13.83,13.83,3756,-0.036894,-0.27%,13.7163,51.96k,17
19,10/06/16,13.85,13.8672,13.85,13.8672,761,-0.032531,-0.24%,13.7532,10.54k,6
20,10/05/16,14.01,14.01,13.90,13.90,834,-0.079342,-0.57%,13.7857,11.61k,12
21,10/04/16,14.09,14.12,13.9249,13.98,1858,-0.079342,-0.57%,13.8651,25.98k,25
22,10/03/16,14.11,14.11,14.06,14.06,1966,-0.059507,-0.42%,13.9444,27.7k,15
23,09/30/16,14.06,14.132,14.06,14.12,2430,0.069424,0.50%,14.0039,34.24k,19
24,09/29/16,14.13,14.15,14.05,14.05,12180,-0.099178,-0.71%,13.9345,171.58k,72
25,09/28/16,14.17,14.17,14.14,14.15,9827,0.009918,0.07%,14.0337,139.14k,69
