,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,29.00,29.20,28.71,28.88,32010770,-0.22,-0.76%,28.88,926.51m,100036
2,10/31/16,29.48,29.65,29.09,29.10,43563696,-0.12,-0.41%,29.10,1.28b,105944
3,10/28/16,28.88,29.59,28.87,29.22,67870824,0.59,2.06%,29.22,1.99b,158964
4,10/27/16,28.89,28.96,28.61,28.63,25432889,-0.24,-0.83%,28.63,729.49m,87373
5,10/26/16,28.59,29.07,28.55,28.87,24357188,0.22,0.77%,28.87,703.52m,73277
6,10/25/16,28.94,29.01,28.62,28.65,26480722,-0.27,-0.93%,28.65,762.08m,74643
7,10/24/16,29.00,29.21,28.90,28.92,31139738,-0.06,-0.21%,28.92,902.55m,83764
8,10/21/16,28.44,29.00,28.33,28.98,64153187,-0.09,-0.31%,28.98,1.84b,145852
9,10/20/16,29.10,29.20,28.96,29.07,28433328,0.01,0.03%,29.07,826.31m,85122
10,10/19/16,29.06,29.22,29.03,29.06,29187978,0.08,0.28%,29.06,850.23m,70266
11,10/18/16,29.03,29.08,28.90,28.98,27562377,0.13,0.45%,28.98,798.67m,68548
12,10/17/16,28.90,28.99,28.70,28.85,39732551,-0.04,-0.14%,28.85,1.15b,76138
13,10/14/16,28.96,29.03,28.82,28.89,28181380,0.12,0.42%,28.89,815.05m,71162
14,10/13/16,28.78,28.90,28.66,28.77,28392555,-0.13,-0.45%,28.77,816.99m,86474
15,10/12/16,28.92,29.02,28.81,28.90,22754703,-0.02,-0.07%,28.90,658.12m,74779
16,10/11/16,28.75,29.03,28.69,28.92,30942235,0.06,0.21%,28.92,893.85m,104121
17,10/10/16,29.00,29.31,28.81,28.86,33981885,-0.22,-0.76%,28.86,984.5m,91622
18,10/07/16,29.06,29.205,28.92,29.08,37840132,-0.19,-0.65%,29.08,1.1b,112507
19,10/06/16,29.40,29.50,29.14,29.27,28087933,-0.23,-0.78%,29.27,822.42m,89494
20,10/05/16,29.52,29.70,29.40,29.50,24936855,0.00,0.00%,29.50,736.2m,78226
21,10/04/16,29.71,29.75,29.45,29.50,31127714,-0.14,-0.47%,29.50,920.69m,99684
22,10/03/16,29.46,29.70,29.40,29.64,19794077,0.02,0.07%,29.64,586.02m,74915
23,09/30/16,29.60,29.85,29.575,29.62,36120040,0.09,0.30%,29.62,1.07b,91647
24,09/29/16,29.81,30.10,29.44,29.53,38873664,-0.37,-1.24%,29.53,1.16b,117798
25,09/28/16,29.92,29.94,29.60,29.90,26750633,0.02,0.07%,29.90,796.49m,82914
26,09/27/16,29.60,29.97,29.47,29.88,25491940,0.34,1.15%,29.88,760.42m,81860
27,09/26/16,29.80,29.81,29.52,29.54,25905794,-0.35,-1.17%,29.54,767.61m,72932
28,09/23/16,30.02,30.05,29.81,29.89,22821677,-0.15,-0.50%,29.89,683.27m,71817
29,09/22/16,29.96,30.11,29.93,30.04,29379879,0.19,0.64%,30.04,882.08m,83942
30,09/21/16,29.75,29.92,29.59,29.85,29031558,0.18,0.61%,29.85,863.69m,95119
31,09/20/16,29.67,29.80,29.62,29.67,29646465,0.24,0.82%,29.67,880.92m,89309
32,09/19/16,29.78,29.96,29.40,29.43,30501299,-0.25,-0.84%,29.43,903.42m,90676
33,09/16/16,29.63,29.75,29.54,29.68,64934725,-0.07,-0.24%,29.68,1.93b,88891
34,09/15/16,29.55,29.85,29.42,29.75,35262527,0.279997,0.95%,29.75,1.05b,113077
35,09/14/16,29.81,30.00,29.67,29.70,51077594,-0.148839,-0.50%,29.47,1.52b,121376
36,09/13/16,30.22,30.2548,29.72,29.85,45066224,-0.635043,-2.10%,29.6188,1.35b,147069
37,09/12/16,30.00,30.57,29.84,30.49,41407281,0.377057,1.26%,30.2539,1.25b,146899
38,09/09/16,30.82,30.82,30.11,30.11,44619722,-0.922798,-3.00%,29.8768,1.35b,132657
39,09/08/16,31.00,31.05,30.90,31.04,30256181,-0.019845,-0.06%,30.7996,937.22m,90241
40,09/07/16,30.99,31.06,30.80,31.06,27266887,0.009922,0.03%,30.8195,843.75m,96115
41,09/06/16,31.31,31.34,30.80,31.05,40955651,-0.238141,-0.77%,30.8095,1.27b,100283
42,09/05/16,,,,31.29,0,,0.00%,31.0477,,
43,09/02/16,31.25,31.45,31.23,31.29,20807497,0.089303,0.29%,31.0477,651.62m,63744
44,09/01/16,31.15,31.29,30.96,31.20,41255600,-0.03969,-0.13%,30.9584,1.28b,107424
45,08/31/16,31.29,31.3459,31.19,31.24,33416260,-0.128994,-0.41%,30.9981,1.04b,80345
46,08/30/16,31.34,31.47,31.30,31.37,18137873,0.009923,0.03%,31.1271,569.02m,58442
47,08/29/16,31.18,31.45,31.17,31.36,21248854,0.128993,0.42%,31.1171,666.42m,65165
48,08/26/16,31.27,31.46,31.14,31.23,22265644,0.019845,0.06%,30.9882,696.34m,79692
49,08/25/16,31.19,31.30,31.13,31.21,17027872,-0.009922,-0.03%,30.9683,531.65m,53142
50,08/24/16,31.27,31.35,31.17,31.22,22045111,-0.009923,-0.03%,30.9782,688.86m,68446
51,08/23/16,31.45,31.57,31.23,31.23,32116691,-0.089303,-0.29%,30.9882,1.01b,83933
52,08/22/16,31.17,31.43,31.08,31.32,20460480,0.069458,0.22%,31.0775,640.68m,71393
53,08/19/16,31.32,31.40,31.18,31.25,24742797,-0.178606,-0.57%,31.008,774.01m,72974
54,08/18/16,31.25,31.43,31.19,31.43,28041239,0.138916,0.45%,31.1866,877.61m,75098
55,08/17/16,31.26,31.325,31.18,31.29,17598105,0.099225,0.32%,31.0477,550.11m,64106
56,08/16/16,31.14,31.29,31.08,31.19,22383559,-0.049612,-0.16%,30.9485,698.48m,62839
57,08/15/16,31.30,31.35,31.22,31.24,19553314,0.00,0.00%,30.9981,611.22m,59058
58,08/12/16,31.20,31.28,31.175,31.24,21327002,-0.049613,-0.16%,30.9981,665.89m,66655
59,08/11/16,31.31,31.37,31.20,31.29,37986166,0.019845,0.06%,31.0477,1.19b,63549
60,08/10/16,31.25,31.335,31.20,31.27,18538116,-0.029768,-0.10%,31.0278,579.2m,60119
61,08/09/16,31.23,31.35,31.15,31.30,20108832,0.029768,0.10%,31.0576,628.51m,64101
62,08/08/16,31.30,31.395,31.21,31.27,20434126,-0.009923,-0.03%,31.0278,639.06m,63316
63,08/05/16,31.27,31.45,31.22,31.28,21577288,0.109148,0.35%,31.0378,675.59m,66211
64,08/04/16,31.20,31.25,31.09,31.17,20293694,0.039691,0.13%,30.9286,632.34m,63495
65,08/03/16,31.03,31.24,31.025,31.13,20006018,0.07938,0.26%,30.8889,622.43m,72176
66,08/02/16,31.11,31.16,31.00,31.05,27000557,-0.099225,-0.32%,30.8095,838.94m,95476
67,08/01/16,31.12,31.22,31.02,31.15,31154871,0.009922,0.03%,30.9088,969.48m,106575
68,07/29/16,31.28,31.4264,31.111,31.14,50052182,-0.109148,-0.35%,30.8989,1.56b,103017
69,07/28/16,31.20,31.31,31.08,31.25,30297520,-0.029768,-0.10%,31.008,945.28m,92857
70,07/27/16,31.49,31.56,31.12,31.28,39256526,-0.188528,-0.60%,31.0378,1.23b,110507
71,07/26/16,31.67,31.73,31.31,31.47,36903949,-0.168684,-0.54%,31.2263,1.16b,120092
72,07/25/16,32.07,32.08,31.38,31.64,45728700,-0.416747,-1.31%,31.395,1.44b,125833
73,07/22/16,31.73,32.07,31.69,32.06,57763807,-0.525896,-1.63%,31.8117,1.84b,166585
74,07/21/16,32.73,32.85,32.49,32.59,42869414,-0.188529,-0.58%,32.3376,1.4b,133572
