,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,38.23,38.25,36.66,36.87,684399,-1.22,-3.20%,36.87,25.39m,5343
2,10/31/16,38.35,38.67,38.04,38.09,489174,-0.25,-0.65%,38.09,18.67m,3601
3,10/28/16,38.33,38.825,38.22,38.34,571008,0.04,0.10%,38.34,21.98m,5350
4,10/27/16,38.00,38.78,37.90,38.30,643334,0.45,1.19%,38.30,24.62m,5334
5,10/26/16,37.52,38.94,36.43,37.85,1359045,1.42,3.90%,37.85,51.58m,9690
6,10/25/16,37.11,37.36,36.315,36.43,669604,-0.67,-1.81%,36.43,24.53m,5879
7,10/24/16,37.10,37.24,36.90,37.10,549373,0.40,1.09%,37.10,20.35m,3474
8,10/21/16,36.49,36.92,36.26,36.70,473956,0.01,0.03%,36.70,17.39m,4322
9,10/20/16,36.51,36.85,36.41,36.69,320192,-0.05,-0.14%,36.69,11.74m,2576
10,10/19/16,36.58,37.06,36.4849,36.74,325516,0.12,0.33%,36.74,12m,2045
11,10/18/16,36.77,36.87,36.45,36.62,241462,0.41,1.13%,36.62,8.85m,2288
12,10/17/16,35.94,36.35,35.82,36.21,257367,0.39,1.09%,36.21,9.31m,2344
13,10/14/16,35.97,36.48,35.80,35.82,313230,0.08,0.22%,35.82,11.31m,2850
14,10/13/16,35.53,36.01,35.395,35.74,370689,-0.12,-0.33%,35.74,13.26m,3389
15,10/12/16,35.79,35.98,35.55,35.86,219987,0.08,0.22%,35.86,7.88m,2019
16,10/11/16,35.98,36.10,35.65,35.78,554192,-0.24,-0.67%,35.78,19.87m,4175
17,10/10/16,36.63,36.84,35.32,36.02,697959,-0.19,-0.52%,36.02,25.11m,4956
18,10/07/16,37.29,37.30,35.841,36.21,1033633,-1.96,-5.13%,36.21,37.71m,6820
19,10/06/16,38.10,38.82,37.48,38.17,1748168,0.75,2.00%,38.17,66.96m,10902
20,10/05/16,38.51,38.60,37.05,37.42,1133568,-1.29,-3.33%,37.42,42.63m,8373
21,10/04/16,36.91,38.78,36.91,38.71,1648714,2.09,5.71%,38.71,62.57m,11206
22,10/03/16,36.11,37.305,35.93,36.62,808653,0.32,0.88%,36.62,29.61m,6093
23,09/30/16,35.85,36.51,35.75,36.30,406868,0.81,2.28%,36.30,14.75m,3520
24,09/29/16,35.77,36.11,35.32,35.49,424629,-0.26,-0.73%,35.49,15.14m,3618
25,09/28/16,34.83,35.81,34.78,35.75,404905,1.06,3.06%,35.75,14.37m,3312
26,09/27/16,34.34,34.85,34.32,34.69,265475,0.40,1.17%,34.69,9.19m,2433
27,09/26/16,34.24,35.19,34.24,34.29,400695,-0.30,-0.87%,34.29,13.87m,3302
28,09/23/16,34.95,35.25,34.59,34.59,263305,-0.37,-1.06%,34.59,9.17m,2297
29,09/22/16,34.97,35.18,34.68,34.96,294157,0.37,1.07%,34.96,10.28m,2602
30,09/21/16,34.28,34.88,34.09,34.59,350219,0.55,1.62%,34.59,12.11m,3192
31,09/20/16,34.68,34.70,34.04,34.04,354000,-0.32,-0.93%,34.04,12.14m,2726
32,09/19/16,34.98,35.53,34.34,34.36,561689,-0.28,-0.81%,34.36,19.46m,4397
33,09/16/16,34.83,34.92,34.40,34.64,502190,-0.33,-0.94%,34.64,17.41m,2899
34,09/15/16,34.04,35.15,33.96,34.97,453276,0.98,2.88%,34.97,15.77m,3436
35,09/14/16,34.24,34.47,33.88,33.99,300926,-0.15,-0.44%,33.99,10.26m,2886
36,09/13/16,34.71,34.94,34.09,34.14,455890,-0.79,-2.26%,34.14,15.66m,3926
37,09/12/16,34.07,35.17,34.07,34.93,494851,0.70,2.04%,34.93,17.26m,4556
38,09/09/16,35.50,35.62,33.77,34.23,1118793,-1.49,-4.17%,34.23,38.39m,8777
39,09/08/16,36.42,36.50,35.69,35.72,768342,-0.70,-1.92%,35.72,27.6m,6463
40,09/07/16,36.89,37.09,36.26,36.42,620266,-0.56,-1.51%,36.42,22.64m,4865
41,09/06/16,37.95,38.00,36.98,36.98,644798,-0.83,-2.20%,36.98,24.01m,5206
42,09/05/16,,,,37.81,0,,0.00%,37.81,,
43,09/02/16,38.35,38.47,37.71,37.81,712475,-0.19,-0.50%,37.81,27.01m,5572
44,09/01/16,37.67,38.03,37.02,38.00,859595,0.70,1.88%,38.00,32.29m,6877
45,08/31/16,37.09,37.36,36.60,37.30,1936843,0.20,0.54%,37.30,72.06m,3595
46,08/30/16,37.03,37.46,36.92,37.10,340647,-0.05,-0.13%,37.10,12.65m,2629
47,08/29/16,37.15,37.33,36.96,37.15,283164,0.00,0.00%,37.15,10.53m,2287
48,08/26/16,37.56,37.79,36.90,37.15,362297,-0.47,-1.25%,37.15,13.49m,2705
49,08/25/16,37.69,37.88,37.32,37.62,323281,-0.14,-0.37%,37.62,12.16m,2803
50,08/24/16,37.13,38.26,37.12,37.76,1174647,0.63,1.70%,37.76,44.34m,6859
51,08/23/16,36.93,37.35,36.78,37.13,626940,0.38,1.03%,37.13,23.29m,4306
52,08/22/16,36.89,36.92,36.54,36.75,511320,-0.14,-0.38%,36.75,18.8m,4205
53,08/19/16,36.68,37.15,36.35,36.89,489849,0.13,0.35%,36.89,18.1m,3490
54,08/18/16,36.62,36.87,36.38,36.76,317783,0.09,0.25%,36.76,11.66m,2789
55,08/17/16,36.82,37.05,36.62,36.67,447927,-0.22,-0.60%,36.67,16.49m,3734
56,08/16/16,37.09,37.13,36.78,36.89,602853,-0.26,-0.70%,36.89,22.28m,5054
57,08/15/16,35.72,37.22,35.6537,37.15,507981,1.41,3.95%,37.15,18.68m,3746
58,08/12/16,36.11,36.17,35.63,35.74,399083,-0.36,-1.00%,35.74,14.31m,2976
59,08/11/16,36.05,36.23,35.85,36.10,317182,0.26,0.73%,36.10,11.46m,2431
60,08/10/16,36.03,36.30,35.73,35.84,420577,-0.18,-0.50%,35.84,15.08m,2847
61,08/09/16,35.96,36.60,35.85,36.02,470645,0.16,0.45%,36.02,17.01m,3331
62,08/08/16,36.12,36.30,35.46,35.86,333663,-0.14,-0.39%,35.86,11.93m,2929
63,08/05/16,35.38,36.09,35.151,36.00,733851,0.86,2.45%,36.00,26.38m,5156
64,08/04/16,33.97,35.54,33.96,35.14,1234065,1.26,3.72%,35.14,43.28m,8564
65,08/03/16,32.79,34.06,32.75,33.88,944261,0.75,2.26%,33.88,31.87m,6508
66,08/02/16,34.50,34.75,32.335,33.13,2613312,-2.57,-7.20%,33.13,87.05m,16251
67,08/01/16,36.43,37.31,35.055,35.70,885965,-2.09,-5.53%,35.70,31.79m,7912
68,07/29/16,37.58,38.05,37.45,37.79,447515,0.23,0.61%,37.79,16.91m,3155
69,07/28/16,37.52,37.81,37.35,37.56,206925,0.03,0.08%,37.56,7.78m,1934
70,07/27/16,37.20,37.85,37.01,37.53,269137,0.37,1.00%,37.53,10.1m,2637
71,07/26/16,37.75,37.95,36.48,37.16,590301,-0.53,-1.41%,37.16,21.88m,5012
72,07/25/16,37.80,37.83,37.535,37.69,144549,-0.26,-0.69%,37.69,5.45m,1584
73,07/22/16,37.72,37.98,37.13,37.95,213604,0.22,0.58%,37.95,8.06m,1939
74,07/21/16,37.90,38.20,37.51,37.73,213477,-0.14,-0.37%,37.73,8.07m,2160
75,07/20/16,37.16,37.90,37.06,37.87,210376,0.73,1.97%,37.87,7.93m,1883
76,07/19/16,37.18,37.38,37.03,37.14,188383,-0.10,-0.27%,37.14,7m,1520
77,07/18/16,37.11,37.31,37.045,37.24,261878,0.03,0.08%,37.24,9.75m,2493
