,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,67.05,68.21,66.6668,68.01,1279220,1.0474,1.57%,67.8426,86.51m,12168
2,10/31/16,67.49,67.96,66.94,66.96,749688,-0.389041,-0.58%,66.7952,50.4m,6404
3,10/28/16,67.50,69.01,67.04,67.35,1036556,-0.309237,-0.46%,67.1843,70.38m,9291
4,10/27/16,66.00,67.71,64.90,67.66,1416330,1.636,2.48%,67.4935,94.9m,12839
5,10/26/16,71.10,74.38,65.51,66.02,1450251,-2.5637,-3.75%,65.8575,97.1m,11364
6,10/25/16,69.76,69.97,68.15,68.59,574201,-1.3567,-1.94%,68.4212,39.42m,5122
7,10/24/16,70.36,70.50,69.71,69.95,505533,-0.139656,-0.20%,69.7779,35.38m,4994
8,10/21/16,69.29,70.26,68.68,70.09,298557,0.359115,0.52%,69.9175,20.89m,2914
9,10/20/16,69.98,70.49,69.71,69.73,269659,-0.379065,-0.54%,69.5584,18.87m,2950
10,10/19/16,69.92,70.1993,69.35,70.11,414469,0.508745,0.73%,69.9375,29m,3890
11,10/18/16,69.79,70.02,69.22,69.60,498585,1.0674,1.56%,69.4287,34.72m,4877
12,10/17/16,68.78,68.94,68.22,68.53,489283,-0.478818,-0.70%,68.3613,33.55m,4342
13,10/14/16,69.83,70.149,68.98,69.01,465095,-0.548647,-0.79%,68.8402,32.19m,4342
14,10/13/16,70.13,70.13,69.30,69.56,737071,-1.197,-1.70%,69.3888,51.28m,6192
15,10/12/16,70.11,70.97,69.86,70.76,363623,0.598524,0.86%,70.5859,25.68m,3032
16,10/11/16,71.49,71.64,69.7172,70.16,359957,-1.5661,-2.19%,69.9873,25.29m,4159
17,10/10/16,71.94,72.58,71.32,71.73,244429,0.229433,0.32%,71.5535,17.53m,2310
18,10/07/16,73.34,73.34,70.55,71.50,859762,-1.5562,-2.14%,71.324,61.31m,4716
19,10/06/16,72.55,73.56,72.52,73.06,476664,0.319212,0.44%,72.8802,34.86m,3950
20,10/05/16,72.07,72.89,71.435,72.74,505402,0.768105,1.07%,72.561,36.69m,5086
21,10/04/16,72.90,73.29,71.89,71.97,410969,-0.827957,-1.14%,71.7929,29.8m,3539
22,10/03/16,73.58,73.58,72.68,72.80,266406,-0.997539,-1.36%,72.6208,19.42m,3615
23,09/30/16,73.77,74.22,73.37,73.80,284785,0.488794,0.67%,73.6184,21.05m,3552
24,09/29/16,74.33,75.09,73.20,73.31,491309,-1.0275,-1.39%,73.1296,36.36m,4764
25,09/28/16,73.58,74.51,73.14,74.34,461415,1.0474,1.43%,74.157,34.12m,4310
26,09/27/16,73.08,73.39,72.35,73.29,335943,0.249384,0.34%,73.1096,24.57m,3197
27,09/26/16,72.89,73.20,72.37,73.04,538265,0.189533,0.26%,72.8602,39.26m,4786
28,09/23/16,72.82,73.02,72.26,72.85,512678,-0.279311,-0.38%,72.6707,37.23m,4862
29,09/22/16,72.37,73.40,72.31,73.13,738531,0.977588,1.36%,72.95,53.86m,4744
30,09/21/16,72.40,72.84,71.47,72.15,510991,0.139656,0.19%,71.9724,36.86m,5146
31,09/20/16,72.93,73.05,71.83,72.01,468148,-0.538671,-0.74%,71.8328,33.87m,4485
32,09/19/16,73.05,73.18,72.40,72.55,265737,0.059852,0.08%,72.3715,19.32m,2821
33,09/16/16,72.67,73.08,72.17,72.49,406778,-0.75813,-1.04%,72.3116,29.49m,3880
34,09/15/16,71.98,73.50,71.98,73.25,710910,0.62845,0.87%,73.0697,51.94m,5479
35,09/14/16,74.01,74.15,72.43,72.62,775286,-1.6659,-2.25%,72.4413,56.47m,8125
36,09/13/16,74.55,75.05,73.31,74.29,559044,-1.1472,-1.52%,74.1072,41.47m,5966
37,09/12/16,74.57,75.85,74.52,75.44,511180,0.319212,0.43%,75.2543,38.51m,5628
38,09/09/16,77.51,77.51,74.97,75.12,520039,-2.9527,-3.79%,74.9351,39.28m,5581
39,09/08/16,78.65,79.12,77.91,78.08,313957,-0.6484,-0.83%,77.8878,24.54m,3204
