,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,22.16,22.16,21.86,21.88,110245,-0.20,-0.91%,21.88,2.42m,594
2,10/31/16,22.22,22.22,22.05,22.08,158150,-0.07,-0.32%,22.08,3.5m,825
3,10/28/16,22.00,22.24,21.98,22.15,133409,0.16,0.73%,22.15,2.95m,676
4,10/27/16,22.11,22.13,21.953,21.99,177066,-0.01,-0.05%,21.99,3.9m,1066
5,10/26/16,22.00,22.00,21.88,22.00,74683,0.02,0.09%,22.00,1.64m,407
6,10/25/16,21.97,22.00,21.87,21.98,101104,0.00,0.00%,21.98,2.22m,656
7,10/24/16,22.00,22.00,21.90,21.98,105707,0.00,0.00%,21.98,2.32m,514
8,10/21/16,21.88,21.98,21.82,21.98,68165,0.09,0.41%,21.98,1.5m,401
9,10/20/16,21.80,21.90,21.635,21.89,158743,0.19,0.88%,21.89,3.45m,424
10,10/19/16,21.78,21.78,21.62,21.70,77431,0.10,0.46%,21.70,1.68m,510
11,10/18/16,21.74,21.8427,21.49,21.60,134546,-0.05,-0.23%,21.60,2.92m,559
12,10/17/16,21.71,21.74,21.60,21.65,107986,-0.07,-0.32%,21.65,2.34m,567
13,10/14/16,21.80,21.88,21.60,21.72,54688,0.03,0.14%,21.72,1.19m,327
14,10/13/16,21.57,21.715,21.52,21.69,108423,-0.02,-0.09%,21.69,2.35m,531
15,10/12/16,21.63,21.72,21.60,21.71,104975,0.01,0.05%,21.71,2.28m,524
16,10/11/16,21.75,21.84,21.60,21.70,165743,-0.05,-0.23%,21.70,3.6m,882
17,10/10/16,21.88,21.88,21.67,21.75,130477,0.05,0.23%,21.75,2.84m,919
18,10/07/16,21.63,21.7586,21.521,21.70,87768,0.07,0.32%,21.70,1.9m,437
19,10/06/16,21.76,21.87,21.63,21.63,94502,-0.11,-0.51%,21.63,2.05m,480
20,10/05/16,21.81,21.96,21.668,21.74,115668,0.13,0.60%,21.74,2.53m,757
21,10/04/16,21.84,21.86,21.54,21.61,88051,-0.15,-0.69%,21.61,1.91m,514
22,10/03/16,21.88,21.95,21.56,21.76,111356,-0.01,-0.05%,21.76,2.42m,884
23,09/30/16,21.69,22.23,21.61,21.77,224109,0.24,1.11%,21.77,4.9m,1025
24,09/29/16,21.92,21.95,21.4574,21.53,180507,-0.26,-1.19%,21.53,3.91m,1014
25,09/28/16,21.63,21.95,21.63,21.79,238142,-0.019992,-0.09%,21.79,5.19m,1288
26,09/27/16,22.05,22.28,21.951,22.26,238691,0.254744,1.18%,21.81,5.27m,1181
27,09/26/16,22.02,22.06,21.95,22.00,105840,0.078383,0.36%,21.5552,2.33m,618
28,09/23/16,21.77,22.14,21.72,21.92,222223,0.205754,0.97%,21.4769,4.88m,1247
29,09/22/16,21.64,21.72,21.57,21.71,138315,0.264542,1.26%,21.2711,3m,690
30,09/21/16,21.66,21.66,21.38,21.44,158377,0.029394,0.14%,21.0066,3.4m,1149
31,09/20/16,21.54,21.75,21.26,21.41,285843,0.078382,0.38%,20.9772,6.14m,1692
32,09/19/16,21.61,21.61,21.26,21.33,272833,-0.068585,-0.33%,20.8988,5.83m,1768
33,09/16/16,21.64,21.6409,21.36,21.40,162365,-0.146967,-0.70%,20.9674,3.48m,860
34,09/15/16,21.70,21.74,21.505,21.55,123659,-0.068585,-0.32%,21.1143,2.67m,694
35,09/14/16,21.90,21.90,21.46,21.62,194614,0.009798,0.05%,21.1829,4.21m,984
36,09/13/16,21.93,22.35,21.59,21.61,276548,-0.352722,-1.64%,21.1731,6.05m,1024
37,09/12/16,21.60,22.00,21.60,21.97,179695,0.156765,0.73%,21.5259,3.93m,948
38,09/09/16,21.98,22.02,21.78,21.81,169332,-0.176361,-0.82%,21.3691,3.71m,786
39,09/08/16,21.65,22.04,21.65,21.99,168035,0.274339,1.29%,21.5454,3.68m,858
40,09/07/16,21.67,21.75,21.45,21.71,161852,0.166564,0.79%,21.2711,3.49m,872
41,09/06/16,21.68,21.705,21.48,21.54,131996,-0.107777,-0.51%,21.1045,2.85m,896
42,09/05/16,,,,21.65,0,,0.00%,21.2123,,
43,09/02/16,21.78,21.78,21.525,21.65,92555,0.009798,0.05%,21.2123,2m,562
44,09/01/16,21.82,21.95,21.59,21.64,145526,-0.313531,-1.46%,21.2025,3.16m,833
45,08/31/16,21.85,21.96,21.6725,21.96,142514,0.088181,0.41%,21.5161,3.11m,656
46,08/30/16,21.85,21.90,21.57,21.87,158701,0.039191,0.18%,21.4279,3.46m,994
47,08/29/16,21.70,21.87,21.48,21.83,130935,0.117574,0.55%,21.3887,2.84m,839
48,08/26/16,21.51,21.73,21.40,21.71,93422,0.303733,1.45%,21.2711,2.01m,455
49,08/25/16,21.38,21.6099,21.31,21.40,104553,0.117574,0.56%,20.9674,2.24m,585
50,08/24/16,21.79,21.79,21.20,21.28,108005,-0.4507,-2.12%,20.8498,2.31m,721
51,08/23/16,21.73,21.93,21.55,21.74,172590,-0.22535,-1.05%,21.3005,3.75m,773
52,08/22/16,21.03,22.05,21.00,21.97,465165,0.666253,3.19%,21.5259,10.14m,2542
53,08/19/16,20.80,21.38,20.66,21.29,178543,0.391913,1.91%,20.8596,3.76m,939
54,08/18/16,20.73,20.90,20.54,20.89,106489,0.205755,1.02%,20.4677,2.22m,662
55,08/17/16,20.68,20.69,20.5025,20.68,76526,0.00,0.00%,20.2619,1.58m,438
56,08/16/16,20.76,20.76,20.59,20.68,104173,-0.009798,-0.05%,20.2619,2.15m,634
57,08/15/16,20.79,20.79,20.58,20.69,68757,-0.127372,-0.62%,20.2717,1.42m,424
58,08/12/16,21.00,21.00,20.75,20.82,141015,-0.13717,-0.67%,20.3991,2.94m,1024
59,08/11/16,20.80,20.97,20.65,20.96,109163,0.176361,0.87%,20.5363,2.28m,571
60,08/10/16,20.50,20.78,20.34,20.78,158823,0.313531,1.56%,20.3599,3.28m,851
61,08/09/16,20.04,20.47,20.0202,20.46,148518,0.401712,2.04%,20.0464,3.02m,819
62,08/08/16,20.03,20.05,19.99,20.05,160306,0.058787,0.30%,19.6447,3.21m,526
63,08/05/16,20.09,20.09,19.98,19.99,279953,-0.078383,-0.40%,19.5859,5.61m,1251
64,08/04/16,20.14,20.45,20.03,20.07,183370,0.019596,0.10%,19.6643,3.68m,732
65,08/03/16,20.05,20.065,20.02,20.05,82718,0.009798,0.05%,19.6447,1.66m,451
66,08/02/16,20.07,20.07,19.98,20.04,138491,-0.029394,-0.15%,19.6349,2.77m,871
67,08/01/16,20.03,20.10,20.00,20.07,112777,-0.009798,-0.05%,19.6643,2.26m,711
68,07/29/16,20.09,20.09,20.01,20.08,179677,0.039192,0.20%,19.6741,3.6m,720
