,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,8.55,8.7125,8.50,8.50,1642,-0.0586,-0.68%,8.50,14.13k,7
2,10/31/16,8.90,8.90,8.35,8.5586,6358,-0.5414,-5.95%,8.5586,54.56k,45
3,10/28/16,9.00,9.10,8.896,9.10,1454,0.10,1.11%,9.10,13.07k,13
4,10/27/16,9.4778,9.4778,9.00,9.00,995,-0.3001,-3.23%,9.00,9.12k,10
5,10/26/16,9.50,9.50,9.3001,9.3001,1189,-0.2999,-3.12%,9.3001,11.12k,5
6,10/25/16,9.80,9.80,9.60,9.60,436,-0.10,-1.03%,9.60,4.21k,7
7,10/24/16,9.90,9.90,9.70,9.70,698,-0.10,-1.02%,9.70,6.83k,7
8,10/21/16,10.00,10.00,9.80,9.80,1300,-0.25,-2.49%,9.80,12.8k,4
9,10/20/16,,,,10.05,0,,0.00%,10.05,,
10,10/19/16,,,,10.05,126,0.00,0.00%,10.05,,2
11,10/18/16,,,,10.05,0,,0.00%,10.05,,
12,10/17/16,10.05,10.05,10.05,10.05,477,0.08,0.80%,10.05,4.79k,4
13,10/14/16,9.97,9.97,9.97,9.97,118,0.25,2.57%,9.97,1.18k,2
14,10/13/16,9.72,9.72,9.72,9.72,449,-0.15,-1.52%,9.72,4.36k,4
15,10/12/16,9.87,9.87,9.87,9.87,200,-0.04,-0.40%,9.87,1.97k,1
16,10/11/16,10.10,10.11,9.91,9.91,1040,-0.10,-1.00%,9.91,10.46k,6
17,10/10/16,10.22,10.22,10.01,10.01,422,-0.31,-3.00%,10.01,4.28k,6
18,10/07/16,11.06,11.06,10.32,10.32,4660,-0.26,-2.46%,10.32,49.21k,27
19,10/06/16,,,,10.58,0,,0.00%,10.58,,
20,10/05/16,10.58,10.64,10.58,10.58,1300,0.04,0.38%,10.58,13.77k,7
21,10/04/16,10.54,10.54,10.54,10.54,100,0.09,0.86%,10.54,1.05k,1
22,10/03/16,10.38,10.49,10.32,10.45,2482,0.17,1.65%,10.45,25.89k,20
23,09/30/16,,,,10.28,174,0.00,0.00%,10.28,,5
24,09/29/16,10.28,10.28,10.28,10.28,164,0.15,1.48%,10.28,1.69k,2
25,09/28/16,,,,10.13,109,0.00,0.00%,10.13,,4
26,09/27/16,10.13,10.13,10.13,10.13,180,-0.17,-1.65%,10.13,1.82k,5
27,09/26/16,10.30,10.30,10.30,10.30,200,0.15,1.48%,10.30,2.06k,2
28,09/23/16,9.97,10.39,9.75,10.15,1690,0.016,0.16%,10.15,16.95k,19
29,09/22/16,10.15,10.15,10.134,10.134,413,0.184,1.85%,10.134,4.19k,5
30,09/21/16,10.21,10.21,9.95,9.95,516,-0.35,-3.40%,9.95,5.19k,10
31,09/20/16,10.55,10.65,10.1206,10.30,1343,-0.35,-3.29%,10.30,13.98k,15
32,09/19/16,10.65,10.89,10.65,10.65,1310,0.00,0.00%,10.65,14.04k,5
33,09/16/16,11.04,11.13,10.50,10.65,7261,-0.24,-2.20%,10.65,77.72k,23
34,09/15/16,11.03,11.05,10.89,10.89,1482,-0.05,-0.46%,10.89,16.31k,16
35,09/14/16,10.63,11.04,10.61,10.94,8100,0.06,0.55%,10.94,88.17k,63
36,09/13/16,10.45,10.96,10.322,10.88,3408,0.12,1.12%,10.88,35.97k,26
37,09/12/16,10.50,10.76,10.2328,10.76,2226,0.24,2.28%,10.76,23.33k,23
38,09/09/16,10.32,10.69,10.29,10.52,2274,0.14,1.35%,10.52,23.85k,25
39,09/08/16,10.44,10.54,10.38,10.38,1886,0.01,0.10%,10.38,19.71k,28
40,09/07/16,10.42,10.54,10.37,10.37,1501,0.01,0.10%,10.37,15.7k,18
41,09/06/16,10.39,10.42,10.30,10.36,1573,0.05,0.48%,10.36,16.31k,20
42,09/05/16,,,,10.31,0,,0.00%,10.31,,
43,09/02/16,,,,10.31,25,0.00,0.00%,10.31,,1
44,09/01/16,,,,10.31,0,0.00,0.00%,10.31,,
45,08/31/16,,,,10.31,0,0.00,0.00%,10.31,,
46,08/30/16,,,,10.31,20,0.00,0.00%,10.31,,1
47,08/29/16,,,,10.31,0,0.00,0.00%,10.31,,
48,08/26/16,10.406,10.406,10.31,10.31,300,-0.04,-0.39%,10.31,3.11k,2
49,08/25/16,10.35,10.35,10.35,10.35,100,0.00,0.00%,10.35,1.04k,1
50,08/24/16,10.35,10.40,10.35,10.35,300,0.06,0.58%,10.35,3.11k,3
51,08/23/16,10.364,10.364,10.29,10.29,235,0.00,0.00%,10.29,2.43k,2
52,08/22/16,10.33,10.33,10.29,10.29,1000,-0.0301,-0.29%,10.29,10.31k,6
53,08/19/16,,,,10.3201,49,0.00,0.00%,10.3201,,1
54,08/18/16,,,,10.3201,0,0.00,0.00%,10.3201,,
55,08/17/16,,,,10.3201,90,0.00,0.00%,10.3201,,1
56,08/16/16,10.43,10.43,10.3201,10.3201,280,-0.1199,-1.15%,10.3201,2.91k,4
57,08/15/16,10.18,10.44,10.18,10.44,1261,0.31,3.06%,10.44,13.11k,13
58,08/12/16,10.05,10.13,10.01,10.13,615,0.1499,1.50%,10.13,6.18k,5
59,08/11/16,10.17,10.22,9.9801,9.9801,3616,-0.4899,-4.68%,9.9801,36.64k,18
60,08/10/16,10.322,10.47,10.322,10.47,1169,0.19,1.85%,10.47,12.2k,10
61,08/09/16,10.52,10.53,10.28,10.28,700,-0.3699,-3.47%,10.28,7.33k,5
62,08/08/16,10.59,10.65,10.535,10.6499,520,0.2299,2.21%,10.6499,5.51k,6
63,08/05/16,9.34,10.42,9.34,10.42,1871,0.91,9.57%,10.42,18.67k,18
64,08/04/16,9.10,9.51,9.10,9.51,700,0.60,6.73%,9.51,6.55k,9
65,08/03/16,,,,8.91,0,0.00,0.00%,8.91,,
66,08/02/16,9.10,9.10,8.91,8.91,392,-0.34,-3.68%,8.91,3.54k,4
67,08/01/16,9.31,9.31,9.25,9.25,2003,-0.40,-4.15%,9.25,18.59k,6
68,07/29/16,9.65,9.65,9.65,9.65,100,-0.20,-2.03%,9.65,965.00,1
69,07/28/16,,,,9.85,0,0.00,0.00%,9.85,,
70,07/27/16,9.85,9.85,9.85,9.85,100,-0.228,-2.26%,9.85,985.00,1
71,07/26/16,10.365,10.41,10.07,10.078,2026,-0.372,-3.56%,10.078,20.66k,13
72,07/25/16,,,,10.45,0,0.00,0.00%,10.45,,
73,07/22/16,,,,10.45,0,0.00,0.00%,10.45,,
74,07/21/16,,,,10.45,0,0.00,0.00%,10.45,,
75,07/20/16,,,,10.45,0,0.00,0.00%,10.45,,
76,07/19/16,10.456,10.46,10.4412,10.45,873,-0.10,-0.95%,10.45,9.13k,8
77,07/18/16,,,,10.55,0,0.00,0.00%,10.55,,
78,07/15/16,10.3301,10.55,10.3301,10.55,300,-0.111,-1.04%,10.55,3.14k,3
79,07/14/16,10.661,10.661,10.661,10.661,1000,0.141,1.34%,10.661,10.66k,1
80,07/13/16,10.30,10.52,10.30,10.52,500,-0.30,-2.77%,10.52,5.19k,3
81,07/12/16,10.82,10.82,10.82,10.82,179,0.72,7.13%,10.82,1.94k,2
82,07/11/16,,,,10.10,0,0.00,0.00%,10.10,,
83,07/08/16,10.10,10.10,10.10,10.10,174,0.00,0.00%,10.10,1.76k,3
84,07/07/16,,,,10.10,0,0.00,0.00%,10.10,,
85,07/06/16,,,,10.10,0,0.00,0.00%,10.10,,
86,07/05/16,,,,10.10,16,0.00,0.00%,10.10,,1
87,07/04/16,,,,10.10,0,,0.00%,10.10,,
88,07/01/16,,,,10.10,0,0.00,0.00%,10.10,,
89,06/30/16,10.09,10.10,10.04,10.10,1100,0.30,3.06%,10.10,11.1k,7
90,06/29/16,9.80,9.80,9.80,9.80,150,-0.10,-1.01%,9.80,1.47k,2
91,06/28/16,,,,9.90,0,0.00,0.00%,9.90,,
92,06/27/16,9.91,9.91,9.90,9.90,269,-0.22,-2.17%,9.90,2.66k,3
93,06/24/16,9.51,10.12,9.51,10.12,2393,0.12,1.20%,10.12,23.59k,20
94,06/23/16,10.24,10.43,10.00,10.00,4920,-0.3001,-2.91%,10.00,50.18k,52
95,06/22/16,10.19,10.4101,10.19,10.3001,1937,-0.1599,-1.53%,10.3001,19.91k,30
96,06/21/16,10.40,10.46,10.40,10.46,201,-0.35,-3.24%,10.46,2.1k,3
97,06/20/16,10.81,10.81,10.81,10.81,637,0.31,2.95%,10.81,6.89k,3
98,06/17/16,,,,10.50,0,0.00,0.00%,10.50,,
99,06/16/16,10.50,10.50,10.50,10.50,208,-0.38,-3.49%,10.50,2.18k,3
100,06/15/16,10.88,10.88,10.88,10.88,119,0.23,2.16%,10.88,1.29k,2
101,06/14/16,10.56,10.65,10.56,10.65,1232,0.4399,4.31%,10.65,13.03k,6
102,06/13/16,,,,10.2101,0,0.00,0.00%,10.2101,,
103,06/10/16,,,,10.2101,0,0.00,0.00%,10.2101,,
104,06/09/16,,,,10.2101,0,0.00,0.00%,10.2101,,
105,06/08/16,,,,10.2101,0,0.00,0.00%,10.2101,,
106,06/07/16,,,,10.2101,0,0.00,0.00%,10.2101,,
107,06/06/16,10.06,10.2101,10.06,10.2101,802,-0.0899,-0.87%,10.2101,8.08k,2
108,06/03/16,,,,10.30,0,0.00,0.00%,10.30,,
109,06/02/16,,,,10.30,0,0.00,0.00%,10.30,,
110,06/01/16,,,,10.30,31,0.00,0.00%,10.30,,2
111,05/31/16,,,,10.30,0,0.00,0.00%,10.30,,
112,05/30/16,,,,10.30,0,,0.00%,10.30,,
113,05/27/16,,,,10.30,85,0.00,0.00%,10.30,,1
114,05/26/16,,,,10.30,0,0.00,0.00%,10.30,,
115,05/25/16,,,,10.30,0,0.00,0.00%,10.30,,
116,05/24/16,10.27,10.30,10.27,10.30,275,0.42,4.25%,10.30,2.83k,4
117,05/23/16,9.88,9.88,9.88,9.88,100,-0.11,-1.10%,9.88,988.00,1
118,05/20/16,,,,9.99,0,0.00,0.00%,9.99,,
119,05/19/16,,,,9.99,0,0.00,0.00%,9.99,,
120,05/18/16,9.6701,9.99,9.6701,9.99,675,0.025,0.25%,9.99,6.67k,7
121,05/17/16,,,,9.965,0,0.00,0.00%,9.965,,
122,05/16/16,,,,9.965,0,0.00,0.00%,9.965,,
123,05/13/16,9.68,10.07,9.68,9.965,1365,0.3449,3.59%,9.965,13.53k,19
124,05/12/16,10.07,10.07,9.6201,9.6201,402,-0.7519,-7.25%,9.6201,3.95k,6
125,05/11/16,10.372,10.372,10.372,10.372,125,-0.258,-2.43%,10.372,1.3k,1
126,05/10/16,,,,10.63,0,0.00,0.00%,10.63,,
127,05/09/16,11.79,12.42,10.63,10.63,1658,-0.7248,-6.38%,10.63,18.99k,22
128,05/06/16,,,,11.3548,0,0.00,0.00%,11.3548,,
129,05/05/16,,,,11.3548,0,0.00,0.00%,11.3548,,
130,05/04/16,,,,11.3548,0,0.00,0.00%,11.3548,,
131,05/03/16,,,,11.3548,25,0.00,0.00%,11.3548,,1
132,05/02/16,11.32,11.3548,11.32,11.3548,463,0.4293,3.93%,11.3548,5.25k,5
133,04/29/16,,,,10.9255,0,0.00,0.00%,10.9255,,
134,04/28/16,,,,10.9255,0,0.00,0.00%,10.9255,,
135,04/27/16,11.04,11.04,10.9255,10.9255,202,0.2302,2.15%,10.9255,2.22k,3
136,04/26/16,10.6953,10.6953,10.6953,10.6953,108,0.1653,1.57%,10.6953,1.16k,3
137,04/25/16,10.63,10.75,10.53,10.53,527,-0.32,-2.95%,10.53,5.59k,7
138,04/22/16,10.85,10.85,10.85,10.85,100,0.2999,2.84%,10.85,1.09k,1
139,04/21/16,,,,10.5501,1,0.00,0.00%,10.5501,,1
140,04/20/16,,,,10.5501,36,0.00,0.00%,10.5501,,1
141,04/19/16,10.77,10.77,10.5501,10.5501,594,0.2701,2.63%,10.5501,6.32k,7
142,04/18/16,10.2695,10.28,10.2695,10.28,225,0.236,2.35%,10.28,2.31k,2
143,04/15/16,,,,10.044,0,0.00,0.00%,10.044,,
144,04/14/16,10.764,10.764,10.044,10.044,3100,-0.716,-6.65%,10.044,31.3k,7
145,04/13/16,10.76,10.76,10.76,10.76,1100,0.24,2.28%,10.76,11.84k,11
146,04/12/16,11.00,11.00,10.52,10.52,845,-0.236,-2.19%,10.52,9.03k,10
