,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,11.21,11.32,11.014,11.31,202245,0.11,0.98%,11.31,2.26m,1432
2,10/31/16,11.31,11.33,11.14,11.20,117790,-0.05,-0.44%,11.20,1.32m,666
3,10/28/16,11.14,11.56,11.14,11.25,110713,0.07,0.63%,11.25,1.25m,898
4,10/27/16,11.33,11.44,11.07,11.18,308530,-0.08,-0.71%,11.18,3.46m,864
5,10/26/16,11.84,11.91,11.14,11.26,358728,-0.54,-4.58%,11.26,4.09m,1848
6,10/25/16,12.45,12.45,11.79,11.80,300392,-0.69,-5.52%,11.80,3.59m,1826
7,10/24/16,12.28,12.73,12.28,12.49,136759,0.31,2.55%,12.49,1.71m,1048
8,10/21/16,12.43,12.43,12.06,12.18,278987,-0.33,-2.64%,12.18,3.42m,2007
9,10/20/16,12.65,12.685,12.45,12.51,210803,-0.17,-1.34%,12.51,2.65m,1357
10,10/19/16,12.93,12.97,12.65,12.68,63620,-0.21,-1.63%,12.68,812.63k,559
11,10/18/16,12.82,13.0621,12.77,12.89,166221,0.08,0.62%,12.89,2.15m,1260
12,10/17/16,12.64,12.93,12.59,12.81,225091,0.17,1.34%,12.81,2.88m,1576
13,10/14/16,12.93,12.98,12.57,12.64,166782,-0.31,-2.39%,12.64,2.12m,871
14,10/13/16,13.00,13.14,12.87,12.95,132306,-0.09,-0.69%,12.95,1.72m,845
15,10/12/16,13.35,13.41,13.00,13.04,170632,-0.36,-2.69%,13.04,2.25m,1095
16,10/11/16,13.62,13.74,13.29,13.40,172683,-0.29,-2.12%,13.40,2.32m,1607
17,10/10/16,13.49,13.93,13.36,13.69,274572,0.09,0.66%,13.69,3.73m,1768
18,10/07/16,13.55,13.695,13.33,13.60,259231,0.00,0.00%,13.60,3.51m,1467
19,10/06/16,13.61,13.64,13.11,13.60,217662,-0.11,-0.80%,13.60,2.92m,1277
20,10/05/16,13.41,14.05,12.82,13.71,431341,0.30,2.24%,13.71,5.77m,2416
21,10/04/16,13.90,13.90,13.29,13.41,434422,-0.58,-4.15%,13.41,5.88m,3006
22,10/03/16,15.15,15.27,13.99,13.99,550802,-1.16,-7.66%,13.99,7.95m,3113
23,09/30/16,15.06,15.49,14.97,15.15,995764,0.08,0.53%,15.15,15.13m,2239
24,09/29/16,14.70,15.3001,14.70,15.07,194812,0.28,1.89%,15.07,2.93m,1194
25,09/28/16,14.56,15.199,14.49,14.79,363829,0.26,1.79%,14.79,5.38m,1661
26,09/27/16,14.50,14.70,14.50,14.53,171225,0.00,0.00%,14.53,2.49m,912
27,09/26/16,14.66,14.70,14.49,14.53,144960,-0.13,-0.89%,14.53,2.11m,1206
28,09/23/16,14.74,14.79,14.08,14.66,243443,-0.04,-0.27%,14.66,3.55m,1081
29,09/22/16,14.86,14.86,14.65,14.70,344553,-0.05,-0.34%,14.70,5.07m,862
30,09/21/16,14.29,14.87,14.23,14.75,329860,0.74,5.28%,14.75,4.83m,2003
31,09/20/16,13.89,14.18,13.82,14.01,245685,0.14,1.01%,14.01,3.45m,1577
32,09/19/16,13.48,13.89,13.464,13.87,234440,0.42,3.12%,13.87,3.21m,1495
33,09/16/16,12.59,13.50,12.5585,13.45,785863,0.86,6.83%,13.45,10.46m,2182
34,09/15/16,12.63,12.8526,12.10,12.59,609679,-0.04,-0.32%,12.59,7.69m,2147
35,09/14/16,13.38,13.74,12.48,12.63,1813675,0.18,1.45%,12.63,23.87m,7282
36,09/13/16,11.58,12.68,11.58,12.45,799373,0.73,6.23%,12.45,9.76m,4066
37,09/12/16,11.73,12.22,11.60,11.72,286576,-0.34,-2.82%,11.72,3.42m,1942
38,09/09/16,12.00,12.36,11.71,12.06,346265,-0.04,-0.33%,12.06,4.19m,1820
39,09/08/16,13.00,13.00,12.00,12.10,724747,-0.85,-6.56%,12.10,8.98m,4031
40,09/07/16,14.55,14.60,12.46,12.95,1511564,-1.68,-11.48%,12.95,20m,6536
41,09/06/16,15.22,15.275,14.39,14.63,678367,-0.74,-4.81%,14.63,10.18m,4246
42,09/05/16,,,,15.37,0,,0.00%,15.37,,
43,09/02/16,15.28,15.57,15.2001,15.37,136064,0.04,0.26%,15.37,2.09m,733
44,09/01/16,15.37,15.37,15.12,15.33,153134,0.08,0.52%,15.33,2.33m,922
45,08/31/16,15.55,15.5655,15.04,15.25,218777,-0.39,-2.49%,15.25,3.32m,1362
46,08/30/16,15.80,15.95,15.55,15.64,124619,-0.16,-1.01%,15.64,1.96m,861
47,08/29/16,16.22,16.34,15.80,15.80,178991,-0.28,-1.74%,15.80,2.85m,1028
48,08/26/16,16.08,16.38,16.0211,16.08,167153,0.00,0.00%,16.08,2.71m,1063
49,08/25/16,16.25,16.40,16.00,16.08,144488,-0.16,-0.99%,16.08,2.33m,877
50,08/24/16,16.39,16.84,16.00,16.24,410397,-0.11,-0.67%,16.24,6.76m,2367
51,08/23/16,15.73,17.02,15.55,16.35,1318192,1.35,9.00%,16.35,21.63m,6861
52,08/22/16,15.03,15.3795,15.00,15.00,84636,-0.08,-0.53%,15.00,1.28m,518
53,08/19/16,15.25,15.25,15.00,15.08,275705,-0.07,-0.46%,15.08,4.14m,613
54,08/18/16,15.01,15.25,15.01,15.15,144808,0.14,0.93%,15.15,2.19m,781
55,08/17/16,15.27,15.28,14.95,15.01,219399,-0.28,-1.83%,15.01,3.3m,980
56,08/16/16,15.06,15.36,15.0401,15.29,159809,0.05,0.33%,15.29,2.44m,678
57,08/15/16,15.18,15.42,15.15,15.24,143376,-0.02,-0.13%,15.24,2.19m,827
58,08/12/16,15.74,15.74,15.14,15.26,148855,-0.47,-2.99%,15.26,2.29m,743
59,08/11/16,15.35,15.89,15.35,15.73,228965,0.35,2.28%,15.73,3.59m,1138
60,08/10/16,15.16,15.6489,15.10,15.38,116261,0.17,1.12%,15.38,1.79m,579
61,08/09/16,15.04,15.32,14.75,15.21,634858,0.21,1.40%,15.21,9.56m,1804
62,08/08/16,15.30,15.50,15.00,15.00,376885,-0.31,-2.02%,15.00,5.7m,2164
63,08/05/16,15.00,16.26,15.00,15.31,2281312,0.31,2.07%,15.31,35.98m,9169
64,08/04/16,16.25,16.48,14.49,15.00,8841009,15.00,0.00%,15.00,136.45m,31241
