,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,11.92,12.11,11.59,11.75,127045,-0.04,-0.34%,11.75,1.5m,880
2,10/31/16,11.77,11.86,11.60,11.79,108428,0.11,0.94%,11.79,1.28m,859
3,10/28/16,11.60,11.84,11.5501,11.68,141728,0.05,0.43%,11.68,1.65m,868
4,10/27/16,11.80,11.99,11.54,11.63,126473,-0.17,-1.44%,11.63,1.48m,813
5,10/26/16,11.82,12.15,11.80,11.80,135003,-0.03,-0.25%,11.80,1.61m,1067
6,10/25/16,12.15,12.18,11.78,11.83,106357,-0.29,-2.39%,11.83,1.27m,743
7,10/24/16,12.16,12.35,12.09,12.12,94284,0.14,1.17%,12.12,1.15m,657
8,10/21/16,12.06,12.28,11.98,11.98,117519,-0.18,-1.48%,11.98,1.42m,827
9,10/20/16,12.27,12.34,12.06,12.16,120594,-0.21,-1.70%,12.16,1.47m,1075
10,10/19/16,12.25,12.48,12.15,12.37,121406,0.04,0.32%,12.37,1.5m,1025
11,10/18/16,12.59,12.6801,12.30,12.33,58152,-0.17,-1.36%,12.33,722.15k,714
12,10/17/16,12.63,12.75,12.455,12.50,269026,-0.13,-1.03%,12.50,3.38m,1393
13,10/14/16,12.41,12.83,12.3098,12.63,123731,0.30,2.43%,12.63,1.57m,1386
14,10/13/16,12.45,12.6517,12.31,12.33,129518,-0.27,-2.14%,12.33,1.61m,1322
15,10/12/16,12.72,13.19,12.57,12.60,260759,0.40,3.28%,12.60,3.34m,1892
16,10/11/16,12.85,12.97,12.14,12.20,268446,-0.53,-4.16%,12.20,3.31m,2054
17,10/10/16,13.31,13.59,12.72,12.73,368854,-0.47,-3.56%,12.73,4.76m,2167
18,10/07/16,13.98,14.23,13.19,13.20,519841,0.74,5.94%,13.20,7.03m,3065
19,10/06/16,13.69,13.69,11.7344,12.46,1247723,-1.37,-9.91%,12.46,15.16m,6240
20,10/05/16,14.05,14.22,13.77,13.83,303326,-0.18,-1.28%,13.83,4.21m,1694
21,10/04/16,14.09,14.28,13.60,14.01,196982,-0.16,-1.13%,14.01,2.75m,1567
22,10/03/16,14.42,14.68,14.04,14.17,97931,-0.24,-1.67%,14.17,1.39m,658
23,09/30/16,14.39,14.53,14.30,14.41,107711,0.10,0.70%,14.41,1.55m,871
24,09/29/16,14.36,14.545,14.23,14.31,123829,0.02,0.14%,14.31,1.78m,1347
25,09/28/16,14.24,14.34,14.16,14.29,90573,0.08,0.56%,14.29,1.29m,630
26,09/27/16,14.13,14.33,14.04,14.21,58521,0.02,0.14%,14.21,830.04k,707
27,09/26/16,14.37,14.38,14.08,14.19,131033,-0.29,-2.00%,14.19,1.86m,1143
28,09/23/16,14.67,15.10,14.48,14.48,250651,0.10,0.70%,14.48,3.71m,1729
29,09/22/16,13.82,14.38,13.80,14.38,114182,0.58,4.20%,14.38,1.62m,856
30,09/21/16,13.68,13.85,13.65,13.80,68122,0.18,1.32%,13.80,936.69k,729
31,09/20/16,13.67,13.73,13.53,13.62,74879,0.05,0.37%,13.62,1.02m,666
32,09/19/16,13.53,13.61,13.48,13.57,93429,0.12,0.89%,13.57,1.27m,870
33,09/16/16,13.48,13.50,13.27,13.45,183288,-0.01,-0.07%,13.45,2.46m,867
34,09/15/16,13.33,13.5699,13.33,13.46,76113,0.13,0.98%,13.46,1.02m,602
35,09/14/16,13.43,13.43,13.28,13.33,108146,-0.10,-0.74%,13.33,1.44m,747
36,09/13/16,13.89,13.89,13.36,13.43,115856,-0.560007,-4.00%,13.43,1.57m,964
37,09/12/16,14.03,14.11,13.86,14.05,94876,0.029872,0.21%,13.99,1.33m,745
38,09/09/16,14.62,14.67,14.01,14.02,197856,-0.667139,-4.56%,13.9601,2.82m,1329
39,09/08/16,14.73,14.90,14.60,14.69,153892,-0.009957,-0.07%,14.6273,2.27m,1050
40,09/07/16,14.26,14.78,14.22,14.70,469759,0.438121,3.09%,14.6372,6.88m,1852
41,09/06/16,13.95,14.30,13.84,14.26,204234,0.318634,2.30%,14.1991,2.91m,1587
42,09/05/16,,,,13.94,0,,0.00%,13.8805,,
43,09/02/16,13.68,13.96,13.58,13.94,114104,0.268847,1.98%,13.8805,1.58m,1016
44,09/01/16,13.76,13.92,13.50,13.67,250826,-0.049787,-0.36%,13.6116,3.41m,1751
45,08/31/16,13.90,13.93,13.52,13.72,170125,-0.099573,-0.72%,13.6614,2.34m,1420
46,08/30/16,13.76,14.07,13.67,13.82,188530,-0.009957,-0.07%,13.761,2.62m,1437
47,08/29/16,13.65,13.96,13.58,13.83,151209,0.14936,1.10%,13.7709,2.09m,1139
48,08/26/16,13.27,13.85,13.27,13.68,165726,0.438121,3.32%,13.6216,2.26m,1439
49,08/25/16,13.36,13.72,13.20,13.24,409094,0.139402,1.07%,13.1835,5.51m,2425
50,08/24/16,13.04,13.21,13.01,13.10,112517,0.079658,0.61%,13.0441,1.47m,894
51,08/23/16,13.00,13.0897,12.89,13.02,150748,0.03983,0.31%,12.9644,1.95m,1115
52,08/22/16,12.84,12.99,12.67,12.98,89675,0.149359,1.17%,12.9246,1.16m,715
53,08/19/16,12.81,12.95,12.73,12.83,110527,-0.029872,-0.23%,12.7752,1.42m,846
54,08/18/16,12.75,12.905,12.7296,12.86,75278,0.139402,1.10%,12.8051,966.5k,736
55,08/17/16,12.87,12.90,12.66,12.72,56086,-0.099573,-0.78%,12.6657,715.18k,704
56,08/16/16,12.87,13.00,12.80,12.82,97046,-0.119487,-0.93%,12.7653,1.25m,760
57,08/15/16,13.04,13.06,12.92,12.94,85282,-0.109531,-0.84%,12.8847,1.11m,680
58,08/12/16,13.22,13.27,13.00,13.05,111463,-0.179231,-1.36%,12.9943,1.46m,980
59,08/11/16,13.30,13.3499,13.16,13.23,68927,-0.069701,-0.53%,13.1735,913.04k,586
60,08/10/16,13.61,13.6862,13.30,13.30,87213,-0.378377,-2.78%,13.2432,1.17m,746
61,08/09/16,13.55,13.74,13.42,13.68,134511,0.129444,0.96%,13.6216,1.83m,1297
62,08/08/16,13.75,13.75,13.40,13.55,127631,-0.149359,-1.09%,13.4921,1.73m,1721
63,08/05/16,13.99,14.07,13.42,13.70,289558,-0.238975,-1.72%,13.6415,3.96m,1831
64,08/04/16,13.30,14.29,13.001,13.94,451338,1.5434,12.51%,13.8805,6.27m,2690
65,08/03/16,12.27,12.45,12.19,12.39,298716,0.139402,1.14%,12.3371,3.68m,1465
66,08/02/16,12.30,12.39,12.1601,12.25,161711,-0.099573,-0.81%,12.1977,1.98m,1072
67,08/01/16,12.42,12.67,12.21,12.35,130760,-0.039829,-0.32%,12.2973,1.62m,964
68,07/29/16,12.42,12.50,12.23,12.39,186650,0.00,0.00%,12.3371,2.31m,1134
69,07/28/16,12.51,12.52,12.35,12.39,52237,-0.089615,-0.72%,12.3371,648.01k,465
70,07/27/16,12.45,12.55,12.33,12.48,61845,0.079658,0.65%,12.4267,770.94k,681
71,07/26/16,12.50,12.59,12.321,12.40,108901,-0.039829,-0.32%,12.3471,1.35m,647
72,07/25/16,12.73,12.815,12.42,12.44,148521,-0.338548,-2.66%,12.3869,1.86m,1146
73,07/22/16,12.29,12.845,12.10,12.78,160038,0.557608,4.58%,12.7254,2.02m,1144
74,07/21/16,12.29,12.51,12.14,12.22,146102,-0.10953,-0.89%,12.1678,1.79m,1216
75,07/20/16,12.37,12.46,12.305,12.33,173550,-0.029872,-0.24%,12.2774,2.15m,1222
76,07/19/16,12.32,12.415,12.2448,12.36,123609,0.029872,0.24%,12.3072,1.53m,869
77,07/18/16,12.43,12.54,12.31,12.33,153990,-0.199146,-1.60%,12.2774,1.91m,1158
78,07/15/16,12.63,12.64,12.46,12.53,116733,0.00,0.00%,12.4765,1.47m,825
79,07/14/16,12.30,12.71,12.30,12.53,172060,0.318634,2.62%,12.4765,2.17m,1132
80,07/13/16,12.28,12.43,12.19,12.21,164665,0.00,0.00%,12.1579,2.02m,1357
81,07/12/16,12.10,12.36,12.10,12.21,151480,0.10953,0.91%,12.1579,1.85m,1146
82,07/11/16,12.10,12.24,12.02,12.10,152821,0.049786,0.41%,12.0483,1.85m,1093
