,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,32.44,32.84,31.985,32.43,602140,0.08,0.25%,32.43,19.51m,5723
2,10/31/16,31.94,32.46,31.59,32.35,369877,0.36,1.13%,32.35,11.93m,3474
3,10/28/16,32.30,32.60,31.93,31.99,294887,-0.43,-1.33%,31.99,9.5m,2834
4,10/27/16,34.06,34.085,32.35,32.42,451152,-1.59,-4.68%,32.42,14.77m,4073
5,10/26/16,34.07,34.55,33.20,34.01,844148,-0.42,-1.22%,34.01,28.61m,6191
6,10/25/16,34.60,34.835,34.2185,34.43,332025,-0.28,-0.81%,34.43,11.45m,2820
7,10/24/16,34.49,34.72,34.14,34.71,210467,0.69,2.03%,34.71,7.29m,2125
8,10/21/16,33.80,34.05,33.50,34.02,176462,-0.16,-0.47%,34.02,5.98m,1782
9,10/20/16,33.94,34.26,33.84,34.18,164759,0.10,0.29%,34.18,5.61m,1308
10,10/19/16,34.36,34.43,33.91,34.08,162832,-0.28,-0.81%,34.08,5.56m,1687
11,10/18/16,34.39,34.44,34.20,34.36,187178,0.33,0.97%,34.36,6.42m,1894
12,10/17/16,34.03,34.05,33.81,34.03,157212,-0.10,-0.29%,34.03,5.34m,1825
13,10/14/16,34.51,34.51,34.12,34.13,266404,-0.13,-0.38%,34.13,9.12m,2988
14,10/13/16,33.81,34.535,33.66,34.26,369769,0.09,0.26%,34.26,12.66m,3220
15,10/12/16,33.98,34.24,33.83,34.17,182713,0.18,0.53%,34.17,6.23m,1917
16,10/11/16,34.30,34.30,33.60,33.99,519426,-0.55,-1.59%,33.99,17.65m,4372
17,10/10/16,34.54,35.19,34.48,34.54,165254,0.23,0.67%,34.54,5.75m,1842
18,10/07/16,34.19,34.59,34.01,34.31,306120,-0.08,-0.23%,34.31,10.51m,2539
19,10/06/16,34.56,34.62,34.00,34.39,201960,-0.32,-0.92%,34.39,6.94m,2140
20,10/05/16,34.31,34.77,34.04,34.71,284877,0.57,1.67%,34.71,9.84m,2945
21,10/04/16,34.37,34.46,33.93,34.14,307993,-0.16,-0.47%,34.14,10.5m,2608
22,10/03/16,34.47,34.64,34.06,34.30,258467,-0.36,-1.04%,34.30,8.86m,2010
23,09/30/16,34.10,34.88,33.91,34.66,283760,0.76,2.24%,34.66,9.81m,2656
24,09/29/16,34.42,34.549,33.60,33.90,548328,-0.64,-1.85%,33.90,18.69m,3155
25,09/28/16,33.80,34.54,33.77,34.54,220281,0.73,2.16%,34.54,7.55m,2413
26,09/27/16,33.44,33.90,33.44,33.81,216700,0.28,0.84%,33.81,7.31m,2722
27,09/26/16,33.79,34.021,33.49,33.53,340443,-0.43,-1.27%,33.53,11.44m,3143
28,09/23/16,34.73,34.99,33.95,33.96,287937,-0.92,-2.64%,33.96,9.84m,2814
29,09/22/16,34.83,35.09,34.45,34.88,299138,0.32,0.93%,34.88,10.37m,2292
30,09/21/16,34.27,34.68,33.84,34.56,251005,0.35,1.02%,34.56,8.64m,2539
31,09/20/16,34.25,34.48,33.96,34.21,262307,0.15,0.44%,34.21,8.98m,2195
32,09/19/16,34.40,34.795,33.85,34.06,299504,-0.16,-0.47%,34.06,10.23m,2666
33,09/16/16,34.44,34.74,33.98,34.22,497936,-0.55,-1.58%,34.22,17.09m,2907
34,09/15/16,34.24,34.79,34.14,34.77,358661,0.56,1.64%,34.77,12.38m,3216
35,09/14/16,34.65,34.772,34.1618,34.21,323889,-0.41,-1.18%,34.21,11.12m,2639
36,09/13/16,35.60,35.79,34.43,34.62,484215,-1.31,-3.65%,34.62,17.01m,3867
37,09/12/16,34.77,36.22,34.62,35.93,464685,1.00,2.86%,35.93,16.51m,3983
38,09/09/16,36.03,36.20,34.91,34.93,344771,-1.46,-4.01%,34.93,12.18m,3072
39,09/08/16,36.80,36.82,36.24,36.39,243840,-0.52,-1.41%,36.39,8.88m,2337
40,09/07/16,36.59,36.94,36.42,36.91,310625,0.26,0.71%,36.91,11.42m,2460
41,09/06/16,36.62,36.71,36.125,36.65,193722,0.08,0.22%,36.65,7.08m,2400
42,09/05/16,,,,36.57,0,,0.00%,36.57,,
43,09/02/16,36.45,36.92,36.29,36.57,262031,0.32,0.88%,36.57,9.57m,2491
44,09/01/16,36.42,36.55,35.793,36.25,286650,-0.20,-0.55%,36.25,10.38m,2797
45,08/31/16,36.64,36.74,36.40,36.45,408501,-0.26,-0.71%,36.45,14.91m,2858
46,08/30/16,36.92,37.02,36.55,36.71,281153,-0.13,-0.35%,36.71,10.32m,2273
47,08/29/16,36.47,36.91,36.44,36.84,169156,0.43,1.18%,36.84,6.21m,1762
48,08/26/16,35.75,36.66,35.6512,36.41,324655,0.67,1.87%,36.41,11.78m,3425
49,08/25/16,36.12,36.19,35.71,35.74,354205,-0.54,-1.49%,35.74,12.72m,3061
50,08/24/16,36.64,36.82,36.18,36.28,304144,-0.35,-0.96%,36.28,11.09m,2677
51,08/23/16,37.14,37.25,36.60,36.63,398581,-0.40,-1.08%,36.63,14.67m,3657
52,08/22/16,36.05,37.31,35.90,37.03,639381,0.92,2.55%,37.03,23.62m,5170
53,08/19/16,36.04,36.33,35.63,36.11,573031,0.05,0.14%,36.11,20.63m,4339
54,08/18/16,35.90,36.27,35.86,36.06,515665,0.17,0.47%,36.06,18.58m,5049
55,08/17/16,36.47,36.48,35.78,35.89,379364,-0.46,-1.27%,35.89,13.69m,3786
56,08/16/16,36.38,36.68,36.28,36.35,436790,-0.15,-0.41%,36.35,15.92m,3784
57,08/15/16,36.33,36.78,36.33,36.50,389517,0.27,0.75%,36.50,14.23m,3153
58,08/12/16,36.16,36.36,35.96,36.23,354195,-0.10,-0.28%,36.23,12.8m,3127
59,08/11/16,36.13,36.45,35.79,36.33,546586,0.33,0.92%,36.33,19.76m,3815
60,08/10/16,36.59,36.80,35.93,36.00,314025,-0.49,-1.34%,36.00,11.34m,3133
61,08/09/16,36.10,36.81,35.99,36.49,466559,0.49,1.36%,36.49,17.04m,4019
62,08/08/16,36.26,36.43,35.75,36.00,324590,-0.29,-0.80%,36.00,11.68m,3239
63,08/05/16,35.96,36.74,35.39,36.29,680134,0.56,1.57%,36.29,24.67m,6074
64,08/04/16,35.08,36.11,35.08,35.73,863341,0.96,2.76%,35.73,30.87m,6861
65,08/03/16,35.12,36.21,34.28,34.77,1281652,0.93,2.75%,34.77,44.52m,10005
66,08/02/16,34.17,34.47,33.54,33.84,480919,-0.23,-0.68%,33.84,16.25m,3850
67,08/01/16,34.61,34.61,33.94,34.07,425971,-0.52,-1.50%,34.07,14.57m,3942
68,07/29/16,34.28,34.94,34.28,34.59,962049,0.24,0.70%,34.59,33.33m,6015
69,07/28/16,34.06,34.83,34.06,34.35,266084,0.33,0.97%,34.35,9.16m,2783
70,07/27/16,34.23,34.31,33.67,34.02,233522,-0.26,-0.76%,34.02,7.93m,2245
71,07/26/16,33.71,34.35,33.59,34.28,261971,0.51,1.51%,34.28,8.95m,2186
72,07/25/16,33.49,33.97,33.39,33.77,448620,0.22,0.66%,33.77,15.14m,3940
73,07/22/16,33.73,33.73,33.25,33.55,461900,-0.31,-0.92%,33.55,15.47m,4366
74,07/21/16,33.82,34.23,33.62,33.86,278965,0.04,0.12%,33.86,9.45m,2819
75,07/20/16,33.84,34.04,33.72,33.82,334499,0.19,0.56%,33.82,11.33m,3060
76,07/19/16,33.83,34.19,33.555,33.63,283738,-0.20,-0.59%,33.63,9.57m,2408
77,07/18/16,34.51,34.60,33.77,33.83,638013,-0.62,-1.80%,33.83,21.67m,4749
