,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,153.50,153.91,151.74,152.79,3191924,-0.891909,-0.59%,151.4164,487.63m,27600
2,10/31/16,152.76,154.33,152.76,153.69,3553172,1.0703,0.71%,152.3083,545.61m,27675
3,10/28/16,154.05,154.44,152.18,152.61,3654496,-0.733348,-0.48%,151.238,559.33m,29934
4,10/27/16,152.82,154.06,152.02,153.35,4229336,1.5262,1.01%,151.9714,648.16m,33644
5,10/26/16,150.71,152.94,150.255,151.81,2811728,0.921639,0.62%,150.4452,427.15m,25036
6,10/25/16,150.69,151.16,149.83,150.88,2647487,0.307213,0.21%,149.5236,398.74m,23348
7,10/24/16,150.40,151.52,150.40,150.57,2666740,0.93155,0.63%,149.2164,402.1m,23582
8,10/21/16,150.58,151.15,149.56,149.63,4414206,-1.873,-1.25%,148.2848,662.35m,34138
9,10/20/16,151.28,152.90,151.02,151.52,4023103,0.257662,0.17%,150.1578,611.47m,33934
10,10/19/16,151.27,152.45,150.83,151.26,4632854,0.535146,0.36%,149.9002,701.71m,37651
11,10/18/16,150.02,151.00,147.79,150.72,12770570,-4.0136,-2.62%,149.365,1.91b,95225
12,10/17/16,154.45,155.89,154.34,154.77,5890421,0.317123,0.21%,153.3786,912.13m,41384
13,10/14/16,154.47,155.53,154.09,154.45,4358197,0.723438,0.47%,153.0615,674.22m,31822
14,10/13/16,153.70,154.22,152.27,153.72,2909948,-0.564876,-0.37%,152.3381,445.92m,26514
15,10/12/16,154.97,154.97,153.08,154.29,2963968,-0.495505,-0.32%,152.9029,457.09m,28360
16,10/11/16,156.73,156.95,153.89,154.79,2901326,-2.21,-1.42%,153.3984,449.81m,25378
17,10/10/16,156.71,158.49,156.655,157.02,2481288,1.3379,0.87%,155.6084,390.43m,23711
18,10/07/16,157.14,157.70,154.86,155.67,2671852,-1.1991,-0.77%,154.2705,417.17m,25423
19,10/06/16,156.84,157.43,155.89,156.88,1950106,-0.198202,-0.13%,155.4696,305.88m,18486
20,10/05/16,157.07,157.83,156.72,157.08,1684458,0.614426,0.40%,155.6679,264.94m,18279
21,10/04/16,157.67,158.53,155.82,156.46,2884146,-1.1397,-0.73%,155.0534,452.16m,28597
22,10/03/16,158.06,158.37,157.02,157.61,2227800,-1.2289,-0.78%,156.1931,351.16m,23466
23,09/30/16,158.90,159.838,158.06,158.85,3596878,0.733348,0.47%,157.4219,572.3m,25303
24,09/29/16,158.63,165.00,157.46,158.11,3374838,-0.178382,-0.11%,156.6886,535.81m,29743
25,09/28/16,156.99,158.625,156.23,158.29,3310008,1.5063,0.97%,156.867,521.86m,28801
26,09/27/16,154.32,156.77,153.81,156.77,2987195,2.7649,1.81%,155.3606,466.49m,26541
27,09/26/16,154.46,154.46,153.46,153.98,2533325,-0.99101,-0.65%,152.5957,390.01m,23011
28,09/23/16,155.62,156.04,154.71,154.98,2702153,-1.1198,-0.72%,153.5867,419.39m,21004
29,09/22/16,156.15,157.22,155.69,156.11,2691115,0.574786,0.37%,154.7066,421.24m,24338
30,09/21/16,154.91,155.68,153.87,155.53,2473895,1.0703,0.70%,154.1318,383.18m,22745
31,09/20/16,155.87,156.57,154.45,154.45,2159092,-0.416224,-0.27%,153.0615,334.83m,20131
32,09/19/16,154.87,156.19,154.55,154.87,2450117,1.0207,0.67%,153.4777,380.67m,22390
33,09/16/16,155.04,155.40,153.47,153.84,6463644,-1.8036,-1.17%,152.457,997.57m,31220
34,09/15/16,154.30,156.33,153.21,155.66,3662573,1.5955,1.05%,154.2606,568.5m,33816
35,09/14/16,155.70,155.87,153.39,154.05,3860553,-1.7442,-1.13%,152.6651,596.56m,35026
36,09/13/16,157.63,157.93,155.50,155.81,3636719,-2.4577,-1.57%,154.4093,568.84m,33165
37,09/12/16,155.26,158.53,154.84,158.29,4367529,2.5766,1.67%,156.867,687.07m,36750
38,09/09/16,158.03,158.40,155.65,155.69,5185972,-3.2802,-2.08%,154.2903,812.86m,39009
39,09/08/16,160.55,161.21,158.76,159.00,3963164,-2.6163,-1.63%,157.5706,632.16m,31931
40,09/07/16,160.19,161.76,160.00,161.64,2867257,1.2784,0.80%,160.1869,462.46m,28057
41,09/06/16,159.88,160.86,159.11,160.35,2994056,0.792808,0.50%,158.9085,478.98m,27962
42,09/05/16,,,,159.55,0,,0.00%,158.1156,,
43,09/02/16,159.88,160.57,159.15,159.55,2315366,0.009911,0.01%,158.1156,369.9m,22064
44,09/01/16,158.32,159.62,158.10,159.54,2358385,0.654066,0.42%,158.1057,375.17m,25350
45,08/31/16,159.66,159.66,158.26,158.88,2323649,-0.515325,-0.33%,157.4517,368.95m,20171
46,08/30/16,159.76,160.15,158.81,159.40,1813343,-0.317123,-0.20%,157.967,288.95m,16085
47,08/29/16,158.83,160.21,158.50,159.72,2475879,1.3874,0.88%,158.2841,395.64m,19286
48,08/26/16,158.88,160.44,157.85,158.32,2498909,-0.307213,-0.20%,156.8967,397.24m,24543
49,08/25/16,159.00,159.54,158.42,158.63,2575023,-0.416225,-0.26%,157.2039,408.94m,25084
50,08/24/16,159.89,160.18,158.32,159.05,3645837,-1.1991,-0.76%,157.6201,579.17m,30516
51,08/23/16,160.33,161.34,160.23,160.26,2838137,0.257663,0.16%,158.8193,455.59m,19806
52,08/22/16,160.00,160.57,159.13,160.00,2039331,-0.03964,-0.02%,158.5616,326.29m,17451
53,08/19/16,160.84,160.91,159.52,160.04,2815184,-1.3081,-0.82%,158.6012,451.21m,22086
54,08/18/16,160.89,162.00,160.4401,161.36,3652013,0.91173,0.57%,159.9094,589.51m,25272
55,08/17/16,160.97,161.16,159.84,160.44,3225919,-0.257663,-0.16%,158.9976,517.2m,27139
56,08/16/16,161.11,161.93,160.69,160.70,2210229,-1.1694,-0.73%,159.2553,356.01m,21180
57,08/15/16,162.40,162.97,161.78,161.88,2970415,-0.069371,-0.04%,160.4247,481.75m,20259
58,08/12/16,163.19,163.46,161.52,161.95,2543079,-1.5658,-0.97%,160.4941,412.7m,23760
59,08/11/16,162.25,164.95,162.18,163.53,8768585,1.437,0.89%,162.0599,1.43b,37484
60,08/10/16,162.19,162.66,161.955,162.08,2466675,0.307213,0.19%,160.6229,400.2m,23028
61,08/09/16,162.22,162.772,161.645,161.77,2737530,-0.267572,-0.17%,160.3157,443.56m,22478
62,08/08/16,162.73,163.27,161.58,162.04,3039306,-0.059461,-0.04%,160.5833,492.93m,21686
63,08/05/16,162.00,163.51,161.57,162.10,3812370,1.916,1.21%,160.6427,621.05m,26242
64,08/04/16,160.86,161.70,160.12,161.55,2489068,0.864621,0.55%,158.7267,401.08m,19167
65,08/03/16,160.13,160.86,159.80,160.67,2861659,0.088428,0.06%,157.8621,458.78m,25803
66,08/02/16,161.27,161.4499,160.36,160.58,3080899,-0.854797,-0.54%,157.7737,495.36m,28276
67,08/01/16,160.65,161.65,159.84,161.45,2823588,0.815495,0.52%,158.6285,454.53m,27633
68,07/29/16,161.36,161.67,160.03,160.62,3547546,-0.736893,-0.46%,157.813,570.13m,24711
69,07/28/16,161.38,161.81,160.71,161.37,2340369,-0.451961,-0.28%,158.5499,377.61m,19956
70,07/27/16,162.12,162.57,161.18,161.83,2162680,-0.284931,-0.18%,159.0019,349.94m,20660
71,07/26/16,162.65,163.60,161.37,162.12,2894559,-0.520739,-0.33%,159.2868,469.42m,25846
72,07/25/16,162.00,162.88,161.75,162.65,2804578,0.569864,0.36%,159.8075,455.25m,22213
73,07/22/16,160.78,162.17,160.479,162.07,2520077,1.5917,1.01%,159.2377,407.25m,21619
74,07/21/16,160.75,161.85,159.89,160.45,4048975,-0.894096,-0.56%,157.646,650.63m,24756
75,07/20/16,159.97,161.71,159.60,161.36,4376286,1.7489,1.12%,158.5401,704.06m,33515
76,07/19/16,161.78,162.14,157.89,159.58,7120017,-0.275108,-0.18%,156.7912,1.14b,54650
77,07/18/16,159.30,160.75,158.73,159.86,6729685,0.078602,0.05%,157.0663,1.08b,47788
78,07/15/16,159.90,159.98,158.50,159.78,4476810,-0.491261,-0.31%,156.9877,713.93m,30091
79,07/14/16,158.81,161.40,158.58,160.28,4637644,2.2205,1.43%,157.4789,742.99m,40624
80,07/13/16,157.75,158.34,157.06,158.02,2746439,0.962874,0.62%,155.2584,433.61m,24479
81,07/12/16,156.00,157.12,155.52,157.04,3843793,1.6801,1.10%,154.2956,602.74m,35534
82,07/11/16,154.60,156.04,154.50,155.33,2833712,0.854796,0.56%,152.6154,440.3m,24045
83,07/08/16,154.00,154.60,153.08,154.46,3040593,1.8275,1.22%,151.7607,469.06m,27039
84,07/07/16,152.75,153.6891,151.89,152.60,2138421,0.22598,0.15%,149.9332,326.48m,20436
85,07/06/16,151.85,152.41,149.92,152.37,2569393,0.677942,0.45%,149.7072,389.61m,24301
86,07/05/16,151.19,152.00,150.76,151.68,2465240,-0.658292,-0.44%,149.0292,373.48m,22756
87,07/04/16,,,,152.35,0,,0.00%,149.6875,,
88,07/01/16,152.19,152.97,151.40,152.35,2658280,0.560039,0.38%,149.6875,405.02m,24538
89,06/30/16,148.86,151.91,148.67,151.78,3967126,3.262,2.24%,149.1275,598.33m,32215
90,06/29/16,146.50,148.48,146.45,148.46,3367736,2.7118,1.89%,145.8655,497.28m,30108
91,06/28/16,144.78,145.73,144.22,145.70,3997694,2.1616,1.53%,143.1537,579.59m,34972
92,06/27/16,146.18,146.60,142.50,143.50,5166665,-3.036,-2.11%,140.9922,741.7m,48524
93,06/24/16,149.97,150.61,146.18,146.59,9082793,-8.6069,-5.64%,144.0282,1.34b,72771
94,06/23/16,153.45,155.48,152.60,155.35,3969369,2.3875,1.59%,152.6351,613.25m,33881
95,06/22/16,153.75,154.71,152.27,152.92,2833664,-1.1103,-0.73%,150.2476,434.16m,24423
96,06/21/16,154.16,154.5689,153.69,154.05,2760344,0.43231,0.29%,151.3578,425.43m,22258
97,06/20/16,152.60,154.67,152.52,153.61,3572102,1.5917,1.07%,150.9255,549.9m,29304
98,06/17/16,150.96,152.72,150.6044,151.99,4663870,0.913748,0.62%,149.3338,707.45m,23591
99,06/16/16,150.19,151.295,149.00,151.06,2449064,0.373359,0.25%,148.4201,368.05m,22931
100,06/15/16,151.46,151.7925,150.60,150.68,2260406,-0.373359,-0.25%,148.0467,341.7m,20861
101,06/14/16,151.28,151.79,150.40,151.06,2865833,-0.216156,-0.15%,148.4201,432.87m,26070
102,06/13/16,151.63,152.50,150.28,151.28,3610407,-1.071,-0.72%,148.6362,546.66m,30543
103,06/10/16,152.79,153.3299,151.86,152.37,3120563,-1.0317,-0.68%,149.7072,475.61m,27314
104,06/09/16,152.92,153.76,152.73,153.42,2021796,-0.569863,-0.38%,150.7388,309.76m,21062
105,06/08/16,153.53,154.09,153.04,154.00,2935036,0.658291,0.44%,151.3087,451.06m,23196
106,06/07/16,153.31,153.93,152.66,153.33,4464985,0.589514,0.39%,150.6504,683.86m,25609
107,06/06/16,153.09,153.95,152.34,152.73,2378662,-0.157204,-0.10%,150.0609,363.8m,21397
108,06/03/16,152.40,153.04,151.70,152.89,2328256,-0.59934,-0.40%,150.2181,354.89m,21801
109,06/02/16,152.59,153.50,152.12,153.50,2642601,0.972699,0.65%,150.8174,404.57m,23143
110,06/01/16,153.00,153.27,151.54,152.51,2663419,-1.2085,-0.80%,149.8447,405.56m,26245
111,05/31/16,152.56,153.81,152.27,153.74,5836645,0.884272,0.59%,151.0532,894.85m,30235
112,05/30/16,,,,152.84,0,,0.00%,150.169,,
113,05/27/16,152.35,152.93,152.15,152.84,2457112,0.39301,0.26%,150.169,375.02m,21900
114,05/26/16,151.55,152.51,151.05,152.44,3062943,0.736892,0.49%,149.776,465.52m,26630
115,05/25/16,148.93,152.09,148.5001,151.69,4358039,3.3209,2.28%,149.0391,658.66m,34525
116,05/24/16,146.88,148.75,146.88,148.31,2929257,1.5131,1.05%,145.7181,433.84m,24039
117,05/23/16,147.61,147.95,146.66,146.77,2103786,-0.471612,-0.33%,144.205,309.53m,18335
118,05/20/16,145.71,147.51,145.55,147.25,3671462,2.2795,1.60%,144.6767,539.01m,28036
119,05/19/16,146.48,146.93,143.955,144.93,3685595,-2.3679,-1.64%,142.3972,534.1m,35186
120,05/18/16,147.99,148.52,146.36,147.34,2491086,-0.648465,-0.45%,144.7651,367.34m,24618
121,05/17/16,149.21,149.50,147.29,148.00,3490574,-1.4345,-0.98%,145.4135,517.33m,26944
122,05/16/16,147.65,149.99,147.44,149.46,3069126,1.7096,1.18%,146.848,458.18m,22502
123,05/13/16,148.79,149.86,147.42,147.72,2398002,-1.1004,-0.75%,145.1384,356.23m,22038
124,05/12/16,149.21,149.39,147.11,148.84,3249232,-0.108078,-0.07%,146.2389,482.23m,28118
125,05/11/16,149.71,151.09,148.74,148.95,3093008,-1.0022,-0.68%,146.3469,463.25m,27071
126,05/10/16,148.24,150.04,147.74,149.97,3992651,2.584,1.78%,147.3491,596.19m,30153
127,05/09/16,147.70,148.20,147.01,147.34,4302433,0.049127,0.03%,144.7651,634.45m,30465
128,05/06/16,144.86,147.97,144.47,147.29,4895811,2.1812,1.53%,144.716,717.66m,42192
129,05/05/16,145.95,147.30,145.45,145.07,6501228,2.1603,1.54%,142.5348,951.31m,49281
130,05/04/16,143.36,145.00,143.31,144.25,2577086,0.116777,0.08%,140.3744,371.78m,22812
131,05/03/16,144.65,144.90,142.90,144.13,3584261,-1.1094,-0.78%,140.2577,515.71m,31833
132,05/02/16,146.56,147.00,144.43,145.27,3502443,-0.651999,-0.46%,141.367,508.85m,31192
133,04/29/16,146.49,147.34,144.191,145.94,4225790,-1.0996,-0.77%,142.019,615.21m,35519
134,04/28/16,149.75,150.18,146.725,147.07,3791509,-3.3087,-2.26%,143.1187,560.83m,33009
135,04/27/16,149.35,150.78,148.97,150.47,3111190,1.3527,0.93%,146.4273,467.02m,29138
136,04/26/16,148.65,149.79,147.90,149.08,2979800,0.262745,0.18%,145.0747,443.9m,27288
137,04/25/16,148.16,148.90,147.11,148.81,2848935,0.30167,0.21%,144.8119,422.37m,25238
138,04/22/16,149.44,151.00,147.50,148.50,5191902,-0.778506,-0.54%,144.5103,772.52m,39117
139,04/21/16,146.58,150.12,146.46,149.30,6017675,3.1043,2.18%,145.2888,897.21m,48866
140,04/20/16,144.24,147.20,144.00,146.11,6754264,2.0533,1.47%,142.1845,987.31m,53875
141,04/19/16,146.47,146.95,142.61,144.00,13190162,-8.3008,-5.59%,140.1312,1.9b,101941
142,04/18/16,151.75,153.14,151.49,152.53,6581705,0.788237,0.53%,148.432,1b,51689
143,04/15/16,151.04,152.10,150.96,151.72,3657576,0.544953,0.37%,147.6437,554.46m,26807
144,04/14/16,151.50,152.76,150.38,151.16,3176500,-0.068119,-0.05%,147.0988,480.45m,29344
145,04/13/16,150.75,151.23,149.63,151.23,3168392,1.557,1.07%,147.1669,478.1m,28405
146,04/12/16,149.61,150.11,148.58,149.63,3595750,0.369789,0.25%,145.6099,537.51m,34287
147,04/11/16,150.26,151.95,149.22,149.25,3846128,-0.097313,-0.07%,145.2401,577.58m,31940
148,04/08/16,149.06,149.99,148.12,149.35,3293822,1.0704,0.74%,145.3374,491.73m,28203
149,04/07/16,149.07,149.60,148.00,148.25,3662968,-1.7224,-1.18%,144.267,543.88m,32856
150,04/06/16,149.90,150.15,147.81,150.02,4194606,0.019462,0.01%,145.9894,626.86m,37431
1,04/05/16,151.43,151.60,149.65,150.00,3337012,-2.0144,-1.36%,145.97,502.41m,32415
2,04/04/16,152.34,153.52,151.91,152.07,3931222,-0.43791,-0.30%,147.9843,599.88m,28957
3,04/01/16,150.51,152.96,150.25,152.52,3925531,1.0413,0.71%,148.4222,597.43m,32245
4,03/31/16,149.79,153.10,149.36,151.45,6780567,2.9583,2.05%,147.381,1.03b,50563
5,03/30/16,149.95,150.41,148.32,148.41,3331216,-0.895282,-0.62%,144.4227,497.43m,29369
6,03/29/16,147.59,149.76,147.50,149.33,3138545,0.905013,0.63%,145.318,466.88m,28940
7,03/28/16,147.75,148.65,147.23,148.40,3265084,0.43791,0.30%,144.4129,483.48m,26596
8,03/25/16,,,,147.95,0,,0.00%,143.975,,
9,03/24/16,144.98,148.22,144.49,147.95,5044535,2.4815,1.75%,143.975,741.17m,38127
10,03/23/16,148.00,148.03,145.13,145.40,4764221,-2.6275,-1.82%,141.4935,695.67m,40984
11,03/22/16,148.06,149.28,147.84,148.10,4081925,-0.51576,-0.36%,144.121,606.26m,29716
12,03/21/16,147.30,148.71,146.7201,148.63,3721648,1.4986,1.05%,144.6368,550.96m,30948
