,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,17.92,18.12,17.5307,17.69,79298,-0.20,-1.12%,17.69,1.4m,898
2,10/31/16,17.81,18.14,17.71,17.89,115485,0.06,0.34%,17.89,2.06m,638
3,10/28/16,18.66,18.698,17.79,17.83,85011,-0.75,-4.04%,17.83,1.54m,722
4,10/27/16,18.01,18.63,17.89,18.58,85562,0.59,3.28%,18.58,1.57m,892
5,10/26/16,17.89,18.15,17.52,17.99,56003,0.00,0.00%,17.99,1.01m,497
6,10/25/16,18.29,18.319,17.9001,17.99,75300,-0.23,-1.26%,17.99,1.36m,613
7,10/24/16,18.10,18.30,18.05,18.22,72404,0.34,1.90%,18.22,1.32m,644
8,10/21/16,17.59,17.92,17.47,17.88,78243,0.17,0.96%,17.88,1.39m,757
9,10/20/16,17.66,17.75,17.42,17.71,99787,-0.05,-0.28%,17.71,1.76m,941
10,10/19/16,17.66,17.819,17.56,17.76,93337,0.22,1.25%,17.76,1.66m,834
11,10/18/16,17.70,17.86,17.51,17.54,92264,0.04,0.23%,17.54,1.63m,877
12,10/17/16,17.38,17.50,17.11,17.50,119697,0.02,0.11%,17.50,2.08m,933
13,10/14/16,17.50,17.61,17.32,17.48,61153,0.02,0.11%,17.48,1.07m,546
14,10/13/16,17.40,17.68,17.39,17.46,62702,-0.07,-0.40%,17.46,1.1m,691
15,10/12/16,17.63,17.80,17.50,17.53,68078,-0.07,-0.40%,17.53,1.2m,666
16,10/11/16,17.90,18.17,17.49,17.60,119757,-0.31,-1.73%,17.60,2.13m,1209
17,10/10/16,17.56,18.14,17.50,17.91,123934,0.30,1.70%,17.91,2.22m,1053
18,10/07/16,17.33,17.74,17.05,17.61,105771,0.28,1.62%,17.61,1.85m,1104
19,10/06/16,17.10,17.46,17.00,17.33,114177,0.17,0.99%,17.33,1.98m,1020
20,10/05/16,17.01,17.42,16.94,17.35,176421,0.425291,2.54%,17.16,3.05m,1597
21,10/04/16,17.25,17.40,16.69,16.92,85454,-0.39562,-2.31%,16.7347,1.45m,929
22,10/03/16,17.34,17.49,17.14,17.32,281314,0.079124,0.46%,17.1303,4.87m,1435
23,09/30/16,17.41,17.50,17.15,17.24,288106,-0.029671,-0.17%,17.0512,4.98m,2233
24,09/29/16,16.50,17.72,16.33,17.27,405777,1.3154,8.34%,17.0809,7.01m,2458
25,09/28/16,16.10,16.10,15.83,15.94,64872,-0.158248,-0.99%,15.7654,1.03m,662
26,09/27/16,16.16,16.30,16.045,16.10,63612,-0.079124,-0.49%,15.9237,1.03m,719
27,09/26/16,16.25,16.40,16.00,16.18,69937,-0.19781,-1.22%,16.0028,1.13m,812
28,09/23/16,16.16,16.50,15.90,16.38,98824,0.247263,1.55%,16.2006,1.6m,719
29,09/22/16,15.88,16.15,15.54,16.13,59212,0.4154,2.67%,15.9534,944.22k,656
30,09/21/16,15.49,15.76,15.3607,15.71,68785,0.316496,2.08%,15.538,1.07m,714
31,09/20/16,15.16,15.49,15.00,15.39,76670,0.296715,1.99%,15.2215,1.18m,634
32,09/19/16,15.10,15.165,14.90,15.09,100242,0.069233,0.47%,14.9247,1.51m,868
33,09/16/16,14.45,15.04,14.42,15.02,111660,0.583539,4.09%,14.8555,1.64m,836
34,09/15/16,14.25,14.45,14.1301,14.43,51968,0.227481,1.62%,14.272,746.69k,496
35,09/14/16,14.31,14.46,14.14,14.20,38514,-0.049452,-0.35%,14.0445,548.01k,419
36,09/13/16,14.74,14.74,14.12,14.25,49009,-0.623101,-4.23%,14.0939,699.72k,469
37,09/12/16,14.22,14.92,14.22,14.88,80718,0.583539,4.13%,14.717,1.19m,806
38,09/09/16,14.74,14.82,14.28,14.29,71289,-0.553868,-3.77%,14.1335,1.03m,624
39,09/08/16,15.07,15.07,14.78,14.85,52202,-0.148357,-1.00%,14.6874,776.88k,475
40,09/07/16,15.08,15.159,14.96,15.00,74735,0.00989,0.07%,14.8357,1.12m,540
41,09/06/16,15.03,15.25,14.93,14.99,83725,-0.059342,-0.40%,14.8258,1.26m,861
42,09/05/16,,,,15.05,0,,0.00%,14.8852,,
43,09/02/16,14.87,15.07,14.7501,15.05,49873,0.247262,1.69%,14.8852,748.38k,468
44,09/01/16,15.00,15.00,14.71,14.80,57644,-0.089015,-0.60%,14.6379,855.36k,687
45,08/31/16,15.08,15.10,14.75,14.89,102187,-0.158247,-1.06%,14.7269,1.52m,804
46,08/30/16,15.06,15.10,14.94,15.05,100307,0.079123,0.53%,14.8852,1.51m,954
47,08/29/16,14.92,15.13,14.92,14.97,42694,0.089015,0.60%,14.8061,640.47k,470
48,08/26/16,15.06,15.25,14.80,14.88,89135,-0.079124,-0.53%,14.717,1.34m,786
49,08/25/16,14.70,15.145,14.63,14.96,100136,0.286824,1.98%,14.7962,1.49m,1017
50,08/24/16,14.72,14.86,14.61,14.67,76257,0.019781,0.14%,14.5093,1.12m,772
51,08/23/16,14.49,14.90,14.41,14.65,90086,0.306605,2.16%,14.4896,1.33m,1057
52,08/22/16,14.30,14.45,14.11,14.34,66421,0.098905,0.70%,14.183,952.08k,683
53,08/19/16,14.02,14.25,13.75,14.24,91528,0.237372,1.71%,14.0841,1.29m,730
54,08/18/16,13.94,14.13,13.80,14.00,74579,0.138467,1.01%,13.8467,1.04m,820
55,08/17/16,13.95,13.95,13.70,13.86,115418,-0.098905,-0.72%,13.7082,1.59m,1143
56,08/16/16,14.28,14.35,13.86,13.96,137920,-0.286824,-2.04%,13.8071,1.93m,1305
57,08/15/16,14.29,14.43,14.025,14.25,110813,0.039562,0.28%,14.0939,1.59m,1217
58,08/12/16,14.69,14.70,14.01,14.21,211204,-0.425291,-2.94%,14.0544,3.01m,2248
59,08/11/16,14.73,14.84,14.59,14.64,88361,0.029671,0.21%,14.4797,1.3m,865
60,08/10/16,14.88,14.88,14.595,14.61,77115,-0.296715,-2.01%,14.45,1.14m,770
61,08/09/16,14.99,15.085,14.83,14.91,75063,0.009891,0.07%,14.7467,1.12m,676
62,08/08/16,14.93,15.06,14.80,14.90,79419,0.00,0.00%,14.7368,1.18m,555
63,08/05/16,15.07,15.12,14.75,14.90,110754,-0.089015,-0.60%,14.7368,1.65m,739
64,08/04/16,15.24,15.24,14.73,14.99,114301,-0.2077,-1.38%,14.8258,1.71m,944
65,08/03/16,14.86,15.23,14.6825,15.20,125908,0.415401,2.84%,15.0335,1.89m,1047
66,08/02/16,15.05,15.05,14.65,14.78,118212,-0.227481,-1.53%,14.6181,1.75m,1044
67,08/01/16,15.25,15.51,14.79,15.01,70352,-0.247263,-1.64%,14.8456,1.05m,730
68,07/29/16,15.09,15.35,14.88,15.26,144556,0.168139,1.13%,15.0929,2.19m,881
69,07/28/16,15.36,15.38,14.97,15.09,63368,-0.346168,-2.27%,14.9247,956.54k,577
70,07/27/16,15.37,15.47,15.16,15.44,81862,0.128577,0.85%,15.2709,1.25m,551
71,07/26/16,15.41,15.47,15.165,15.31,48217,-0.019781,-0.13%,15.1423,737.64k,465
72,07/25/16,15.53,15.53,15.18,15.33,64166,-0.079124,-0.52%,15.1621,984.54k,645
73,07/22/16,15.62,15.69,15.38,15.41,39501,-0.118686,-0.77%,15.2412,611.81k,389
74,07/21/16,15.70,15.73,15.33,15.53,85241,-0.019781,-0.13%,15.3599,1.32m,744
75,07/20/16,15.54,15.80,15.41,15.55,57768,-0.049452,-0.32%,15.3797,902.77k,578
76,07/19/16,15.99,16.05,15.59,15.60,60836,-0.356058,-2.26%,15.4292,956.38k,526
77,07/18/16,15.77,16.09,15.74,15.96,73938,0.108795,0.69%,15.7852,1.17m,711
78,07/15/16,16.02,16.20,15.75,15.85,80561,-0.069233,-0.44%,15.6764,1.28m,618
