,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,17.30,17.50,17.30,17.50,3723,-0.05,-0.28%,17.50,65.07k,38
2,10/31/16,17.40,17.65,17.325,17.55,12501,0.10,0.57%,17.55,218.67k,68
3,10/28/16,17.45,17.45,17.45,17.45,1099,-0.05,-0.29%,17.45,19.18k,21
4,10/27/16,17.60,17.60,17.50,17.50,2503,0.00,0.00%,17.50,43.85k,29
5,10/26/16,17.60,17.60,17.50,17.50,2095,-0.05,-0.28%,17.50,36.69k,20
6,10/25/16,17.45,17.55,17.45,17.55,4589,0.05,0.29%,17.55,80.44k,48
7,10/24/16,17.50,17.50,17.40,17.50,2079,0.10,0.57%,17.50,36.35k,23
8,10/21/16,17.25,17.40,17.20,17.40,2999,0.00,0.00%,17.40,51.83k,23
9,10/20/16,17.0255,17.469,17.0255,17.40,1995,0.15,0.87%,17.40,34.61k,16
10,10/19/16,17.495,17.55,17.25,17.25,3124,-0.10,-0.58%,17.25,54.17k,20
11,10/18/16,17.467,17.48,17.35,17.35,6421,0.15,0.87%,17.35,111.75k,38
12,10/17/16,17.30,17.30,17.20,17.20,1372,0.05,0.29%,17.20,23.61k,19
13,10/14/16,17.07,17.2255,17.05,17.15,4061,-0.11,-0.64%,17.15,69.52k,35
14,10/13/16,17.34,17.40,17.23,17.26,3536,-0.14,-0.80%,17.26,61.11k,66
15,10/12/16,17.40,17.41,17.37,17.40,3411,0.01,0.06%,17.40,59.33k,36
16,10/11/16,17.40,17.42,17.31,17.39,3247,-0.07,-0.40%,17.39,56.47k,50
17,10/10/16,17.42,17.49,17.35,17.46,2754,0.18,1.04%,17.46,48.02k,32
18,10/07/16,17.35,17.35,17.24,17.28,2889,-0.21,-1.20%,17.28,49.94k,38
19,10/06/16,17.54,17.665,17.46,17.49,5002,0.16,0.92%,17.49,87.69k,64
20,10/05/16,17.3011,17.4397,17.30,17.33,5277,0.22,1.29%,17.33,91.41k,38
21,10/04/16,17.06,17.1889,17.06,17.11,3517,0.01,0.06%,17.11,60.19k,45
22,10/03/16,17.09,17.11,17.05,17.10,4945,-0.08,-0.47%,17.10,84.46k,58
23,09/30/16,16.92,17.23,16.92,17.18,12256,0.35,2.08%,17.18,209.82k,89
24,09/29/16,17.00,17.00,16.81,16.83,5419,-0.23,-1.35%,16.83,91.81k,66
25,09/28/16,16.96,17.10,16.88,17.06,6672,0.05,0.29%,17.06,113.68k,82
26,09/27/16,16.81,17.08,16.77,17.01,7510,0.17,1.01%,17.01,127.19k,114
27,09/26/16,17.04,17.27,16.65,16.84,10589,-0.29,-1.69%,16.84,179.23k,129
28,09/23/16,17.25,17.37,16.92,17.13,6244,-0.09,-0.52%,17.13,107.11k,68
29,09/22/16,17.32,17.44,17.18,17.22,10224,-0.01,-0.06%,17.22,176.1k,110
30,09/21/16,17.17,17.24,16.8389,17.23,7837,0.06,0.35%,17.23,134.38k,97
31,09/20/16,17.26,17.26,17.1001,17.17,7680,0.05,0.29%,17.17,132.11k,83
32,09/19/16,16.96,17.195,16.63,17.12,15869,0.09,0.53%,17.12,271.06k,160
33,09/16/16,16.95,17.25,16.87,17.03,36435,0.08,0.47%,17.03,619.18k,183
34,09/15/16,17.05,17.20,16.93,16.95,9166,-0.11,-0.64%,16.95,155.8k,68
35,09/14/16,17.13,17.17,17.05,17.06,7301,-0.07,-0.41%,17.06,124.7k,98
36,09/13/16,17.15,17.39,17.05,17.13,9751,-0.15,-0.87%,17.13,167.06k,69
37,09/12/16,17.29,17.33,17.15,17.28,11635,0.01,0.06%,17.28,200.26k,98
38,09/09/16,17.39,17.57,17.22,17.27,16237,-0.32,-1.82%,17.27,281.25k,158
39,09/08/16,17.35,17.685,17.26,17.59,7855,-0.10,-0.57%,17.59,137.9k,94
40,09/07/16,17.73,17.82,17.60,17.69,11485,0.06,0.34%,17.69,203.11k,102
41,09/06/16,17.67,17.70,17.33,17.63,7556,-0.03,-0.17%,17.63,133.17k,89
42,09/05/16,,,,17.66,0,,0.00%,17.66,,
43,09/02/16,17.51,17.71,17.51,17.66,2831,0.03,0.17%,17.66,49.96k,50
44,09/01/16,17.48,17.6499,17.35,17.63,7911,0.08,0.46%,17.63,139.04k,120
45,08/31/16,17.73,17.75,17.24,17.55,14269,-0.03,-0.17%,17.55,250.99k,100
46,08/30/16,17.54,17.762,17.49,17.58,10590,0.15,0.86%,17.58,186.33k,126
47,08/29/16,17.44,17.51,17.32,17.43,6265,-0.03,-0.17%,17.43,109.13k,79
48,08/26/16,17.25,17.62,17.22,17.46,7233,0.17,0.98%,17.46,126.25k,67
49,08/25/16,17.04,17.53,17.03,17.29,4360,0.06,0.35%,17.29,75.26k,52
50,08/24/16,17.58,17.695,17.16,17.23,33597,-0.41,-2.32%,17.23,585.99k,448
51,08/23/16,17.90,17.99,17.59,17.64,8481,-0.12,-0.68%,17.64,150.64k,81
52,08/22/16,17.24,17.86,17.24,17.76,10739,0.38,2.19%,17.76,188.62k,159
53,08/19/16,17.03,17.50,16.90,17.38,36060,0.26,1.52%,17.38,617.95k,152
