,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,8.03,8.11,7.94,7.99,36883,0.0019,0.02%,7.99,295.96k,198
2,10/31/16,8.00,8.12,7.97,7.9881,48664,-0.0219,-0.27%,7.9881,391.08k,185
3,10/28/16,8.04,8.07,7.94,8.01,75793,0.01,0.12%,8.01,607.89k,315
4,10/27/16,8.08,8.08,7.95,8.00,45075,-0.04,-0.50%,8.00,361.68k,216
5,10/26/16,8.08,8.08,7.963,8.04,64716,-0.04,-0.50%,8.04,518.69k,224
6,10/25/16,8.08,8.11,8.031,8.08,69602,0.01,0.12%,8.08,561.72k,299
7,10/24/16,8.02,8.14,8.02,8.07,66204,0.08,1.00%,8.07,532.85k,266
8,10/21/16,7.98,7.99,7.91,7.99,39057,0.03,0.38%,7.99,310.79k,170
9,10/20/16,7.97,7.98,7.94,7.96,43966,-0.02,-0.25%,7.96,350.19k,127
10,10/19/16,7.99,7.99,7.96,7.98,72800,0.04,0.50%,7.98,580.36k,340
11,10/18/16,7.97,7.98,7.93,7.94,82840,0.1001,1.28%,7.94,658.42k,526
12,10/17/16,7.87,7.90,7.83,7.8399,80779,-0.0601,-0.76%,7.8399,636.09k,346
13,10/14/16,7.88,7.93,7.87,7.90,49793,0.03,0.38%,7.90,392.87k,291
14,10/13/16,7.90,7.91,7.791,7.87,86504,-0.06,-0.76%,7.87,677.94k,402
15,10/12/16,7.86,8.01,7.84,7.93,339847,0.06,0.76%,7.93,2.71m,748
16,10/11/16,8.00,8.00,7.86,7.87,74609,-0.17,-2.11%,7.87,590.1k,230
17,10/10/16,7.97,8.09,7.96,8.04,130528,0.10,1.26%,8.04,1.05m,841
18,10/07/16,7.98,8.00,7.91,7.94,32614,-0.04,-0.50%,7.94,259.21k,98
19,10/06/16,7.93,7.98,7.91,7.98,60528,0.06,0.76%,7.98,480.53k,189
20,10/05/16,7.95,7.96,7.90,7.92,82887,0.01,0.13%,7.92,657.17k,272
21,10/04/16,7.95,7.95,7.8501,7.91,60936,-0.04,-0.50%,7.91,481.57k,321
22,10/03/16,7.96,7.96,7.82,7.95,210450,-0.01,-0.13%,7.95,1.66m,807
23,09/30/16,8.07,8.24,8.07,8.19,61143,0.124697,1.59%,7.96,497.32k,277
24,09/29/16,8.13,8.18,8.04,8.0617,61728,-0.085821,-1.08%,7.8353,500.49k,153
25,09/28/16,8.19,8.20,8.11,8.15,126701,0.038877,0.49%,7.9211,1.03m,430
26,09/27/16,8.06,8.13,8.06,8.11,111591,0.048693,0.62%,7.8822,904.69k,314
27,09/26/16,8.10,8.10,8.0429,8.0599,70275,-0.08757,-1.11%,7.8336,567.13k,80
28,09/23/16,8.15,8.17,8.11,8.15,69109,-0.029157,-0.37%,7.9211,563.04k,184
29,09/22/16,8.19,8.22,8.15,8.18,133307,0.048596,0.62%,7.9503,1.09m,516
30,09/21/16,8.04,8.135,8.00,8.13,78026,0.184664,2.39%,7.9017,629.11k,248
31,09/20/16,7.95,8.03,7.91,7.94,97696,0.029158,0.38%,7.717,777.48k,322
32,09/19/16,7.95,8.0133,7.91,7.91,107886,0.029157,0.38%,7.6879,859.32k,442
33,09/16/16,7.95,8.13,7.85,7.88,40897,-0.029157,-0.38%,7.6587,322.92k,117
34,09/15/16,7.92,7.959,7.90,7.91,190084,0.029157,0.38%,7.6879,1.51m,633
35,09/14/16,7.91,7.96,7.86,7.88,67319,-0.009719,-0.13%,7.6587,533.15k,191
36,09/13/16,8.05,8.05,7.87,7.89,94086,-0.213822,-2.71%,7.6684,749.17k,256
37,09/12/16,8.07,8.13,8.00,8.11,135968,0.009719,0.12%,7.8822,1.1m,549
38,09/09/16,8.25,8.27,8.08,8.10,62992,-0.204102,-2.53%,7.8725,514.31k,279
39,09/08/16,8.36,8.36,8.29,8.31,38482,-0.038877,-0.48%,8.0766,320.08k,110
40,09/07/16,8.37,8.37,8.30,8.35,41195,0.048596,0.60%,8.1155,343.84k,168
41,09/06/16,8.24,8.32,8.24,8.30,94415,0.11663,1.47%,8.0669,783.58k,267
42,09/05/16,,,,8.18,0,,0.00%,7.9503,,
43,09/02/16,8.14,8.20,8.12,8.18,37093,0.087472,1.11%,7.9503,302.95k,128
44,09/01/16,8.12,8.12,8.01,8.09,52365,0.00972,0.12%,7.8628,422.08k,169
45,08/31/16,8.10,8.15,8.0001,8.08,256601,-0.019439,-0.25%,7.8531,2.08m,526
46,08/30/16,8.14,8.14,8.08,8.10,35116,0.00,0.00%,7.8725,284.62k,112
47,08/29/16,8.13,8.13,8.06,8.10,57379,0.00,0.00%,7.8725,464.46k,158
48,08/26/16,8.13,8.15,8.05,8.10,188551,-0.009719,-0.12%,7.8725,1.52m,424
49,08/25/16,8.07,8.11,8.04,8.11,262576,0.038877,0.50%,7.8822,2.12m,444
50,08/24/16,8.00,8.09,7.92,8.07,209433,0.077753,1.00%,7.8434,1.68m,641
51,08/23/16,8.03,8.0875,7.99,7.99,87095,-0.009719,-0.12%,7.7656,700.16k,219
52,08/22/16,8.09,8.09,7.998,8.00,90731,-0.097192,-1.23%,7.7753,729.25k,291
53,08/19/16,8.02,8.13,7.99,8.10,72716,-0.009719,-0.12%,7.8725,586.27k,207
54,08/18/16,8.10,8.11,8.07,8.11,60157,0.048596,0.62%,7.8822,486.75k,237
55,08/17/16,8.05,8.07,7.94,8.06,59729,-0.029158,-0.37%,7.8337,478.16k,246
56,08/16/16,8.08,8.10,8.01,8.09,78311,-0.029157,-0.37%,7.8628,632.14k,318
57,08/15/16,8.03,8.13,8.03,8.12,89485,0.097192,1.25%,7.892,724.73k,314
58,08/12/16,8.04,8.05,7.95,8.02,49097,0.00,0.00%,7.7948,392.67k,175
59,08/11/16,7.98,8.05,7.98,8.02,160015,0.019438,0.25%,7.7948,1.28m,447
60,08/10/16,7.99,8.00,7.89,8.00,44652,0.058315,0.76%,7.7753,355.06k,213
61,08/09/16,7.88,7.98,7.87,7.94,101924,0.077753,1.02%,7.717,808.85k,324
62,08/08/16,7.84,7.88,7.82,7.86,49701,0.048596,0.64%,7.6393,389.77k,158
63,08/05/16,7.80,7.81,7.72,7.81,59018,0.048596,0.64%,7.5907,459.58k,222
64,08/04/16,7.71,7.77,7.64,7.76,38148,0.048596,0.65%,7.5421,294.58k,188
65,08/03/16,7.62,7.71,7.59,7.71,56752,0.077753,1.05%,7.4935,433.15k,172
66,08/02/16,7.70,7.71,7.60,7.63,33878,-0.048596,-0.65%,7.4157,259.44k,121
67,08/01/16,7.81,7.83,7.66,7.68,62568,-0.058315,-0.78%,7.4643,482.31k,271
68,07/29/16,7.69,7.75,7.63,7.74,49027,0.068035,0.91%,7.5226,377.1k,156
69,07/28/16,7.62,7.67,7.60,7.67,32289,-0.00972,-0.13%,7.4546,246.7k,113
70,07/27/16,7.68,7.68,7.605,7.68,43039,0.029158,0.39%,7.4643,329.61k,151
71,07/26/16,7.66,7.66,7.61,7.65,43876,0.038877,0.53%,7.4352,335.19k,136
72,07/25/16,7.62,7.63,7.58,7.61,99011,-0.019439,-0.26%,7.3963,751.78k,319
73,07/22/16,7.58,7.64,7.55,7.63,49615,0.087473,1.19%,7.4157,377.22k,146
74,07/21/16,7.51,7.5699,7.499,7.54,171213,0.038876,0.53%,7.3283,1.29m,583
75,07/20/16,7.46,7.51,7.46,7.50,53196,0.077754,1.08%,7.2894,398.26k,156
76,07/19/16,7.46,7.47,7.42,7.42,58959,-0.058315,-0.80%,7.2116,438.67k,256
77,07/18/16,7.41,7.5299,7.41,7.48,99845,0.068034,0.94%,7.2699,747.47k,603
78,07/15/16,7.48,7.51,7.38,7.41,126509,-0.009719,-0.13%,7.2019,939.77k,464
79,07/14/16,7.41,7.46,7.37,7.42,120034,0.077753,1.09%,7.2116,890.77k,617
80,07/13/16,7.36,7.38,7.32,7.34,67381,0.00,0.00%,7.1339,494.8k,247
81,07/12/16,7.30,7.39,7.30,7.34,102295,0.077754,1.10%,7.1339,751.63k,447
82,07/11/16,7.22,7.29,7.20,7.26,84517,0.077753,1.11%,7.0561,614.15k,486
83,07/08/16,7.18,7.225,7.16,7.18,126555,0.097192,1.41%,6.9784,910.72k,471
84,07/07/16,7.06,7.15,7.06,7.08,66781,0.00,0.00%,6.8812,474.86k,319
85,07/06/16,7.10,7.11,7.01,7.08,109623,-0.038877,-0.56%,6.8812,774.43k,440
86,07/05/16,7.20,7.20,7.1017,7.12,28236,-0.126349,-1.79%,6.92,201.23k,130
87,07/04/16,,,,7.25,0,,0.00%,7.0464,,
88,07/01/16,7.18,7.26,7.02,7.25,57272,0.126349,1.83%,7.0464,412.64k,262
89,06/30/16,7.28,7.39,7.28,7.12,46419,0.044839,0.65%,6.92,341.52k,248
90,06/29/16,7.20,7.3499,7.20,7.31,65060,0.141078,2.09%,6.8752,475.13k,276
91,06/28/16,7.17,7.23,7.15,7.16,144645,0.112863,1.70%,6.7341,1.04m,465
92,06/27/16,7.12,7.12,6.96,7.04,60382,-0.084647,-1.26%,6.6213,423.91k,341
93,06/24/16,7.24,7.24,7.09,7.13,148072,-0.310372,-4.42%,6.7059,1.06m,479
94,06/23/16,7.45,7.49,7.34,7.46,92319,0.141078,2.05%,7.0163,683.7k,375
95,06/22/16,7.41,7.41,7.27,7.31,57085,0.028216,0.41%,6.8752,419.14k,222
96,06/21/16,7.27,7.35,7.25,7.28,57670,0.028216,0.41%,6.847,420.79k,195
97,06/20/16,7.30,7.3695,7.24,7.25,93957,0.112862,1.68%,6.8188,685.51k,372
98,06/17/16,7.15,7.18,7.09,7.13,88546,0.00,0.00%,6.7059,631.85k,391
