,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,40.35,40.57,39.74,40.09,702313,-0.16,-0.40%,40.09,28.14m,7141
2,10/31/16,40.09,40.365,39.51,40.25,804012,0.22,0.55%,40.25,32.18m,7471
3,10/28/16,46.32,46.32,38.79,40.03,2436503,-6.29,-13.58%,40.03,98.18m,19027
4,10/27/16,46.90,46.90,45.89,46.32,354886,-0.27,-0.58%,46.32,16.38m,4055
5,10/26/16,45.95,46.60,45.841,46.59,397640,0.48,1.04%,46.59,18.44m,4068
6,10/25/16,46.45,46.80,46.00,46.11,163545,-0.44,-0.95%,46.11,7.56m,2226
7,10/24/16,47.30,47.30,46.19,46.55,208023,-0.06,-0.13%,46.55,9.68m,2267
8,10/21/16,45.71,46.66,45.59,46.61,172920,0.58,1.26%,46.61,8.03m,2506
9,10/20/16,45.90,46.20,45.48,46.03,165737,0.08,0.17%,46.03,7.62m,2262
10,10/19/16,46.17,46.28,45.89,45.95,160101,-0.03,-0.07%,45.95,7.37m,2030
11,10/18/16,46.39,46.39,45.70,45.98,131374,0.18,0.39%,45.98,6.04m,1602
12,10/17/16,45.78,45.99,45.525,45.80,167687,-0.01,-0.02%,45.80,7.69m,1939
13,10/14/16,45.83,46.01,45.2501,45.81,201210,0.12,0.26%,45.81,9.22m,2408
14,10/13/16,45.48,45.92,45.34,45.69,134076,-0.21,-0.46%,45.69,6.13m,1830
15,10/12/16,46.27,46.8699,45.66,45.90,177285,-0.49,-1.06%,45.90,8.14m,2427
16,10/11/16,46.90,46.90,46.09,46.39,194354,-0.34,-0.73%,46.39,9.01m,2124
17,10/10/16,46.37,47.07,46.37,46.73,122530,0.59,1.28%,46.73,5.73m,1867
18,10/07/16,46.62,46.795,46.05,46.14,160182,-0.56,-1.20%,46.14,7.42m,2048
19,10/06/16,46.46,46.97,46.25,46.70,232083,0.35,0.76%,46.70,10.84m,2514
20,10/05/16,46.76,46.93,46.08,46.35,532628,0.04,0.09%,46.35,24.74m,3704
