,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,11.43,11.43,11.12,11.21,93823,-0.18,-1.58%,11.21,1.06m,434
2,10/31/16,11.38,11.429,11.30,11.39,38200,0.06,0.53%,11.39,433.75k,137
3,10/28/16,11.38,11.52,11.29,11.33,47177,-0.10,-0.87%,11.33,537.7k,211
4,10/27/16,11.52,11.54,11.25,11.43,77525,-0.07,-0.61%,11.43,882.33k,500
5,10/26/16,11.51,11.7117,11.40,11.50,46477,-0.01,-0.09%,11.50,533.92k,167
6,10/25/16,11.58,11.6399,11.49,11.51,45895,-0.10,-0.86%,11.51,529.09k,267
7,10/24/16,11.64,11.75,11.46,11.61,67556,-0.05,-0.43%,11.61,781.68k,390
8,10/21/16,11.54,11.69,11.48,11.66,69565,0.11,0.95%,11.66,807.28k,388
9,10/20/16,11.53,11.57,11.45,11.55,34735,-0.01,-0.09%,11.55,399.27k,188
10,10/19/16,11.51,11.59,11.5068,11.56,24667,0.0599,0.52%,11.56,284.79k,94
11,10/18/16,11.58,11.624,11.45,11.5001,54294,-0.0199,-0.17%,11.5001,625.27k,253
12,10/17/16,11.56,11.605,11.45,11.52,78785,0.00,0.00%,11.52,908.38k,422
13,10/14/16,11.59,11.7314,11.52,11.52,15227,-0.05,-0.43%,11.52,176.28k,111
14,10/13/16,11.55,11.63,11.53,11.57,45892,-0.04,-0.34%,11.57,530.83k,109
15,10/12/16,11.60,11.6662,11.58,11.61,36222,0.01,0.09%,11.61,421.17k,119
16,10/11/16,11.60,11.67,11.54,11.60,52584,-0.02,-0.17%,11.60,609.36k,241
17,10/10/16,11.59,11.68,11.57,11.62,37621,0.07,0.61%,11.62,437.06k,221
18,10/07/16,11.60,11.62,11.51,11.55,53864,-0.02,-0.17%,11.55,623.03k,221
19,10/06/16,11.53,11.57,11.4901,11.57,29118,-0.02,-0.17%,11.57,335.62k,116
20,10/05/16,11.63,11.65,11.42,11.59,91325,0.02,0.17%,11.59,1.05m,461
21,10/04/16,11.71,11.71,11.5307,11.57,114191,-0.12,-1.03%,11.57,1.33m,583
22,10/03/16,11.67,11.76,11.57,11.69,126995,0.01,0.09%,11.69,1.48m,525
23,09/30/16,11.66,11.7392,11.56,11.68,73250,0.06,0.52%,11.68,854.05k,494
24,09/29/16,11.78,11.78,11.57,11.62,112661,-0.16,-1.36%,11.62,1.32m,595
25,09/28/16,11.63,11.78,11.57,11.78,159189,0.19,1.64%,11.78,1.85m,922
26,09/27/16,11.54,11.61,11.45,11.59,76314,0.08,0.70%,11.59,879.73k,248
27,09/26/16,11.55,11.65,11.48,11.51,64649,-0.07,-0.60%,11.51,745.66k,198
28,09/23/16,11.53,11.65,11.45,11.58,82388,0.07,0.61%,11.58,948.54k,422
29,09/22/16,11.53,11.61,11.49,11.51,80813,0.0601,0.52%,11.51,933.07k,467
30,09/21/16,11.35,11.45,11.32,11.4499,70173,0.0799,0.70%,11.4499,798.95k,426
31,09/20/16,11.44,11.48,11.31,11.37,88318,-0.03,-0.26%,11.37,1m,607
32,09/19/16,11.40,11.51,11.29,11.40,135584,0.06,0.53%,11.40,1.54m,909
33,09/16/16,11.31,11.52,11.23,11.34,62811,-0.02,-0.18%,11.34,711.14k,391
34,09/15/16,11.28,11.42,11.24,11.36,77798,0.05,0.44%,11.36,881.64k,342
35,09/14/16,11.31,11.5999,11.13,11.31,83592,-0.02,-0.18%,11.31,949.43k,403
36,09/13/16,11.60,11.76,11.31,11.33,113566,-0.379995,-3.25%,11.33,1.31m,668
37,09/12/16,11.80,12.07,11.73,11.98,148860,0.156394,1.35%,11.71,1.77m,808
38,09/09/16,12.11,12.11,11.81,11.82,130003,-0.332337,-2.80%,11.5536,1.55m,813
39,09/08/16,12.33,12.3399,12.15,12.16,95537,-0.195492,-1.62%,11.8859,1.17m,517
40,09/07/16,12.32,12.44,12.205,12.36,86068,0.078197,0.65%,12.0814,1.06m,484
41,09/06/16,12.30,12.43,12.17,12.28,104042,0.029323,0.24%,12.0032,1.28m,440
42,09/05/16,,,,12.25,0,,0.00%,11.9739,,
43,09/02/16,12.39,12.40,12.19,12.25,76352,-0.078196,-0.65%,11.9739,938.59k,384
44,09/01/16,12.33,12.33,12.17,12.33,63503,-0.034016,-0.28%,12.0521,777.33k,338
45,08/31/16,12.32,12.39,12.21,12.3648,85690,0.082889,0.69%,12.0861,1.05m,322
46,08/30/16,12.28,12.3599,12.20,12.28,77110,-0.029324,-0.24%,12.0032,946.46k,476
47,08/29/16,12.32,12.42,12.27,12.31,45052,0.068422,0.57%,12.0326,556.83k,156
48,08/26/16,12.39,12.434,12.21,12.24,44973,-0.107521,-0.89%,11.9641,553.02k,176
49,08/25/16,12.20,12.38,12.17,12.35,61365,0.175943,1.48%,12.0717,754.11k,273
50,08/24/16,12.29,12.29,12.16,12.17,18656,-0.068422,-0.57%,11.8957,228.28k,70
51,08/23/16,12.33,12.35,12.24,12.24,39927,-0.029324,-0.24%,11.9641,491.41k,152
52,08/22/16,12.18,12.32,12.16,12.27,52440,0.068423,0.57%,11.9935,643.36k,310
53,08/19/16,12.18,12.23,12.14,12.20,37836,0.00,0.00%,11.925,460.61k,147
54,08/18/16,12.20,12.26,12.14,12.20,30746,0.009774,0.08%,11.925,374.91k,131
55,08/17/16,12.09,12.20,12.0515,12.19,33816,0.087972,0.74%,11.9153,410.52k,106
56,08/16/16,12.18,12.18,12.05,12.10,49495,-0.068423,-0.58%,11.8273,599.17k,148
57,08/15/16,12.23,12.2434,12.17,12.17,37541,0.009775,0.08%,11.8957,458.5k,124
58,08/12/16,12.15,12.24,12.14,12.16,46914,0.048873,0.41%,11.8859,571.81k,292
59,08/11/16,12.34,12.34,12.06,12.11,50786,-0.185718,-1.54%,11.8371,619.48k,199
