,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,114.31,114.972,113.284,114.00,1787928,-0.41,-0.36%,114.00,203.74m,18511
2,10/31/16,114.57,114.77,113.65,114.41,2435905,-0.14,-0.12%,114.41,278.52m,18179
3,10/28/16,114.25,114.99,113.85,114.55,2581179,0.73,0.64%,114.55,295.76m,22167
4,10/27/16,113.88,114.27,113.14,113.82,2046816,0.16,0.14%,113.82,232.53m,18823
5,10/26/16,112.96,114.27,112.64,113.66,2294146,-0.07,-0.06%,113.66,260.56m,22057
6,10/25/16,113.94,115.00,113.41,113.73,3420785,-0.18,-0.16%,113.73,390.4m,26699
7,10/24/16,117.29,118.41,113.56,113.91,5582877,-5.67,-4.74%,113.91,643.47m,44061
8,10/21/16,119.00,120.46,118.52,119.58,2217355,0.41,0.34%,119.58,265.28m,18831
9,10/20/16,120.01,120.30,119.00,119.17,2158840,-1.04,-0.87%,119.17,257.61m,20166
10,10/19/16,120.64,120.65,119.88,120.21,1947465,-0.33,-0.27%,120.21,234.19m,17723
11,10/18/16,121.35,121.63,120.245,120.54,1869888,-0.15,-0.12%,120.54,225.47m,17298
12,10/17/16,120.86,121.295,120.52,120.69,1235474,0.19,0.16%,120.69,149.32m,12421
13,10/14/16,121.82,121.99,120.49,120.50,1894775,-1.13,-0.93%,120.50,229.11m,17152
14,10/13/16,121.16,122.035,120.68,121.63,1689201,-0.25,-0.21%,121.63,205.22m,17726
15,10/12/16,121.73,122.51,121.43,121.88,1532944,0.49,0.40%,121.88,187.21m,16073
16,10/11/16,121.97,122.16,120.87,121.39,1753015,-0.77,-0.63%,121.39,212.88m,16915
17,10/10/16,123.12,123.69,121.91,122.16,1036092,-0.85,-0.69%,122.16,126.81m,12154
18,10/07/16,123.89,124.0899,122.12,123.01,1397899,-0.22,-0.18%,123.01,172.04m,12229
19,10/06/16,122.38,123.96,122.064,123.23,1521523,0.60,0.49%,123.23,187.67m,15253
20,10/05/16,123.38,123.58,121.95,122.63,1954602,-0.40,-0.33%,122.63,239.64m,18796
21,10/04/16,125.08,125.08,122.77,123.03,1701873,-1.73,-1.39%,123.03,209.98m,17868
22,10/03/16,125.52,125.755,124.31,124.76,1512336,-1.38,-1.09%,124.76,188.74m,15019
23,09/30/16,125.71,126.86,125.70,126.14,1920039,0.92,0.73%,126.14,242.4m,17550
24,09/29/16,126.11,126.50,125.05,125.22,1229730,-1.26,-1.00%,125.22,154.55m,13353
25,09/28/16,126.04,126.59,125.20,126.48,1422434,0.79,0.63%,126.48,179.17m,14314
26,09/27/16,125.74,126.23,125.37,125.69,1134949,0.18,0.14%,125.69,142.65m,10760
27,09/26/16,126.48,127.13,125.43,125.51,1336850,-1.22,-0.96%,125.51,168.15m,14280
28,09/23/16,127.36,127.36,126.42,126.73,1367641,-0.50,-0.39%,126.73,173.48m,14761
29,09/22/16,125.35,127.42,125.35,127.23,1785104,2.29,1.83%,127.23,226.46m,17889
30,09/21/16,123.34,125.35,123.18,124.94,1733662,1.47,1.19%,124.94,215.45m,18718
31,09/20/16,122.77,124.38,122.61,123.47,1360596,1.30,1.06%,123.47,168.44m,14318
32,09/19/16,121.90,122.54,121.44,122.17,1025535,0.36,0.30%,122.17,125.34m,10190
33,09/16/16,121.95,122.81,121.20,121.81,2134535,-0.63,-0.51%,121.81,259.66m,17940
34,09/15/16,121.87,122.96,121.75,122.44,1166309,0.57,0.47%,122.44,142.79m,12781
35,09/14/16,122.32,122.98,121.45,121.87,1686367,-0.52,-0.42%,121.87,205.83m,15851
36,09/13/16,123.30,123.56,122.35,122.39,1585546,-1.24,-1.00%,122.39,194.7m,17240
37,09/12/16,122.36,123.92,122.03,123.63,1820637,0.67,0.54%,123.63,224.46m,20377
38,09/09/16,125.17,125.17,122.91,122.96,2305092,-2.95,-2.34%,122.96,285.25m,20499
39,09/08/16,126.95,127.089,125.565,125.91,1650360,-1.17,-0.92%,125.91,208.09m,17153
40,09/07/16,127.98,128.42,126.94,127.08,1434811,-0.340059,-0.27%,127.08,182.68m,17499
41,09/06/16,128.82,129.63,128.37,128.34,917242,-0.476559,-0.37%,127.4201,118.29m,11344
42,09/05/16,,,,128.82,0,,0.00%,127.8966,,
43,09/02/16,128.01,129.459,128.01,128.82,816638,0.694982,0.55%,127.8966,105.21m,9135
44,09/01/16,128.01,128.34,127.38,128.12,1726068,0.05957,0.05%,127.2016,220.79m,14615
45,08/31/16,128.03,128.62,127.79,128.06,1073575,-0.089355,-0.07%,127.1421,137.51m,10978
46,08/30/16,128.72,129.05,127.93,128.15,989399,-0.565914,-0.44%,127.2314,126.88m,10000
47,08/29/16,128.40,129.1699,128.07,128.72,1486851,0.476559,0.37%,127.7973,191.23m,13087
48,08/26/16,128.51,129.84,127.89,128.24,1454835,-0.158853,-0.12%,127.3208,187.29m,15996
49,08/25/16,128.45,129.46,128.29,128.40,1556138,-0.238279,-0.19%,127.4796,200.51m,15905
50,08/24/16,128.65,128.77,127.50,128.64,1416578,-0.009929,-0.01%,127.7179,181.84m,15692
51,08/23/16,127.66,128.74,127.46,128.65,1726482,1.251,0.99%,127.7278,221.64m,17189
52,08/22/16,126.78,127.72,126.37,127.39,1213029,0.605627,0.48%,126.4769,154.42m,13402
53,08/19/16,126.97,127.3874,126.33,126.78,1785379,-0.665197,-0.53%,125.8712,226.21m,13180
54,08/18/16,127.58,127.91,127.24,127.45,1350714,-0.099284,-0.08%,126.5364,172.27m,14136
55,08/17/16,127.70,127.97,126.81,127.55,2158517,0.019857,0.02%,126.6357,275.33m,19204
56,08/16/16,128.80,129.05,127.52,127.53,1443679,-1.4297,-1.12%,126.6159,184.85m,14602
57,08/15/16,128.91,129.48,128.62,128.97,1221506,0.148925,0.12%,128.0455,157.79m,11967
58,08/12/16,129.30,129.36,128.43,128.82,2333312,-0.11914,-0.09%,127.8966,300.71m,21310
59,08/11/16,130.76,130.866,128.83,128.94,1608894,-1.3006,-1.01%,128.0158,208.09m,16445
60,08/10/16,129.89,130.55,129.76,130.25,971609,0.258136,0.20%,129.3164,126.51m,11608
61,08/09/16,129.62,130.47,129.27,129.99,863984,0.426918,0.33%,129.0582,112.27m,10237
62,08/08/16,129.37,130.05,128.545,129.56,1476663,0.158853,0.12%,128.6313,191.35m,11814
63,08/05/16,130.24,130.67,128.85,129.40,1560180,-0.724767,-0.56%,128.4725,201.94m,13930
64,08/04/16,129.30,130.35,129.06,130.13,1291711,1.2311,0.96%,129.1972,167.89m,14104
65,08/03/16,131.10,131.209,128.47,128.89,2278512,-1.9062,-1.47%,127.9661,294.26m,20653
66,08/02/16,130.84,131.45,130.08,130.81,1730772,0.00,0.00%,129.8724,226.45m,19057
67,08/01/16,129.22,131.25,128.91,130.81,2611499,1.251,0.97%,129.8724,340.87m,21562
68,07/29/16,130.25,131.055,129.55,129.55,1827786,-0.595699,-0.46%,128.6214,237.71m,14744
69,07/28/16,130.67,131.01,129.49,130.15,2267931,-0.347491,-0.27%,129.2171,295.05m,20493
70,07/27/16,132.19,132.19,129.80,130.50,1683830,-1.7672,-1.35%,129.5646,220.02m,17950
71,07/26/16,132.59,134.62,132.05,132.28,2819715,-0.307778,-0.23%,131.3318,375.09m,24654
72,07/25/16,133.00,133.75,131.50,132.59,2448743,-2.0254,-1.52%,131.6396,324.18m,21671
73,07/22/16,133.80,134.65,133.57,134.63,1768082,1.2609,0.95%,133.665,237.34m,17962
74,07/21/16,133.79,134.01,133.02,133.36,1502874,-0.317706,-0.24%,132.4041,200.53m,15176
75,07/20/16,135.27,135.73,133.67,133.68,2081179,-1.4694,-1.09%,132.7218,279.37m,18361
76,07/19/16,135.00,135.22,134.53,135.16,1576985,0.049641,0.04%,134.1912,212.85m,14934
77,07/18/16,136.29,136.34,135.05,135.11,1105621,-1.0524,-0.78%,134.1415,149.63m,11876
78,07/15/16,136.26,136.67,135.521,136.17,1095464,0.277993,0.21%,135.1939,149.12m,11397
79,07/14/16,135.94,136.87,135.64,135.89,1040736,0.168781,0.13%,134.9159,141.62m,11756
80,07/13/16,134.81,135.9199,134.79,135.72,1086358,0.903477,0.68%,134.7472,147.21m,11685
81,07/12/16,135.60,135.93,134.34,134.81,1420698,-1.3205,-0.98%,133.8437,191.83m,15712
82,07/11/16,135.80,136.35,134.69,136.14,1002638,0.178709,0.13%,135.1641,136.22m,11894
