,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,12/11/14,,,,41.70,0,,0.00%,41.70,,
2,12/10/14,,,,41.70,0,,0.00%,41.70,,
3,12/09/14,,,,41.70,0,,0.00%,41.70,,
4,12/08/14,,,,41.70,0,,0.00%,41.70,,
5,12/05/14,,,,41.70,0,,0.00%,41.70,,
6,12/04/14,,,,41.70,0,,0.00%,41.70,,
7,12/03/14,,,,41.70,0,,0.00%,41.70,,
8,12/02/14,41.06,41.77,41.06,41.70,800,1.06,2.61%,41.70,33.22k,5
9,12/01/14,41.01,41.01,39.75,40.64,3206,-0.46,-1.12%,40.64,130.35k,16
10,11/28/14,41.01,41.10,41.01,41.10,272,-0.64,-1.53%,41.10,11.16k,3
11,11/26/14,41.50,41.75,41.50,41.74,445,41.74,0.00%,41.74,18.55k,3
