,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,18.26,18.31,17.36,17.66,2766550,-0.48,-2.65%,17.66,48.83m,18096
2,10/31/16,18.64,18.70,18.02,18.14,1980483,-0.55,-2.94%,18.14,36.09m,11547
3,10/28/16,18.74,18.96,18.45,18.69,1221562,-0.06,-0.32%,18.69,22.89m,8227
4,10/27/16,19.31,19.31,18.64,18.75,879064,-0.53,-2.75%,18.75,16.54m,6269
5,10/26/16,19.01,19.43,18.8823,19.28,1231286,0.10,0.52%,19.28,23.64m,7014
6,10/25/16,19.71,19.73,19.14,19.18,922862,-0.67,-3.38%,19.18,17.78m,6025
7,10/24/16,20.07,20.35,19.57,19.85,1402960,0.06,0.30%,19.85,27.85m,10024
8,10/21/16,19.76,19.85,19.33,19.79,1867686,-0.27,-1.35%,19.79,36.68m,10166
9,10/20/16,20.64,20.68,19.63,20.06,1903330,-0.84,-4.02%,20.06,38.21m,11806
10,10/19/16,20.41,21.02,20.29,20.90,1171135,0.52,2.55%,20.90,24.39m,7128
11,10/18/16,20.32,20.60,20.20,20.38,984113,0.48,2.41%,20.38,20.09m,7283
12,10/17/16,19.83,20.20,19.59,19.90,1193494,0.24,1.22%,19.90,23.69m,9438
13,10/14/16,19.32,19.70,19.32,19.66,1159193,0.47,2.45%,19.66,22.71m,8052
14,10/13/16,19.25,19.83,18.53,19.19,1464220,-0.38,-1.94%,19.19,28.02m,10534
15,10/12/16,19.55,19.71,19.21,19.57,759207,-0.01,-0.05%,19.57,14.83m,5531
16,10/11/16,19.51,19.7299,19.31,19.58,1417364,-0.13,-0.66%,19.58,27.59m,10228
17,10/10/16,19.33,19.73,19.20,19.71,1665896,0.62,3.25%,19.71,32.54m,9779
18,10/07/16,18.60,19.12,18.32,19.09,1999518,0.46,2.47%,19.09,37.65m,12135
19,10/06/16,18.28,19.04,18.07,18.63,1555956,0.48,2.64%,18.63,29.17m,9990
20,10/05/16,19.12,19.17,17.79,18.15,2001966,-0.73,-3.87%,18.15,36.68m,11023
21,10/04/16,18.90,19.16,18.62,18.88,1036062,0.09,0.48%,18.88,19.57m,7919
22,10/03/16,19.38,19.38,18.75,18.79,1355313,-0.13,-0.69%,18.79,25.68m,9868
23,09/30/16,19.35,19.87,18.895,18.92,1693961,0.25,1.34%,18.92,32.19m,9806
24,09/29/16,18.82,19.11,18.47,18.67,944511,-0.19,-1.01%,18.67,17.72m,6958
25,09/28/16,18.77,19.01,18.49,18.86,775093,0.250005,1.34%,18.86,14.52m,5955
26,09/27/16,18.90,18.90,18.27,18.71,1729051,-0.218824,-1.16%,18.61,32.06m,10943
27,09/26/16,19.66,19.78,18.92,18.93,1025884,-0.934976,-4.73%,18.8288,19.64m,6954
28,09/23/16,19.77,20.12,19.51,19.87,1830789,0.656472,3.44%,19.7638,36.34m,9911
29,09/22/16,19.31,19.35,18.91,19.21,1745124,0.009947,0.05%,19.1073,33.45m,9934
30,09/21/16,19.21,19.50,18.89,19.20,2982907,0.944922,5.21%,19.0974,57.02m,18587
31,09/20/16,18.73,18.95,18.16,18.25,1733913,-0.25861,-1.40%,18.1525,31.92m,6723
32,09/19/16,18.25,18.78,18.24,18.51,1807370,0.079572,0.43%,18.4111,33.41m,11272
33,09/16/16,18.87,19.0978,18.19,18.43,1922480,0.557007,3.13%,18.3315,35.69m,10077
34,09/15/16,17.60,18.15,17.56,17.87,688568,0.377969,2.17%,17.7745,12.32m,4921
35,09/14/16,17.26,17.58,17.03,17.49,851366,0.188984,1.10%,17.3965,14.76m,6577
36,09/13/16,17.85,17.85,16.905,17.30,1351999,-0.54706,-3.08%,17.2075,23.34m,8652
37,09/12/16,17.42,17.96,17.33,17.85,809101,0.218824,1.25%,17.7546,14.42m,5175
38,09/09/16,18.20,18.26,17.49,17.63,984279,-0.83551,-4.55%,17.5358,17.47m,6684
39,09/08/16,18.52,18.63,18.35,18.47,889157,-0.059679,-0.32%,18.3713,16.43m,3610
40,09/07/16,18.50,18.68,18.32,18.53,1219862,-0.069626,-0.38%,18.431,22.62m,7177
41,09/06/16,18.31,18.71,18.08,18.60,987929,0.397862,2.20%,18.5006,18.28m,6678
42,09/05/16,,,,18.20,0,,0.00%,18.1027,,
