,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,125.68,125.825,122.37,123.83,874791,-1.51,-1.20%,123.83,108.58m,10111
2,10/31/16,124.37,126.13,124.11,125.34,1101293,1.34,1.08%,125.34,138.05m,13731
3,10/28/16,123.30,124.945,122.00,124.00,1329255,0.05,0.04%,124.00,164.56m,13702
4,10/27/16,126.56,126.80,123.94,123.95,1461919,-2.51,-1.98%,123.95,182.31m,15419
5,10/26/16,133.89,134.21,123.19,126.46,3991360,-11.95,-8.63%,126.46,506.41m,36239
6,10/25/16,139.94,140.21,138.10,138.41,718604,-1.26,-0.90%,138.41,99.69m,9114
7,10/24/16,139.44,140.27,139.17,139.67,662963,0.91,0.66%,139.67,92.63m,7753
8,10/21/16,138.93,139.27,138.23,138.76,669415,-1.06,-0.76%,138.76,92.89m,6749
9,10/20/16,137.78,139.99,137.36,139.82,832022,1.79,1.30%,139.82,115.86m,10082
10,10/19/16,138.74,138.74,137.39,138.03,571504,-0.28,-0.20%,138.03,78.85m,5840
11,10/18/16,137.29,138.95,136.94,138.31,681650,2.34,1.72%,138.31,94.29m,6527
12,10/17/16,135.84,136.44,135.50,135.97,298746,0.18,0.13%,135.97,40.62m,3900
13,10/14/16,137.02,137.34,135.77,135.79,482797,-0.58,-0.43%,135.79,65.77m,5340
14,10/13/16,135.79,137.06,134.9301,136.37,475471,-0.15,-0.11%,136.37,64.81m,6114
15,10/12/16,136.52,137.20,136.07,136.52,396644,0.04,0.03%,136.52,54.2m,5161
16,10/11/16,138.57,139.13,135.83,136.48,430545,-2.62,-1.88%,136.48,58.9m,6118
17,10/10/16,139.25,140.00,138.75,139.10,483268,0.23,0.17%,139.10,67.36m,5424
18,10/07/16,137.59,139.24,137.15,138.87,931437,1.39,1.01%,138.87,129.04m,9143
19,10/06/16,136.38,137.51,135.8414,137.48,484106,0.85,0.62%,137.48,66.3m,6823
20,10/05/16,136.67,137.05,135.826,136.63,439156,0.63,0.46%,136.63,59.96m,5910
21,10/04/16,136.04,136.96,134.85,136.00,461984,-0.33,-0.24%,136.00,62.74m,5942
22,10/03/16,136.95,137.33,135.97,136.33,474173,-1.15,-0.84%,136.33,64.76m,6265
23,09/30/16,135.91,138.04,135.175,137.48,663324,2.02,1.49%,137.48,91.01m,7057
24,09/29/16,136.90,137.105,134.67,135.46,447619,-1.43,-1.04%,135.46,60.77m,6062
25,09/28/16,137.84,138.25,135.72,136.89,727339,-0.90,-0.65%,136.89,99.39m,7811
26,09/27/16,137.26,137.81,136.63,137.79,470743,0.77,0.56%,137.79,64.73m,5180
27,09/26/16,136.59,137.16,136.36,137.02,642729,-0.37,-0.27%,137.02,87.96m,6534
28,09/23/16,137.55,138.02,136.635,137.39,342435,-0.44,-0.32%,137.39,46.99m,4506
29,09/22/16,137.46,138.224,137.22,137.83,421597,1.11,0.81%,137.83,58.09m,4891
30,09/21/16,134.97,136.91,134.63,136.72,407258,2.05,1.52%,136.72,55.33m,5581
