,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,24.12,24.63,23.9308,24.08,292832,-0.15774,-0.66%,23.7399,7.06m,2735
2,10/31/16,25.01,25.10,24.17,24.24,328450,-0.946441,-3.81%,23.8976,8.01m,2818
3,10/28/16,24.87,25.74,24.381,25.20,766958,0.098587,0.40%,24.8441,19.22m,2545
4,10/27/16,25.70,25.99,24.72,25.10,541852,-0.70983,-2.79%,24.7455,13.68m,2603
5,10/26/16,24.66,26.12,24.66,25.82,434189,0.926723,3.78%,25.4553,11.18m,3641
6,10/25/16,24.65,25.36,24.59,24.88,486214,-0.029576,-0.12%,24.5286,12.15m,2120
7,10/24/16,24.55,25.00,24.1098,24.91,166758,0.15774,0.65%,24.5582,4.11m,1922
8,10/21/16,24.25,24.80,23.88,24.75,239510,0.552091,2.32%,24.4004,5.89m,1866
9,10/20/16,24.30,24.79,23.83,24.19,396507,-0.670396,-2.73%,23.8483,9.57m,2921
10,10/19/16,25.36,26.26,24.76,24.87,432195,-0.887289,-3.49%,24.5187,10.97m,3795
11,10/18/16,24.75,26.095,24.35,25.77,475464,1.0352,4.25%,25.406,12.06m,3294
12,10/17/16,23.75,24.98,23.51,24.72,627062,0.857712,3.65%,24.3709,15.41m,3748
13,10/14/16,23.70,23.93,23.35,23.85,412257,0.147882,0.63%,23.5131,9.75m,2855
14,10/13/16,23.64,24.24,23.38,23.70,871870,-0.404209,-1.70%,23.3653,20.68m,6444
15,10/12/16,25.00,25.68,23.84,24.11,1257777,-0.749266,-3.06%,23.7695,30.91m,9065
16,10/11/16,24.35,25.24,23.74,24.87,1827282,0.31548,1.30%,24.5187,44.2m,8400
17,10/10/16,23.68,25.31,23.68,24.55,727191,0.542232,2.29%,24.2033,17.84m,4872
18,10/07/16,26.70,26.80,23.94,24.00,1101288,-2.8492,-10.75%,23.661,27.67m,6509
19,10/06/16,26.74,27.74,26.01,26.89,1268940,-0.187316,-0.70%,26.5102,34.15m,6466
20,10/05/16,28.37,28.52,26.57,27.08,894287,-1.6563,-5.84%,26.6975,24.68m,6976
21,10/04/16,28.30,30.70,28.13,28.76,1783264,0.147882,0.52%,28.3538,52.57m,12205
22,10/03/16,36.80,36.89,26.51,28.61,2236692,28.2059,0.00%,28.2059,68.06m,10262
