,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,15.34,15.65,14.80,15.18,2056811,-0.33,-2.13%,15.18,31.16m,12307
2,10/31/16,18.45,18.549,15.0292,15.51,6658792,-2.97,-16.07%,15.51,105.7m,34732
3,10/28/16,18.10,18.80,18.03,18.48,825189,0.40,2.21%,18.48,15.3m,5045
4,10/27/16,18.44,18.6811,17.945,18.08,614338,-0.29,-1.58%,18.08,11.13m,3652
5,10/26/16,18.47,18.95,18.25,18.37,576815,-0.11,-0.60%,18.37,10.7m,4307
6,10/25/16,19.02,19.03,18.35,18.48,520574,-0.55,-2.89%,18.48,9.68m,3301
7,10/24/16,19.47,19.53,18.80,19.03,655152,-0.19,-0.99%,19.03,12.49m,4003
8,10/21/16,18.90,19.39,18.77,19.22,590015,0.12,0.63%,19.22,11.33m,3754
9,10/20/16,18.98,19.384,18.86,19.10,610926,0.05,0.26%,19.10,11.72m,4566
10,10/19/16,19.13,19.31,18.92,19.05,769309,0.08,0.42%,19.05,14.7m,5197
11,10/18/16,18.98,19.35,18.60,18.97,748324,0.23,1.23%,18.97,14.24m,4814
12,10/17/16,18.66,19.01,18.56,18.74,835700,0.10,0.54%,18.74,15.71m,4555
13,10/14/16,18.90,19.02,18.63,18.64,467200,-0.11,-0.59%,18.64,8.77m,3396
14,10/13/16,18.83,18.95,18.5603,18.75,534283,-0.36,-1.88%,18.75,10m,3791
15,10/12/16,18.92,19.44,18.80,19.11,424405,0.28,1.49%,19.11,8.14m,3047
16,10/11/16,19.40,19.4304,18.691,18.83,697872,-0.61,-3.14%,18.83,13.21m,4155
17,10/10/16,19.63,19.7996,19.30,19.44,400544,-0.04,-0.21%,19.44,7.81m,2916
18,10/07/16,19.70,20.09,19.38,19.48,648475,-0.14,-0.71%,19.48,12.73m,4086
19,10/06/16,19.47,19.71,19.11,19.62,768198,0.17,0.87%,19.62,14.98m,4774
20,10/05/16,19.06,19.75,19.00,19.45,791774,0.52,2.75%,19.45,15.4m,5069
21,10/04/16,19.55,20.10,18.90,18.93,1217017,-0.60,-3.07%,18.93,23.52m,7419
22,10/03/16,19.67,19.8189,19.33,19.53,488097,-0.14,-0.71%,19.53,9.53m,3088
23,09/30/16,19.27,19.82,19.21,19.67,1062477,0.60,3.15%,19.67,20.87m,5354
24,09/29/16,18.20,20.09,18.20,19.07,2148537,0.86,4.72%,19.07,41.78m,10139
25,09/28/16,18.04,18.29,17.87,18.21,830808,0.20,1.11%,18.21,15.05m,3751
26,09/27/16,17.75,18.05,17.59,18.01,826527,0.22,1.24%,18.01,14.75m,4922
27,09/26/16,17.96,18.083,17.77,17.79,579369,-0.18,-1.00%,17.79,10.36m,3913
28,09/23/16,18.29,18.69,17.68,17.97,1433894,-0.26,-1.43%,17.97,25.93m,8215
29,09/22/16,17.14,18.30,17.14,18.23,2687764,1.16,6.80%,18.23,48.21m,13302
30,09/21/16,15.89,17.09,15.89,17.07,2393216,1.46,9.35%,17.07,39.94m,11000
31,09/20/16,15.93,15.939,15.60,15.61,341368,-0.26,-1.64%,15.61,5.37m,2498
32,09/19/16,15.71,16.33,15.65,15.87,622857,0.19,1.21%,15.87,9.96m,3845
33,09/16/16,15.67,15.87,15.53,15.68,461441,-0.10,-0.63%,15.68,7.23m,2628
34,09/15/16,15.30,15.785,15.26,15.78,680034,0.47,3.07%,15.78,10.58m,4573
35,09/14/16,15.53,15.74,15.305,15.31,563126,-0.22,-1.42%,15.31,8.69m,3678
36,09/13/16,15.83,16.02,15.38,15.53,443997,-0.48,-3.00%,15.53,6.91m,4331
37,09/12/16,15.68,16.07,15.49,16.01,527984,0.34,2.17%,16.01,8.38m,5326
38,09/09/16,15.99,16.0799,15.58,15.67,670166,-0.42,-2.61%,15.67,10.56m,5426
39,09/08/16,15.89,16.306,15.88,16.09,575122,0.02,0.12%,16.09,9.29m,4501
40,09/07/16,15.70,16.09,15.65,16.07,504539,0.33,2.10%,16.07,8.04m,4342
41,09/06/16,16.00,16.00,15.62,15.74,357148,-0.17,-1.07%,15.74,5.63m,2252
42,09/05/16,,,,15.91,0,,0.00%,15.91,,
43,09/02/16,15.68,15.97,15.63,15.91,408951,0.31,1.99%,15.91,6.49m,2400
44,09/01/16,15.75,15.78,15.35,15.60,560741,-0.16,-1.02%,15.60,8.68m,4167
45,08/31/16,15.95,16.20,15.67,15.76,462963,-0.22,-1.38%,15.76,7.33m,2765
46,08/30/16,16.09,16.25,15.85,15.98,394985,-0.08,-0.50%,15.98,6.32m,2758
47,08/29/16,15.98,16.23,15.95,16.06,336149,0.09,0.56%,16.06,5.42m,2332
48,08/26/16,16.22,16.38,15.80,15.97,582213,-0.22,-1.36%,15.97,9.32m,3535
49,08/25/16,15.75,16.33,15.75,16.19,718726,0.35,2.21%,16.19,11.61m,4005
50,08/24/16,16.25,16.41,15.80,15.84,922960,-0.47,-2.88%,15.84,14.77m,5054
51,08/23/16,16.35,16.62,16.26,16.31,694179,0.05,0.31%,16.31,11.39m,4020
52,08/22/16,16.33,16.39,16.12,16.26,555014,-0.09,-0.55%,16.26,9.01m,3462
53,08/19/16,16.72,16.73,16.27,16.35,652463,-0.46,-2.74%,16.35,10.72m,4026
54,08/18/16,16.78,17.08,16.58,16.81,809618,-0.03,-0.18%,16.81,13.65m,4302
55,08/17/16,17.65,17.84,16.39,16.84,3438474,0.56,3.44%,16.84,58.49m,15097
56,08/16/16,16.46,16.49,16.131,16.28,328707,-0.13,-0.79%,16.28,5.37m,2021
57,08/15/16,16.34,16.56,16.32,16.41,503383,0.09,0.55%,16.41,8.28m,3541
58,08/12/16,16.11,16.52,16.11,16.32,634163,0.09,0.55%,16.32,10.35m,4241
59,08/11/16,16.00,16.35,15.93,16.23,589453,0.35,2.20%,16.23,9.53m,3512
60,08/10/16,15.93,16.089,15.6652,15.88,550506,0.03,0.19%,15.88,8.72m,3507
61,08/09/16,15.91,16.08,15.73,15.85,694585,-0.12,-0.75%,15.85,11.01m,4071
62,08/08/16,15.67,16.19,15.67,15.97,925894,0.36,2.31%,15.97,14.78m,5523
63,08/05/16,15.46,15.83,15.32,15.61,858746,0.39,2.56%,15.61,13.42m,4544
64,08/04/16,15.50,15.85,15.20,15.22,761238,-0.39,-2.50%,15.22,11.74m,4267
65,08/03/16,15.06,15.63,14.95,15.61,945360,0.41,2.70%,15.61,14.61m,5507
66,08/02/16,15.27,15.45,15.04,15.20,1027213,-0.11,-0.72%,15.20,15.62m,5862
67,08/01/16,14.98,15.41,14.51,15.31,1697802,0.28,1.86%,15.31,25.87m,9338
68,07/29/16,14.38,15.06,14.26,15.03,1465794,0.54,3.73%,15.03,21.62m,7166
69,07/28/16,15.06,15.30,14.4435,14.49,2210407,-0.61,-4.04%,14.49,32.42m,12061
70,07/27/16,15.77,16.33,14.85,15.10,4213403,-1.88,-11.07%,15.10,64.6m,22412
71,07/26/16,16.86,17.44,16.85,16.98,1266847,0.08,0.47%,16.98,21.69m,6822
72,07/25/16,17.10,17.10,16.45,16.90,1262348,-0.42,-2.42%,16.90,21.2m,6867
73,07/22/16,17.28,17.48,17.0083,17.32,727851,0.00,0.00%,17.32,12.53m,4366
74,07/21/16,16.98,17.447,16.93,17.32,637174,0.15,0.87%,17.32,11m,4078
75,07/20/16,17.11,17.2899,16.72,17.17,596206,0.07,0.41%,17.17,10.21m,3808
76,07/19/16,17.24,17.42,16.97,17.10,465178,-0.22,-1.27%,17.10,7.99m,2626
77,07/18/16,16.79,17.549,16.7247,17.32,828362,0.57,3.40%,17.32,14.32m,4900
78,07/15/16,16.93,17.13,16.69,16.75,583617,-0.10,-0.59%,16.75,9.85m,3334
79,07/14/16,17.16,17.37,16.79,16.85,745103,-0.20,-1.17%,16.85,12.69m,4487
80,07/13/16,17.62,17.875,16.78,17.05,955720,-0.50,-2.85%,17.05,16.45m,4858
81,07/12/16,17.75,17.99,17.515,17.55,1579499,0.08,0.46%,17.55,27.99m,8324
82,07/11/16,16.96,17.58,16.93,17.47,1121230,0.62,3.68%,17.47,19.51m,5773
83,07/08/16,16.50,17.16,16.50,16.85,1012875,0.49,3.00%,16.85,17.13m,5427
84,07/07/16,15.94,16.56,15.92,16.36,904446,0.55,3.48%,16.36,14.78m,4582
85,07/06/16,15.22,15.89,15.1501,15.81,613500,0.32,2.07%,15.81,9.61m,3711
86,07/05/16,15.72,15.8399,15.02,15.49,784174,-0.39,-2.46%,15.49,12.02m,4677
87,07/04/16,,,,15.88,0,,0.00%,15.88,,
88,07/01/16,15.51,16.13,15.46,15.88,1025524,0.46,2.98%,15.88,16.29m,5348
89,06/30/16,15.27,15.43,14.90,15.42,1515719,0.10,0.65%,15.42,23.09m,6811
90,06/29/16,14.89,15.41,14.77,15.32,851304,0.63,4.29%,15.32,12.92m,4094
91,06/28/16,14.53,14.94,14.469,14.69,982226,0.40,2.80%,14.69,14.51m,5355
92,06/27/16,15.36,15.4989,14.13,14.29,1881835,-1.42,-9.04%,14.29,27.39m,8284
93,06/24/16,15.09,15.81,15.00,15.71,1260296,-0.07,-0.44%,15.71,19.59m,5327
94,06/23/16,15.44,15.86,15.42,15.78,903294,0.36,2.33%,15.78,14.2m,4881
95,06/22/16,15.58,15.76,15.26,15.42,847846,-0.03,-0.19%,15.42,13.16m,4258
96,06/21/16,16.00,16.10,15.20,15.45,1648719,-0.48,-3.01%,15.45,25.52m,7501
97,06/20/16,16.00,16.25,15.34,15.93,2166287,0.15,0.95%,15.93,34.3m,8833
98,06/17/16,14.27,16.4854,14.19,15.78,7126418,2.55,19.27%,15.78,112.16m,28137
99,06/16/16,13.00,13.34,12.67,13.23,684056,0.09,0.68%,13.23,8.89m,3585
100,06/15/16,13.25,13.67,13.13,13.14,918148,-0.02,-0.15%,13.14,12.26m,4923
101,06/14/16,13.29,13.46,12.90,13.16,674048,-0.19,-1.42%,13.16,8.84m,4639
102,06/13/16,13.45,13.60,13.12,13.35,1147953,-0.15,-1.11%,13.35,15.31m,6391
