,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,56.15,56.15,53.64,54.26,21089863,-1.89,-3.37%,54.26,1.15b,106074
2,10/31/16,56.65,57.00,56.05,56.15,44799877,2.10,3.89%,56.15,2.53b,213568
3,10/28/16,52.93,54.50,52.93,54.05,9660795,2.18,4.20%,54.05,520.8m,56133
4,10/27/16,47.10,53.20,46.45,51.87,19582453,4.95,10.55%,51.87,1b,96942
5,10/26/16,46.63,47.06,46.35,46.92,1847562,0.02,0.04%,46.92,86.48m,12857
6,10/25/16,47.26,47.46,46.82,46.90,1879064,-0.47,-0.99%,46.90,88.45m,11111
7,10/24/16,47.37,47.87,47.34,47.37,1898718,0.23,0.49%,47.37,90.11m,10756
8,10/21/16,47.04,47.49,47.01,47.14,1875729,-0.38,-0.80%,47.14,88.62m,11798
9,10/20/16,47.46,47.56,47.079,47.52,2031325,-0.11,-0.23%,47.52,96.34m,15012
10,10/19/16,47.12,47.66,46.81,47.63,2530606,0.56,1.19%,47.63,119.95m,17535
11,10/18/16,46.66,47.282,46.44,47.07,2286582,0.98,2.13%,47.07,107.73m,16582
12,10/17/16,46.10,46.58,45.88,46.09,3437742,-0.06,-0.13%,46.09,158.58m,15676
13,10/14/16,46.21,46.66,45.95,46.15,3581578,1.06,2.35%,46.15,165.76m,21785
14,10/13/16,44.48,45.31,44.01,45.09,2561816,-0.14,-0.31%,45.09,115.19m,20587
15,10/12/16,45.34,45.67,45.21,45.23,1626708,-0.15,-0.33%,45.23,73.8m,12378
16,10/11/16,45.82,45.82,45.19,45.38,2285497,-0.66,-1.43%,45.38,103.89m,13876
17,10/10/16,46.20,46.32,45.83,46.04,1092523,0.22,0.48%,46.04,50.33m,10437
18,10/07/16,45.88,46.45,45.58,45.82,2588362,0.11,0.24%,45.82,118.76m,16983
19,10/06/16,45.48,45.73,44.96,45.71,2019405,0.09,0.20%,45.71,91.85m,13953
20,10/05/16,45.89,46.07,45.40,45.62,3284498,0.00,0.00%,45.62,149.91m,20846
21,10/04/16,46.09,46.35,45.43,45.62,3113213,-0.39,-0.85%,45.62,142.48m,23639
22,10/03/16,46.31,46.39,45.415,46.01,3387845,-0.37,-0.80%,46.01,155.18m,22649
23,09/30/16,46.61,46.87,46.23,46.38,6158283,-0.05,-0.11%,46.38,286.06m,30401
24,09/29/16,47.72,47.72,46.17,46.43,3153159,-1.23,-2.58%,46.43,147.72m,17058
25,09/28/16,47.21,47.68,46.87,47.66,2444531,0.60,1.27%,47.66,115.55m,14819
26,09/27/16,47.08,47.25,46.90,47.06,2645564,0.03,0.06%,47.06,124.46m,16951
27,09/26/16,47.23,47.47,46.56,47.03,2285794,-0.52,-1.09%,47.03,107.64m,16773
28,09/23/16,47.14,47.85,47.1201,47.55,3135539,0.15,0.32%,47.55,149.27m,24327
29,09/22/16,48.00,48.00,45.20,47.40,11674021,-1.01,-2.09%,47.40,545.83m,65731
30,09/21/16,48.31,48.67,47.85,48.41,2439129,0.31,0.64%,48.41,117.83m,17311
31,09/20/16,49.48,49.53,48.09,48.10,2254262,-1.04,-2.12%,48.10,109.34m,14291
32,09/19/16,48.91,49.40,48.78,49.14,1765784,0.48,0.99%,49.14,86.63m,14516
33,09/16/16,48.43,48.72,48.19,48.66,3277254,-0.14,-0.29%,48.66,159.02m,16781
34,09/15/16,48.15,48.86,47.985,48.80,1610475,0.65,1.35%,48.80,78.3m,12278
35,09/14/16,48.34,48.56,47.93,48.15,3363184,-0.31,-0.64%,48.15,162.29m,22131
36,09/13/16,49.09,49.15,48.17,48.46,4559897,-1.18,-2.38%,48.46,221.19m,28712
37,09/12/16,47.99,49.78,47.90,49.64,2794559,1.29,2.67%,49.64,137.43m,22219
38,09/09/16,49.59,49.77,48.35,48.35,3314893,-1.69,-3.38%,48.35,162.29m,23208
39,09/08/16,50.09,50.62,49.93,50.04,2465918,-0.08,-0.16%,50.04,123.72m,18719
40,09/07/16,50.14,50.25,49.875,50.12,2122020,-0.04,-0.08%,50.12,106.17m,14814
41,09/06/16,50.16,50.47,49.77,50.16,2068331,0.03,0.06%,50.16,103.57m,15772
42,09/05/16,,,,50.13,0,,0.00%,50.13,,
43,09/02/16,50.00,50.40,49.70,50.13,1548918,0.40,0.80%,50.13,77.41m,9326
44,09/01/16,49.52,49.83,49.47,49.73,2265074,0.10,0.20%,49.73,112.39m,15547
45,08/31/16,49.82,49.82,49.29,49.63,2212572,-0.40,-0.80%,49.63,109.7m,14215
46,08/30/16,49.67,50.04,49.58,50.03,2038697,0.40,0.81%,50.03,101.73m,13991
47,08/29/16,49.34,49.69,49.26,49.63,1234108,0.35,0.71%,49.63,61.11m,9410
48,08/26/16,49.40,49.98,48.86,49.28,1568603,-0.16,-0.32%,49.28,77.3m,11944
49,08/25/16,49.45,49.915,49.26,49.44,1590650,-0.23,-0.46%,49.44,78.85m,11394
50,08/24/16,49.98,50.27,49.50,49.67,4303084,0.41,0.83%,49.67,214.24m,28236
51,08/23/16,49.07,49.59,48.91,49.26,2164196,0.49,1.00%,49.26,106.59m,15034
52,08/22/16,48.28,48.82,47.95,48.77,2199755,0.23,0.47%,48.77,106.88m,16988
53,08/19/16,48.11,48.59,47.58,48.54,2088735,0.10,0.21%,48.54,100.83m,15301
54,08/18/16,48.49,48.507,47.95,48.44,1892325,-0.08,-0.16%,48.44,91.37m,13757
55,08/17/16,48.90,48.964,48.035,48.52,2351781,-0.17,-0.35%,48.52,113.67m,18733
56,08/16/16,49.46,49.5125,48.59,48.69,1601791,-0.89,-1.80%,48.69,78.28m,13056
57,08/15/16,49.79,49.86,49.395,49.58,3030696,-0.15,-0.30%,49.58,150.27m,18837
58,08/12/16,50.06,50.06,49.56,49.73,1752694,-0.41,-0.82%,49.73,87.22m,11296
59,08/11/16,50.37,50.45,50.04,50.14,1497820,-0.11,-0.22%,50.14,75.15m,11915
60,08/10/16,50.30,50.33,50.03,50.25,1795837,0.10,0.20%,50.25,90.16m,10714
61,08/09/16,50.06,50.55,49.84,50.15,2553229,0.08,0.16%,50.15,128.12m,16899
62,08/08/16,49.54,50.45,49.48,50.07,3423433,0.80,1.62%,50.07,171.11m,25363
63,08/05/16,49.29,49.56,49.05,49.27,1579196,0.29,0.59%,49.27,77.78m,10899
64,08/04/16,49.64,49.64,48.65,48.98,1583577,-0.29,-0.59%,48.98,77.58m,11557
65,08/03/16,48.85,49.27,48.49,49.27,2373061,0.45,0.92%,49.27,116.42m,15653
66,08/02/16,49.60,49.61,48.07,48.82,4085534,-0.75,-1.51%,48.82,199.25m,25437
67,08/01/16,50.58,50.78,49.41,49.57,3513534,-1.03,-2.04%,49.57,175.16m,22780
68,07/29/16,50.74,50.95,50.13,50.60,3328322,-0.29,-0.57%,50.60,168.08m,21677
69,07/28/16,52.25,52.50,50.43,50.89,5027897,-1.76,-3.34%,50.89,256.93m,32070
70,07/27/16,54.17,54.50,51.96,52.65,7590916,-3.34,-5.97%,52.65,399.86m,45097
71,07/26/16,56.13,56.3199,55.77,55.99,3150382,-0.14,-0.25%,55.99,176.43m,23443
72,07/25/16,56.85,56.91,56.07,56.13,2140768,-0.77,-1.35%,56.13,120.46m,13270
73,07/22/16,56.49,56.94,56.34,56.90,3209758,0.53,0.94%,56.90,182.06m,16874
74,07/21/16,56.98,57.26,56.25,56.37,2088462,-0.81,-1.42%,56.37,118.37m,13664
75,07/20/16,56.69,57.21,56.11,57.18,2344062,0.67,1.19%,57.18,133.04m,14821
76,07/19/16,56.44,56.595,56.265,56.51,1330760,-0.22,-0.39%,56.51,75.13m,11114
77,07/18/16,56.47,56.78,56.24,56.73,1386841,0.07,0.12%,56.73,78.49m,10675
78,07/15/16,56.88,57.14,56.48,56.66,1671948,0.11,0.19%,56.66,94.89m,11933
79,07/14/16,56.74,57.05,56.195,56.55,2299865,0.25,0.44%,56.55,129.95m,17469
80,07/13/16,54.70,57.59,54.25,56.30,7938787,1.92,3.53%,56.30,447.55m,49408
81,07/12/16,53.18,54.70,53.18,54.38,1949257,1.44,2.72%,54.38,105.97m,13945
82,07/11/16,52.76,53.31,52.67,52.94,1435220,0.21,0.40%,52.94,76.12m,10921
83,07/08/16,51.68,52.80,51.54,52.73,1575729,1.52,2.97%,52.73,82.63m,11668
84,07/07/16,51.12,51.68,50.86,51.21,991480,0.10,0.20%,51.21,50.73m,8507
85,07/06/16,50.28,51.13,49.74,51.11,1948435,0.53,1.05%,51.11,99m,13409
86,07/05/16,51.73,51.75,50.32,50.58,3091359,-1.36,-2.62%,50.58,156.82m,21241
87,07/04/16,,,,51.94,0,,0.00%,51.94,,
88,07/01/16,51.53,52.42,51.19,51.94,2292197,0.45,0.87%,51.94,119.03m,15604
89,06/30/16,50.51,51.49,50.32,51.49,2168615,0.98,1.94%,51.49,110.91m,15422
90,06/29/16,49.65,50.70,49.57,50.51,2263354,1.41,2.87%,50.51,113.69m,15165
91,06/28/16,48.02,49.18,47.80,49.10,2705700,1.67,3.52%,49.10,131.67m,17114
92,06/27/16,48.47,48.49,47.06,47.43,2385579,-1.66,-3.38%,47.43,113.46m,18803
93,06/24/16,50.15,50.49,49.07,49.09,4869568,-3.36,-6.41%,49.09,241.26m,30558
94,06/23/16,52.10,52.45,51.75,52.45,1228787,0.78,1.51%,52.45,64.1m,9864
95,06/22/16,51.71,52.31,51.66,51.67,1425705,-0.09,-0.17%,51.67,74.1m,10357
96,06/21/16,51.72,51.79,51.26,51.76,1598373,0.21,0.41%,51.76,82.54m,10168
97,06/20/16,51.81,52.20,51.48,51.55,1016849,0.33,0.64%,51.55,52.62m,8330
98,06/17/16,51.25,51.38,50.85,51.22,1300055,-0.02,-0.04%,51.22,66.51m,7762
99,06/16/16,50.67,51.26,50.22,51.24,1109057,0.20,0.39%,51.24,56.46m,9459
100,06/15/16,51.34,51.67,50.97,51.04,850197,-0.12,-0.23%,51.04,43.59m,8012
101,06/14/16,51.31,51.64,50.80,51.16,1296941,-0.15,-0.29%,51.16,66.29m,10804
102,06/13/16,52.01,52.39,51.30,51.31,1452259,-0.96,-1.84%,51.31,75.25m,12477
103,06/10/16,52.63,52.73,52.14,52.27,1485868,-0.81,-1.53%,52.27,77.91m,12554
104,06/09/16,53.14,53.34,52.815,53.08,875173,-0.25,-0.47%,53.08,46.47m,7624
105,06/08/16,53.24,53.60,52.87,53.33,2188959,0.00,0.00%,53.33,116.34m,18727
106,06/07/16,53.06,53.56,52.825,53.33,1151243,0.44,0.83%,53.33,61.43m,9213
107,06/06/16,52.86,53.15,52.53,52.89,1265582,0.03,0.06%,52.89,66.99m,9702
108,06/03/16,53.40,53.47,52.54,52.86,1363824,-0.89,-1.66%,52.86,72.18m,10298
109,06/02/16,53.27,53.75,53.08,53.75,1079244,0.45,0.84%,53.75,57.9m,7733
110,06/01/16,53.58,53.87,53.105,53.30,2164704,-0.65,-1.20%,53.30,115.58m,16505
111,05/31/16,53.76,54.13,53.58,53.95,1452685,0.27,0.50%,53.95,78.29m,9240
112,05/30/16,,,,53.68,0,,0.00%,53.68,,
113,05/27/16,53.46,53.909,53.42,53.68,963826,0.27,0.51%,53.68,51.72m,6881
114,05/26/16,52.73,53.69,52.585,53.41,1291208,0.70,1.33%,53.41,68.91m,10558
115,05/25/16,53.17,53.42,52.70,52.71,964425,-0.34,-0.64%,52.71,51.03m,7770
116,05/24/16,52.13,53.13,51.95,53.05,1047318,1.06,2.04%,53.05,55.39m,9252
117,05/23/16,52.18,52.60,51.96,51.99,1059342,-0.29,-0.55%,51.99,55.32m,8170
118,05/20/16,52.02,52.46,51.92,52.28,1551127,0.51,0.99%,52.28,80.99m,10853
119,05/19/16,51.60,51.87,51.28,51.77,1323969,-0.16,-0.31%,51.77,68.43m,11423
120,05/18/16,51.65,52.36,51.41,51.93,1649949,0.16,0.31%,51.93,85.68m,12649
121,05/17/16,52.19,52.555,51.615,51.77,1983288,-0.64,-1.22%,51.77,103.3m,12667
122,05/16/16,51.77,52.52,51.60,52.41,2242195,0.64,1.24%,52.41,117.08m,16045
123,05/13/16,52.32,53.11,51.71,51.77,2256372,-0.71,-1.35%,51.77,117.99m,17941
124,05/12/16,53.04,53.67,52.355,52.48,2394750,-0.25,-0.47%,52.48,126.11m,17414
125,05/11/16,52.80,53.30,52.5424,52.73,1836445,-0.17,-0.32%,52.73,97.11m,12440
126,05/10/16,51.47,52.94,51.31,52.90,1630963,1.54,3.00%,52.90,85.83m,12979
127,05/09/16,51.75,51.77,51.08,51.36,1412939,-0.42,-0.81%,51.36,72.73m,9512
128,05/06/16,50.76,51.78,50.51,51.78,1782762,0.93,1.83%,51.78,91.65m,14326
129,05/05/16,51.32,51.86,50.78,50.85,1516874,-0.47,-0.92%,50.85,77.61m,12639
130,05/04/16,51.26,51.57,51.015,51.32,1408865,-0.33,-0.64%,51.32,72.2m,11791
