,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,52.75,53.05,51.70,52.00,263152,-1.00,-1.89%,52.00,13.74m,2329
2,10/31/16,52.90,53.65,52.85,53.00,213713,0.45,0.86%,53.00,11.38m,2223
3,10/28/16,52.30,53.35,52.20,52.55,80576,0.05,0.10%,52.55,4.24m,927
4,10/27/16,52.50,53.40,52.30,52.50,140713,0.00,0.00%,52.50,7.45m,1545
5,10/26/16,51.80,53.40,51.65,52.50,259806,0.50,0.96%,52.50,13.63m,2477
6,10/25/16,52.95,53.40,52.00,52.00,134111,-1.45,-2.71%,52.00,7.03m,1351
7,10/24/16,51.80,53.65,51.59,53.45,175348,2.10,4.09%,53.45,9.35m,1218
8,10/21/16,51.50,51.85,50.35,51.35,146662,-0.50,-0.96%,51.35,7.49m,1463
9,10/20/16,51.55,52.35,51.45,51.85,79862,-0.20,-0.38%,51.85,4.14m,871
10,10/19/16,51.65,52.75,51.40,52.05,147997,0.35,0.68%,52.05,7.68m,1521
11,10/18/16,52.95,52.95,51.70,51.70,130747,-0.30,-0.58%,51.70,6.79m,1241
12,10/17/16,52.25,52.70,51.60,52.00,82590,-0.19,-0.36%,52.00,4.29m,787
13,10/14/16,52.48,52.89,51.60,52.19,173812,-0.29,-0.55%,52.19,9.06m,1679
14,10/13/16,51.03,52.97,50.98,52.48,248274,0.95,1.84%,52.48,12.93m,2254
15,10/12/16,52.73,52.73,51.44,51.53,220279,-1.04,-1.98%,51.53,11.44m,2353
16,10/11/16,53.72,54.09,52.33,52.57,128228,-1.31,-2.43%,52.57,6.78m,1465
17,10/10/16,53.86,54.84,53.61,53.88,143451,0.51,0.96%,53.88,7.78m,1672
18,10/07/16,54.33,54.88,53.35,53.37,169663,-1.04,-1.91%,53.37,9.13m,1659
19,10/06/16,54.88,55.33,53.75,54.41,128070,-0.60,-1.09%,54.41,6.94m,1749
20,10/05/16,54.27,55.92,54.23,55.01,197745,0.85,1.57%,55.01,10.92m,2080
21,10/04/16,53.40,55.30,52.90,54.16,510126,1.44,2.73%,54.16,27.87m,3880
22,10/03/16,52.46,53.3027,52.43,52.72,115260,-0.13,-0.25%,52.72,6.08m,1435
23,09/30/16,52.25,53.80,50.76,52.85,599214,1.40,2.72%,52.85,31.44m,6623
24,09/29/16,52.71,53.99,51.20,51.45,429949,-1.43,-2.70%,51.45,22.51m,4777
25,09/28/16,52.37,52.94,51.71,52.88,102363,0.84,1.61%,52.88,5.37m,1036
26,09/27/16,51.93,52.91,51.69,52.04,200526,0.09,0.17%,52.04,10.5m,1799
27,09/26/16,55.20,55.48,51.90,51.95,445372,-3.80,-6.82%,51.95,23.69m,3842
28,09/23/16,54.92,55.80,54.34,55.75,346942,0.69,1.25%,55.75,19.14m,3132
29,09/22/16,54.90,55.285,54.01,55.06,451194,0.76,1.40%,55.06,24.73m,3422
30,09/21/16,53.44,54.32,53.23,54.30,216418,1.12,2.11%,54.30,11.63m,2287
31,09/20/16,53.63,53.68,53.05,53.18,188534,-0.02,-0.04%,53.18,10.06m,1678
32,09/19/16,52.71,53.255,51.98,53.20,331560,1.05,2.01%,53.20,17.59m,2682
33,09/16/16,51.97,52.26,51.06,52.15,193344,-0.15,-0.29%,52.15,10.02m,1725
34,09/15/16,52.03,52.74,52.03,52.30,231977,0.30,0.58%,52.30,12.15m,2197
35,09/14/16,52.20,52.32,51.49,52.00,283754,-0.11,-0.21%,52.00,14.75m,2410
36,09/13/16,53.00,53.26,51.82,52.11,231918,-1.30,-2.43%,52.11,12.12m,2238
37,09/12/16,52.87,53.47,52.191,53.41,211602,0.21,0.39%,53.41,11.18m,2207
38,09/09/16,54.55,54.55,53.15,53.20,305571,-1.65,-3.01%,53.20,16.37m,3270
39,09/08/16,53.27,55.01,53.27,54.85,246523,1.09,2.03%,54.85,13.46m,2346
40,09/07/16,54.19,54.61,53.32,53.76,345164,-0.75,-1.38%,53.76,18.55m,2584
41,09/06/16,54.68,55.15,54.32,54.51,129918,-0.10,-0.18%,54.51,7.09m,1533
42,09/05/16,,,,54.61,0,,0.00%,54.61,,
43,09/02/16,53.01,55.26,53.01,54.61,338838,1.83,3.47%,54.61,18.5m,2720
44,09/01/16,51.00,53.59,51.00,52.78,622822,1.47,2.86%,52.78,32.89m,4577
45,08/31/16,50.77,51.48,50.56,51.31,305128,0.52,1.02%,51.31,15.6m,1823
46,08/30/16,51.23,51.23,50.50,50.79,310093,-0.21,-0.41%,50.79,15.73m,2287
47,08/29/16,50.59,51.62,50.59,51.00,242412,0.29,0.57%,51.00,12.38m,2228
48,08/26/16,50.43,50.78,50.22,50.71,442973,0.39,0.78%,50.71,22.38m,3399
49,08/25/16,50.25,50.64,50.15,50.32,183200,-0.17,-0.34%,50.32,9.24m,2144
50,08/24/16,50.41,51.07,50.20,50.49,346959,-0.41,-0.81%,50.49,17.59m,2869
