,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,17.01,17.3914,17.01,17.08,6197,0.078559,0.47%,16.7724,106.28k,21
2,10/31/16,17.28,17.5018,16.91,17.00,7206,-0.147299,-0.87%,16.6939,123.4k,45
3,10/28/16,17.65,17.67,17.00,17.15,15153,-0.034272,-0.20%,16.8412,261.23k,110
4,10/27/16,17.20,17.2999,17.10,17.1849,9083,0.014632,0.09%,16.8755,156.45k,47
5,10/26/16,17.45,17.50,17.1035,17.17,8682,-0.166939,-0.98%,16.8608,150.21k,25
6,10/25/16,17.54,17.54,17.30,17.34,19293,-0.105269,-0.61%,17.0278,335.14k,69
7,10/24/16,17.719,17.719,17.41,17.4472,3984,-0.071489,-0.42%,17.133,69.66k,17
8,10/21/16,17.53,17.55,17.45,17.52,5706,0.049099,0.29%,17.2045,99.77k,15
9,10/20/16,18.00,18.0428,17.46,17.47,7787,-0.238428,-1.37%,17.1554,138.06k,47
10,10/19/16,17.8927,17.8927,17.46,17.7128,5587,0.248248,1.45%,17.3938,98.66k,19
11,10/18/16,17.62,17.9253,17.45,17.46,5913,-0.097119,-0.56%,17.1456,104.83k,13
12,10/17/16,17.7167,17.8789,17.44,17.5589,8189,-0.074828,-0.43%,17.2427,144.35k,32
13,10/14/16,17.58,17.6351,17.301,17.6351,8651,0.097021,0.56%,17.3175,151.34k,41
14,10/13/16,17.8804,17.8804,17.51,17.5363,7619,-0.39643,-2.25%,17.2205,134.14k,56
15,10/12/16,17.90,18.0431,17.88,17.94,3377,0.117839,0.67%,17.617,60.54k,22
16,10/11/16,17.4504,17.86,17.2502,17.82,13844,0.324057,1.89%,17.4991,242.45k,69
17,10/10/16,17.46,17.49,17.3001,17.49,12665,0.02946,0.17%,17.1751,220.12k,48
18,10/07/16,17.3419,17.49,17.16,17.46,4932,0.212013,1.25%,17.1456,85.05k,25
19,10/06/16,17.28,17.2868,17.201,17.2441,7118,0.033485,0.20%,16.9336,122.66k,10
20,10/05/16,17.13,17.2608,17.13,17.21,1914,-0.029459,-0.17%,16.9001,33k,8
21,10/04/16,17.23,17.3972,17.22,17.24,7567,0.00,0.00%,16.9296,130.7k,31
22,10/03/16,17.18,17.3814,17.18,17.24,8515,0.049099,0.29%,16.9296,147.12k,59
23,09/30/16,17.26,17.50,17.07,17.19,10368,-0.078559,-0.46%,16.8805,179.25k,48
24,09/29/16,17.0548,17.369,16.8201,17.27,20162,0.338787,2.04%,16.959,344.51k,120
25,09/28/16,16.80,17.0488,16.80,16.925,17240,0.02455,0.15%,16.6202,291.95k,63
26,09/27/16,16.80,16.95,16.80,16.90,22571,-0.00982,-0.06%,16.5957,381.63k,58
27,09/26/16,17.02,17.02,16.78,16.91,11915,-0.088379,-0.53%,16.6055,202.02k,59
28,09/23/16,16.99,17.00,16.73,17.00,20861,-0.03928,-0.23%,16.6939,352.45k,119
29,09/22/16,17.41,17.45,16.90,17.04,24187,-0.274958,-1.62%,16.7332,414.51k,96
30,09/21/16,17.37,17.4982,17.23,17.32,11766,0.216039,1.29%,17.0081,203.71k,52
31,09/20/16,17.3597,17.4879,17.10,17.10,18472,0.117839,0.71%,16.7921,317.43k,63
32,09/19/16,17.05,17.34,16.88,16.98,45609,-0.216039,-1.28%,16.6742,778.88k,158
33,09/16/16,17.60,17.75,17.20,17.20,20964,-0.412437,-2.38%,16.8903,365.21k,68
34,09/15/16,17.60,18.0899,17.60,17.62,13572,0.05892,0.34%,17.3027,240.57k,51
35,09/14/16,18.20,18.3602,17.50,17.56,17479,-0.559736,-3.14%,17.2438,312.73k,96
36,09/13/16,18.58,18.96,18.10,18.13,27198,-0.540096,-2.94%,17.8035,504.74k,98
37,09/12/16,18.85,19.08,18.68,18.68,26129,-0.294598,-1.58%,18.3436,494.2k,104
38,09/09/16,18.91,19.07,18.91,18.98,21158,0.00,0.00%,18.6382,401.4k,137
39,09/08/16,19.00,19.08,18.94,18.98,18748,-0.027791,-0.15%,18.6382,356.28k,81
40,09/07/16,19.07,19.08,18.95,19.0083,7774,0.017971,0.10%,18.666,148.02k,35
41,09/06/16,19.31,19.31,18.81,18.99,10397,-0.156137,-0.83%,18.648,198.42k,46
42,09/05/16,,,,19.149,0,,0.00%,18.8042,,
43,09/02/16,18.90,19.252,18.90,19.149,17524,-0.138461,-0.73%,18.8042,334.39k,59
44,09/01/16,18.90,19.29,18.71,19.29,21611,0.451717,2.44%,18.9426,413.12k,83
45,08/31/16,18.75,19.25,18.75,18.83,29377,0.127659,0.70%,18.4909,558.12k,95
46,08/30/16,18.99,19.0948,18.68,18.70,14142,-0.2945,-1.58%,18.3633,267.6k,66
47,08/29/16,19.0712,19.19,18.8101,18.9999,14379,-0.094271,-0.50%,18.6578,273.99k,64
48,08/26/16,19.02,19.23,18.68,19.0959,12006,0.102029,0.55%,18.752,227.22k,79
