,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,15.35,15.60,14.60,14.65,111178,-0.796215,-5.18%,14.5807,1.66m,789
2,10/31/16,15.50,15.65,15.45,15.45,43095,0.049763,0.32%,15.3769,669k,392
3,10/28/16,15.75,15.80,15.25,15.40,62375,-0.348344,-2.22%,15.3271,968.67k,574
4,10/27/16,15.80,15.85,15.64,15.75,34243,0.00,0.00%,15.6755,539.93k,351
5,10/26/16,15.60,16.05,15.60,15.75,33777,0.049764,0.32%,15.6755,534.89k,347
6,10/25/16,15.60,15.80,15.40,15.70,70361,-0.049764,-0.32%,15.6257,1.1m,743
7,10/24/16,15.70,15.85,15.699,15.75,31395,0.248817,1.61%,15.6755,494.28k,270
8,10/21/16,15.35,15.70,15.20,15.50,55028,0.00,0.00%,15.4267,853.87k,462
9,10/20/16,15.70,15.80,15.45,15.50,34259,-0.14929,-0.96%,15.4267,533.25k,337
10,10/19/16,15.55,15.90,15.50,15.65,28894,0.199054,1.29%,15.576,453.06k,292
11,10/18/16,15.75,15.85,15.375,15.45,50765,-0.199054,-1.28%,15.3769,788.65k,385
12,10/17/16,15.70,15.90,15.65,15.65,37337,-0.109479,-0.70%,15.576,589.17k,276
13,10/14/16,15.84,15.95,15.66,15.76,56125,0.109479,0.70%,15.6854,887.68k,569
14,10/13/16,15.60,15.80,15.49,15.65,57359,-0.209006,-1.32%,15.576,897.72k,856
15,10/12/16,15.67,15.935,15.46,15.86,58087,0.228912,1.47%,15.785,917.18k,628
16,10/11/16,15.84,15.94,15.55,15.63,60743,-0.238865,-1.51%,15.5561,952.87k,786
17,10/10/16,15.97,16.01,15.78,15.87,93251,0.009953,0.06%,15.7949,1.48m,847
18,10/07/16,16.05,16.05,15.75,15.86,230229,-0.139338,-0.88%,15.785,3.65m,1340
19,10/06/16,15.99,16.48,15.79,16.00,183673,0.039811,0.25%,15.9243,2.97m,1779
20,10/05/16,15.97,16.09,15.91,15.96,135703,0.099527,0.63%,15.8845,2.17m,1279
21,10/04/16,15.93,16.075,15.84,15.86,90152,0.019905,0.13%,15.785,1.44m,900
22,10/03/16,15.79,15.96,15.79,15.84,53919,-0.009953,-0.06%,15.7651,856.54k,400
23,09/30/16,15.80,16.00,15.68,15.85,78453,0.149291,0.96%,15.775,1.25m,655
24,09/29/16,15.86,15.985,15.66,15.70,32996,-0.159243,-1.01%,15.6257,520.89k,441
25,09/28/16,15.78,15.90,15.59,15.86,58954,0.03981,0.25%,15.785,933.94k,567
26,09/27/16,15.73,15.91,15.61,15.82,37055,0.029858,0.19%,15.7452,584.76k,359
27,09/26/16,16.00,16.00,15.60,15.79,43001,-0.318486,-1.99%,15.7153,679.76k,465
28,09/23/16,16.16,16.25,16.09,16.11,89766,-0.159243,-0.98%,16.0338,1.45m,742
29,09/22/16,16.18,16.44,16.11,16.27,58775,0.308534,1.94%,16.193,958.25k,517
30,09/21/16,15.90,15.995,15.82,15.96,49874,0.14929,0.95%,15.8845,794.44k,470
