,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,13.91,13.92,13.07,13.08,8352596,-0.86,-6.17%,13.08,111.06m,28542
2,10/31/16,13.71,14.045,13.61,13.94,11340802,0.25,1.83%,13.94,157.61m,26937
3,10/28/16,13.99,14.18,13.68,13.69,6483196,-0.34,-2.42%,13.69,89.61m,29192
4,10/27/16,14.48,14.48,13.86,14.03,4263786,-0.45,-3.11%,14.03,59.79m,26254
5,10/26/16,14.73,14.77,14.38,14.48,3304993,-0.31,-2.10%,14.48,47.88m,18611
6,10/25/16,14.84,14.91,14.74,14.79,2025408,-0.07,-0.47%,14.79,30m,12376
7,10/24/16,14.96,15.035,14.78,14.86,2569074,0.10,0.68%,14.86,38.19m,13762
8,10/21/16,14.66,14.815,14.615,14.76,1958903,-0.02,-0.14%,14.76,28.88m,10674
9,10/20/16,14.60,14.825,14.59,14.78,2197173,0.11,0.75%,14.78,32.37m,12562
10,10/19/16,14.69,14.79,14.59,14.67,1855273,-0.02,-0.14%,14.67,27.25m,10593
11,10/18/16,14.64,14.84,14.54,14.69,2076746,0.18,1.24%,14.69,30.51m,10617
12,10/17/16,14.55,14.60,14.46,14.51,2363978,-0.04,-0.27%,14.51,34.3m,12921
13,10/14/16,14.57,14.73,14.39,14.55,6523950,0.01,0.07%,14.55,94.98m,16331
14,10/13/16,14.32,14.61,14.25,14.54,3453338,0.17,1.18%,14.54,50.13m,16435
15,10/12/16,14.28,14.435,14.14,14.37,2139623,0.12,0.84%,14.37,30.69m,13042
16,10/11/16,14.38,14.46,14.13,14.25,3163302,-0.17,-1.18%,14.25,45.18m,18718
17,10/10/16,14.30,14.62,14.27,14.42,3664612,0.21,1.48%,14.42,52.98m,20249
18,10/07/16,14.26,14.55,14.03,14.21,5507409,0.04,0.28%,14.21,78.34m,18690
19,10/06/16,13.93,14.255,13.77,14.17,3632196,0.16,1.14%,14.17,51.2m,19288
20,10/05/16,14.54,14.645,13.99,14.01,4910712,-0.46,-3.18%,14.01,69.7m,21903
21,10/04/16,14.60,14.60,14.2724,14.47,5873694,-0.10,-0.69%,14.47,84.74m,24745
22,10/03/16,14.83,14.86,14.52,14.57,3430334,-0.20,-1.35%,14.57,50.15m,21795
23,09/30/16,15.17,15.34,14.76,14.77,5949519,-0.36,-2.38%,14.77,88.75m,26881
24,09/29/16,15.11,15.19,14.82,15.13,9636741,0.02,0.13%,15.13,145.38m,29677
25,09/28/16,14.73,15.12,14.73,15.11,9657838,0.31,2.09%,15.11,144.82m,42850
26,09/27/16,14.57,14.98,14.54,14.80,45831245,-0.19,-1.27%,14.80,677.95m,115762
27,09/26/16,14.91,15.04,14.82,14.99,1405776,0.03,0.20%,14.99,21.04m,6715
28,09/23/16,14.82,15.015,14.725,14.96,1980571,0.08,0.54%,14.96,29.57m,9823
29,09/22/16,14.66,14.88,14.65,14.88,1678167,0.37,2.55%,14.88,24.85m,8522
30,09/21/16,14.32,14.58,14.17,14.51,1847102,0.18,1.26%,14.51,26.61m,10888
31,09/20/16,14.34,14.42,14.27,14.33,2111006,0.10,0.70%,14.33,30.25m,10241
32,09/19/16,14.11,14.27,14.09,14.23,1693970,0.15,1.07%,14.23,24.07m,9741
33,09/16/16,13.95,14.09,13.85,14.08,3871345,0.10,0.72%,14.08,54.29m,11831
34,09/15/16,13.88,14.025,13.82,13.98,2281381,0.13,0.94%,13.98,31.85m,11943
35,09/14/16,13.74,13.98,13.73,13.85,2274692,0.11,0.80%,13.85,31.58m,11987
36,09/13/16,13.97,14.04,13.635,13.74,3339782,-0.299996,-2.14%,13.74,46.13m,16579
37,09/12/16,14.01,14.35,13.98,14.27,2653142,0.177099,1.28%,14.04,37.76m,14692
38,09/09/16,14.92,14.92,14.03,14.09,5373865,-0.905172,-6.13%,13.8629,76.59m,25854
39,09/08/16,15.38,15.42,14.97,15.01,4296802,-0.442747,-2.91%,14.7681,64.75m,17410
40,09/07/16,15.38,15.57,15.35,15.46,4391458,0.08855,0.59%,15.2108,67.98m,15082
41,09/06/16,15.30,15.43,15.14,15.37,2177508,0.157421,1.05%,15.1223,33.4m,11934
42,09/05/16,,,,15.21,0,,0.00%,14.9648,,
43,09/02/16,15.16,15.38,15.14,15.21,2503214,0.157421,1.06%,14.9648,38.14m,13485
44,09/01/16,15.25,15.275,14.93,15.05,2505162,-0.216454,-1.44%,14.8074,37.71m,13839
45,08/31/16,15.20,15.30,15.09,15.27,4425411,0.029516,0.20%,15.0239,67.36m,15506
46,08/30/16,15.26,15.31,15.125,15.24,1796193,-0.009839,-0.07%,14.9944,27.36m,10796
47,08/29/16,15.15,15.42,15.15,15.25,1431498,0.157422,1.06%,15.0042,21.92m,7775
48,08/26/16,15.39,15.52,15.03,15.09,2551433,-0.226293,-1.50%,14.8468,38.74m,14586
49,08/25/16,15.30,15.395,15.22,15.32,2078829,-0.039356,-0.26%,15.0731,31.88m,11546
50,08/24/16,15.65,15.74,15.28,15.36,2008156,-0.255809,-1.66%,15.1124,30.93m,10522
51,08/23/16,15.51,15.65,15.45,15.62,1922208,0.206615,1.36%,15.3682,29.92m,10037
52,08/22/16,15.36,15.43,15.28,15.41,1290753,0.019678,0.13%,15.1616,19.83m,7043
53,08/19/16,15.23,15.44,15.2075,15.39,2740358,0.147582,0.98%,15.1419,42m,12331
54,08/18/16,15.40,15.51,15.20,15.24,2747323,-0.137743,-0.91%,14.9944,42.07m,13901
55,08/17/16,15.35,15.43,15.15,15.38,1792195,0.068872,0.46%,15.1321,27.43m,9888
56,08/16/16,15.48,15.52,15.27,15.31,1230981,-0.206616,-1.35%,15.0632,18.88m,6312
57,08/15/16,15.41,15.61,15.41,15.52,1555270,0.098389,0.65%,15.2698,24.16m,8169
58,08/12/16,15.36,15.71,15.27,15.42,1435958,0.118065,0.78%,15.1715,22.22m,8533
59,08/11/16,15.43,15.47,15.275,15.30,1331176,-0.147582,-0.97%,15.0534,20.4m,9030
60,08/10/16,15.63,15.70,15.42,15.45,2552699,-0.147582,-0.96%,15.201,39.55m,14271
61,08/09/16,15.53,15.63,15.435,15.60,1076960,0.068872,0.45%,15.3486,16.75m,8010
62,08/08/16,15.50,15.60,15.40,15.53,1162787,0.068871,0.45%,15.2797,18.06m,7076
63,08/05/16,15.46,15.5989,15.36,15.46,1742920,0.098388,0.65%,15.2108,26.98m,10564
64,08/04/16,15.46,15.49,15.095,15.36,1588407,0.068872,0.46%,15.1124,24.37m,10554
65,08/03/16,15.44,15.45,15.13,15.29,2570997,-0.137743,-0.91%,15.0436,39.19m,13005
66,08/02/16,15.65,15.74,15.38,15.43,2205785,-0.25581,-1.66%,15.1813,34.1m,10505
67,08/01/16,15.65,15.72,15.53,15.69,1424281,-0.009838,-0.06%,15.4371,22.27m,8793
68,07/29/16,15.56,15.82,15.535,15.70,2311552,0.108227,0.71%,15.4469,36.29m,8299
69,07/28/16,15.48,15.77,15.43,15.59,1362814,0.068871,0.45%,15.3387,21.3m,7781
70,07/27/16,15.66,15.66,15.31,15.52,1601041,-0.118065,-0.77%,15.2698,24.76m,9402
71,07/26/16,15.71,15.755,15.52,15.64,1554598,-0.078711,-0.51%,15.3879,24.28m,7565
