,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,11.6343,11.6343,11.501,11.54,13300,-0.11,-0.94%,11.54,154.12k,56
2,10/31/16,11.72,11.72,11.64,11.65,4013,-0.06,-0.51%,11.65,46.77k,14
3,10/28/16,11.7595,11.7595,11.71,11.71,1596,-0.06,-0.51%,11.71,18.71k,4
4,10/27/16,11.73,11.78,11.73,11.77,7924,0.0299,0.25%,11.77,93.1k,51
5,10/26/16,11.7499,11.75,11.73,11.7401,4951,0.0101,0.09%,11.7401,58.14k,19
6,10/25/16,11.73,11.7599,11.73,11.73,7745,-0.04,-0.34%,11.73,90.99k,22
7,10/24/16,11.85,11.85,11.72,11.77,3633,0.0614,0.52%,11.77,42.84k,21
8,10/21/16,11.7176,11.7176,11.7086,11.7086,713,0.0186,0.16%,11.7086,8.35k,3
9,10/20/16,11.74,11.74,11.68,11.69,19628,-0.05,-0.43%,11.69,229.64k,56
10,10/19/16,11.72,11.7536,11.72,11.74,2577,0.01,0.09%,11.74,30.26k,18
11,10/18/16,11.6807,11.73,11.6807,11.73,4230,0.06,0.51%,11.73,49.54k,21
12,10/17/16,11.64,11.69,11.64,11.67,7153,-0.06,-0.51%,11.67,83.34k,50
13,10/14/16,11.71,11.7495,11.71,11.73,16845,0.04,0.34%,11.73,197.38k,32
14,10/13/16,11.70,11.7125,11.60,11.69,20227,-0.05,-0.43%,11.69,236.25k,40
15,10/12/16,11.7449,11.78,11.71,11.74,16034,0.02,0.17%,11.74,188.55k,55
16,10/11/16,11.7622,11.7622,11.7169,11.72,3618,-0.15,-1.26%,11.72,42.42k,18
17,10/10/16,11.76,11.91,11.76,11.87,3957,0.11,0.94%,11.87,46.81k,23
18,10/07/16,11.82,11.8499,11.72,11.76,9154,-0.10,-0.84%,11.76,107.81k,32
19,10/06/16,11.83,11.86,11.76,11.86,21073,0.08,0.68%,11.86,248.88k,90
20,10/05/16,11.73,11.85,11.73,11.78,4169,0.01,0.08%,11.78,49.16k,29
21,10/04/16,11.72,11.79,11.72,11.77,12191,0.02,0.17%,11.77,143.08k,73
22,10/03/16,11.7706,11.809,11.75,11.75,4678,0.00,0.00%,11.75,55.06k,21
