,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,10.39,10.39,9.84,10.25,1075458,-0.03,-0.29%,10.25,10.89m,7078
2,10/31/16,10.41,10.4308,10.275,10.28,729321,-0.07,-0.68%,10.28,7.52m,3630
3,10/28/16,10.28,10.49,10.275,10.35,398099,-0.01,-0.10%,10.35,4.13m,2700
4,10/27/16,10.46,10.55,10.31,10.36,480862,-0.09,-0.86%,10.36,5m,3222
5,10/26/16,10.20,10.54,10.13,10.45,772825,0.14,1.36%,10.45,8.05m,3861
6,10/25/16,10.64,10.75,10.28,10.31,1044502,-0.38,-3.55%,10.31,10.9m,4242
7,10/24/16,10.66,10.91,10.6201,10.69,363204,0.14,1.33%,10.69,3.9m,2217
8,10/21/16,10.57,10.81,10.54,10.55,539742,-0.24,-2.22%,10.55,5.73m,3004
9,10/20/16,10.92,11.00,10.60,10.79,664877,-0.12,-1.10%,10.79,7.19m,3453
10,10/19/16,10.67,11.04,10.55,10.91,857852,0.35,3.31%,10.91,9.33m,4533
11,10/18/16,10.84,10.84,10.52,10.56,516916,-0.06,-0.56%,10.56,5.5m,3316
12,10/17/16,10.72,10.79,10.62,10.62,556968,-0.11,-1.03%,10.62,5.94m,2977
13,10/14/16,10.96,11.05,10.72,10.73,410629,-0.10,-0.92%,10.73,4.43m,2896
14,10/13/16,10.85,10.98,10.73,10.83,599145,-0.34,-3.04%,10.83,6.5m,3741
15,10/12/16,11.15,11.33,11.05,11.17,504068,0.05,0.45%,11.17,5.66m,3245
16,10/11/16,11.51,11.53,11.09,11.12,557301,-0.39,-3.39%,11.12,6.27m,3100
17,10/10/16,11.04,11.70,11.04,11.51,851783,0.55,5.02%,11.51,9.81m,4992
18,10/07/16,11.10,11.10,10.72,10.96,574794,-0.13,-1.17%,10.96,6.28m,2910
19,10/06/16,11.11,11.15,10.875,11.09,299414,0.04,0.36%,11.09,3.31m,2266
20,10/05/16,10.76,11.14,10.76,11.05,391068,0.30,2.79%,11.05,4.31m,3010
21,10/04/16,11.12,11.20,10.69,10.75,802416,-0.35,-3.15%,10.75,8.73m,4343
22,10/03/16,11.19,11.19,10.89,11.10,539694,-0.03,-0.27%,11.10,5.96m,3941
23,09/30/16,10.68,11.19,10.60,11.13,890147,0.56,5.30%,11.13,9.83m,4339
24,09/29/16,10.92,10.95,10.56,10.57,450400,-0.31,-2.85%,10.57,4.81m,3404
25,09/28/16,10.61,10.90,10.60,10.88,350358,0.28,2.64%,10.88,3.78m,2582
26,09/27/16,10.53,10.62,10.42,10.60,327901,0.04,0.38%,10.60,3.45m,3670
27,09/26/16,10.70,10.72,10.55,10.56,502883,-0.24,-2.22%,10.56,5.34m,3691
28,09/23/16,11.02,11.13,10.775,10.80,546754,-0.31,-2.79%,10.80,5.95m,4115
29,09/22/16,11.00,11.25,10.91,11.11,315076,0.25,2.30%,11.11,3.49m,2283
30,09/21/16,10.65,10.90,10.65,10.86,409642,0.26,2.45%,10.86,4.43m,3129
31,09/20/16,10.83,10.84,10.59,10.60,320922,-0.16,-1.49%,10.60,3.43m,2306
32,09/19/16,10.79,10.89,10.65,10.76,574243,0.04,0.37%,10.76,6.2m,3777
33,09/16/16,10.66,10.83,10.56,10.72,929555,-0.02,-0.19%,10.72,9.94m,3854
34,09/15/16,10.60,10.84,10.60,10.74,449275,0.12,1.13%,10.74,4.82m,3408
35,09/14/16,10.59,10.71,10.35,10.62,599708,0.02,0.19%,10.62,6.35m,4222
36,09/13/16,10.70,10.85,10.45,10.60,529692,-0.35,-3.20%,10.60,5.6m,4020
37,09/12/16,10.51,10.98,10.46,10.95,660561,0.29,2.72%,10.95,7.14m,4662
38,09/09/16,11.14,11.14,10.58,10.66,898714,-0.52,-4.65%,10.66,9.65m,5572
39,09/08/16,11.25,11.28,11.08,11.18,657726,-0.11,-0.97%,11.18,7.36m,3948
40,09/07/16,11.15,11.39,11.12,11.29,391244,0.10,0.89%,11.29,4.42m,2780
41,09/06/16,11.21,11.35,11.075,11.19,469569,0.02,0.18%,11.19,5.25m,3432
42,09/05/16,,,,11.17,0,,0.00%,11.17,,
43,09/02/16,11.04,11.23,10.95,11.17,450099,0.19,1.73%,11.17,5.01m,3040
44,09/01/16,11.12,11.285,10.73,10.98,604800,-0.17,-1.52%,10.98,6.6m,4078
45,08/31/16,11.11,11.37,10.94,11.15,1084594,0.01,0.09%,11.15,12.09m,5322
46,08/30/16,11.00,11.37,11.00,11.14,477943,0.08,0.72%,11.14,5.34m,3690
47,08/29/16,10.97,11.18,10.95,11.06,508598,0.11,1.00%,11.06,5.64m,3640
48,08/26/16,11.07,11.14,10.825,10.95,496954,0.04,0.37%,10.95,5.44m,3913
49,08/25/16,10.76,10.95,10.75,10.91,511949,0.10,0.93%,10.91,5.58m,4347
50,08/24/16,10.94,11.11,10.77,10.81,629434,-0.16,-1.46%,10.81,6.85m,2611
51,08/23/16,10.95,11.25,10.83,10.97,1030249,0.37,3.49%,10.97,11.31m,6427
52,08/22/16,10.58,10.72,10.45,10.60,673698,-0.09,-0.84%,10.60,7.12m,4771
53,08/19/16,10.66,10.74,10.59,10.69,1230676,0.01,0.09%,10.69,13.12m,7080
54,08/18/16,10.88,11.12,10.51,10.68,1170050,-0.13,-1.20%,10.68,12.51m,7818
55,08/17/16,11.15,11.15,10.70,10.81,1550584,-0.34,-3.05%,10.81,16.88m,9220
56,08/16/16,10.90,11.38,10.85,11.15,1137186,0.25,2.29%,11.15,12.7m,6660
57,08/15/16,10.29,11.14,10.29,10.90,1619522,0.65,6.34%,10.90,17.55m,9560
