,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,8.75,8.779,8.56,8.65,32779,-0.04,-0.46%,8.65,282.68k,208
2,10/31/16,8.63,8.78,8.63,8.69,26772,0.05,0.58%,8.69,233.18k,112
3,10/28/16,8.64,8.65,8.50,8.64,61046,0.015,0.17%,8.64,526.46k,81
4,10/27/16,8.61,8.65,8.61,8.625,17142,0.045,0.52%,8.625,147.62k,34
5,10/26/16,8.59,8.64,8.55,8.58,29037,0.03,0.35%,8.58,248.72k,127
6,10/25/16,8.44,8.59,8.44,8.55,11186,0.03,0.35%,8.55,95.51k,93
7,10/24/16,8.45,8.55,8.39,8.52,60285,0.10,1.19%,8.52,510.84k,173
8,10/21/16,8.58,8.58,8.39,8.42,9765,-0.10,-1.17%,8.42,82.54k,89
9,10/20/16,8.61,8.61,8.4875,8.52,18235,0.034998,0.41%,8.52,155.67k,97
10,10/19/16,8.55,8.62,8.55,8.62,22823,0.08859,1.06%,8.485,196.48k,116
11,10/18/16,8.50,8.55,8.475,8.53,11751,0.088591,1.07%,8.3964,100.05k,48
12,10/17/16,8.52,8.52,8.40,8.44,10089,-0.118121,-1.40%,8.3078,85.12k,81
13,10/14/16,8.76,8.76,8.53,8.56,20175,-0.118121,-1.38%,8.4259,173.64k,137
14,10/13/16,8.65,8.70,8.58,8.68,7031,-0.02953,-0.34%,8.5441,60.92k,61
15,10/12/16,8.56,8.73,8.5106,8.71,47230,0.137808,1.63%,8.5736,409.41k,203
16,10/11/16,8.51,8.60,8.48,8.57,12179,0.049217,0.59%,8.4358,104.34k,108
17,10/10/16,8.57,8.60,8.51,8.52,9118,0.009843,0.12%,8.3866,77.77k,45
18,10/07/16,8.47,8.58,8.4696,8.51,28389,0.049217,0.59%,8.3767,242.23k,135
19,10/06/16,8.39,8.48,8.39,8.46,14114,0.049217,0.59%,8.3275,119.05k,131
