,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,35.00,35.35,34.40,34.81,1227173,-0.24,-0.68%,34.81,42.85m,9871
2,10/31/16,34.90,35.28,34.79,35.05,852508,0.13,0.37%,35.05,29.91m,6150
3,10/28/16,35.25,35.55,34.63,34.92,1494941,-0.42,-1.19%,34.92,52.59m,10736
4,10/27/16,34.91,35.69,34.07,35.34,2286559,0.70,2.02%,35.34,80.43m,16186
5,10/26/16,31.94,36.41,31.94,34.64,5500963,4.39,14.51%,34.64,193.34m,37100
6,10/25/16,30.82,30.90,30.13,30.25,998101,-0.67,-2.17%,30.25,30.27m,7267
7,10/24/16,30.43,30.97,30.34,30.92,759457,0.51,1.68%,30.92,23.37m,4674
8,10/21/16,30.19,30.47,29.98,30.41,835460,0.04,0.13%,30.41,25.31m,4216
9,10/20/16,30.56,30.69,30.195,30.37,532071,-0.29,-0.95%,30.37,16.17m,4552
10,10/19/16,30.46,30.965,30.32,30.66,837045,0.37,1.22%,30.66,25.73m,4489
11,10/18/16,30.30,30.48,30.0811,30.29,439722,0.40,1.34%,30.29,13.34m,3192
12,10/17/16,29.85,30.06,29.83,29.89,407472,0.04,0.13%,29.89,12.2m,3870
13,10/14/16,30.48,30.79,29.85,29.85,647387,-0.41,-1.35%,29.85,19.48m,5400
14,10/13/16,30.58,30.59,29.86,30.26,625970,-0.62,-2.01%,30.26,18.91m,5202
15,10/12/16,30.95,31.24,30.75,30.88,516364,-0.02,-0.06%,30.88,16.01m,4475
16,10/11/16,31.52,31.60,30.53,30.90,747913,-0.67,-2.12%,30.90,23.12m,6175
17,10/10/16,32.20,32.65,31.57,31.57,599130,-0.38,-1.19%,31.57,19.11m,4810
18,10/07/16,32.50,32.56,31.745,31.95,629798,-0.47,-1.45%,31.95,20.18m,4492
19,10/06/16,32.05,32.49,31.845,32.42,894560,0.38,1.19%,32.42,28.84m,6624
20,10/05/16,31.66,32.43,31.66,32.04,1159078,0.53,1.68%,32.04,37.24m,7344
21,10/04/16,31.92,32.13,31.29,31.51,701250,-0.30,-0.94%,31.51,22.17m,5282
22,10/03/16,32.15,32.15,31.48,31.81,553713,-0.38,-1.18%,31.81,17.61m,4923
23,09/30/16,31.97,32.40,31.80,32.19,696245,0.54,1.71%,32.19,22.44m,5969
24,09/29/16,32.25,32.25,31.43,31.65,569859,-0.49,-1.52%,31.65,18.1m,4664
25,09/28/16,32.04,32.32,31.62,32.14,948589,0.23,0.72%,32.14,30.35m,6032
26,09/27/16,31.85,32.11,31.57,31.91,540111,0.02,0.06%,31.91,17.24m,4497
27,09/26/16,31.53,32.10,31.38,31.89,523609,0.15,0.47%,31.89,16.7m,4385
28,09/23/16,31.83,32.11,31.61,31.74,585713,-0.20,-0.63%,31.74,18.62m,4722
29,09/22/16,32.07,32.14,31.75,31.94,525190,0.26,0.82%,31.94,16.78m,4276
30,09/21/16,31.43,31.84,31.23,31.68,550422,0.43,1.38%,31.68,17.36m,4282
31,09/20/16,31.61,31.77,31.10,31.25,538969,-0.18,-0.57%,31.25,16.92m,4361
32,09/19/16,31.63,32.10,31.42,31.43,527159,-0.02,-0.06%,31.43,16.71m,4360
