,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,4.44,4.4523,4.30,4.30,233517,-0.10,-2.27%,4.30,1.02m,932
2,10/31/16,4.48,4.50,4.40,4.40,213757,-0.01,-0.23%,4.40,948.17k,842
3,10/28/16,4.39,4.44,4.39,4.41,131903,0.00,0.00%,4.41,580.72k,663
4,10/27/16,4.48,4.4845,4.41,4.41,136688,-0.07,-1.56%,4.41,607.12k,544
5,10/26/16,4.57,4.57,4.48,4.48,140585,-0.08,-1.75%,4.48,637.47k,851
6,10/25/16,4.58,4.58,4.49,4.56,213978,0.00,0.00%,4.56,972.47k,960
7,10/24/16,4.47,4.57,4.47,4.56,149802,0.09,2.01%,4.56,681.37k,889
8,10/21/16,4.47,4.51,4.46,4.47,166810,0.02,0.45%,4.47,746.47k,735
9,10/20/16,4.45,4.55,4.45,4.45,322099,-0.000001,-0.00%,4.45,1.44m,1210
10,10/19/16,4.58,4.62,4.55,4.57,219095,-0.009737,-0.22%,4.45,1m,1092
11,10/18/16,4.60,4.63,4.57,4.58,224534,-0.019475,-0.43%,4.4597,1.03m,781
12,10/17/16,4.53,4.60,4.50,4.60,138077,0.097374,2.22%,4.4792,631.53k,769
13,10/14/16,4.52,4.57,4.49,4.50,159654,0.00,0.00%,4.3818,719.96k,637
14,10/13/16,4.52,4.53,4.48,4.50,132928,-0.029212,-0.66%,4.3818,599.11k,522
15,10/12/16,4.42,4.59,4.42,4.53,184531,0.107111,2.49%,4.4111,833.2k,562
16,10/11/16,4.42,4.45,4.38,4.42,151858,0.009738,0.23%,4.3039,671.2k,665
17,10/10/16,4.42,4.51,4.40,4.41,177886,0.00,0.00%,4.2942,791.59k,730
18,10/07/16,4.45,4.50,4.40,4.41,164055,-0.048687,-1.12%,4.2942,726.14k,960
19,10/06/16,4.51,4.52,4.445,4.46,259772,-0.058425,-1.33%,4.3429,1.16m,1290
20,10/05/16,4.55,4.55,4.51,4.52,96208,-0.009737,-0.22%,4.4013,434.83k,619
21,10/04/16,4.52,4.55,4.51,4.53,101216,0.009737,0.22%,4.4111,457.87k,744
22,10/03/16,4.52,4.54,4.51,4.52,70447,-0.009737,-0.22%,4.4013,318.7k,512
23,09/30/16,4.55,4.5617,4.50,4.53,180021,0.009737,0.22%,4.4111,815.87k,740
24,09/29/16,4.50,4.561,4.50,4.52,134717,0.029212,0.67%,4.4013,611.52k,505
25,09/28/16,4.49,4.51,4.44,4.49,284539,0.019475,0.45%,4.3721,1.27m,1420
26,09/27/16,4.50,4.51,4.46,4.47,236083,-0.029212,-0.67%,4.3526,1.06m,1055
27,09/26/16,4.54,4.56,4.47,4.50,195764,-0.058425,-1.32%,4.3818,883.71k,1004
28,09/23/16,4.58,4.60,4.54,4.56,98213,-0.009737,-0.22%,4.4403,447.51k,523
29,09/22/16,4.60,4.63,4.55,4.57,116416,0.00,0.00%,4.45,532.79k,743
30,09/21/16,4.54,4.60,4.52,4.57,103761,0.03895,0.88%,4.45,474.77k,557
31,09/20/16,4.52,4.58,4.51,4.53,143317,0.00,0.00%,4.4111,651.49k,760
32,09/19/16,4.51,4.616,4.51,4.53,166119,0.019475,0.44%,4.4111,756.52k,868
33,09/16/16,4.53,4.56,4.50,4.51,496353,-0.029213,-0.66%,4.3916,2.24m,1520
34,09/15/16,4.54,4.555,4.50,4.54,121683,0.019475,0.44%,4.4208,551.48k,717
35,09/14/16,4.54,4.57,4.48,4.52,176728,0.029212,0.67%,4.4013,798.34k,1057
36,09/13/16,4.53,4.5348,4.465,4.49,133528,-0.038949,-0.88%,4.3721,599.94k,795
37,09/12/16,4.50,4.61,4.45,4.53,290475,0.00,0.00%,4.4111,1.32m,1136
38,09/09/16,4.62,4.6263,4.53,4.53,238890,-0.107112,-2.37%,4.4111,1.09m,1030
39,09/08/16,4.64,4.67,4.6174,4.64,196928,0.00,0.00%,4.5182,914.8k,813
40,09/07/16,4.65,4.69,4.64,4.64,137434,-0.009737,-0.22%,4.5182,641.37k,807
41,09/06/16,4.68,4.69,4.62,4.65,197833,-0.009738,-0.21%,4.5279,924.69k,1059
42,09/05/16,,,,4.66,0,,0.00%,4.5376,,
43,09/02/16,4.60,4.69,4.60,4.66,138047,0.058425,1.30%,4.5376,642.79k,765
44,09/01/16,4.65,4.65,4.58,4.60,114757,-0.048687,-1.08%,4.4792,527.98k,944
45,08/31/16,4.63,4.65,4.5934,4.65,158069,0.038949,0.87%,4.5279,732.01k,942
46,08/30/16,4.61,4.64,4.59,4.61,72009,0.00,0.00%,4.489,332.19k,534
47,08/29/16,4.63,4.64,4.59,4.61,119449,0.009738,0.22%,4.489,550.14k,776
48,08/26/16,4.64,4.655,4.58,4.60,144542,-0.009738,-0.22%,4.4792,668.02k,789
49,08/25/16,4.60,4.65,4.59,4.61,110078,0.029213,0.66%,4.489,508.69k,544
50,08/24/16,4.62,4.63,4.54,4.58,133030,-0.048687,-1.08%,4.4597,610.14k,568
51,08/23/16,4.56,4.65,4.56,4.63,209806,0.048687,1.09%,4.5084,970.51k,1264
52,08/22/16,4.54,4.58,4.53,4.58,122414,0.048687,1.10%,4.4597,557.48k,610
53,08/19/16,4.59,4.59,4.51,4.53,260575,-0.058425,-1.31%,4.4111,1.18m,1145
54,08/18/16,4.58,4.6165,4.58,4.59,227180,0.03895,0.88%,4.4695,1.04m,1091
55,08/17/16,4.57,4.59,4.51,4.55,211005,-0.019475,-0.44%,4.4305,958.57k,824
56,08/16/16,4.64,4.65,4.57,4.57,342528,-0.077899,-1.72%,4.45,1.58m,1063
57,08/15/16,4.72,4.72,4.645,4.65,244710,-0.019475,-0.43%,4.5279,1.14m,985
58,08/12/16,4.70,4.71,4.655,4.67,217133,0.00,0.00%,4.5474,1.01m,1287
59,08/11/16,4.65,4.71,4.647,4.67,328755,0.00,0.00%,4.5474,1.54m,1686
60,08/10/16,4.68,4.70,4.63,4.67,302224,0.00,0.00%,4.5474,1.41m,1504
61,08/09/16,4.61,4.73,4.55,4.67,361580,-0.009738,-0.21%,4.5474,1.69m,1982
62,08/08/16,4.74,4.75,4.66,4.68,131911,0.009738,0.21%,4.5571,619.75k,651
63,08/05/16,4.71,4.73,4.66,4.67,199238,-0.019475,-0.43%,4.5474,936.51k,1026
64,08/04/16,4.74,4.74,4.67,4.69,84973,-0.009737,-0.21%,4.5668,399.39k,436
65,08/03/16,4.70,4.75,4.64,4.70,240412,0.009737,0.21%,4.5766,1.13m,1081
66,08/02/16,4.71,4.73,4.68,4.69,155990,-0.029212,-0.64%,4.5668,733.08k,813
67,08/01/16,4.73,4.78,4.70,4.72,193736,-0.019475,-0.42%,4.5961,915.89k,1077
68,07/29/16,4.77,4.798,4.70,4.74,172297,-0.019475,-0.42%,4.6155,817.74k,576
69,07/28/16,4.73,4.77,4.71,4.76,99229,0.03895,0.85%,4.635,470.7k,585
70,07/27/16,4.69,4.72,4.65,4.72,154891,0.029212,0.64%,4.5961,727.06k,739
71,07/26/16,4.74,4.77,4.67,4.69,128069,-0.019475,-0.42%,4.5668,602.13k,688
72,07/25/16,4.68,4.75,4.68,4.71,282674,-0.019475,-0.42%,4.5863,1.33m,987
73,07/22/16,4.81,4.81,4.73,4.73,118631,-0.048687,-1.05%,4.6058,563.27k,555
74,07/21/16,4.78,4.8208,4.76,4.78,193207,0.029212,0.63%,4.6545,925.35k,748
75,07/20/16,4.71,4.78,4.65,4.75,207863,0.058425,1.28%,4.6253,984.97k,971
76,07/19/16,4.72,4.88,4.68,4.69,621078,0.113934,2.56%,4.5668,2.97m,2579
77,07/18/16,4.70,4.75,4.67,4.69,385888,0.028484,0.64%,4.4529,1.82m,1680
78,07/15/16,4.71,4.72,4.66,4.66,248538,-0.037978,-0.85%,4.4244,1.17m,918
79,07/14/16,4.73,4.77,4.66,4.70,294232,-0.009495,-0.21%,4.4624,1.39m,1583
80,07/13/16,4.78,4.87,4.69,4.71,258739,-0.037978,-0.84%,4.4719,1.23m,1347
81,07/12/16,4.75,4.77,4.64,4.75,399700,0.028484,0.64%,4.5099,1.89m,1674
82,07/11/16,4.51,4.83,4.51,4.72,679621,0.180394,4.19%,4.4814,3.21m,1714
83,07/08/16,4.53,4.54,4.48,4.53,183802,0.018989,0.44%,4.301,830.39k,1016
84,07/07/16,4.59,4.6188,4.51,4.51,158577,-0.113933,-2.59%,4.282,719.05k,966
85,07/06/16,4.56,4.64,4.54,4.63,157773,0.037977,0.87%,4.3959,725.22k,884
86,07/05/16,4.61,4.6232,4.52,4.59,101696,-0.009494,-0.22%,4.358,464.16k,683
87,07/04/16,,,,4.60,0,,0.00%,4.3675,,
88,07/01/16,4.58,4.64,4.58,4.60,118696,0.009494,0.22%,4.3675,548.07k,585
89,06/30/16,4.62,4.62,4.49,4.59,1202287,-0.028483,-0.65%,4.358,5.51m,838
