,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,79.95,80.05,76.05,76.40,88173,-3.4851,-4.38%,76.0749,6.79m,939
2,10/31/16,79.70,80.20,79.50,79.90,88085,0.248937,0.31%,79.56,7.04m,861
3,10/28/16,80.15,80.70,79.1501,79.65,54288,-0.647235,-0.81%,79.3111,4.33m,691
4,10/27/16,80.50,80.85,79.60,80.30,75247,0.149362,0.19%,79.9583,6.05m,870
5,10/26/16,80.80,81.65,79.95,80.15,61357,-1.4438,-1.78%,79.809,4.95m,742
6,10/25/16,81.10,81.85,81.10,81.60,48672,0.199149,0.25%,81.2528,3.97m,606
7,10/24/16,81.10,82.00,81.00,81.40,59226,0.697021,0.87%,81.0536,4.83m,717
8,10/21/16,79.80,81.10,79.45,80.70,70034,0.049788,0.06%,80.3566,5.64m,627
9,10/20/16,80.90,81.00,80.10,80.65,64282,-0.298724,-0.37%,80.3068,5.18m,888
10,10/19/16,80.80,81.40,79.75,80.95,42971,0.298724,0.37%,80.6056,3.46m,469
11,10/18/16,80.50,81.45,80.50,80.65,42097,0.697021,0.88%,80.3068,3.41m,695
12,10/17/16,79.85,80.60,79.75,79.95,38302,-0.149362,-0.19%,79.6098,3.07m,514
13,10/14/16,79.12,80.84,79.12,80.10,51205,1.2148,1.55%,79.7592,4.11m,577
14,10/13/16,79.09,79.67,78.30,78.88,53098,-0.836425,-1.05%,78.5444,4.19m,843
15,10/12/16,79.26,80.32,79.26,79.72,39465,0.318638,0.40%,79.3808,3.15m,669
16,10/11/16,79.98,80.22,79.17,79.40,67757,-0.806553,-1.01%,79.0622,5.39m,1149
17,10/10/16,79.79,80.94,79.65,80.21,83049,0.806553,1.02%,79.8687,6.67m,899
18,10/07/16,80.85,80.92,79.15,79.40,86314,-1.3243,-1.65%,79.0622,6.86m,1041
19,10/06/16,78.79,81.62,78.79,80.73,159470,1.7525,2.23%,80.3865,12.84m,1344
20,10/05/16,78.58,79.65,78.10,78.97,87957,0.537703,0.69%,78.634,6.94m,1098
21,10/04/16,78.56,79.45,77.97,78.43,69407,-0.288766,-0.37%,78.0963,5.45m,827
22,10/03/16,78.72,79.00,77.98,78.72,74890,-0.288766,-0.37%,78.385,5.88m,1025
23,09/30/16,79.19,79.79,78.59,79.01,245979,-0.049788,-0.06%,78.6738,19.43m,1450
24,09/29/16,79.38,79.38,78.61,79.06,62867,-0.42817,-0.54%,78.7236,4.97m,889
25,09/28/16,79.43,79.97,78.31,79.49,87291,0.029872,0.04%,79.1518,6.9m,959
26,09/27/16,79.34,80.085,78.24,79.46,146661,0.149362,0.19%,79.1219,11.62m,1460
27,09/26/16,79.91,80.31,79.27,79.31,70481,-0.796596,-1.00%,78.9725,5.62m,1307
28,09/23/16,80.37,81.39,79.76,80.11,121876,-0.657192,-0.82%,79.7691,9.79m,1235
29,09/22/16,79.70,80.83,79.70,80.77,108284,1.7226,2.19%,80.4263,8.71m,1026
30,09/21/16,78.57,79.7389,78.10,79.04,52489,0.866298,1.11%,78.7037,4.14m,656
31,09/20/16,77.95,79.01,77.66,78.17,69532,0.268851,0.35%,77.8374,5.44m,814
32,09/19/16,77.88,78.40,77.65,77.90,42754,0.029873,0.04%,77.5685,3.33m,807
33,09/16/16,77.70,78.47,77.49,77.87,103728,0.169276,0.22%,77.5387,8.08m,793
34,09/15/16,77.11,78.08,77.11,77.70,55702,0.527745,0.69%,77.3694,4.33m,611
35,09/14/16,77.14,77.71,76.19,77.17,32633,-0.139404,-0.18%,76.8416,2.51m,523
36,09/13/16,78.15,78.41,76.66,77.31,61800,-1.3243,-1.69%,76.981,4.78m,834
37,09/12/16,78.06,79.00,77.01,78.64,116753,0.448085,0.58%,78.3054,9.14m,1151
38,09/09/16,79.83,79.83,78.13,78.19,75826,-1.9716,-2.47%,77.8573,5.97m,794
39,09/08/16,81.00,81.51,80.0101,80.17,87952,-0.776681,-0.96%,79.8289,7.1m,823
40,09/07/16,81.37,81.54,80.78,80.95,86542,-0.527745,-0.65%,80.6056,7.02m,1085
41,09/06/16,81.02,82.24,80.34,81.48,148237,0.746809,0.93%,81.1333,12.07m,1132
42,09/05/16,,,,80.73,0,,0.00%,80.3865,,
43,09/02/16,81.29,81.45,80.40,80.73,84163,-0.338553,-0.42%,80.3865,6.8m,933
44,09/01/16,80.70,81.49,79.88,81.07,118860,0.637277,0.80%,80.725,9.61m,1117
45,08/31/16,79.91,81.59,79.02,80.43,169464,0.557617,0.70%,80.0878,13.63m,1432
46,08/30/16,78.47,80.78,78.47,79.87,238824,1.2148,1.55%,79.5302,19.12m,1984
47,08/29/16,77.59,78.91,77.59,78.65,63187,1.0555,1.37%,78.3153,4.95m,683
48,08/26/16,77.64,78.69,77.20,77.59,82978,-0.159319,-0.21%,77.2599,6.45m,786
49,08/25/16,76.95,78.00,76.79,77.75,65125,0.557617,0.73%,77.4192,5.04m,628
50,08/24/16,76.81,77.22,76.42,77.19,59023,0.328596,0.43%,76.8616,4.54m,610
51,08/23/16,76.00,77.23,76.00,76.86,78931,1.0953,1.45%,76.533,6.06m,782
