,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,13.88,14.37,13.70,14.21,494570,0.21,1.50%,14.21,7m,3543
2,10/31/16,14.32,14.38,13.97,14.00,410759,0.09,0.65%,14.00,5.8m,3011
3,10/28/16,13.87,14.34,13.81,13.91,429775,-0.06,-0.43%,13.91,6.04m,3413
4,10/27/16,15.32,15.59,13.86,13.97,1353295,-1.34,-8.75%,13.97,19.36m,8943
5,10/26/16,15.01,15.42,15.00,15.31,410455,0.13,0.86%,15.31,6.26m,2845
6,10/25/16,15.45,15.68,15.01,15.18,468892,-0.28,-1.81%,15.18,7.18m,3109
7,10/24/16,15.00,15.48,14.99,15.46,502587,0.54,3.62%,15.46,7.69m,3044
8,10/21/16,14.89,15.07,14.778,14.92,237269,-0.12,-0.80%,14.92,3.54m,1856
9,10/20/16,15.20,15.23,14.78,15.04,425490,-0.15,-0.99%,15.04,6.39m,2738
10,10/19/16,14.93,15.26,14.7412,15.19,512387,0.16,1.06%,15.19,7.71m,3609
11,10/18/16,15.00,15.2399,14.89,15.03,482846,0.18,1.21%,15.03,7.26m,3151
12,10/17/16,14.66,14.99,14.591,14.85,424398,0.08,0.54%,14.85,6.31m,3006
13,10/14/16,14.74,15.20,14.66,14.77,527568,0.11,0.75%,14.77,7.87m,3487
14,10/13/16,14.87,14.93,14.44,14.66,804911,-0.44,-2.91%,14.66,11.83m,5407
15,10/12/16,15.29,15.35,14.62,15.10,660721,-0.17,-1.11%,15.10,10.02m,4600
16,10/11/16,15.73,15.97,15.08,15.27,932346,-0.59,-3.72%,15.27,14.45m,6003
17,10/10/16,16.43,16.6141,15.43,15.86,1459101,-0.39,-2.40%,15.86,23.11m,8834
18,10/07/16,16.32,16.50,16.05,16.25,523356,-0.06,-0.37%,16.25,8.52m,3857
19,10/06/16,16.98,16.98,16.06,16.31,961143,-0.55,-3.26%,16.31,15.8m,5987
20,10/05/16,16.30,17.385,16.16,16.86,1142878,0.82,5.11%,16.86,19.44m,6634
21,10/04/16,16.25,16.54,15.83,16.04,730343,-0.08,-0.50%,16.04,11.81m,4695
22,10/03/16,16.31,16.46,15.92,16.12,511126,-0.22,-1.35%,16.12,8.24m,3281
23,09/30/16,16.52,16.62,16.00,16.34,1317175,0.04,0.25%,16.34,21.41m,6978
24,09/29/16,16.68,16.76,16.19,16.30,947756,-0.38,-2.28%,16.30,15.53m,5711
25,09/28/16,17.05,17.40,16.62,16.68,950160,-0.27,-1.59%,16.68,16.08m,6415
26,09/27/16,16.24,17.0302,16.18,16.95,703795,0.74,4.57%,16.95,11.82m,4951
27,09/26/16,16.26,16.61,16.05,16.21,650951,-0.28,-1.70%,16.21,10.65m,4671
28,09/23/16,17.02,17.02,16.23,16.49,806495,-0.51,-3.00%,16.49,13.29m,5416
29,09/22/16,17.25,17.4056,16.51,17.00,1114361,-0.05,-0.29%,17.00,18.86m,6063
30,09/21/16,16.97,17.37,16.6301,17.05,1058578,0.28,1.67%,17.05,17.98m,6022
31,09/20/16,18.38,18.38,16.63,16.77,1847281,-1.45,-7.96%,16.77,31.59m,11036
32,09/19/16,18.50,18.51,18.02,18.22,937517,0.27,1.50%,18.22,17.16m,5527
33,09/16/16,18.17,18.35,17.69,17.95,1304895,-0.09,-0.50%,17.95,23.41m,5116
34,09/15/16,17.60,18.47,17.55,18.04,1286907,0.49,2.79%,18.04,23.31m,7492
