,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,13.35,13.43,13.32,13.40,202667,0.039831,0.30%,13.3434,2.71m,536
2,10/31/16,13.37,13.41,13.36,13.36,104601,-0.009958,-0.07%,13.3036,1.4m,350
3,10/28/16,13.41,13.43,13.35,13.37,202313,-0.039831,-0.30%,13.3135,2.71m,614
4,10/27/16,13.55,13.589,13.40,13.41,245241,-0.189198,-1.40%,13.3534,3.3m,774
5,10/26/16,13.71,13.72,13.58,13.60,99565,-0.089619,-0.66%,13.5426,1.36m,357
6,10/25/16,13.70,13.74,13.67,13.69,88552,-0.029874,-0.22%,13.6322,1.21m,248
7,10/24/16,13.79,13.79,13.69,13.72,54396,-0.009957,-0.07%,13.662,746.83k,155
8,10/21/16,13.69,13.76,13.64,13.73,181640,0.079662,0.59%,13.672,2.49m,918
9,10/20/16,13.74,13.77,13.58,13.65,118487,-0.019916,-0.15%,13.5923,1.62m,515
10,10/19/16,13.56,13.78,13.55,13.67,251764,0.129451,0.96%,13.6123,3.44m,860
11,10/18/16,13.35,13.57,13.29,13.54,333246,0.209113,1.58%,13.4828,4.49m,1036
12,10/17/16,13.46,13.46,13.31,13.33,316060,-0.139409,-1.04%,13.2737,4.22m,969
13,10/14/16,13.50,13.58,13.45,13.47,270143,-0.08962,-0.66%,13.4131,3.65m,898
14,10/13/16,13.49,13.61,13.34,13.56,549323,0.069705,0.52%,13.5027,7.38m,1500
15,10/12/16,13.60,13.61,13.482,13.49,182389,-0.104058,-0.77%,13.433,2.47m,634
16,10/11/16,13.72,13.74,13.64,13.65,184057,-0.059503,-0.44%,13.5371,2.52m,491
17,10/10/16,13.69,13.76,13.67,13.71,177234,-0.009917,-0.07%,13.5966,2.43m,581
18,10/07/16,13.76,13.79,13.64,13.72,279347,0.00,0.00%,13.6065,3.83m,731
19,10/06/16,13.83,13.85,13.69,13.72,472611,-0.109091,-0.80%,13.6065,6.5m,1476
20,10/05/16,13.98,13.985,13.81,13.83,243063,-0.119007,-0.86%,13.7156,3.37m,833
21,10/04/16,14.17,14.17,13.95,13.95,177277,-0.178511,-1.27%,13.8346,2.49m,715
22,10/03/16,14.16,14.173,14.11,14.13,109997,0.009917,0.07%,14.0131,1.56m,222
23,09/30/16,14.18,14.18,14.12,14.12,110097,-0.029751,-0.21%,14.0032,1.56m,252
24,09/29/16,14.25,14.27,14.14,14.15,49362,-0.089256,-0.63%,14.0329,701.47k,178
25,09/28/16,14.24,14.30,14.23,14.24,118490,0.003868,0.03%,14.1222,1.69m,350
26,09/27/16,14.21,14.25,14.20,14.2361,60979,0.025884,0.18%,14.1183,866.98k,124
27,09/26/16,14.28,14.29,14.19,14.21,71513,-0.029752,-0.21%,14.0924,1.02m,170
28,09/23/16,14.30,14.30,14.24,14.24,80326,-0.019835,-0.14%,14.1222,1.15m,172
29,09/22/16,14.27,14.32,14.25,14.26,147676,0.03967,0.28%,14.142,2.11m,565
30,09/21/16,14.16,14.22,14.09,14.22,120903,0.049586,0.35%,14.1024,1.71m,335
31,09/20/16,14.20,14.22,14.11,14.17,101747,0.009918,0.07%,14.0528,1.44m,299
32,09/19/16,14.07,14.17,14.07,14.16,91715,0.089255,0.64%,14.0429,1.29m,290
33,09/16/16,14.07,14.11,14.06,14.07,83231,-0.049587,-0.35%,13.9536,1.17m,185
34,09/15/16,14.16,14.20,14.095,14.12,68727,-0.019834,-0.14%,14.0032,971.99k,275
35,09/14/16,14.14,14.20,14.08,14.14,176815,0.019834,0.14%,14.023,2.5m,594
36,09/13/16,14.14,14.19,14.08,14.12,119521,-0.034211,-0.24%,14.0032,1.69m,310
37,09/12/16,14.21,14.2365,14.06,14.21,87888,-0.019757,-0.14%,14.0374,1.24m,412
38,09/09/16,14.39,14.39,14.17,14.23,298441,-0.187691,-1.32%,14.0572,4.25m,1003
39,09/08/16,14.35,14.42,14.35,14.42,89883,0.059271,0.42%,14.2448,1.29m,196
40,09/07/16,14.37,14.39,14.33,14.36,92454,-0.019757,-0.14%,14.1856,1.33m,242
41,09/06/16,14.40,14.40,14.32,14.38,150737,0.019757,0.14%,14.2053,2.17m,589
42,09/05/16,,,,14.36,0,,0.00%,14.1856,,
43,09/02/16,14.42,14.42,14.36,14.36,110257,-0.019757,-0.14%,14.1856,1.59m,267
44,09/01/16,14.37,14.40,14.32,14.38,85559,0.009878,0.07%,14.2053,1.23m,302
45,08/31/16,14.26,14.37,14.26,14.37,84716,0.098786,0.70%,14.1955,1.21m,239
46,08/30/16,14.33,14.33,14.27,14.27,79391,-0.029635,-0.21%,14.0967,1.14m,175
47,08/29/16,14.31,14.33,14.2501,14.30,97405,0.039514,0.28%,14.1263,1.39m,395
48,08/26/16,14.41,14.44,14.24,14.26,135965,-0.1383,-0.97%,14.0868,1.95m,410
49,08/25/16,14.44,14.44,14.35,14.40,63234,-0.009879,-0.07%,14.2251,910.67k,282
50,08/24/16,14.35,14.41,14.35,14.41,53308,0.029636,0.21%,14.235,766.87k,198
51,08/23/16,14.48,14.57,14.36,14.38,212694,-0.059271,-0.42%,14.2053,3.07m,426
52,08/22/16,14.45,14.45,14.40,14.44,118539,0.009878,0.07%,14.2646,1.71m,233
53,08/19/16,14.45,14.50,14.37,14.43,73514,-0.069149,-0.48%,14.2547,1.06m,241
54,08/18/16,14.52,14.54,14.47,14.50,88332,0.00,0.00%,14.3239,1.28m,221
55,08/17/16,14.51,14.52,14.46,14.50,71051,0.00,0.00%,14.3239,1.03m,167
56,08/16/16,14.47,14.51,14.451,14.50,73908,-0.009879,-0.07%,14.3239,1.07m,189
57,08/15/16,14.53,14.5599,14.51,14.51,84046,-0.059272,-0.41%,14.3338,1.22m,265
58,08/12/16,14.56,14.59,14.50,14.57,54694,0.059272,0.41%,14.393,796.08k,184
59,08/11/16,14.57,14.57,14.50,14.51,62794,-0.021239,-0.15%,14.3338,912.86k,140
60,08/10/16,14.59,14.5935,14.52,14.5315,89034,0.039591,0.28%,14.355,1.3m,265
61,08/09/16,14.57,14.60,14.545,14.55,44089,-0.009839,-0.07%,14.3154,642.43k,89
62,08/08/16,14.57,14.58,14.54,14.56,33131,0.039357,0.28%,14.3252,482.44k,91
63,08/05/16,14.55,14.59,14.52,14.52,59607,-0.039357,-0.27%,14.2859,868.15k,204
64,08/04/16,14.61,14.62,14.55,14.56,60598,0.00,0.00%,14.3252,883.89k,139
65,08/03/16,14.51,14.60,14.471,14.56,67498,0.088549,0.62%,14.3252,981.64k,285
66,08/02/16,14.48,14.539,14.43,14.47,117653,-0.049192,-0.34%,14.2367,1.7m,369
67,08/01/16,14.57,14.60,14.52,14.52,63981,-0.049195,-0.34%,14.2859,931.45k,211
68,07/29/16,14.54,14.58,14.52,14.57,73510,0.059033,0.41%,14.3351,1.07m,195
69,07/28/16,14.48,14.52,14.458,14.51,86542,0.07871,0.55%,14.276,1.25m,127
70,07/27/16,14.47,14.48,14.43,14.43,60499,0.009839,0.07%,14.1973,875.31k,250
71,07/26/16,14.37,14.444,14.37,14.42,95773,0.039354,0.28%,14.1875,1.38m,165
72,07/25/16,14.42,14.4407,14.36,14.38,71219,-0.009838,-0.07%,14.1481,1.03m,179
