,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,15.15,15.19,14.48,14.72,536774,-0.39,-2.58%,14.72,7.89m,4140
2,10/31/16,15.20,15.33,15.06,15.11,514412,-0.03,-0.20%,15.11,7.79m,3239
3,10/28/16,15.29,15.30,14.89,15.14,364767,-0.19,-1.24%,15.14,5.49m,2911
4,10/27/16,15.50,15.50,15.09,15.33,356724,-0.13,-0.84%,15.33,5.47m,3032
5,10/26/16,15.61,15.65,15.31,15.46,472991,0.63,4.25%,15.46,7.33m,3373
6,10/25/16,14.87,15.04,14.67,14.83,170588,-0.05,-0.34%,14.83,2.53m,1547
7,10/24/16,14.90,15.03,14.81,14.88,172761,0.09,0.61%,14.88,2.57m,1371
8,10/21/16,14.85,15.18,14.76,14.79,177000,-0.22,-1.47%,14.79,2.64m,1393
9,10/20/16,14.87,15.06,14.78,15.01,193956,0.13,0.87%,15.01,2.9m,1615
10,10/19/16,14.79,14.98,14.76,14.88,194984,0.14,0.95%,14.88,2.9m,1695
11,10/18/16,14.64,14.93,14.45,14.74,276190,0.29,2.01%,14.74,4.08m,2328
12,10/17/16,14.49,14.58,14.24,14.45,213747,-0.01,-0.07%,14.45,3.09m,1699
13,10/14/16,14.68,14.79,14.37,14.46,222912,0.04,0.28%,14.46,3.23m,1937
14,10/13/16,14.25,14.52,14.05,14.42,306598,-0.01,-0.07%,14.42,4.41m,2749
15,10/12/16,14.51,14.59,14.38,14.43,162684,-0.06,-0.41%,14.43,2.35m,1577
16,10/11/16,14.72,14.7399,14.34,14.49,207449,-0.11,-0.75%,14.49,3.01m,1662
17,10/10/16,14.65,14.77,14.51,14.60,183750,0.13,0.90%,14.60,2.69m,1523
18,10/07/16,14.65,14.67,14.32,14.47,276425,-0.15,-1.03%,14.47,4m,1996
19,10/06/16,14.69,14.77,14.51,14.62,327985,-0.10,-0.68%,14.62,4.8m,2333
20,10/05/16,14.66,14.99,14.61,14.72,523296,0.17,1.17%,14.72,7.74m,2698
21,10/04/16,14.83,14.89,14.48,14.55,339658,-0.21,-1.42%,14.55,4.97m,2496
22,10/03/16,14.67,14.875,14.53,14.76,303888,-0.05,-0.34%,14.76,4.48m,2982
23,09/30/16,14.47,14.96,14.39,14.81,541753,0.48,3.35%,14.81,7.99m,3479
24,09/29/16,14.52,14.74,14.06,14.33,483420,-0.30,-2.05%,14.33,6.97m,4021
25,09/28/16,14.64,14.79,14.36,14.63,319281,0.05,0.34%,14.63,4.65m,2595
26,09/27/16,14.52,14.6235,14.35,14.58,534472,0.07,0.48%,14.58,7.75m,4085
27,09/26/16,15.05,15.05,14.46,14.51,683196,-0.58,-3.84%,14.51,9.97m,4090
28,09/23/16,15.43,15.55,14.98,15.09,357930,-0.34,-2.20%,15.09,5.41m,2657
29,09/22/16,15.80,15.8507,15.34,15.43,362070,-0.14,-0.90%,15.43,5.6m,2603
30,09/21/16,15.71,15.80,15.56,15.57,541529,-0.02,-0.13%,15.57,8.48m,3521
31,09/20/16,15.89,15.99,15.51,15.59,349803,-0.21,-1.33%,15.59,5.48m,2710
32,09/19/16,15.79,15.99,15.59,15.80,272278,0.10,0.64%,15.80,4.31m,1999
33,09/16/16,15.48,15.84,15.48,15.70,781121,0.12,0.77%,15.70,12.26m,2182
34,09/15/16,15.36,15.71,15.345,15.58,596378,0.25,1.63%,15.58,9.27m,2215
35,09/14/16,15.24,15.53,15.12,15.33,214948,0.05,0.33%,15.33,3.31m,2172
36,09/13/16,15.51,15.51,15.11,15.28,360597,-0.38,-2.43%,15.28,5.5m,2755
37,09/12/16,15.41,15.69,15.20,15.66,375207,0.10,0.64%,15.66,5.84m,2675
38,09/09/16,16.60,16.60,15.51,15.56,406600,-0.57,-3.53%,15.56,6.42m,3080
39,09/08/16,16.10,16.22,15.9401,16.13,197437,0.03,0.19%,16.13,3.19m,1567
40,09/07/16,16.03,16.15,15.92,16.10,199289,0.03,0.19%,16.10,3.2m,1575
41,09/06/16,16.30,16.39,15.95,16.07,224643,-0.11,-0.68%,16.07,3.61m,2336
42,09/05/16,,,,16.18,0,,0.00%,16.18,,
43,09/02/16,16.15,16.30,16.10,16.18,333093,0.11,0.68%,16.18,5.4m,2279
44,09/01/16,15.97,16.12,15.63,16.07,456381,0.19,1.20%,16.07,7.29m,3196
45,08/31/16,15.78,15.97,15.59,15.88,496973,0.11,0.70%,15.88,7.88m,4040
46,08/30/16,15.63,15.925,15.63,15.77,325008,0.14,0.90%,15.77,5.13m,2511
47,08/29/16,15.72,15.87,15.61,15.63,327031,0.01,0.06%,15.63,5.14m,2346
48,08/26/16,15.80,15.80,15.34,15.62,396113,0.02,0.13%,15.62,6.15m,3111
49,08/25/16,15.60,15.83,15.51,15.60,373053,-0.06,-0.38%,15.60,5.82m,4015
50,08/24/16,16.08,16.251,15.64,15.66,451510,-0.44,-2.73%,15.66,7.15m,3197
51,08/23/16,15.98,16.24,15.97,16.10,323124,0.25,1.58%,16.10,5.2m,2627
52,08/22/16,15.83,15.96,15.67,15.85,258667,-0.05,-0.31%,15.85,4.1m,2081
