,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,14.06,14.12,14.03,14.11,42740,-0.009956,-0.07%,14.049,601.94k,224
2,10/31/16,14.11,14.13,14.0701,14.12,46269,0.079654,0.57%,14.059,652.73k,200
3,10/28/16,14.14,14.18,13.851,14.04,71159,-0.139395,-0.99%,13.9793,1m,192
4,10/27/16,14.22,14.25,14.1225,14.18,76347,-0.039827,-0.28%,14.1187,1.08m,279
5,10/26/16,14.32,14.32,14.19,14.22,81684,-0.089611,-0.63%,14.1586,1.16m,311
6,10/25/16,14.28,14.31,14.25,14.31,34291,0.049783,0.35%,14.2482,489.75k,138
7,10/24/16,14.32,14.32,14.23,14.26,50154,-0.049783,-0.35%,14.1984,716.17k,143
8,10/21/16,14.30,14.35,14.29,14.31,59853,0.069697,0.49%,14.2482,856.63k,220
9,10/20/16,14.33,14.44,14.23,14.24,190239,-0.059741,-0.42%,14.1785,2.72m,680
10,10/19/16,14.15,14.35,14.15,14.30,109482,0.169266,1.20%,14.2382,1.56m,298
11,10/18/16,14.05,14.19,13.95,14.13,169114,0.079654,0.57%,14.0689,2.38m,455
12,10/17/16,14.23,14.24,14.04,14.05,192493,-0.179222,-1.26%,13.9893,2.71m,461
13,10/14/16,14.25,14.35,14.22,14.23,111256,-0.079654,-0.56%,14.1685,1.59m,417
14,10/13/16,14.37,14.38,14.24,14.31,207708,-0.079655,-0.56%,14.2482,2.97m,792
15,10/12/16,14.50,14.50,14.36,14.39,51626,-0.118988,-0.82%,14.3278,746.29k,198
16,10/11/16,14.62,14.62,14.55,14.57,48222,-0.08924,-0.61%,14.4468,703.66k,132
17,10/10/16,14.60,14.67,14.56,14.66,91931,0.079324,0.55%,14.536,1.34m,350
18,10/07/16,14.58,14.65,14.56,14.58,32456,-0.019831,-0.14%,14.4567,473.76k,78
19,10/06/16,14.65,14.70,14.57,14.60,64704,-0.049577,-0.34%,14.4766,946.86k,239
20,10/05/16,14.79,14.79,14.64,14.65,74930,-0.148732,-1.01%,14.5261,1.1m,260
21,10/04/16,14.82,14.82,14.68,14.80,65604,-0.019831,-0.13%,14.6749,967.67k,242
22,10/03/16,14.88,14.88,14.79,14.82,52619,-0.019831,-0.13%,14.6947,780.94k,245
23,09/30/16,14.92,14.92,14.79,14.84,74130,-0.019831,-0.13%,14.7145,1.1m,248
24,09/29/16,14.98,14.98,14.86,14.86,76320,-0.099948,-0.67%,14.7344,1.14m,376
25,09/28/16,15.00,15.02,14.92,14.9608,111154,0.03054,0.21%,14.8343,1.66m,408
26,09/27/16,14.96,14.96,14.91,14.93,29676,0.029747,0.20%,14.8038,443.32k,173
27,09/26/16,14.94,14.95,14.8705,14.90,66656,0.029745,0.20%,14.774,993.32k,188
28,09/23/16,14.98,14.98,14.87,14.87,45691,-0.029745,-0.20%,14.7443,681.45k,122
29,09/22/16,14.90,14.95,14.86,14.90,139879,0.069407,0.47%,14.774,2.08m,520
30,09/21/16,14.76,14.83,14.68,14.83,99440,0.099155,0.68%,14.7046,1.47m,377
31,09/20/16,14.75,14.77,14.69,14.73,78943,-0.019831,-0.14%,14.6055,1.16m,303
32,09/19/16,14.70,14.76,14.68,14.75,70720,0.009915,0.07%,14.6253,1.04m,290
33,09/16/16,14.80,14.81,14.70,14.74,72264,-0.069408,-0.47%,14.6154,1.07m,287
34,09/15/16,14.85,14.9099,14.81,14.81,77696,-0.089238,-0.60%,14.6848,1.15m,303
35,09/14/16,14.91,14.9399,14.85,14.90,59296,-0.019831,-0.13%,14.774,882.78k,168
36,09/13/16,14.98,15.0034,14.86,14.92,80461,-0.148231,-0.99%,14.7938,1.2m,254
37,09/12/16,15.13,15.17,14.9889,15.13,143563,-0.039504,-0.26%,14.9421,2.16m,490
38,09/09/16,15.33,15.43,15.17,15.17,84427,-0.286398,-1.88%,14.9816,1.29m,306
39,09/08/16,15.47,15.54,15.46,15.46,48127,-0.019751,-0.13%,15.268,745.38k,155
40,09/07/16,15.60,15.60,15.48,15.48,54688,-0.108635,-0.71%,15.2877,849.31k,127
41,09/06/16,15.55,15.60,15.517,15.59,59567,0.088883,0.58%,15.3964,927.28k,205
42,09/05/16,,,,15.50,0,,0.00%,15.3075,,
43,09/02/16,15.43,15.63,15.40,15.50,101674,0.00,0.00%,15.3075,1.58m,343
44,09/01/16,15.45,15.50,15.37,15.50,71708,0.029628,0.19%,15.3075,1.11m,261
45,08/31/16,15.38,15.47,15.34,15.47,86950,0.118509,0.78%,15.2779,1.34m,347
46,08/30/16,15.34,15.40,15.30,15.35,58862,-0.049379,-0.32%,15.1593,904.03k,260
47,08/29/16,15.29,15.40,15.29,15.40,50218,0.108634,0.72%,15.2087,770.86k,292
48,08/26/16,15.37,15.37,15.235,15.29,98368,-0.06913,-0.46%,15.1001,1.5m,502
49,08/25/16,15.29,15.37,15.26,15.36,73425,0.06913,0.46%,15.1692,1.12m,444
50,08/24/16,15.27,15.30,15.25,15.29,34412,0.049378,0.33%,15.1001,525.33k,194
51,08/23/16,15.26,15.33,15.23,15.24,19688,-0.019751,-0.13%,15.0507,300.85k,107
52,08/22/16,15.29,15.30,15.23,15.26,48396,0.019751,0.13%,15.0705,738.73k,182
53,08/19/16,15.30,15.41,15.23,15.24,59499,-0.088881,-0.59%,15.0507,910.77k,303
54,08/18/16,15.26,15.34,15.24,15.33,91453,0.079006,0.52%,15.1396,1.4m,295
55,08/17/16,15.24,15.25,15.17,15.25,38541,0.059255,0.39%,15.0606,586.14k,191
56,08/16/16,15.26,15.30,15.16,15.19,96553,-0.04938,-0.33%,15.0013,1.47m,376
57,08/15/16,15.38,15.38,15.24,15.24,101347,-0.148136,-0.97%,15.0507,1.55m,282
58,08/12/16,15.37,15.41,15.37,15.39,24864,0.019752,0.13%,15.1989,382.62k,66
59,08/11/16,15.44,15.44,15.36,15.37,29449,-0.054318,-0.36%,15.1791,453.92k,93
60,08/10/16,15.43,15.49,15.421,15.425,35935,0.069111,0.46%,15.2334,555.17k,131
61,08/09/16,15.48,15.48,15.42,15.42,32417,-0.039337,-0.26%,15.1643,501.23k,63
62,08/08/16,15.46,15.46,15.40,15.46,29639,0.049172,0.32%,15.2036,457.35k,79
63,08/05/16,15.46,15.49,15.41,15.41,34624,-0.06884,-0.45%,15.1545,534.72k,111
64,08/04/16,15.49,15.49,15.45,15.48,31096,-0.009835,-0.06%,15.2233,480.98k,72
65,08/03/16,15.41,15.49,15.41,15.49,53604,0.06884,0.45%,15.2331,827.07k,176
66,08/02/16,15.42,15.44,15.3124,15.42,63782,0.00,0.00%,15.1643,981.62k,205
67,08/01/16,15.43,15.47,15.36,15.42,54215,0.039336,0.26%,15.1643,835.56k,263
68,07/29/16,15.38,15.3999,15.32,15.38,42321,0.039338,0.26%,15.125,650.73k,136
69,07/28/16,15.39,15.40,15.29,15.34,67041,0.029502,0.20%,15.0856,1.03m,164
70,07/27/16,15.33,15.39,15.31,15.31,50902,-0.009834,-0.07%,15.0561,782.01k,199
71,07/26/16,15.37,15.37,15.28,15.32,37055,0.00,0.00%,15.066,568.11k,125
72,07/25/16,15.35,15.39,15.30,15.32,35397,-0.049171,-0.33%,15.066,543k,137
73,07/22/16,15.38,15.44,15.35,15.37,72631,-0.059005,-0.39%,15.1151,1.12m,310
74,07/21/16,15.37,15.45,15.3447,15.43,87409,0.04917,0.33%,15.1741,1.35m,220
75,07/20/16,15.26,15.38,15.26,15.38,79103,0.039338,0.26%,15.125,1.21m,198
76,07/19/16,15.29,15.37,15.26,15.34,71082,0.068838,0.46%,15.0856,1.09m,237
77,07/18/16,15.25,15.4199,15.24,15.27,105765,0.00,0.00%,15.0168,1.62m,297
78,07/15/16,14.95,15.30,14.94,15.27,112051,0.314694,2.14%,15.0168,1.7m,560
79,07/14/16,15.22,15.23,14.90,14.95,160769,-0.275357,-1.84%,14.7021,2.41m,522
80,07/13/16,15.33,15.33,15.16,15.23,96819,-0.103258,-0.68%,14.9775,1.48m,445
81,07/12/16,15.44,15.46,15.37,15.335,72823,-0.078065,-0.51%,15.0807,1.12m,376
82,07/11/16,15.50,15.50,15.45,15.48,112971,0.00,0.00%,15.1588,1.75m,438
83,07/08/16,15.45,15.49,15.44,15.48,74229,0.009793,0.06%,15.1588,1.15m,379
84,07/07/16,15.50,15.50,15.40,15.47,78435,0.019585,0.13%,15.149,1.21m,352
85,07/06/16,15.45,15.46,15.37,15.45,87348,0.088133,0.59%,15.1294,1.35m,386
86,07/05/16,15.40,15.40,15.34,15.36,121793,-0.029378,-0.19%,15.0413,1.87m,468
87,07/04/16,,,,15.39,0,,0.00%,15.0706,,
88,07/01/16,15.38,15.40,15.31,15.39,99695,0.009793,0.07%,15.0706,1.53m,397
89,06/30/16,15.43,15.43,15.33,15.38,94190,0.00,0.00%,15.0609,1.45m,483
90,06/29/16,15.34,15.43,15.33,15.38,138881,0.019585,0.13%,15.0609,2.14m,457
91,06/28/16,15.40,15.42,15.32,15.36,89107,-0.019585,-0.13%,15.0413,1.37m,263
92,06/27/16,15.27,15.39,15.1851,15.38,96799,0.166472,1.12%,15.0609,1.48m,328
93,06/24/16,15.11,15.23,15.07,15.21,142966,0.117511,0.80%,14.8944,2.17m,502
94,06/23/16,15.10,15.11,15.0501,15.09,80024,0.019585,0.13%,14.7769,1.21m,274
95,06/22/16,15.05,15.07,15.03,15.07,68443,0.048961,0.33%,14.7573,1.03m,214
96,06/21/16,15.03,15.03,14.93,15.02,116718,0.03917,0.27%,14.7083,1.75m,244
97,06/20/16,15.02,15.05,14.97,14.98,60088,-0.068547,-0.47%,14.6692,901.1k,169
