,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,41.60,41.70,40.00,40.45,414575,-1.1313,-2.76%,39.7919,16.84m,2836
2,10/31/16,42.85,42.85,41.60,41.60,171891,-1.0821,-2.58%,40.9232,7.22m,1332
3,10/28/16,42.80,43.70,41.65,42.70,248359,1.1805,2.89%,42.0053,10.58m,1814
4,10/27/16,41.65,42.10,41.20,41.50,363954,0.00,0.00%,40.8248,15.1m,2307
5,10/26/16,40.90,41.60,40.75,41.50,327389,0.590238,1.47%,40.8248,13.5m,1986
6,10/25/16,40.80,41.45,40.80,40.90,309224,-0.098373,-0.24%,40.2346,12.71m,2143
7,10/24/16,40.75,41.20,40.50,41.00,224517,0.737797,1.86%,40.3329,9.18m,1017
8,10/21/16,40.05,40.75,40.05,40.25,150378,0.14756,0.37%,39.5951,6.09m,990
9,10/20/16,40.55,40.65,40.10,40.10,105490,-0.442679,-1.11%,39.4476,4.26m,682
10,10/19/16,40.00,40.825,40.00,40.55,122187,0.344306,0.87%,39.8903,4.96m,857
11,10/18/16,39.90,40.50,39.855,40.20,385171,0.196746,0.50%,39.5459,15.51m,1826
12,10/17/16,40.55,40.70,40.00,40.00,350298,-0.570563,-1.43%,39.3492,14.13m,1723
13,10/14/16,40.57,40.84,40.24,40.58,414232,0.098373,0.25%,39.9198,16.79m,1784
14,10/13/16,39.19,41.136,39.19,40.48,359349,0.078698,0.20%,39.8214,14.56m,2402
15,10/12/16,40.20,40.63,40.15,40.40,196498,-0.009837,-0.02%,39.7427,7.95m,1416
16,10/11/16,41.34,42.19,40.13,40.41,351554,-0.934544,-2.30%,39.7525,14.28m,2355
17,10/10/16,41.42,41.60,41.21,41.36,212904,-0.029512,-0.07%,40.6871,8.82m,1392
18,10/07/16,41.28,41.65,41.26,41.39,159603,0.078699,0.19%,40.7166,6.62m,1344
19,10/06/16,41.37,41.49,41.22,41.31,221094,-0.127885,-0.31%,40.6379,9.15m,1541
20,10/05/16,41.60,42.23,41.36,41.44,214722,0.059024,0.14%,40.7658,8.93m,1212
21,10/04/16,42.19,42.35,41.33,41.38,271090,-0.87552,-2.11%,40.7067,11.36m,1884
22,10/03/16,42.48,42.8211,42.12,42.27,94541,-0.127885,-0.31%,41.5823,4.01m,653
23,09/30/16,41.53,42.46,41.21,42.40,447295,0.973893,2.39%,41.7102,18.75m,3041
24,09/29/16,41.85,42.17,41.22,41.41,283651,-0.442679,-1.08%,40.7363,11.85m,2093
25,09/28/16,42.14,42.1715,41.75,41.86,260665,-0.019674,-0.05%,41.1789,10.92m,1455
26,09/27/16,41.78,42.29,41.72,41.88,151469,0.098373,0.24%,41.1986,6.37m,1234
27,09/26/16,43.03,43.0322,41.75,41.78,336343,-1.2297,-2.90%,41.1002,14.18m,1945
28,09/23/16,43.70,43.84,42.975,43.03,156252,-0.659099,-1.53%,42.3299,6.76m,1090
29,09/22/16,43.10,43.84,43.10,43.70,238531,0.560726,1.32%,42.989,10.39m,1543
30,09/21/16,43.22,43.52,43.10,43.13,208497,-0.039349,-0.09%,42.4283,9.01m,1394
31,09/20/16,43.48,43.70,43.10,43.17,102888,-0.285282,-0.67%,42.4676,4.46m,724
32,09/19/16,43.74,44.47,43.37,43.46,198770,-0.314793,-0.73%,42.7529,8.69m,1496
33,09/16/16,43.70,43.99,43.35,43.78,127085,-0.029512,-0.07%,43.0677,5.55m,828
34,09/15/16,43.85,44.36,43.64,43.81,218279,0.088535,0.21%,43.0972,9.6m,1152
35,09/14/16,43.72,43.90,43.43,43.72,140490,0.03935,0.09%,43.0087,6.13m,1113
36,09/13/16,43.85,44.395,43.57,43.68,131369,-0.304957,-0.70%,42.9693,5.77m,927
37,09/12/16,44.03,44.4456,43.8507,43.99,163372,-0.25577,-0.59%,43.2743,7.2m,1207
38,09/09/16,44.40,44.88,44.19,44.25,261720,-0.21642,-0.49%,43.5301,11.65m,2164
39,09/08/16,44.30,44.77,44.01,44.47,153375,0.059024,0.14%,43.7465,6.82m,876
40,09/07/16,44.16,44.78,43.987,44.41,152808,0.403329,0.93%,43.6874,6.79m,1196
41,09/06/16,43.95,44.30,43.75,44.00,137329,-0.068861,-0.16%,43.2841,6.04m,779
42,09/05/16,,,,44.07,0,,0.00%,43.353,,
43,09/02/16,44.03,44.40,43.96,44.07,126683,0.009837,0.02%,43.353,5.59m,970
44,09/01/16,43.85,44.18,43.82,44.06,107836,0.088536,0.20%,43.3431,4.74m,888
45,08/31/16,44.20,44.43,43.82,43.97,128161,-0.177072,-0.41%,43.2546,5.64m,830
46,08/30/16,43.65,44.26,43.65,44.15,311066,0.314794,0.73%,43.4317,13.68m,2124
47,08/29/16,43.80,44.35,43.76,43.83,142194,-0.049186,-0.11%,43.1169,6.27m,1046
48,08/26/16,43.85,44.1122,43.50,43.88,206182,0.009837,0.02%,43.1661,9.04m,1726
49,08/25/16,44.30,44.65,43.80,43.87,137085,-0.452516,-1.04%,43.1562,6.03m,1131
50,08/24/16,44.07,44.52,43.90,44.33,280299,0.324631,0.75%,43.6088,12.36m,942
