,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,22.15,22.50,21.85,22.00,168482,-0.30,-1.35%,22.00,3.75m,1760
2,10/31/16,21.70,22.50,21.60,22.30,160287,0.60,2.76%,22.30,3.56m,1302
3,10/28/16,21.70,22.05,21.51,21.70,155599,-0.05,-0.23%,21.70,3.38m,1508
4,10/27/16,21.89,21.90,21.58,21.75,268028,-0.15,-0.68%,21.75,5.82m,2424
5,10/26/16,22.65,22.65,21.88,21.90,180359,-0.75,-3.31%,21.90,4m,1633
6,10/25/16,22.76,22.90,22.42,22.65,147209,-0.18,-0.79%,22.65,3.33m,1279
7,10/24/16,23.00,23.20,22.76,22.83,100613,-0.17,-0.74%,22.83,2.3m,1022
8,10/21/16,23.16,23.18,22.74,23.00,140573,-0.35,-1.50%,23.00,3.22m,1416
9,10/20/16,23.84,23.87,23.24,23.35,85786,-0.44,-1.85%,23.35,2.01m,967
10,10/19/16,23.57,23.97,23.435,23.79,166342,0.22,0.93%,23.79,3.95m,1359
11,10/18/16,23.18,23.82,23.18,23.57,174917,0.51,2.21%,23.57,4.12m,1365
12,10/17/16,23.00,23.29,22.937,23.06,102827,0.04,0.17%,23.06,2.38m,1130
13,10/14/16,23.14,23.24,22.87,23.02,104792,-0.10,-0.43%,23.02,2.41m,966
14,10/13/16,23.41,23.41,23.08,23.12,108388,-0.37,-1.58%,23.12,2.51m,1183
15,10/12/16,23.30,23.60,23.25,23.49,62735,0.18,0.77%,23.49,1.47m,819
16,10/11/16,23.60,23.60,23.19,23.31,83526,-0.30,-1.27%,23.31,1.95m,1058
17,10/10/16,23.60,23.85,23.59,23.61,100496,0.06,0.25%,23.61,2.38m,931
18,10/07/16,23.65,23.65,23.071,23.55,84651,-0.05,-0.21%,23.55,1.99m,933
19,10/06/16,23.66,23.75,23.19,23.60,141606,0.02,0.08%,23.60,3.32m,1162
