,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,14.26,14.45,13.64,13.86,209944,-0.427061,-3.01%,13.7653,2.93m,722
2,10/31/16,14.31,14.349,14.13,14.29,94764,0.05959,0.42%,14.1923,1.35m,256
3,10/28/16,14.32,14.52,14.22,14.23,51843,-0.079453,-0.56%,14.1327,746.53k,236
4,10/27/16,14.29,14.32,14.21,14.31,29089,-0.019863,-0.14%,14.2122,415k,108
5,10/26/16,14.23,14.33,14.1901,14.33,6994,-0.019863,-0.14%,14.232,99.61k,29
6,10/25/16,14.18,14.36,14.18,14.35,5803,0.168837,1.20%,14.2519,83.01k,39
7,10/24/16,14.32,14.42,14.18,14.18,19870,-0.099316,-0.70%,14.0831,284.13k,61
8,10/21/16,14.19,14.4217,14.19,14.28,29647,-0.049658,-0.35%,14.1824,424.17k,108
9,10/20/16,14.62,14.66,14.14,14.33,60793,-0.307881,-2.12%,14.232,877.36k,197
10,10/19/16,14.67,14.8164,14.66,14.73,14518,0.069097,0.48%,14.5399,213.63k,63
11,10/18/16,14.90,14.90,14.65,14.66,37997,-0.039484,-0.27%,14.4708,558.65k,108
12,10/17/16,14.79,14.8256,14.68,14.70,11648,-0.009871,-0.07%,14.5103,171.77k,51
13,10/14/16,14.90,15.0977,14.71,14.71,14590,-0.128421,-0.88%,14.5202,218.46k,68
14,10/13/16,14.90,15.0675,14.78,14.8401,16768,-0.138094,-0.93%,14.6486,249.68k,78
15,10/12/16,15.29,15.29,14.95,14.98,26746,-0.355355,-2.35%,14.7867,404.17k,148
16,10/11/16,15.30,15.39,15.21,15.34,10473,-0.059226,-0.39%,15.142,160.03k,67
17,10/10/16,15.44,15.44,15.21,15.40,6790,0.20729,1.38%,15.2013,104.15k,48
18,10/07/16,15.12,15.33,14.951,15.19,19524,0.00,0.00%,14.994,296.28k,105
19,10/06/16,14.99,15.19,14.90,15.19,22644,0.276387,1.88%,14.994,340.1k,81
20,10/05/16,15.00,15.05,14.91,14.91,17819,-0.078967,-0.53%,14.7176,266.78k,65
21,10/04/16,15.18,15.19,14.93,14.99,24956,-0.23335,-1.55%,14.7966,375.53k,136
22,10/03/16,15.22,15.25,15.1341,15.2264,22371,0.075414,0.50%,15.0299,339.88k,78
23,09/30/16,15.05,15.279,15.05,15.15,19487,0.009871,0.07%,14.9545,294.56k,72
24,09/29/16,15.34,15.40,15.00,15.14,31183,-0.227032,-1.50%,14.9446,471.76k,120
25,09/28/16,15.22,15.44,15.20,15.37,14386,0.098808,0.66%,15.1717,220.6k,90
26,09/27/16,14.98,15.28,14.8964,15.2699,24971,0.365127,2.48%,15.0729,376.62k,68
27,09/26/16,15.16,15.246,14.84,14.90,23542,-0.356341,-2.37%,14.7077,352.61k,145
28,09/23/16,15.49,15.59,15.19,15.261,18747,-0.275401,-1.80%,15.0641,288.68k,91
29,09/22/16,15.38,15.649,15.38,15.54,8837,0.178665,1.18%,15.3395,137.28k,40
30,09/21/16,15.22,15.459,15.02,15.359,23679,0.265531,1.78%,15.1608,361.71k,174
31,09/20/16,15.29,15.40,15.10,15.18,40597,-0.078499,-0.52%,14.8953,620.82k,241
32,09/19/16,15.48,15.48,15.08,15.26,53140,-0.277692,-1.82%,14.9738,810.52k,261
33,09/16/16,15.50,15.59,15.19,15.543,13056,0.076537,0.50%,15.2515,201.56k,61
34,09/15/16,15.25,15.4899,15.18,15.465,47348,0.348341,2.35%,15.1749,725.51k,207
35,09/14/16,15.23,15.2999,15.11,15.11,23911,-0.092236,-0.62%,14.8266,362.64k,90
36,09/13/16,15.48,15.55,15.0401,15.204,29959,-0.30036,-1.97%,14.9188,457.73k,128
37,09/12/16,15.50,15.69,15.4001,15.5101,38610,-0.048964,-0.32%,15.2192,601.02k,156
38,09/09/16,15.58,15.75,15.54,15.56,35472,-0.166712,-1.08%,15.2681,555.76k,179
39,09/08/16,15.55,15.73,15.53,15.7299,34000,0.107838,0.70%,15.4349,531.67k,191
40,09/07/16,15.59,15.68,15.5589,15.62,12958,-0.029437,-0.19%,15.327,202.45k,71
41,09/06/16,15.61,15.66,15.52,15.65,29592,-0.03925,-0.25%,15.3565,462.13k,114
42,09/05/16,,,,15.69,0,,0.00%,15.3957,,
43,09/02/16,15.70,15.7663,15.5801,15.69,25905,-0.009027,-0.06%,15.3957,406.48k,129
44,09/01/16,15.67,15.73,15.6039,15.6992,22553,0.05809,0.38%,15.4047,353.61k,77
45,08/31/16,15.71,15.83,15.55,15.64,25442,-0.157,-1.01%,15.3466,399.03k,136
46,08/30/16,15.74,15.80,15.5301,15.80,23242,-0.019625,-0.13%,15.5036,363.9k,74
47,08/29/16,15.72,15.82,15.56,15.82,31494,0.020508,0.13%,15.5233,492.63k,125
48,08/26/16,15.69,15.87,15.66,15.7991,22861,0.195366,1.28%,15.5028,359.53k,89
49,08/25/16,15.75,15.88,15.52,15.60,31520,-0.15798,-1.02%,15.3074,494.31k,159
50,08/24/16,16.07,16.0899,15.75,15.761,36354,-0.273277,-1.74%,15.4654,579.44k,168
51,08/23/16,16.09,16.10,15.93,16.0395,11398,-0.010303,-0.07%,15.7387,182.79k,89
52,08/22/16,16.06,16.10,15.9301,16.05,17099,0.019626,0.12%,15.749,273.79k,88
53,08/19/16,16.17,16.33,16.0101,16.03,27752,-0.087328,-0.55%,15.7293,450.04k,141
54,08/18/16,16.05,16.27,15.98,16.21,23430,0.068301,0.43%,15.8167,377.15k,119
55,08/17/16,15.82,16.3254,15.82,16.14,35042,0.234177,1.51%,15.7484,561.23k,171
56,08/16/16,15.81,15.969,15.61,15.90,42072,-0.068301,-0.44%,15.5142,664.42k,223
57,08/15/16,16.12,16.22,15.89,15.97,60610,-0.205686,-1.30%,15.5825,967.25k,309
58,08/12/16,16.01,16.24,15.98,16.1808,18269,0.06791,0.43%,15.7882,294.05k,72
59,08/11/16,15.97,16.34,15.97,16.1112,16857,0.088988,0.57%,15.7203,271.22k,78
60,08/10/16,16.00,16.02,15.72,16.02,10031,0.029174,0.19%,15.6313,160.26k,44
61,08/09/16,15.92,16.02,15.92,15.9901,9420,0.047909,0.31%,15.6021,150.41k,44
62,08/08/16,16.00,16.04,15.88,15.941,22814,-0.008781,-0.06%,15.5542,363.52k,117
63,08/05/16,15.77,16.00,15.723,15.95,30003,0.165874,1.08%,15.563,475.21k,121
64,08/04/16,15.74,15.88,15.74,15.78,19866,0.029273,0.19%,15.3971,314k,96
65,08/03/16,15.77,15.86,15.67,15.75,16694,-0.114162,-0.74%,15.3678,263k,41
66,08/02/16,15.88,15.89,15.80,15.867,14886,-0.023418,-0.15%,15.482,236.07k,94
67,08/01/16,15.85,15.98,15.78,15.891,22699,0.040006,0.26%,15.5054,360.08k,111
68,07/29/16,15.75,15.85,15.54,15.85,27789,0.126846,0.83%,15.4654,436.2k,175
69,07/28/16,15.57,15.75,15.41,15.72,21473,0.097573,0.64%,15.3385,335.74k,145
70,07/27/16,15.45,15.659,15.399,15.62,28858,0.156117,1.03%,15.241,447.45k,126
71,07/26/16,15.57,15.75,15.32,15.46,43001,-0.07318,-0.48%,15.0849,668.74k,269
72,07/25/16,15.59,15.67,15.531,15.535,17592,-0.092694,-0.61%,15.158,274.47k,73
73,07/22/16,15.50,15.6684,15.50,15.63,10069,0.078058,0.51%,15.2507,157.1k,32
74,07/21/16,15.64,15.71,15.55,15.55,24880,-0.097573,-0.64%,15.1727,389.3k,151
75,07/20/16,15.66,15.75,15.5808,15.65,21290,0.111039,0.73%,15.2702,333.65k,69
76,07/19/16,15.67,15.699,15.55,15.5362,16040,0.045231,0.30%,15.1592,250.85k,85
77,07/18/16,15.63,15.7999,15.53,15.5801,25399,0.0389,0.26%,15.114,398.48k,97
78,07/15/16,15.55,15.74,15.50,15.54,36723,-0.097009,-0.64%,15.0751,573.15k,258
79,07/14/16,15.70,15.88,15.51,15.64,49925,-0.058301,-0.38%,15.1721,783.12k,305
80,07/13/16,15.71,15.88,15.6049,15.7001,26316,-0.038707,-0.25%,15.2304,413.27k,90
81,07/12/16,15.82,15.9599,15.67,15.74,58555,-0.019401,-0.13%,15.2691,927.19k,278
82,07/11/16,15.96,15.98,15.76,15.76,38297,-0.194017,-1.25%,15.2885,606.22k,179
83,07/08/16,15.91,15.96,15.67,15.96,27236,0.135811,0.88%,15.4825,429.4k,160
84,07/07/16,15.71,16.00,15.54,15.82,55567,0.126111,0.83%,15.3467,879.61k,225
85,07/06/16,15.62,15.84,15.50,15.69,42924,0.106806,0.71%,15.2206,671.54k,330
86,07/05/16,15.59,15.66,15.45,15.5799,23102,-0.019499,-0.13%,15.1138,358.71k,216
87,07/04/16,,,,15.60,0,,0.00%,15.1333,,
88,07/01/16,15.71,15.74,15.60,15.60,23433,-0.029102,-0.19%,15.1333,367.85k,90
89,06/30/16,15.59,15.65,15.45,15.63,40576,0.019498,0.13%,15.1624,632.51k,220
90,06/29/16,15.54,15.75,15.4083,15.6099,47952,0.203621,1.36%,15.1429,746.62k,287
91,06/28/16,15.38,15.50,15.3106,15.40,27712,0.067906,0.46%,14.9393,426.53k,149
92,06/27/16,15.27,15.38,15.13,15.33,48833,0.00,0.00%,14.8714,745.26k,291
93,06/24/16,14.97,15.40,14.85,15.33,51125,0.135812,0.92%,14.8714,776.85k,327
94,06/23/16,15.30,15.37,15.12,15.19,19804,-0.029104,-0.20%,14.7355,302.65k,171
95,06/22/16,15.34,15.40,15.0901,15.22,42357,-0.058108,-0.39%,14.7647,645.77k,220
96,06/21/16,15.23,15.3499,15.20,15.2799,37824,0.145416,0.99%,14.8228,577.5k,233
