,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,6.33,6.395,5.91,5.93,201671,-0.41,-6.47%,5.93,1.22m,1032
2,10/31/16,6.58,6.58,6.21,6.34,79351,-0.24,-3.65%,6.34,504.44k,509
3,10/28/16,6.49,6.89,6.49,6.58,251694,0.11,1.70%,6.58,1.68m,1283
4,10/27/16,6.48,6.55,6.15,6.47,173877,0.05,0.78%,6.47,1.11m,1120
5,10/26/16,6.67,6.84,6.35,6.42,115913,-0.31,-4.61%,6.42,758.02k,744
6,10/25/16,6.75,7.02,6.70,6.73,214945,-0.05,-0.74%,6.73,1.47m,1062
7,10/24/16,7.97,8.05,6.19,6.78,402410,-1.18,-14.82%,6.78,2.83m,1711
8,10/21/16,7.83,8.08,7.82,7.96,83062,0.08,1.02%,7.96,659.07k,447
9,10/20/16,8.41,8.51,7.62,7.88,201083,-0.60,-7.08%,7.88,1.6m,1022
10,10/19/16,8.43,8.5999,8.42,8.48,34465,0.00,0.00%,8.48,292.35k,240
11,10/18/16,8.42,8.56,8.29,8.48,94815,0.14,1.68%,8.48,800.64k,547
12,10/17/16,8.84,8.85,8.28,8.34,151749,-0.44,-5.01%,8.34,1.3m,784
13,10/14/16,8.82,8.90,8.75,8.78,50929,0.03,0.34%,8.78,447.95k,294
14,10/13/16,8.82,8.88,8.68,8.75,105759,-0.15,-1.69%,8.75,927.04k,625
15,10/12/16,8.71,8.98,8.71,8.90,83891,0.14,1.60%,8.90,744.73k,464
16,10/11/16,8.68,8.79,8.62,8.76,70869,0.02,0.23%,8.76,617.96k,530
17,10/10/16,8.75,8.82,8.71,8.74,34597,-0.02,-0.23%,8.74,303.3k,279
18,10/07/16,8.88,8.95,8.69,8.76,52310,-0.16,-1.79%,8.76,459.28k,327
19,10/06/16,8.78,8.98,8.74,8.92,50643,0.08,0.90%,8.92,448.48k,426
20,10/05/16,8.93,8.95,8.79,8.84,25072,-0.09,-1.01%,8.84,222.81k,227
21,10/04/16,8.92,8.99,8.84,8.93,106079,-0.01,-0.11%,8.93,947.56k,1064
22,10/03/16,8.94,8.96,8.83,8.94,33763,-0.07,-0.78%,8.94,301.01k,318
23,09/30/16,8.89,9.04,8.775,9.01,92516,0.22,2.50%,9.01,830.3k,604
24,09/29/16,9.10,9.10,8.57,8.79,217943,-0.38,-4.14%,8.79,1.93m,992
25,09/28/16,9.09,9.20,9.00,9.17,63516,0.17,1.89%,9.17,580.33k,422
26,09/27/16,8.91,9.05,8.80,9.00,89283,0.10,1.12%,9.00,799.51k,402
27,09/26/16,8.99,9.09,8.82,8.90,88074,-0.15,-1.66%,8.90,788.19k,388
28,09/23/16,8.93,9.07,8.89,9.05,58676,0.04,0.44%,9.05,528.34k,333
29,09/22/16,9.12,9.24,8.81,9.01,103643,-0.09,-0.99%,9.01,937.18k,725
30,09/21/16,9.25,9.25,8.9401,9.10,114098,-0.05,-0.55%,9.10,1.04m,849
31,09/20/16,9.20,9.25,9.15,9.15,69691,-0.04,-0.44%,9.15,638.15k,510
32,09/19/16,9.11,9.24,9.02,9.19,118358,0.16,1.77%,9.19,1.09m,625
33,09/16/16,9.09,9.30,8.93,9.03,148558,-0.18,-1.95%,9.03,1.35m,753
34,09/15/16,9.08,9.29,8.96,9.21,72009,0.17,1.88%,9.21,659.74k,486
35,09/14/16,9.01,9.181,8.92,9.04,85537,0.01,0.11%,9.04,774.41k,519
36,09/13/16,8.93,9.07,8.76,9.03,126294,0.03,0.33%,9.03,1.13m,820
37,09/12/16,9.18,9.18,8.80,9.00,163040,-0.22,-2.39%,9.00,1.46m,1073
38,09/09/16,9.32,9.42,8.991,9.22,142377,-0.22,-2.33%,9.22,1.31m,932
39,09/08/16,9.42,9.45,9.24,9.44,70977,-0.05,-0.53%,9.44,666.01k,456
40,09/07/16,9.33,9.53,9.28,9.49,73486,0.15,1.61%,9.49,693.5k,528
41,09/06/16,9.00,9.35,8.88,9.34,97254,0.25,2.75%,9.34,894.35k,649
42,09/05/16,,,,9.09,0,,0.00%,9.09,,
43,09/02/16,8.75,9.10,8.66,9.09,96724,0.41,4.72%,9.09,865.48k,673
44,09/01/16,8.79,8.87,8.55,8.68,200133,-0.17,-1.92%,8.68,1.73m,1561
45,08/31/16,8.90,9.07,8.80,8.85,181226,-0.11,-1.23%,8.85,1.61m,1037
46,08/30/16,8.96,9.11,8.85,8.96,114005,-0.05,-0.55%,8.96,1.02m,873
47,08/29/16,9.01,9.183,8.80,9.01,190960,-0.03,-0.33%,9.01,1.71m,1203
48,08/26/16,8.90,9.07,8.73,9.04,231254,0.14,1.57%,9.04,2.06m,1324
49,08/25/16,9.00,9.12,8.80,8.90,209469,-0.13,-1.44%,8.90,1.87m,1281
50,08/24/16,9.30,9.40,8.96,9.03,206837,-0.16,-1.74%,9.03,1.9m,1247
51,08/23/16,8.75,9.30,8.75,9.19,315479,0.41,4.67%,9.19,2.88m,1875
52,08/22/16,8.98,9.26,8.74,8.78,198972,-0.24,-2.66%,8.78,1.77m,1319
53,08/19/16,8.90,9.18,8.86,9.02,290224,0.08,0.89%,9.02,2.61m,1414
54,08/18/16,9.11,9.145,8.80,8.94,254116,-0.20,-2.19%,8.94,2.29m,1510
55,08/17/16,9.13,9.20,9.04,9.14,249438,-0.04,-0.44%,9.14,2.27m,1539
56,08/16/16,9.45,9.45,9.14,9.18,289525,-0.44,-4.57%,9.18,2.69m,1867
57,08/15/16,9.23,9.62,8.87,9.62,399902,0.07,0.73%,9.62,3.72m,2476
58,08/12/16,9.70,9.75,9.4675,9.55,178435,-0.18,-1.85%,9.55,1.71m,1111
59,08/11/16,9.77,9.86,9.71,9.73,263587,-0.07,-0.71%,9.73,2.58m,1626
60,08/10/16,9.55,9.85,9.46,9.80,125378,0.12,1.24%,9.80,1.22m,1019
61,08/09/16,9.72,9.85,9.55,9.68,142702,-0.14,-1.43%,9.68,1.38m,1170
62,08/08/16,9.60,9.85,9.18,9.82,320260,0.27,2.83%,9.82,3.03m,1743
63,08/05/16,9.24,9.80,9.18,9.55,248091,0.31,3.35%,9.55,2.36m,1438
64,08/04/16,9.50,9.50,9.20,9.24,155414,-0.16,-1.70%,9.24,1.45m,977
65,08/03/16,9.34,9.50,9.25,9.40,182966,0.03,0.32%,9.40,1.72m,1051
66,08/02/16,9.53,9.78,9.35,9.37,275471,-0.12,-1.26%,9.37,2.61m,1457
67,08/01/16,9.40,9.949,8.371,9.49,1027710,1.60,20.28%,9.49,9.65m,4245
68,07/29/16,8.10,8.247,7.85,7.89,106418,-0.08,-1.00%,7.89,851.85k,602
69,07/28/16,8.03,8.1799,7.8601,7.97,74662,-0.03,-0.37%,7.97,597.36k,505
70,07/27/16,7.47,8.405,7.47,8.00,240904,0.51,6.81%,8.00,1.94m,1247
71,07/26/16,7.62,7.735,7.30,7.49,106521,-0.14,-1.83%,7.49,794.9k,471
72,07/25/16,7.47,7.77,7.45,7.63,108917,0.10,1.33%,7.63,829.97k,730
73,07/22/16,7.34,7.62,7.34,7.53,156506,0.16,2.17%,7.53,1.18m,857
74,07/21/16,7.46,7.552,7.26,7.37,126530,-0.13,-1.73%,7.37,935.14k,806
75,07/20/16,7.27,7.58,7.25,7.50,184769,0.20,2.74%,7.50,1.38m,1082
76,07/19/16,7.34,7.45,7.2001,7.30,108291,-0.11,-1.48%,7.30,791.37k,509
77,07/18/16,7.35,7.6095,7.28,7.41,132075,0.02,0.27%,7.41,986.07k,897
78,07/15/16,7.72,7.76,7.35,7.39,149030,-0.32,-4.15%,7.39,1.12m,662
79,07/14/16,7.70,7.85,7.65,7.71,82882,-0.01,-0.13%,7.71,641.04k,553
80,07/13/16,7.80,7.80,7.59,7.72,86213,-0.06,-0.77%,7.72,664.05k,509
81,07/12/16,7.86,7.95,7.75,7.78,119694,-0.02,-0.26%,7.78,937.64k,697
82,07/11/16,7.65,7.89,7.65,7.80,128966,0.14,1.83%,7.80,1m,911
