,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,34.98,34.98,33.87,34.00,6690148,-0.34,-0.99%,34.00,228.41m,36898
2,10/31/16,33.96,34.56,33.85,34.34,5208645,0.53,1.57%,34.34,178.94m,30454
3,10/28/16,33.70,33.9525,33.63,33.81,3562326,0.13,0.39%,33.81,120.36m,22795
4,10/27/16,33.67,33.827,33.54,33.68,3846972,-0.16,-0.47%,33.68,129.6m,24653
5,10/26/16,33.62,33.91,33.43,33.84,2950520,0.14,0.42%,33.84,99.68m,19692
6,10/25/16,33.43,33.74,33.40,33.70,2796173,0.17,0.51%,33.70,94.01m,17272
7,10/24/16,33.43,33.60,33.23,33.53,2485034,0.21,0.63%,33.53,83.17m,17099
8,10/21/16,33.42,33.575,33.14,33.32,3454896,-0.26,-0.77%,33.32,115.29m,20166
9,10/20/16,33.42,33.68,33.29,33.58,5049774,0.22,0.66%,33.58,169.39m,29104
10,10/19/16,33.33,33.53,33.23,33.36,3401751,-0.05,-0.15%,33.36,113.39m,22159
11,10/18/16,33.28,33.47,33.02,33.41,3877357,0.35,1.06%,33.41,129.19m,24600
12,10/17/16,32.95,33.15,32.86,33.06,3411441,0.14,0.43%,33.06,112.74m,22023
13,10/14/16,32.96,33.17,32.80,32.92,5691635,-0.08,-0.24%,32.92,187.45m,26561
14,10/13/16,32.46,33.40,32.37,33.00,12995499,0.48,1.48%,33.00,428.03m,46049
15,10/12/16,32.44,32.71,32.35,32.52,5738189,0.33,1.03%,32.52,186.63m,32115
16,10/11/16,32.46,32.595,32.115,32.19,4339836,-0.32,-0.98%,32.19,140.08m,26745
17,10/10/16,32.32,32.57,32.26,32.51,3945845,0.26,0.81%,32.51,127.96m,23119
18,10/07/16,32.53,33.24,32.08,32.25,8085645,-0.25,-0.77%,32.25,261.08m,44634
19,10/06/16,32.56,32.71,32.385,32.50,8117127,-0.15,-0.46%,32.50,264.4m,40188
20,10/05/16,32.95,33.00,32.35,32.65,10898333,-0.25,-0.76%,32.65,355.41m,53692
21,10/04/16,33.95,34.00,32.75,32.90,9571682,-1.05,-3.09%,32.90,316.81m,51764
22,10/03/16,34.48,34.57,33.71,33.95,5283353,-0.62,-1.79%,33.95,179.68m,32409
23,09/30/16,34.87,35.07,34.40,34.57,4998489,-0.25,-0.72%,34.57,173.14m,30475
24,09/29/16,35.02,35.05,34.72,34.82,4647401,-0.29,-0.83%,34.82,162.18m,28902
25,09/28/16,35.38,35.48,34.82,35.11,4123336,-0.13,-0.37%,35.11,144.54m,25529
26,09/27/16,35.91,35.94,35.14,35.24,4739105,-0.52,-1.45%,35.24,167.69m,27172
27,09/26/16,35.67,35.81,35.48,35.76,4682299,0.06,0.17%,35.76,167.16m,31195
