,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,53.25,53.35,51.95,52.10,134871,-1.20,-2.25%,52.10,7.05m,1043
2,10/31/16,52.80,53.30,52.50,53.30,122030,0.67,1.27%,53.30,6.47m,937
3,10/28/16,52.71,53.10,52.28,52.63,199748,0.10,0.19%,52.63,10.53m,982
4,10/27/16,52.98,53.03,52.40,52.53,105426,-0.49,-0.92%,52.53,5.55m,1187
5,10/26/16,53.17,53.51,52.721,53.02,119340,-0.52,-0.97%,53.02,6.33m,1384
6,10/25/16,52.74,53.81,52.74,53.54,171788,-0.15,-0.28%,53.54,9.2m,1632
7,10/24/16,53.42,54.09,53.42,53.69,85796,0.28,0.52%,53.69,4.61m,1223
8,10/21/16,53.05,53.56,53.02,53.41,73238,-0.04,-0.07%,53.41,3.9m,775
9,10/20/16,53.81,53.81,53.15,53.45,88271,-0.50,-0.93%,53.45,4.72m,1028
10,10/19/16,53.74,54.19,53.74,53.95,84369,0.04,0.07%,53.95,4.55m,777
11,10/18/16,54.21,54.21,53.73,53.91,88778,0.02,0.04%,53.91,4.78m,1126
12,10/17/16,54.00,54.34,53.86,53.89,94951,-0.16,-0.30%,53.89,5.12m,1154
13,10/14/16,54.00,54.294,53.241,54.05,84202,0.21,0.39%,54.05,4.55m,1139
14,10/13/16,53.92,54.08,53.65,53.84,141254,-0.34,-0.63%,53.84,7.61m,1458
15,10/12/16,53.82,54.45,53.82,54.18,76638,0.42,0.78%,54.18,4.15m,907
16,10/11/16,53.88,54.34,53.63,53.76,83726,-0.33,-0.61%,53.76,4.51m,891
17,10/10/16,54.44,54.69,53.88,54.09,101643,-0.11,-0.20%,54.09,5.5m,1302
18,10/07/16,53.89,54.65,53.75,54.20,153186,0.47,0.87%,54.20,8.32m,1255
19,10/06/16,53.52,53.84,53.145,53.73,190639,0.04,0.07%,53.73,10.23m,1976
20,10/05/16,52.80,53.69,52.80,53.69,274857,1.06,2.01%,53.69,14.7m,2289
21,10/04/16,52.59,52.75,51.99,52.63,171177,0.10,0.19%,52.63,8.96m,1698
22,10/03/16,52.42,52.53,52.04,52.53,205309,0.05,0.10%,52.53,10.75m,1900
23,09/30/16,52.02,52.54,51.95,52.48,159401,0.44,0.85%,52.48,8.35m,1721
24,09/29/16,52.34,52.52,52.01,52.04,83152,-0.53,-1.01%,52.04,4.34m,1041
25,09/28/16,52.08,52.58,52.03,52.57,83180,0.45,0.86%,52.57,4.35m,1056
26,09/27/16,51.83,52.30,51.65,52.12,127355,0.37,0.71%,52.12,6.63m,1349
27,09/26/16,52.00,52.34,51.71,51.75,100788,-0.400014,-0.77%,51.75,5.23m,1115
28,09/23/16,53.18,53.20,52.45,52.46,122718,-0.994091,-1.87%,52.15,6.46m,1682
29,09/22/16,53.00,53.51,52.93,53.46,140926,0.566632,1.08%,53.1441,7.52m,1305
30,09/21/16,52.54,52.90,52.03,52.89,124477,0.536809,1.03%,52.5775,6.55m,1262
31,09/20/16,52.54,52.96,52.32,52.35,79055,-0.089468,-0.17%,52.0407,4.15m,998
32,09/19/16,52.47,52.71,52.27,52.44,87763,0.059645,0.11%,52.1301,4.6m,1130
