,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,29.02,29.669,28.64,29.03,1246289,0.06,0.21%,29.03,36.25m,8651
2,10/31/16,29.11,29.40,28.82,28.97,885091,-0.05,-0.17%,28.97,25.68m,6414
3,10/28/16,28.14,29.72,28.14,29.02,2364748,0.84,2.98%,29.02,68.59m,13457
4,10/27/16,29.00,29.57,28.08,28.18,1220538,-0.73,-2.53%,28.18,34.58m,7469
5,10/26/16,29.00,29.30,28.616,28.91,820593,-0.18,-0.62%,28.91,23.79m,6377
6,10/25/16,29.55,29.89,29.04,29.09,648692,-0.74,-2.48%,29.09,18.98m,4814
7,10/24/16,30.01,30.1499,29.64,29.83,590157,0.35,1.19%,29.83,17.62m,4547
8,10/21/16,29.60,29.76,29.19,29.48,1356271,-0.34,-1.14%,29.48,39.95m,7952
9,10/20/16,30.08,30.37,29.573,29.82,918947,-0.40,-1.32%,29.82,27.45m,5565
10,10/19/16,30.07,30.50,30.00,30.22,628538,0.22,0.73%,30.22,19.05m,5009
11,10/18/16,30.24,30.49,29.52,30.00,1084698,0.22,0.74%,30.00,32.62m,7884
12,10/17/16,30.01,30.24,28.90,29.78,2301290,-0.27,-0.90%,29.78,67.93m,12602
13,10/14/16,31.40,31.435,29.90,30.05,1986373,-1.10,-3.53%,30.05,60.12m,12906
14,10/13/16,31.68,31.81,30.61,31.15,1373528,-0.57,-1.80%,31.15,42.67m,10298
15,10/12/16,32.01,32.41,31.54,31.72,846723,-0.15,-0.47%,31.72,26.95m,6116
16,10/11/16,33.27,33.53,31.649,31.87,2184495,-1.65,-4.92%,31.87,70.1m,14689
17,10/10/16,33.80,34.65,33.51,33.52,794349,-0.15,-0.45%,33.52,26.97m,5823
18,10/07/16,34.95,35.15,33.45,33.67,1433652,-0.54,-1.58%,33.67,48.85m,11243
19,10/06/16,34.37,34.56,33.49,34.21,1188667,-0.47,-1.36%,34.21,40.35m,8721
20,10/05/16,33.82,35.26,33.80,34.68,1288911,0.71,2.09%,34.68,44.8m,8438
21,10/04/16,33.54,34.6214,33.26,33.97,1411860,0.30,0.89%,33.97,48.21m,9689
22,10/03/16,34.34,34.40,33.425,33.67,1595104,-0.91,-2.63%,33.67,53.91m,11742
23,09/30/16,33.43,34.95,33.30,34.58,3209571,1.52,4.60%,34.58,110.24m,22239
24,09/29/16,31.77,34.06,31.60,33.06,5521390,1.32,4.16%,33.06,182.63m,33432
25,09/28/16,32.30,32.4199,31.455,31.74,2460217,-0.81,-2.49%,31.74,78.31m,17206
26,09/27/16,31.55,32.565,31.47,32.55,1888685,1.08,3.43%,32.55,60.55m,12756
27,09/26/16,32.70,32.75,31.42,31.47,2484305,-1.41,-4.29%,31.47,79.16m,16348
28,09/23/16,33.18,34.00,32.85,32.88,1304973,-0.36,-1.08%,32.88,43.41m,10194
29,09/22/16,33.90,34.1576,32.87,33.24,2066329,-0.16,-0.48%,33.24,68.84m,13871
30,09/21/16,33.16,33.525,32.425,33.40,2115049,0.25,0.75%,33.40,69.87m,15108
31,09/20/16,34.65,34.665,33.07,33.15,2216369,-1.11,-3.24%,33.15,74.23m,15644
32,09/19/16,35.10,35.44,33.94,34.26,2094902,-0.77,-2.20%,34.26,72.58m,15296
33,09/16/16,34.86,35.87,34.76,35.03,1545861,0.02,0.06%,35.03,54.27m,10808
34,09/15/16,35.31,35.509,34.69,35.01,1419226,-0.43,-1.21%,35.01,49.72m,9997
35,09/14/16,36.09,36.26,34.51,35.44,1788599,-0.32,-0.89%,35.44,63.33m,12995
36,09/13/16,35.51,36.79,35.19,35.76,1992250,-0.42,-1.16%,35.76,71.2m,13861
37,09/12/16,35.77,37.26,34.96,36.18,4669524,-0.20,-0.55%,36.18,168.56m,27207
38,09/09/16,39.40,39.98,36.30,36.38,11689643,1.09,3.09%,36.38,442.88m,60670
39,09/08/16,34.62,35.73,33.95,35.29,7056614,0.41,1.18%,35.29,246.13m,39229
40,09/07/16,33.50,34.99,33.39,34.88,2626560,1.32,3.93%,34.88,90.6m,21532
41,09/06/16,33.60,33.9311,33.15,33.56,1964052,-0.32,-0.94%,33.56,65.85m,14474
42,09/05/16,,,,33.88,0,,0.00%,33.88,,
43,09/02/16,33.67,34.22,33.28,33.88,1263785,0.46,1.38%,33.88,42.8m,9727
44,09/01/16,33.73,33.99,32.94,33.42,1464576,-0.31,-0.92%,33.42,48.82m,11134
45,08/31/16,33.90,34.32,33.26,33.73,1716507,-0.23,-0.68%,33.73,57.86m,12494
