,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,60.51,60.73,59.82,60.37,746191,0.25,0.42%,60.37,44.95m,5611
2,10/31/16,60.99,61.34,60.08,60.12,729117,-0.66,-1.09%,60.12,44.12m,6851
3,10/28/16,61.83,62.38,60.51,60.78,1169716,-1.18,-1.90%,60.78,71.66m,10541
4,10/27/16,60.20,62.73,60.20,61.96,1687229,2.83,4.79%,61.96,104.5m,13731
5,10/26/16,58.24,59.25,58.17,59.13,603826,0.58,0.99%,59.13,35.58m,5847
6,10/25/16,58.78,59.14,58.47,58.55,414578,-0.26,-0.44%,58.55,24.32m,3996
7,10/24/16,59.54,59.54,58.63,58.81,542559,0.06,0.10%,58.81,31.91m,5246
8,10/21/16,58.37,58.84,58.245,58.75,343102,-0.06,-0.10%,58.75,20.14m,2999
9,10/20/16,58.70,59.27,58.66,58.81,403170,-0.18,-0.31%,58.81,23.74m,4546
10,10/19/16,58.82,59.28,58.52,58.99,363042,0.54,0.92%,58.99,21.42m,3361
11,10/18/16,58.83,58.99,58.20,58.45,334628,0.41,0.71%,58.45,19.58m,3534
12,10/17/16,58.23,58.32,57.84,58.04,657246,-0.16,-0.27%,58.04,38.17m,5891
13,10/14/16,57.84,58.58,57.641,58.20,577075,0.79,1.38%,58.20,33.62m,5173
14,10/13/16,57.41,57.63,56.61,57.41,490875,-0.68,-1.17%,57.41,28.04m,5020
15,10/12/16,58.34,58.425,58.00,58.09,437670,-0.21,-0.36%,58.09,25.47m,4054
16,10/11/16,58.94,59.09,57.89,58.30,498121,-0.71,-1.20%,58.30,29.03m,4418
17,10/10/16,59.46,59.76,58.93,59.01,480820,0.05,0.08%,59.01,28.46m,4729
18,10/07/16,59.38,59.38,58.55,58.96,908262,-0.30,-0.51%,58.96,53.57m,7360
19,10/06/16,59.29,59.54,58.94,59.26,340155,-0.22,-0.37%,59.26,20.17m,3442
20,10/05/16,58.84,59.95,58.75,59.48,479726,0.92,1.57%,59.48,28.6m,4570
21,10/04/16,58.25,59.17,58.13,58.56,498884,0.53,0.91%,58.56,29.25m,4797
22,10/03/16,58.00,58.58,57.80,58.03,424782,-0.18,-0.31%,58.03,24.69m,4379
23,09/30/16,57.17,58.53,56.9225,58.21,660499,1.56,2.75%,58.21,38.38m,5752
24,09/29/16,57.25,57.82,56.41,56.65,342654,-0.730025,-1.27%,56.65,19.55m,3658
25,09/28/16,57.23,57.62,56.68,57.58,423575,0.577986,1.02%,57.38,24.26m,3820
26,09/27/16,56.23,57.035,56.06,57.00,387673,0.348784,0.62%,56.802,22.02m,3967
27,09/26/16,57.35,57.54,56.59,56.65,423860,-1.3553,-2.34%,56.4533,24.13m,5591
28,09/23/16,58.32,58.70,57.87,58.01,479708,-0.637778,-1.09%,57.8085,27.93m,4532
29,09/22/16,58.48,58.97,58.25,58.65,1049778,0.866979,1.51%,58.4463,61.58m,7721
30,09/21/16,57.34,57.80,57.01,57.78,548453,0.807187,1.42%,57.5793,31.57m,5040
31,09/20/16,56.96,57.20,56.59,56.97,603736,0.518194,0.92%,56.7721,34.41m,5779
32,09/19/16,56.75,57.49,56.41,56.45,652238,0.099653,0.18%,56.2539,37.01m,6617
33,09/16/16,56.86,56.95,56.25,56.35,926053,-1.0364,-1.81%,56.1543,52.29m,6055
