,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,155.20,156.25,154.75,155.60,178058,0.35,0.23%,155.60,27.68m,2535
2,10/31/16,157.45,159.00,154.80,155.25,142230,-2.35,-1.49%,155.25,22.28m,1880
3,10/28/16,155.90,159.55,155.85,157.60,169035,1.60,1.03%,157.60,26.66m,2075
4,10/27/16,159.90,160.95,155.00,156.00,201596,-3.40,-2.13%,156.00,31.6m,2501
5,10/26/16,163.60,164.24,158.20,159.40,198324,-3.80,-2.33%,159.40,31.85m,2618
6,10/25/16,166.50,166.80,162.50,163.20,232040,-2.00,-1.21%,163.20,38.06m,2991
7,10/24/16,165.00,167.15,163.00,165.20,380286,2.20,1.35%,165.20,62.75m,4422
8,10/21/16,149.10,165.40,145.30,163.00,944630,6.75,4.32%,163.00,147.95m,10329
9,10/20/16,160.70,161.30,154.35,156.25,385783,-4.40,-2.74%,156.25,60.38m,4365
10,10/19/16,158.00,161.00,156.00,160.65,246240,2.55,1.61%,160.65,39.24m,3018
11,10/18/16,157.00,159.775,156.70,158.10,220892,3.00,1.93%,158.10,35m,2420
12,10/17/16,156.55,156.625,153.20,155.10,233859,-0.31,-0.20%,155.10,36.16m,2751
13,10/14/16,157.99,159.64,152.00,155.41,465612,-7.77,-4.76%,155.41,72.11m,5682
14,10/13/16,161.46,164.60,160.10,163.18,194836,0.38,0.23%,163.18,31.81m,2830
15,10/12/16,158.85,164.70,158.40,162.80,205929,4.58,2.89%,162.80,33.51m,2608
16,10/11/16,157.47,159.59,157.13,158.22,135774,1.32,0.84%,158.22,21.48m,1883
17,10/10/16,156.71,157.43,155.09,156.90,145410,-0.54,-0.34%,156.90,22.78m,2449
18,10/07/16,155.09,157.63,155.09,157.44,129623,1.97,1.27%,157.44,20.32m,1903
19,10/06/16,153.90,156.39,152.0402,155.47,111584,0.44,0.28%,155.47,17.31m,2079
20,10/05/16,154.18,156.915,153.09,155.03,147266,1.73,1.13%,155.03,22.83m,1968
21,10/04/16,154.56,156.27,151.95,153.30,171006,-1.36,-0.88%,153.30,26.35m,1934
22,10/03/16,154.88,155.76,153.15,154.66,214313,-0.60,-0.39%,154.66,33.05m,2587
23,09/30/16,150.97,156.75,150.97,155.26,262148,3.65,2.41%,155.26,40.57m,2865
24,09/29/16,150.62,152.48,148.75,151.61,192788,0.82,0.54%,151.61,29.13m,2449
25,09/28/16,150.95,152.62,148.10,150.79,218256,0.50,0.33%,150.79,32.79m,2573
26,09/27/16,149.64,153.44,149.64,150.29,222213,0.53,0.35%,150.29,33.75m,2828
27,09/26/16,151.12,152.52,149.725,149.76,263613,-2.54,-1.67%,149.76,39.64m,3299
28,09/23/16,151.18,154.87,149.735,152.30,183688,0.98,0.65%,152.30,27.99m,2496
29,09/22/16,151.98,154.795,150.51,151.32,249228,0.26,0.17%,151.32,38.13m,2800
30,09/21/16,151.74,153.85,146.87,151.06,516399,-2.34,-1.53%,151.06,77.66m,5334
31,09/20/16,158.44,158.44,151.17,153.40,350099,-4.79,-3.03%,153.40,53.86m,3875
32,09/19/16,162.66,162.66,157.615,158.19,160231,-3.96,-2.44%,158.19,25.58m,2091
33,09/16/16,162.86,165.55,159.01,162.15,366238,-2.35,-1.43%,162.15,59.46m,3555
34,09/15/16,165.12,165.53,163.57,164.50,237790,-0.67,-0.41%,164.50,39.19m,2405
35,09/14/16,169.57,169.86,163.90,165.17,229352,-3.33,-1.98%,165.17,38.32m,2482
36,09/13/16,174.06,174.56,161.77,168.50,474979,-6.14,-3.52%,168.50,78.83m,4415
37,09/12/16,174.20,176.50,173.38,174.64,179911,0.39,0.22%,174.64,31.48m,2296
38,09/09/16,178.19,179.19,172.57,174.25,339461,-5.63,-3.13%,174.25,59.61m,3583
39,09/08/16,183.11,183.11,178.26,179.88,268417,-3.20,-1.75%,179.88,48.24m,3029
40,09/07/16,183.28,184.3178,181.08,183.08,254714,-1.07,-0.58%,183.08,46.71m,3033
41,09/06/16,186.94,186.94,182.08,184.15,151319,-1.91,-1.03%,184.15,27.79m,2126
42,09/05/16,,,,186.06,0,,0.00%,186.06,,
43,09/02/16,182.43,186.24,182.30,186.06,170095,3.86,2.12%,186.06,31.35m,2014
44,09/01/16,181.76,183.90,180.15,182.20,82298,-0.45,-0.25%,182.20,14.96m,1219
45,08/31/16,184.47,185.485,182.52,182.65,155761,-2.41,-1.30%,182.65,28.7m,1830
46,08/30/16,189.63,190.1499,183.65,185.06,206088,-5.22,-2.74%,185.06,38.36m,2529
47,08/29/16,191.34,192.98,190.05,190.28,182178,-1.77,-0.92%,190.28,34.8m,2552
48,08/26/16,191.55,194.98,190.04,192.05,224108,1.14,0.60%,192.05,43.06m,2775
49,08/25/16,192.23,194.57,190.46,190.91,144116,-0.88,-0.46%,190.91,27.77m,1944
50,08/24/16,189.59,193.56,188.1303,191.79,159065,1.32,0.69%,191.79,30.34m,2531
51,08/23/16,189.90,191.17,188.49,190.47,167381,1.27,0.67%,190.47,31.82m,1936
52,08/22/16,188.59,191.34,187.24,189.20,98317,0.38,0.20%,189.20,18.64m,1394
53,08/19/16,188.50,189.59,186.24,188.82,138590,-0.23,-0.12%,188.82,26.07m,1944
54,08/18/16,185.64,190.19,185.64,189.05,134181,2.44,1.31%,189.05,25.31m,1677
55,08/17/16,191.92,192.96,184.50,186.61,126258,-4.86,-2.54%,186.61,23.61m,2352
56,08/16/16,186.69,194.11,185.25,191.47,255716,4.92,2.64%,191.47,49.13m,3333
57,08/15/16,183.01,188.10,183.01,186.55,122110,3.77,2.06%,186.55,22.77m,1949
58,08/12/16,183.96,184.57,181.33,182.78,49458,-1.24,-0.67%,182.78,9.05m,736
59,08/11/16,181.91,187.39,181.51,184.02,83970,2.38,1.31%,184.02,15.51m,1186
60,08/10/16,181.32,181.88,179.235,181.64,60482,1.53,0.85%,181.64,10.94m,911
61,08/09/16,180.04,180.83,178.98,180.11,72256,0.49,0.27%,180.11,13m,1244
62,08/08/16,178.64,181.39,178.34,179.62,90965,0.17,0.09%,179.62,16.33m,1249
63,08/05/16,179.44,180.89,178.53,179.45,79584,0.00,0.00%,179.45,14.33m,1140
64,08/04/16,178.38,180.61,177.51,179.45,102563,1.15,0.64%,179.45,18.43m,1263
65,08/03/16,180.16,180.16,175.96,178.30,99102,-1.61,-0.89%,178.30,17.62m,1314
66,08/02/16,181.05,183.12,179.88,179.91,94561,-2.25,-1.24%,179.91,17.15m,1569
67,08/01/16,183.37,183.59,179.59,182.16,150344,-0.72,-0.39%,182.16,27.29m,1997
68,07/29/16,180.00,186.44,179.76,182.88,241757,2.71,1.50%,182.88,44.44m,2740
69,07/28/16,181.13,182.68,179.16,180.17,140551,-0.04,-0.02%,180.17,25.34m,1837
70,07/27/16,184.33,186.17,178.69,180.21,239349,-3.17,-1.73%,180.21,43.55m,3009
71,07/26/16,181.14,185.76,178.54,183.38,184767,1.73,0.95%,183.38,33.81m,2528
72,07/25/16,188.14,188.44,179.70,181.65,466088,-8.51,-4.48%,181.65,84.91m,5020
73,07/22/16,172.00,195.348,170.00,190.16,1153009,25.42,15.43%,190.16,219.09m,12304
74,07/21/16,164.49,166.125,163.17,164.74,253513,-1.25,-0.75%,164.74,41.63m,2966
75,07/20/16,164.11,167.09,162.20,165.99,142468,1.32,0.80%,165.99,23.53m,1890
76,07/19/16,166.75,168.04,163.719,164.67,143112,-2.04,-1.22%,164.67,23.71m,1653
77,07/18/16,168.86,168.969,165.74,166.71,133417,-2.79,-1.65%,166.71,22.24m,1887
78,07/15/16,168.69,170.00,166.65,169.50,64307,1.94,1.16%,169.50,10.85m,987
79,07/14/16,170.21,171.6399,166.25,167.56,110543,-2.13,-1.26%,167.56,18.56m,1514
80,07/13/16,169.91,171.63,168.885,169.69,98308,0.10,0.06%,169.69,16.72m,1339
81,07/12/16,170.58,172.17,169.50,169.59,151166,-1.16,-0.68%,169.59,25.79m,2365
82,07/11/16,172.00,172.61,170.16,170.75,92701,-0.38,-0.22%,170.75,15.89m,1223
83,07/08/16,169.23,172.52,168.71,171.13,103205,2.60,1.54%,171.13,17.66m,1237
84,07/07/16,169.42,170.50,167.40,168.53,67087,-0.28,-0.17%,168.53,11.31m,984
85,07/06/16,167.86,169.50,166.02,168.81,104866,0.93,0.55%,168.81,17.68m,1403
86,07/05/16,166.00,169.77,164.11,167.88,181220,1.24,0.74%,167.88,30.33m,2158
87,07/04/16,,,,166.64,0,,0.00%,166.64,,
88,07/01/16,172.08,172.45,166.06,166.64,174936,-4.39,-2.57%,166.64,29.4m,2412
89,06/30/16,163.00,171.18,162.74,171.03,222330,8.23,5.06%,171.03,37.47m,3055
90,06/29/16,165.54,166.7772,161.56,162.80,104417,-0.55,-0.34%,162.80,17.1m,1505
91,06/28/16,165.00,167.20,163.04,163.35,199423,-0.51,-0.31%,163.35,32.86m,2017
92,06/27/16,161.02,164.49,160.00,163.86,172316,2.84,1.76%,163.86,28.04m,2462
93,06/24/16,153.64,161.67,153.64,161.02,157212,-0.09,-0.06%,161.02,25.1m,2253
94,06/23/16,162.44,163.63,160.04,161.11,114385,0.63,0.39%,161.11,18.51m,1492
95,06/22/16,162.62,164.10,160.07,160.48,100477,-1.39,-0.86%,160.48,16.28m,1480
96,06/21/16,160.10,162.81,157.202,161.87,142432,2.11,1.32%,161.87,22.95m,1623
97,06/20/16,162.00,162.94,159.09,159.76,131837,0.32,0.20%,159.76,21.14m,1873
98,06/17/16,160.27,161.105,158.16,159.44,186532,-0.25,-0.16%,159.44,29.77m,1346
99,06/16/16,157.52,159.95,154.95,159.69,102563,2.19,1.39%,159.69,16.21m,1274
100,06/15/16,160.05,162.56,157.49,157.50,98231,-1.67,-1.05%,157.50,15.7m,1199
101,06/14/16,156.88,160.28,156.35,159.17,111018,1.49,0.94%,159.17,17.58m,1468
102,06/13/16,160.03,160.77,156.26,157.68,128469,-2.21,-1.38%,157.68,20.31m,1727
103,06/10/16,159.08,160.13,156.90,159.89,151589,-0.84,-0.52%,159.89,24.12m,1753
104,06/09/16,162.41,162.59,159.78,160.73,142780,-1.23,-0.76%,160.73,22.96m,1907
105,06/08/16,157.19,162.60,156.09,161.96,160315,5.52,3.53%,161.96,25.66m,1841
106,06/07/16,154.56,157.51,152.83,156.44,137400,1.19,0.77%,156.44,21.41m,1743
107,06/06/16,155.31,156.15,152.61,155.25,171976,1.11,0.72%,155.25,26.6m,2114
108,06/03/16,156.89,156.89,153.94,154.14,140232,-1.96,-1.26%,154.14,21.7m,2011
109,06/02/16,155.79,156.94,153.77,156.10,160368,-0.29,-0.19%,156.10,24.95m,1772
110,06/01/16,155.21,157.05,152.283,156.39,211353,0.99,0.64%,156.39,32.78m,2595
111,05/31/16,159.81,159.81,154.04,155.40,157006,-4.41,-2.76%,155.40,24.53m,2072
112,05/30/16,,,,159.81,0,,0.00%,159.81,,
113,05/27/16,157.51,160.19,157.33,159.81,138052,2.36,1.50%,159.81,22.04m,1616
114,05/26/16,161.20,161.36,157.00,157.45,95512,-3.13,-1.95%,157.45,15.17m,1227
115,05/25/16,157.55,161.44,155.80,160.58,150448,3.00,1.90%,160.58,24.06m,1904
116,05/24/16,154.42,157.90,154.24,157.58,197100,4.28,2.79%,157.58,30.91m,2365
117,05/23/16,150.00,154.74,150.00,153.30,117723,2.70,1.79%,153.30,18.04m,1732
118,05/20/16,148.34,150.7152,147.55,150.60,148840,2.86,1.94%,150.60,22.23m,1871
119,05/19/16,148.22,151.99,146.61,147.74,201698,1.32,0.90%,147.74,29.84m,2638
120,05/18/16,146.02,147.97,145.3295,146.42,164072,-0.16,-0.11%,146.42,24.04m,2721
121,05/17/16,151.35,151.97,145.66,146.58,232509,-4.77,-3.15%,146.58,34.47m,3018
122,05/16/16,150.01,152.75,150.01,151.35,171244,1.31,0.87%,151.35,25.92m,2285
123,05/13/16,155.57,155.99,149.99,150.04,141087,-5.41,-3.48%,150.04,21.4m,2206
124,05/12/16,151.86,155.73,151.59,155.45,180787,3.41,2.24%,155.45,27.88m,2282
125,05/11/16,154.25,155.89,151.52,152.04,106413,-2.21,-1.43%,152.04,16.26m,1689
126,05/10/16,154.57,156.79,153.19,154.25,151072,0.61,0.40%,154.25,23.37m,2044
127,05/09/16,153.04,154.94,153.04,153.64,118946,-0.57,-0.37%,153.64,18.34m,1764
128,05/06/16,154.25,155.49,152.42,154.21,107342,-0.23,-0.15%,154.21,16.53m,1952
129,05/05/16,152.66,155.87,152.66,154.44,128559,1.93,1.27%,154.44,19.86m,1650
130,05/04/16,153.97,154.90,152.32,152.51,216667,-1.82,-1.18%,152.51,33.29m,2666
131,05/03/16,157.56,158.33,153.03,154.33,191491,-4.02,-2.54%,154.33,29.56m,2228
132,05/02/16,157.47,160.00,157.02,158.35,171026,2.27,1.45%,158.35,27.13m,2256
133,04/29/16,155.42,156.83,154.74,156.08,117658,0.67,0.43%,156.08,18.32m,1633
134,04/28/16,155.86,156.81,154.82,155.41,114772,-1.07,-0.68%,155.41,17.88m,1418
135,04/27/16,156.80,158.19,154.98,156.48,256849,0.05,0.03%,156.48,40.25m,3046
136,04/26/16,157.88,159.00,155.81,156.43,189298,-1.24,-0.79%,156.43,29.79m,2492
137,04/25/16,158.65,160.95,155.71,157.67,275033,-1.74,-1.09%,157.67,43.4m,3437
138,04/22/16,151.85,162.00,151.85,159.41,954974,-13.90,-8.02%,159.41,150.49m,10973
139,04/21/16,177.43,178.07,172.59,173.31,209921,-4.72,-2.65%,173.31,36.52m,2649
140,04/20/16,176.21,179.00,172.37,178.03,165913,1.41,0.80%,178.03,29.26m,2370
141,04/19/16,180.00,181.045,176.42,176.62,109481,-2.86,-1.59%,176.62,19.46m,1717
