,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,71.43,71.44,69.06,69.30,204595,-1.7256,-2.44%,69.1225,14.3m,1931
2,10/31/16,70.43,71.175,69.27,71.03,119826,0.8179,1.17%,70.8481,8.45m,1159
3,10/28/16,69.97,71.33,69.91,70.21,55745,-0.059847,-0.09%,70.0302,3.92m,666
4,10/27/16,70.62,70.62,69.651,70.27,47293,-0.129667,-0.18%,70.09,3.32m,556
5,10/26/16,70.51,71.9199,70.04,70.40,49306,-0.648335,-0.91%,70.2197,3.49m,592
6,10/25/16,72.93,72.93,70.80,71.05,63039,-1.8054,-2.48%,70.868,4.49m,703
7,10/24/16,72.61,73.45,72.31,72.86,55063,0.698208,0.97%,72.6734,4.01m,823
8,10/21/16,71.99,72.36,70.5782,72.16,76620,-0.728131,-1.00%,71.9752,5.52m,897
9,10/20/16,74.60,75.15,72.3985,72.89,136505,-1.8552,-2.49%,72.7033,9.98m,1563
10,10/19/16,75.08,76.12,74.28,74.75,128141,-0.628387,-0.84%,74.5586,9.63m,1249
11,10/18/16,72.94,77.62,72.65,75.38,207398,5.2266,7.47%,75.187,15.7m,2402
12,10/17/16,70.91,71.29,70.10,70.14,74934,-0.628387,-0.89%,69.9604,5.29m,852
13,10/14/16,71.86,72.57,70.44,70.77,113211,-0.768028,-1.08%,70.5888,8.04m,1261
14,10/13/16,71.73,72.12,70.65,71.54,50666,-0.738105,-1.02%,71.3568,3.63m,633
15,10/12/16,71.98,72.94,71.52,72.28,40755,0.438873,0.61%,72.0949,2.94m,466
16,10/11/16,73.56,73.56,71.53,71.84,56999,-1.7854,-2.43%,71.656,4.11m,822
17,10/10/16,72.60,74.25,72.48,73.63,74866,1.2468,1.73%,73.4414,5.51m,668
18,10/07/16,73.67,73.67,71.59,72.38,65283,-1.157,-1.58%,72.1946,4.72m,723
19,10/06/16,72.63,73.85,72.4971,73.54,56004,0.598463,0.82%,73.3517,4.11m,824
20,10/05/16,72.56,73.295,72.19,72.94,70766,0.618413,0.86%,72.7532,5.16m,846
21,10/04/16,73.01,73.72,72.1376,72.32,73221,-0.49872,-0.69%,72.1348,5.33m,847
22,10/03/16,72.72,73.47,72.05,72.82,103314,0.15959,0.22%,72.6335,7.51m,1031
23,09/30/16,72.60,73.28,71.784,72.66,168257,0.299232,0.41%,72.4739,12.23m,1261
24,09/29/16,72.91,73.8999,72.15,72.36,63825,-0.827874,-1.13%,72.1747,4.65m,773
25,09/28/16,71.78,73.30,71.43,73.19,153233,1.6159,2.26%,73.0026,11.12m,1143
26,09/27/16,72.22,72.22,70.775,71.57,114036,-0.837849,-1.16%,71.3867,8.14m,1204
27,09/26/16,71.46,73.88,71.13,72.41,255300,0.379027,0.53%,72.2246,18.64m,1514
28,09/23/16,71.93,72.24,71.47,72.03,53882,-0.279283,-0.39%,71.8455,3.88m,574
29,09/22/16,71.00,72.35,70.48,72.31,80788,1.5061,2.13%,72.1248,5.81m,810
30,09/21/16,70.57,71.105,69.69,70.80,82979,0.72813,1.04%,70.6187,5.84m,860
31,09/20/16,70.52,71.06,70.03,70.07,60328,-0.448847,-0.64%,69.8906,4.24m,620
32,09/19/16,70.35,71.35,70.35,70.52,88675,0.139641,0.20%,70.3394,6.29m,1042
33,09/16/16,70.42,70.69,69.27,70.38,233554,0.059847,0.09%,70.1998,16.42m,910
34,09/15/16,68.94,70.43,68.94,70.32,61994,1.1969,1.74%,70.1399,4.35m,727
35,09/14/16,68.95,69.64,68.654,69.12,65029,0.219437,0.32%,68.943,4.49m,838
36,09/13/16,69.78,70.54,68.445,68.90,69769,-1.7655,-2.50%,68.7235,4.82m,773
37,09/12/16,68.61,70.81,66.97,70.67,90641,1.1371,1.64%,70.489,6.3m,932
38,09/09/16,71.83,71.83,69.50,69.53,80124,-2.5335,-3.52%,69.3519,5.62m,807
39,09/08/16,71.79,72.54,71.63,72.07,62252,-0.448847,-0.62%,71.8854,4.48m,711
40,09/07/16,71.64,72.54,71.26,72.52,79577,0.987464,1.38%,72.3343,5.74m,930
41,09/06/16,71.19,71.98,70.61,71.53,96452,0.259334,0.36%,71.3468,6.88m,926
42,09/05/16,,,,71.27,0,,0.00%,71.0875,,
43,09/02/16,70.68,71.30,69.90,71.27,91988,0.857798,1.22%,71.0875,6.51m,946
44,09/01/16,70.32,70.41,69.50,70.41,70414,0.149616,0.21%,70.2297,4.93m,804
45,08/31/16,70.15,70.60,69.32,70.26,68809,-0.229411,-0.33%,70.0801,4.82m,688
46,08/30/16,70.12,71.09,70.07,70.49,64347,0.149616,0.21%,70.3095,4.54m,635
47,08/29/16,69.63,70.56,69.38,70.34,59960,0.778002,1.12%,70.1599,4.21m,710
48,08/26/16,70.52,70.91,69.3101,69.56,70541,-0.854969,-1.22%,69.3819,4.94m,840
49,08/25/16,70.80,71.01,70.17,70.61,81344,-0.169101,-0.24%,70.2368,5.74m,875
50,08/24/16,70.97,70.97,70.44,70.78,72125,-0.069631,-0.10%,70.4059,5.1m,696
51,08/23/16,70.74,71.33,70.53,70.85,91178,0.238732,0.34%,70.4756,6.46m,804
52,08/22/16,69.51,70.65,69.01,70.61,110290,0.785825,1.13%,70.2368,7.73m,1135
53,08/19/16,68.97,70.30,68.81,69.82,137263,0.855455,1.25%,69.451,9.56m,1177
54,08/18/16,68.08,68.99,67.80,68.96,108969,1.1041,1.64%,68.5955,7.48m,1414
