,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,11.80,11.80,11.54,11.70,51201,-0.10,-0.85%,11.70,598.79k,613
2,10/31/16,11.75,11.90,11.39,11.80,46272,0.04,0.34%,11.80,542.2k,316
3,10/28/16,11.46,12.23,11.46,11.76,50632,0.13,1.12%,11.76,599.43k,444
4,10/27/16,12.35,12.48,11.39,11.63,134603,-1.23,-9.56%,11.63,1.57m,1184
5,10/26/16,12.96,13.0599,12.85,12.86,32669,-0.17,-1.30%,12.86,421.48k,370
6,10/25/16,13.05,13.27,12.8901,13.03,38806,-0.12,-0.91%,13.03,504.66k,251
7,10/24/16,13.07,13.27,12.85,13.15,25838,0.14,1.08%,13.15,338.23k,405
8,10/21/16,12.85,13.0869,12.85,13.01,15041,0.09,0.70%,13.01,194.98k,151
9,10/20/16,13.05,13.05,12.87,12.92,23363,-0.12,-0.92%,12.92,302.01k,256
10,10/19/16,13.01,13.13,12.98,13.04,29305,0.00,0.00%,13.04,381.96k,506
11,10/18/16,13.06,13.22,12.95,13.04,31261,0.10,0.77%,13.04,407.28k,344
12,10/17/16,12.92,13.0199,12.81,12.94,21540,-0.01,-0.08%,12.94,278.63k,193
13,10/14/16,13.09,13.108,12.93,12.95,21727,-0.03,-0.23%,12.95,281.45k,282
14,10/13/16,13.19,13.19,12.92,12.98,19121,-0.21,-1.59%,12.98,248.39k,385
15,10/12/16,13.15,13.30,12.92,13.19,23845,0.10,0.76%,13.19,312.76k,298
16,10/11/16,13.38,13.43,13.045,13.09,36065,-0.33,-2.46%,13.09,475.87k,329
17,10/10/16,13.23,13.57,13.21,13.42,17990,0.22,1.67%,13.42,241.21k,280
18,10/07/16,13.40,13.40,13.11,13.20,27072,-0.19,-1.42%,13.20,358.27k,290
19,10/06/16,13.39,13.42,13.21,13.39,13310,-0.01,-0.07%,13.39,177.81k,229
20,10/05/16,13.08,13.57,13.08,13.40,22956,0.34,2.60%,13.40,307.25k,218
21,10/04/16,13.13,13.2001,12.9501,13.06,15129,0.01,0.08%,13.06,197.93k,185
22,10/03/16,12.90,13.06,12.86,13.05,20626,0.09,0.69%,13.05,268.02k,298
23,09/30/16,12.85,13.1186,12.77,12.96,55525,0.13,1.01%,12.96,723.1k,430
24,09/29/16,13.03,13.22,12.81,12.83,45111,-0.16,-1.23%,12.83,580.87k,441
25,09/28/16,12.95,13.12,12.95,12.99,57505,0.02,0.15%,12.99,749.67k,474
26,09/27/16,13.02,13.11,12.89,12.97,37950,-0.06,-0.46%,12.97,493.02k,416
27,09/26/16,13.40,13.57,13.03,13.03,46076,-0.41,-3.05%,13.03,608.52k,450
28,09/23/16,13.21,13.53,13.21,13.44,43997,0.20,1.51%,13.44,590.33k,324
