,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,102.68,102.99,100.6501,101.07,189618,-1.47,-1.43%,101.07,19.27m,2233
2,10/31/16,101.98,102.89,101.34,102.54,191402,0.65,0.64%,102.54,19.59m,1600
3,10/28/16,102.32,103.28,101.84,101.89,155622,-0.73,-0.71%,101.89,15.91m,1476
4,10/27/16,103.67,104.00,102.14,102.62,158047,-0.45,-0.44%,102.62,16.26m,1689
5,10/26/16,103.62,104.41,102.98,103.07,199816,-0.97,-0.93%,103.07,20.71m,1499
6,10/25/16,104.95,105.48,103.53,104.04,191738,-0.99,-0.94%,104.04,19.94m,1899
7,10/24/16,105.99,105.99,104.29,105.03,221902,0.34,0.32%,105.03,23.32m,1580
8,10/21/16,103.86,104.81,103.34,104.69,126581,-0.11,-0.10%,104.69,13.22m,1553
9,10/20/16,104.78,105.38,103.94,104.80,130955,0.08,0.08%,104.80,13.71m,1589
10,10/19/16,105.16,105.71,104.48,104.72,155452,0.01,0.01%,104.72,16.34m,1431
11,10/18/16,105.39,105.51,104.49,104.71,159131,0.48,0.46%,104.71,16.69m,1914
12,10/17/16,104.85,105.735,104.11,104.23,237921,-0.62,-0.59%,104.23,24.89m,2218
13,10/14/16,106.55,107.48,104.77,104.85,224663,-1.21,-1.14%,104.85,23.69m,2596
14,10/13/16,105.69,106.82,104.24,106.06,285452,-0.55,-0.52%,106.06,30.24m,2927
15,10/12/16,107.84,107.905,106.35,106.61,218288,-1.17,-1.09%,106.61,23.3m,2369
16,10/11/16,110.46,110.46,107.55,108.03,240029,-2.7636,-2.50%,107.78,26.03m,2558
17,10/10/16,110.68,113.39,110.67,110.80,225280,0.089792,0.08%,110.5436,25.14m,2395
18,10/07/16,112.50,113.14,110.11,110.71,263777,-1.9654,-1.75%,110.4538,29.28m,3167
19,10/06/16,111.58,112.80,110.4005,112.68,330800,0.668449,0.60%,112.4193,37.04m,3249
20,10/05/16,111.80,113.67,111.78,112.01,305476,-0.069838,-0.06%,111.7508,34.43m,3067
21,10/04/16,111.43,113.29,111.43,112.08,323787,0.438982,0.39%,111.8206,36.38m,2509
22,10/03/16,114.11,114.2999,111.31,111.64,322059,-2.4643,-2.16%,111.3817,36.13m,3422
23,09/30/16,114.38,115.20,112.90,114.11,234893,0.658472,0.58%,113.8459,26.74m,3094
24,09/29/16,115.63,115.69,112.67,113.45,474667,-2.0453,-1.77%,113.1875,53.95m,3797
25,09/28/16,117.19,118.80,115.15,115.50,522551,-1.1174,-0.96%,115.2327,60.71m,5111
26,09/27/16,115.11,117.98,113.30,116.62,794735,10.4158,9.83%,116.3501,92.25m,8509
27,09/26/16,106.27,107.28,105.82,106.18,282246,-0.498843,-0.47%,105.9343,30.05m,2778
28,09/23/16,107.50,107.76,106.40,106.68,173030,-1.5464,-1.43%,106.4331,18.46m,2047
29,09/22/16,105.64,108.31,105.64,108.23,197980,2.8933,2.75%,107.9796,21.32m,2068
30,09/21/16,104.24,105.34,103.595,105.33,194152,1.5963,1.54%,105.0863,20.34m,1840
31,09/20/16,104.64,104.64,103.535,103.73,198162,-0.399074,-0.38%,103.49,20.61m,2093
32,09/19/16,102.46,104.75,101.98,104.13,237113,2.6139,2.58%,103.889,24.68m,2327
33,09/16/16,102.57,102.57,100.73,101.51,433804,-0.788172,-0.77%,101.2751,44.1m,2982
34,09/15/16,101.00,103.03,101.00,102.30,326939,1.1374,1.13%,102.0633,33.41m,3068
35,09/14/16,102.25,102.46,101.02,101.16,308194,-0.818102,-0.80%,100.9259,31.26m,3648
36,09/13/16,103.11,103.94,101.47,101.98,204262,-1.736,-1.68%,101.744,20.87m,2054
37,09/12/16,102.28,103.77,101.89,103.72,187183,1.307,1.28%,103.48,19.3m,2057
38,09/09/16,104.15,104.16,102.41,102.41,227450,-2.2847,-2.19%,102.173,23.45m,2360
39,09/08/16,106.44,106.44,104.67,104.70,201122,-2.2149,-2.08%,104.4577,21.18m,2534
40,09/07/16,106.16,106.97,105.74,106.92,244845,0.758241,0.72%,106.6726,26.08m,2605
41,09/06/16,106.11,106.43,105.08,106.16,200323,-0.179583,-0.17%,105.9143,21.21m,1669
