,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,14.35,14.35,14.25,14.25,40191,-0.10,-0.70%,14.25,574.39k,98
2,10/31/16,14.55,14.55,14.30,14.35,16741,-0.15,-1.03%,14.35,241.02k,48
3,10/28/16,14.395,14.50,14.35,14.50,2677,0.10,0.69%,14.50,38.62k,15
4,10/27/16,14.35,14.45,14.35,14.40,3635,0.00,0.00%,14.40,52.39k,19
5,10/26/16,14.375,14.45,14.30,14.40,1123,-0.05,-0.35%,14.40,16.17k,12
6,10/25/16,14.40,14.45,14.35,14.45,1236,-0.05,-0.34%,14.45,17.8k,10
7,10/24/16,14.55,14.55,14.4194,14.50,44352,-0.05,-0.34%,14.50,643.02k,83
8,10/21/16,14.45,14.55,14.40,14.55,12958,0.10,0.69%,14.55,187.25k,31
9,10/20/16,14.40,14.45,14.35,14.45,841,0.05,0.35%,14.45,12.09k,8
10,10/19/16,14.40,14.40,14.40,14.40,561,0.05,0.35%,14.40,8.08k,10
11,10/18/16,14.35,14.35,14.30,14.35,3870,-0.10,-0.69%,14.35,55.41k,19
12,10/17/16,14.35,14.45,14.35,14.45,8000,0.00,0.00%,14.45,114.95k,10
13,10/14/16,14.40,14.45,14.3924,14.45,3298,0.08,0.56%,14.45,47.53k,16
14,10/13/16,14.35,14.37,14.32,14.37,605,0.02,0.14%,14.37,8.68k,7
15,10/12/16,14.3275,14.36,14.32,14.35,5159,0.03,0.21%,14.35,73.93k,24
16,10/11/16,14.39,14.45,14.32,14.32,10675,-0.02,-0.14%,14.32,153.47k,49
17,10/10/16,14.32,14.41,14.32,14.34,1811,-0.03,-0.21%,14.34,25.97k,13
18,10/07/16,14.35,14.41,14.35,14.37,3412,0.02,0.14%,14.37,49.07k,18
19,10/06/16,14.3999,14.40,14.30,14.35,36752,0.07,0.49%,14.35,527.62k,85
20,10/05/16,14.35,14.35,14.20,14.28,22134,-0.06,-0.42%,14.28,316.8k,71
21,10/04/16,14.375,14.44,14.18,14.34,83666,-0.01,-0.07%,14.34,1.2m,242
22,10/03/16,14.37,14.4199,14.3209,14.35,33707,0.00,0.00%,14.35,484.18k,117
23,09/30/16,14.38,14.45,14.31,14.35,133600,-0.09,-0.62%,14.35,1.92m,424
24,09/29/16,14.37,14.45,14.37,14.44,2600,0.12,0.84%,14.44,37.44k,16
25,09/28/16,14.28,14.33,14.25,14.32,7443,-0.04,-0.28%,14.32,106.21k,21
26,09/27/16,14.36,14.38,14.32,14.36,4864,0.00,0.00%,14.36,69.83k,28
27,09/26/16,14.36,14.48,14.36,14.36,1960,-0.0001,-0.00%,14.36,28.17k,15
28,09/23/16,14.38,14.38,14.3601,14.3601,502,-0.0999,-0.69%,14.3601,7.21k,4
29,09/22/16,14.46,14.50,14.46,14.46,1538,0.01,0.07%,14.46,22.28k,13
30,09/21/16,14.31,14.49,14.31,14.45,6266,0.11,0.77%,14.45,89.97k,50
31,09/20/16,14.34,14.35,14.33,14.34,2207,-0.05,-0.35%,14.34,31.66k,23
32,09/19/16,14.35,14.39,14.35,14.39,226,0.04,0.28%,14.39,3.25k,5
33,09/16/16,14.40,14.40,14.34,14.35,885,-0.05,-0.35%,14.35,12.72k,7
34,09/15/16,14.27,14.40,14.26,14.40,5075,-0.01,-0.07%,14.40,72.91k,29
35,09/14/16,14.50,14.53,14.3909,14.41,11738,-0.09,-0.62%,14.41,169.62k,38
36,09/13/16,14.4218,14.54,14.4218,14.50,4100,0.00,0.00%,14.50,59.46k,9
37,09/12/16,14.40,14.68,14.40,14.50,3634,0.10,0.69%,14.50,53.01k,32
38,09/09/16,14.52,14.52,14.40,14.40,1839,-0.1201,-0.83%,14.40,26.61k,16
39,09/08/16,14.52,14.5201,14.52,14.5201,300,0.1001,0.69%,14.5201,4.36k,2
40,09/07/16,,,,14.42,0,,0.00%,14.42,,
41,09/06/16,14.55,14.59,14.42,14.42,4652,-0.0001,-0.00%,14.42,67.37k,44
42,09/05/16,,,,14.4201,0,,0.00%,14.4201,,
43,09/02/16,14.45,14.45,14.4201,14.4201,1413,-0.0299,-0.21%,14.4201,20.39k,3
44,09/01/16,,,,14.45,105,0.00,0.00%,14.45,,4
45,08/31/16,14.53,14.53,14.45,14.45,406,-0.11,-0.76%,14.45,5.88k,6
46,08/30/16,14.75,14.75,14.44,14.56,6500,-0.1595,-1.08%,14.56,95.19k,20
47,08/29/16,,,,14.7195,60,0.00,0.00%,14.7195,,3
48,08/26/16,14.73,14.73,14.71,14.7195,424,0.1095,0.75%,14.7195,6.24k,7
49,08/25/16,,,,14.61,0,0.00,0.00%,14.61,,
50,08/24/16,14.61,14.61,14.61,14.61,570,-0.13,-0.88%,14.61,8.33k,1
51,08/23/16,,,,14.74,5,0.00,0.00%,14.74,,2
52,08/22/16,,,,14.74,97,0.00,0.00%,14.74,,3
53,08/19/16,14.7499,14.75,14.65,14.74,3804,-0.015,-0.10%,14.74,56.01k,21
54,08/18/16,14.6201,14.78,14.6201,14.755,2955,0.075,0.51%,14.755,43.37k,13
