,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,11.20,11.35,11.00,11.07,8190936,-0.13,-1.16%,11.07,91.1m,32789
2,10/31/16,11.14,11.25,11.06,11.20,2960612,0.06,0.54%,11.20,33.11m,12985
3,10/28/16,11.15,11.32,11.05,11.14,3150482,-0.01,-0.09%,11.14,35.24m,12972
4,10/27/16,11.25,11.25,11.08,11.15,1910189,-0.06,-0.54%,11.15,21.3m,9427
5,10/26/16,11.05,11.21,11.00,11.21,2453171,0.14,1.26%,11.21,27.21m,12110
6,10/25/16,11.31,11.32,11.01,11.07,2853158,-0.28,-2.47%,11.07,31.66m,11199
7,10/24/16,11.36,11.50,11.22,11.35,2172839,0.03,0.27%,11.35,24.67m,8128
8,10/21/16,11.14,11.34,11.04,11.32,2957334,0.13,1.16%,11.32,33.24m,10090
9,10/20/16,11.30,11.38,11.10,11.19,2024180,-0.11,-0.97%,11.19,22.74m,8895
10,10/19/16,11.28,11.34,11.16,11.30,2549032,-0.04,-0.35%,11.30,28.77m,9530
11,10/18/16,11.01,11.38,11.01,11.34,6320918,0.41,3.75%,11.34,70.96m,19799
12,10/17/16,11.02,11.14,10.88,10.93,2452674,-0.19,-1.71%,10.93,26.99m,8963
13,10/14/16,11.24,11.35,11.07,11.12,1897747,-0.07,-0.63%,11.12,21.26m,8458
14,10/13/16,11.16,11.33,11.06,11.19,2600007,-0.08,-0.71%,11.19,29.1m,8274
15,10/12/16,11.15,11.28,11.065,11.27,2510419,0.09,0.81%,11.27,28.01m,9676
16,10/11/16,11.42,11.50,11.14,11.18,2345117,-0.29,-2.53%,11.18,26.37m,10404
17,10/10/16,11.54,11.73,11.44,11.47,1581273,-0.01,-0.09%,11.47,18.28m,6605
18,10/07/16,11.40,11.49,11.28,11.48,1660239,-0.04,-0.35%,11.48,18.91m,7969
19,10/06/16,11.55,11.64,11.29,11.52,2370582,-0.17,-1.45%,11.52,27.31m,7271
