,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,4.28,4.35,4.22,4.27,3305109,-0.02,-0.47%,4.27,14.14m,13781
2,10/31/16,4.36,4.37,4.23,4.29,4775394,-0.07,-1.61%,4.29,20.49m,13322
3,10/28/16,4.36,4.44,4.34,4.36,2582281,0.00,0.00%,4.36,11.3m,9148
4,10/27/16,4.37,4.41,4.33,4.36,2718794,0.02,0.46%,4.36,11.88m,9745
5,10/26/16,4.46,4.48,4.34,4.34,2760889,-0.13,-2.91%,4.34,12.16m,9861
6,10/25/16,4.47,4.50,4.45,4.47,2315345,0.00,0.00%,4.47,10.36m,8060
7,10/24/16,4.53,4.63,4.47,4.47,2738576,-0.03,-0.67%,4.47,12.37m,9680
8,10/21/16,4.44,4.59,4.44,4.50,4000889,0.04,0.90%,4.50,18.09m,12896
9,10/20/16,4.63,4.63,4.46,4.46,4756617,-0.12,-2.62%,4.46,21.45m,16518
10,10/19/16,4.90,5.03,4.50,4.58,10918468,-0.44,-8.76%,4.58,50.93m,39589
11,10/18/16,5.29,5.31,4.96,5.02,6317891,-0.28,-5.28%,5.02,32.06m,22136
12,10/17/16,5.19,5.49,5.1337,5.30,9269277,0.29,5.79%,5.30,49.26m,33784
13,10/14/16,4.94,5.08,4.94,5.01,1700763,0.08,1.62%,5.01,8.55m,7558
14,10/13/16,5.07,5.11,4.92,4.93,2205571,-0.20,-3.90%,4.93,10.95m,8722
15,10/12/16,5.05,5.15,5.03,5.13,1533793,0.06,1.18%,5.13,7.84m,7205
16,10/11/16,5.01,5.13,5.005,5.07,2896466,0.03,0.60%,5.07,14.66m,11623
17,10/10/16,4.98,5.09,4.96,5.04,1286468,0.05,1.00%,5.04,6.48m,5657
18,10/07/16,5.00,5.07,4.98,4.99,1787808,0.01,0.20%,4.99,8.97m,7939
19,10/06/16,5.03,5.09,4.98,4.98,3120199,-0.07,-1.39%,4.98,15.67m,10714
20,10/05/16,4.97,5.07,4.94,5.05,3459477,0.12,2.43%,5.05,17.37m,13550
21,10/04/16,4.97,5.01,4.89,4.93,1985235,-0.10,-1.99%,4.93,9.81m,9320
22,10/03/16,4.98,5.04,4.93,5.03,3323000,0.04,0.80%,5.03,16.61m,9655
23,09/30/16,4.87,5.02,4.87,4.99,4100154,0.16,3.31%,4.99,20.38m,14411
24,09/29/16,4.54,5.00,4.51,4.83,9574266,0.27,5.92%,4.83,46.37m,32305
25,09/28/16,4.57,4.6075,4.52,4.56,1838074,-0.01,-0.22%,4.56,8.36m,7599
26,09/27/16,4.59,4.61,4.53,4.57,2374887,-0.02,-0.44%,4.57,10.83m,10009
27,09/26/16,4.64,4.675,4.59,4.59,1511055,-0.09,-1.92%,4.59,6.98m,6481
28,09/23/16,4.68,4.70,4.62,4.68,1715839,0.01,0.21%,4.68,7.99m,7238
29,09/22/16,4.65,4.71,4.62,4.67,3007868,0.00,0.00%,4.67,14.07m,9719
30,09/21/16,4.65,4.69,4.54,4.67,2560202,0.07,1.52%,4.67,11.82m,8495
31,09/20/16,4.75,4.75,4.59,4.60,3030699,-0.15,-3.16%,4.60,14.03m,10546
32,09/19/16,4.70,4.79,4.58,4.75,4385257,0.09,1.93%,4.75,20.62m,12594
33,09/16/16,4.65,4.70,4.60,4.66,3294680,0.00,0.00%,4.66,15.32m,10689
34,09/15/16,4.64,4.73,4.61,4.66,2495220,0.02,0.43%,4.66,11.66m,10430
35,09/14/16,4.69,4.72,4.61,4.64,3390183,-0.06,-1.28%,4.64,15.79m,13035
36,09/13/16,4.70,4.75,4.61,4.70,4265770,-0.05,-1.05%,4.70,20.05m,12414
37,09/12/16,4.70,4.79,4.615,4.75,4975132,0.02,0.42%,4.75,23.59m,17079
38,09/09/16,4.92,4.94,4.72,4.73,4863555,-0.22,-4.44%,4.73,23.27m,18372
39,09/08/16,5.05,5.13,4.92,4.95,5988785,-0.52,-9.51%,4.95,29.99m,21068
40,09/07/16,5.64,5.69,5.41,5.47,4233371,-0.22,-3.87%,5.47,23.33m,15894
41,09/06/16,5.71,5.725,5.635,5.69,2539826,-0.03,-0.52%,5.69,14.41m,10640
42,09/05/16,,,,5.72,0,,0.00%,5.72,,
43,09/02/16,5.51,5.74,5.48,5.72,3281100,0.21,3.81%,5.72,18.65m,13103
44,09/01/16,5.47,5.53,5.37,5.51,3636774,0.03,0.55%,5.51,19.92m,15731
45,08/31/16,5.41,5.49,5.26,5.48,46963969,0.10,1.86%,5.48,256.42m,21497
46,08/30/16,5.41,5.43,5.30,5.38,1725113,-0.02,-0.37%,5.38,9.24m,7280
47,08/29/16,5.38,5.43,5.31,5.40,2138730,0.04,0.75%,5.40,11.49m,9500
48,08/26/16,5.39,5.45,5.29,5.36,1988163,-0.02,-0.37%,5.36,10.64m,10018
49,08/25/16,5.35,5.45,5.32,5.38,1464633,0.01,0.19%,5.38,7.88m,7295
50,08/24/16,5.43,5.48,5.35,5.37,2181703,-0.08,-1.47%,5.37,11.79m,9233
51,08/23/16,5.51,5.68,5.43,5.45,3021225,0.01,0.18%,5.45,16.66m,10865
52,08/22/16,5.45,5.48,5.34,5.44,2008037,0.03,0.55%,5.44,10.86m,8722
53,08/19/16,5.36,5.49,5.30,5.41,3033321,0.02,0.37%,5.41,16.37m,10807
54,08/18/16,5.42,5.47,5.35,5.39,2427874,0.00,0.00%,5.39,13.11m,11335
55,08/17/16,5.34,5.49,5.225,5.39,4180480,0.02,0.37%,5.39,22.38m,18719
56,08/16/16,5.53,5.55,5.31,5.37,4182484,-0.19,-3.42%,5.37,22.55m,16127
57,08/15/16,5.08,5.57,5.08,5.56,7798463,0.56,11.20%,5.56,42.31m,28262
58,08/12/16,4.91,5.01,4.87,5.00,2837094,0.09,1.83%,5.00,14.08m,10868
59,08/11/16,4.95,5.04,4.84,4.91,2064779,0.06,1.24%,4.91,10.13m,8810
60,08/10/16,4.85,4.98,4.77,4.85,3573955,0.03,0.62%,4.85,17.36m,13141
61,08/09/16,4.78,4.88,4.76,4.82,1776221,0.05,1.05%,4.82,8.6m,8037
62,08/08/16,4.84,4.889,4.75,4.77,1357234,-0.08,-1.65%,4.77,6.5m,6914
63,08/05/16,4.85,4.92,4.81,4.85,1522557,0.05,1.04%,4.85,7.41m,7843
64,08/04/16,4.81,4.93,4.78,4.80,2085877,-0.03,-0.62%,4.80,10.07m,10253
65,08/03/16,4.71,4.86,4.58,4.83,3868810,0.27,5.92%,4.83,18.53m,13473
66,08/02/16,4.79,4.82,4.55,4.56,4247395,-0.25,-5.20%,4.56,19.54m,15830
67,08/01/16,4.88,5.04,4.79,4.81,3319905,-0.07,-1.43%,4.81,16.18m,14614
68,07/29/16,4.65,4.99,4.60,4.88,7766354,0.23,4.95%,4.88,37.22m,23869
69,07/28/16,4.62,4.75,4.61,4.65,3829676,0.03,0.65%,4.65,17.86m,16949
70,07/27/16,5.05,5.10,4.56,4.62,5738534,-0.66,-12.50%,4.62,27.16m,19743
71,07/26/16,5.25,5.38,5.25,5.28,2276774,0.04,0.76%,5.28,12.08m,10871
72,07/25/16,5.24,5.30,5.19,5.24,2010850,0.02,0.38%,5.24,10.52m,9208
73,07/22/16,5.33,5.34,5.22,5.22,1335101,-0.10,-1.88%,5.22,7.02m,5017
74,07/21/16,5.29,5.385,5.24,5.32,1777592,0.01,0.19%,5.32,9.45m,8257
75,07/20/16,5.26,5.385,5.21,5.31,2559770,0.05,0.95%,5.31,13.6m,9441
76,07/19/16,5.32,5.35,5.18,5.26,2147083,-0.07,-1.31%,5.26,11.27m,7888
77,07/18/16,5.26,5.36,5.20,5.33,1641612,0.09,1.72%,5.33,8.69m,7973
78,07/15/16,5.34,5.35,5.15,5.24,2432607,-0.05,-0.95%,5.24,12.7m,9697
79,07/14/16,5.34,5.42,5.29,5.29,2157301,-0.03,-0.56%,5.29,11.53m,9684
80,07/13/16,5.50,5.50,5.20,5.32,2408336,-0.08,-1.48%,5.32,12.76m,12405
81,07/12/16,5.56,5.56,5.33,5.40,3237160,0.01,0.19%,5.40,17.53m,14893
82,07/11/16,5.33,5.42,5.28,5.39,2256438,0.08,1.51%,5.39,12.1m,10198
83,07/08/16,5.09,5.32,5.07,5.31,2438096,0.29,5.78%,5.31,12.8m,9629
84,07/07/16,5.06,5.11,4.93,5.02,2136007,0.01,0.20%,5.02,10.69m,8326
85,07/06/16,4.66,5.10,4.64,5.01,4632137,0.41,8.91%,5.01,23.11m,16867
86,07/05/16,4.71,4.71,4.49,4.60,1428336,-0.12,-2.54%,4.60,6.52m,6132
87,07/04/16,,,,4.72,0,,0.00%,4.72,,
88,07/01/16,4.73,4.79,4.66,4.72,1955914,0.00,0.00%,4.72,9.26m,7070
89,06/30/16,4.52,4.72,4.4938,4.72,4437045,0.21,4.66%,4.72,20.54m,10049
90,06/29/16,4.44,4.53,4.38,4.51,3021685,0.18,4.16%,4.51,13.48m,12152
91,06/28/16,4.28,4.39,4.26,4.33,2152640,0.10,2.36%,4.33,9.28m,8818
92,06/27/16,4.33,4.37,4.145,4.23,3322081,-0.12,-2.76%,4.23,14.15m,13941
93,06/24/16,4.45,4.49,4.32,4.35,4966152,-0.22,-4.81%,4.35,21.8m,12685
94,06/23/16,4.59,4.64,4.56,4.57,1626570,0.06,1.33%,4.57,7.46m,6725
95,06/22/16,4.61,4.67,4.51,4.51,1317293,-0.06,-1.31%,4.51,6.02m,5302
96,06/21/16,4.60,4.64,4.51,4.57,1560894,-0.11,-2.35%,4.57,7.12m,6350
97,06/20/16,4.69,4.80,4.66,4.68,1222062,0.04,0.86%,4.68,5.78m,6145
98,06/17/16,4.54,4.695,4.54,4.64,2452156,0.09,1.98%,4.64,11.31m,5943
99,06/16/16,4.59,4.60,4.49,4.55,1291098,-0.07,-1.52%,4.55,5.87m,6670
100,06/15/16,4.57,4.685,4.46,4.62,2602732,0.12,2.67%,4.62,12.01m,12640
101,06/14/16,4.54,4.59,4.45,4.50,1964766,-0.05,-1.10%,4.50,8.85m,8312
102,06/13/16,4.64,4.73,4.515,4.55,1520691,-0.13,-2.78%,4.55,7m,7478
103,06/10/16,4.67,4.77,4.615,4.68,1899954,-0.05,-1.06%,4.68,8.89m,8337
104,06/09/16,4.84,4.85,4.655,4.73,1660016,-0.13,-2.67%,4.73,7.86m,8924
