,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,4.40,4.50,4.30,4.40,63750,-0.04973,-1.12%,4.3763,279.46k,143
2,10/31/16,4.45,4.475,4.40,4.45,24292,-0.039784,-0.89%,4.426,107.38k,122
3,10/28/16,4.45,4.49,4.43,4.49,26898,0.019892,0.45%,4.4658,120.37k,125
4,10/27/16,4.50,4.50,4.44,4.47,14074,0.00,0.00%,4.4459,62.9k,107
5,10/26/16,4.47,4.57,4.47,4.47,32988,0.00,0.00%,4.4459,149.03k,97
6,10/25/16,4.53,4.55,4.46,4.47,85884,-0.049731,-1.11%,4.4459,387.81k,603
7,10/24/16,4.59,4.59,4.475,4.52,27783,-0.079568,-1.74%,4.4956,125.33k,214
8,10/21/16,4.64,4.68,4.58,4.60,62635,-0.089515,-1.92%,4.5752,290.57k,405
9,10/20/16,4.61,4.6919,4.58,4.69,65452,0.069622,1.52%,4.6647,305.46k,277
10,10/19/16,4.56,4.6762,4.56,4.62,69792,0.049731,1.09%,4.5951,323.99k,320
11,10/18/16,4.47,4.63,4.47,4.57,65326,0.099461,2.24%,4.5454,297.9k,258
12,10/17/16,4.46,4.47,4.42,4.47,38549,-0.009946,-0.22%,4.4459,171.52k,142
13,10/14/16,4.38,4.49,4.38,4.48,35872,0.089514,2.05%,4.4558,159.81k,228
14,10/13/16,4.33,4.41,4.30,4.39,26648,0.019893,0.46%,4.3663,116.65k,195
15,10/12/16,4.27,4.378,4.25,4.37,38105,0.059676,1.39%,4.3464,165.78k,187
16,10/11/16,4.33,4.34,4.29,4.31,55189,-0.019892,-0.46%,4.2868,238.05k,282
17,10/10/16,4.31,4.36,4.30,4.33,15384,0.009946,0.23%,4.3067,66.5k,71
18,10/07/16,4.34,4.34,4.255,4.32,99061,-0.029838,-0.69%,4.2967,426.33k,462
19,10/06/16,4.28,4.376,4.28,4.35,28657,0.039784,0.93%,4.3265,124.57k,215
20,10/05/16,4.42,4.42,4.30,4.31,30134,-0.099461,-2.27%,4.2868,131.2k,170
21,10/04/16,4.39,4.46,4.3674,4.41,102269,0.00,0.00%,4.3862,450.18k,301
22,10/03/16,4.44,4.46,4.39,4.41,34523,-0.039784,-0.90%,4.3862,152.71k,239
23,09/30/16,4.45,4.48,4.425,4.45,33576,0.00,0.00%,4.426,149.35k,237
24,09/29/16,4.51,4.54,4.415,4.45,30560,-0.079569,-1.77%,4.426,136.77k,196
25,09/28/16,4.44,4.55,4.39,4.53,49090,0.069623,1.57%,4.5056,221.28k,259
26,09/27/16,4.49,4.56,4.44,4.46,49305,-0.059677,-1.33%,4.436,220.54k,287
27,09/26/16,4.66,4.66,4.52,4.52,43181,-0.169083,-3.62%,4.4956,196.64k,217
28,09/23/16,4.64,4.72,4.64,4.69,92953,0.019892,0.43%,4.6647,435.76k,465
