,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,63.05,63.50,62.54,63.29,2895729,0.417672,0.67%,62.9392,182.98m,23921
2,10/31/16,62.64,62.96,62.25,62.87,1517296,0.507173,0.82%,62.5215,95.19m,10024
3,10/28/16,62.26,62.86,62.05,62.36,931046,0.218781,0.35%,62.0143,58.15m,7974
4,10/27/16,62.91,63.20,62.03,62.14,1022774,-0.646397,-1.04%,61.7956,63.74m,8639
5,10/26/16,61.73,63.27,61.54,62.79,1263107,0.885067,1.44%,62.442,79.32m,8523
6,10/25/16,62.64,62.76,61.30,61.90,1487130,-0.914901,-1.46%,61.5569,91.99m,10626
7,10/24/16,62.32,62.88,62.32,62.82,1220773,1.0342,1.68%,62.4718,76.46m,8303
8,10/21/16,61.55,62.04,61.07,61.78,933624,-0.268504,-0.44%,61.4376,57.67m,6537
9,10/20/16,61.90,62.15,61.54,62.05,831424,0.079557,0.13%,61.7061,51.51m,7538
10,10/19/16,61.45,62.17,61.04,61.97,950918,0.67623,1.11%,61.6265,58.9m,8710
11,10/18/16,61.68,61.789,61.08,61.29,1180313,0.258559,0.43%,60.9503,72.4m,9294
12,10/17/16,61.14,61.35,60.88,61.03,1020780,-0.079556,-0.13%,60.6917,62.3m,8589
13,10/14/16,61.79,62.10,61.07,61.11,968462,-0.23867,-0.39%,60.7713,59.41m,8250
14,10/13/16,61.64,61.78,60.59,61.35,1047726,-0.835344,-1.35%,61.0099,64.07m,9686
15,10/12/16,62.68,62.93,62.07,62.19,904349,-0.556896,-0.89%,61.8453,56.39m,8068
16,10/11/16,63.65,63.92,62.50,62.75,1159284,-1.0044,-1.58%,62.4022,72.87m,8937
17,10/10/16,64.24,64.63,63.73,63.76,578489,-0.159113,-0.25%,63.4066,37.03m,5689
18,10/07/16,64.66,64.74,63.63,63.92,1285497,-0.865178,-1.34%,63.5657,82.28m,8998
19,10/06/16,64.44,64.925,63.97,64.79,1270899,0.139224,0.22%,64.4309,82.15m,10439
20,10/05/16,64.11,64.98,63.83,64.65,1266819,0.895011,1.41%,64.2916,81.99m,10451
21,10/04/16,63.67,64.46,63.39,63.75,1089207,0.159113,0.25%,63.3966,69.47m,9201
22,10/03/16,64.17,64.35,63.48,63.59,1173350,-0.785621,-1.23%,63.2375,74.87m,10366
23,09/30/16,63.68,64.60,63.53,64.38,1601957,1.0641,1.69%,64.0231,102.92m,10157
24,09/29/16,63.94,64.4399,63.19,63.31,1025543,-0.994457,-1.55%,62.9591,65.22m,9105
25,09/28/16,64.69,64.86,63.94,64.31,961821,-0.228725,-0.36%,63.9535,61.78m,8004
26,09/27/16,63.48,64.55,63.137,64.54,1179422,1.0442,1.65%,64.1823,75.75m,8927
