,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,52.60,53.35,49.60,50.80,1412986,-1.65,-3.15%,50.80,71.83m,10534
2,10/31/16,51.80,52.675,51.35,52.45,1007449,0.65,1.25%,52.45,52.59m,7929
3,10/28/16,52.15,53.50,51.70,51.80,707030,-0.35,-0.67%,51.80,37.08m,6236
4,10/27/16,54.00,54.00,51.75,52.15,963066,-1.65,-3.07%,52.15,50.54m,7040
5,10/26/16,54.45,54.70,53.378,53.80,815925,-1.25,-2.27%,53.80,44.05m,4328
6,10/25/16,54.85,55.475,54.20,55.05,494311,-0.10,-0.18%,55.05,27.19m,4039
7,10/24/16,56.45,56.95,54.75,55.15,586854,-0.95,-1.69%,55.15,32.37m,5037
8,10/21/16,55.10,56.60,54.75,56.10,490860,0.40,0.72%,56.10,27.51m,4083
9,10/20/16,55.70,56.11,55.025,55.70,767083,-0.65,-1.15%,55.70,42.54m,6447
10,10/19/16,56.20,56.70,55.85,56.35,682943,0.40,0.71%,56.35,38.53m,5853
11,10/18/16,56.65,56.85,55.40,55.95,577122,0.35,0.63%,55.95,32.33m,5013
12,10/17/16,54.50,56.575,54.50,55.60,924079,1.07,1.96%,55.60,51.52m,7899
13,10/14/16,53.31,54.80,53.31,54.53,965900,1.82,3.45%,54.53,52.5m,8672
14,10/13/16,52.22,52.82,51.26,52.71,695049,-0.03,-0.06%,52.71,36.36m,5799
15,10/12/16,52.29,53.54,52.06,52.74,979448,0.08,0.15%,52.74,51.73m,7506
16,10/11/16,55.04,55.04,52.29,52.66,685408,-2.40,-4.36%,52.66,36.32m,5752
17,10/10/16,54.08,55.53,54.08,55.06,510645,1.59,2.97%,55.06,28.12m,5319
18,10/07/16,53.99,54.83,53.43,53.47,827335,-0.519993,-0.96%,53.47,44.49m,6755
19,10/06/16,54.42,54.97,54.21,54.29,621529,-0.407735,-0.75%,53.99,33.87m,6622
20,10/05/16,55.23,55.7299,54.43,54.70,793924,0.268508,0.50%,54.3977,43.57m,7278
21,10/04/16,56.57,56.8976,54.30,54.43,1540763,-2.4066,-4.26%,54.1292,85.04m,12973
22,10/03/16,56.55,57.28,56.12,56.85,973764,0.288398,0.51%,56.5358,55.2m,7413
23,09/30/16,57.90,57.925,56.16,56.56,2031187,-0.745856,-1.31%,56.2474,115.5m,13198
24,09/29/16,58.26,58.355,57.0001,57.31,1643293,-0.795579,-1.38%,56.9933,94.71m,13709
25,09/28/16,56.79,58.13,56.10,58.11,1160052,1.3028,2.31%,57.7889,66.54m,9277
26,09/27/16,54.86,57.19,54.55,56.80,928604,1.7204,3.14%,56.4861,52.63m,8085
27,09/26/16,55.01,56.435,54.94,55.07,1061187,-0.198895,-0.36%,54.7657,58.94m,9863
28,09/23/16,55.65,56.40,55.0996,55.27,979275,-0.77569,-1.39%,54.9646,54.48m,7555
29,09/22/16,54.97,56.25,54.655,56.05,1155488,1.432,2.64%,55.7403,64.41m,8231
30,09/21/16,53.94,54.78,53.90,54.61,1436949,0.904971,1.69%,54.3082,78.08m,11080
31,09/20/16,54.91,54.98,53.61,53.70,3980212,-2.0486,-3.69%,53.4033,215.49m,24704
32,09/19/16,56.25,57.26,55.58,55.76,642860,0.069613,0.13%,55.4519,36.16m,5558
33,09/16/16,55.17,55.87,53.45,55.69,564221,0.109392,0.20%,55.3823,31.33m,4012
34,09/15/16,54.87,56.13,54.61,55.58,829284,0.914916,1.68%,55.2729,46.09m,6502
35,09/14/16,52.53,55.57,52.51,54.66,977567,2.2077,4.23%,54.3579,53.43m,9111
36,09/13/16,53.61,54.39,52.05,52.44,848568,-1.8994,-3.51%,52.1502,45.11m,8888
37,09/12/16,51.66,54.50,51.01,54.35,1870314,2.526,4.90%,54.0497,98.95m,15666
38,09/09/16,54.20,54.28,51.19,51.81,1042458,-2.9635,-5.44%,51.5237,54.49m,8832
39,09/08/16,55.71,56.15,54.60,54.79,691498,-0.904972,-1.63%,54.4872,37.95m,5993
40,09/07/16,56.04,56.62,55.0252,55.70,723847,-0.288397,-0.52%,55.3922,40.37m,7702
41,09/06/16,59.10,59.27,55.61,55.99,1114536,-2.5061,-4.31%,55.6806,63.32m,8919
42,09/05/16,,,,58.51,0,,0.00%,58.1867,,
