,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,50.05,50.05,48.97,49.32,1022367,-0.56,-1.12%,49.32,50.49m,9749
2,10/31/16,50.25,50.37,49.62,49.88,1261594,-0.19,-0.38%,49.88,62.95m,10103
3,10/28/16,50.27,50.63,49.71,50.07,1566500,-0.02,-0.04%,50.07,78.5m,11243
4,10/27/16,51.09,51.09,49.99,50.09,2109996,-0.87,-1.71%,50.09,106.41m,15108
5,10/26/16,50.25,51.87,50.005,50.96,3358775,2.73,5.66%,50.96,171.56m,24747
6,10/25/16,48.03,48.55,47.82,48.23,1665881,-0.07,-0.14%,48.23,80.3m,14339
7,10/24/16,47.31,48.66,46.92,48.30,1657282,0.59,1.24%,48.30,79.89m,12024
8,10/21/16,47.55,47.865,47.22,47.71,1216104,-0.09,-0.19%,47.71,57.94m,8139
9,10/20/16,48.04,48.11,47.66,47.80,789779,-0.37,-0.77%,47.80,37.78m,6885
10,10/19/16,48.47,48.635,48.17,48.17,1018614,-0.14,-0.29%,48.17,49.22m,7980
11,10/18/16,47.41,48.515,47.41,48.31,1638463,1.30,2.77%,48.31,79.03m,11918
12,10/17/16,47.20,47.35,46.88,47.01,478978,-0.19,-0.40%,47.01,22.56m,4563
13,10/14/16,47.11,47.79,47.08,47.20,970297,0.43,0.92%,47.20,45.93m,9631
14,10/13/16,47.19,47.21,46.22,46.77,1031865,-0.85,-1.78%,46.77,48.25m,8948
15,10/12/16,46.96,47.74,46.64,47.62,1422115,0.77,1.64%,47.62,67.41m,12150
16,10/11/16,47.30,47.30,46.50,46.85,1406304,-0.45,-0.95%,46.85,65.72m,9709
17,10/10/16,47.51,47.87,47.28,47.30,568946,0.01,0.02%,47.30,27m,5049
18,10/07/16,48.13,48.22,46.92,47.29,1908674,-0.72,-1.50%,47.29,90.19m,14088
19,10/06/16,48.39,48.39,47.71,48.01,2013334,-0.64,-1.32%,48.01,96.81m,11535
20,10/05/16,47.41,49.12,47.25,48.65,3437707,1.46,3.09%,48.65,166.96m,23194
21,10/04/16,47.94,48.4125,47.12,47.19,1962179,-0.63,-1.32%,47.19,93.4m,15767
22,10/03/16,46.93,47.94,46.89,47.82,1771857,0.67,1.42%,47.82,84.49m,13957
23,09/30/16,46.85,47.36,46.47,47.15,1862688,0.43,0.92%,47.15,87.82m,12197
24,09/29/16,47.67,47.67,46.70,46.72,1278026,-1.02,-2.14%,46.72,60.24m,10076
25,09/28/16,47.45,47.78,46.93,47.74,829080,0.35,0.74%,47.74,39.36m,6531
26,09/27/16,46.99,47.67,46.99,47.39,955826,0.29,0.62%,47.39,45.33m,7923
27,09/26/16,46.96,47.37,46.76,47.10,998635,-0.21,-0.44%,47.10,47.12m,9079
28,09/23/16,47.39,47.44,47.19,47.31,804895,-0.25,-0.53%,47.31,38.1m,7696
29,09/22/16,47.44,47.71,47.15,47.56,1085034,0.29,0.61%,47.56,51.52m,8848
30,09/21/16,46.68,47.32,46.62,47.27,1077851,0.69,1.48%,47.27,50.69m,9220
31,09/20/16,46.82,46.95,46.37,46.58,1099735,0.030018,0.06%,46.58,51.3m,8193
32,09/19/16,47.23,47.32,46.45,46.65,1832038,-0.409121,-0.87%,46.55,85.75m,13052
33,09/16/16,47.79,47.79,46.90,47.06,2010552,-0.918028,-1.92%,46.9591,94.86m,10619
34,09/15/16,47.45,48.097,47.17,47.98,1894317,0.48895,1.03%,47.8771,90.41m,13403
35,09/14/16,48.16,48.35,47.38,47.49,1467709,-0.6985,-1.45%,47.3882,70.1m,12401
36,09/13/16,48.78,48.80,47.95,48.19,1016517,-0.947963,-1.93%,48.0867,49.05m,8408
37,09/12/16,48.77,49.22,48.36,49.14,1734820,0.059872,0.12%,49.0346,84.81m,15395
38,09/09/16,49.88,50.28,49.08,49.08,2069127,-1.1575,-2.31%,48.9748,102.96m,14642
39,09/08/16,50.23,50.52,50.06,50.24,1278438,-0.159657,-0.32%,50.1323,64.21m,9332
40,09/07/16,50.02,50.47,49.85,50.40,1558973,0.189592,0.38%,50.2919,78.4m,9781
41,09/06/16,50.83,50.93,49.93,50.21,1101711,-0.648606,-1.28%,50.1024,55.3m,10522
42,09/05/16,,,,50.86,0,,0.00%,50.751,,
43,09/02/16,50.31,51.10,50.0601,50.86,1454614,0.997856,2.01%,50.751,73.9m,12883
44,09/01/16,49.32,50.14,49.13,49.86,1365761,0.608692,1.24%,49.7531,68.12m,12825
45,08/31/16,49.14,49.35,48.885,49.25,934175,0.06985,0.14%,49.1444,45.94m,7768
46,08/30/16,48.76,49.195,48.53,49.18,770072,0.259442,0.53%,49.0746,37.66m,6869
47,08/29/16,48.56,49.16,48.45,48.92,1052010,0.359229,0.74%,48.8151,51.5m,9226
48,08/26/16,48.38,48.99,48.16,48.56,1137848,0.279399,0.58%,48.4559,55.29m,9838
49,08/25/16,48.06,48.35,47.93,48.28,599216,0.189593,0.40%,48.1765,28.91m,5330
50,08/24/16,48.53,48.69,47.99,48.09,1200149,-0.518885,-1.07%,47.9869,57.81m,10083
51,08/23/16,48.71,48.79,48.48,48.61,813976,0.109764,0.23%,48.5058,39.58m,6455
52,08/22/16,48.08,48.52,47.987,48.50,827747,0.249464,0.52%,48.396,40.04m,6755
53,08/19/16,48.08,48.4599,48.03,48.25,994300,-0.009979,-0.02%,48.1466,47.94m,7450
54,08/18/16,48.27,48.77,48.15,48.26,1668505,0.1397,0.29%,48.1565,80.64m,10069
55,08/17/16,47.64,48.24,47.42,48.12,1676943,0.468993,0.99%,48.0168,80.42m,14292
56,08/16/16,48.00,48.02,47.28,47.65,1678116,-0.518886,-1.08%,47.5478,79.91m,12665
57,08/15/16,48.83,48.89,48.04,48.17,1133937,-0.658584,-1.35%,48.0667,54.74m,8803
58,08/12/16,48.69,49.20,48.01,48.83,1671570,0.289378,0.60%,48.7253,81.51m,12253
59,08/11/16,48.70,48.97,48.44,48.54,1055166,-0.099786,-0.21%,48.4359,51.32m,8129
60,08/10/16,48.41,48.77,47.99,48.64,1532791,0.34925,0.72%,48.5357,74.28m,11595
61,08/09/16,48.57,48.79,48.23,48.29,1493867,-0.2794,-0.58%,48.1865,72.3m,11134
62,08/08/16,49.30,49.51,48.485,48.57,1657426,-0.748392,-1.52%,48.4659,80.83m,11595
63,08/05/16,49.19,49.79,49.11,49.32,1585406,0.339271,0.69%,49.2143,78.21m,10212
64,08/04/16,49.50,50.07,48.85,48.98,2074715,-0.478971,-0.97%,48.875,101.89m,16029
65,08/03/16,48.56,49.46,48.36,49.46,1476775,0.888092,1.83%,49.354,72.63m,9840
66,08/02/16,49.55,49.85,48.48,48.57,2412578,-1.2174,-2.45%,48.4659,117.89m,16875
67,08/01/16,50.85,50.89,49.62,49.79,2339273,-1.1276,-2.22%,49.6832,116.96m,18295
68,07/29/16,52.37,52.37,50.731,50.92,1834364,-1.377,-2.64%,50.8108,93.86m,13780
69,07/28/16,51.40,52.32,50.92,52.30,2674662,0.967921,1.89%,52.1879,138.49m,21001
70,07/27/16,53.84,54.39,50.73,51.33,4707794,-5.0891,-9.04%,51.2199,242.47m,34042
71,07/26/16,55.97,56.54,55.775,56.43,1530912,0.478971,0.86%,56.309,86.15m,12772
72,07/25/16,55.47,55.96,55.23,55.95,918613,0.389164,0.70%,55.83,51.11m,8562
73,07/22/16,55.09,55.56,54.81,55.56,733327,0.588735,1.07%,55.4409,40.62m,5747
74,07/21/16,55.62,55.70,54.75,54.97,684140,-0.648607,-1.17%,54.8521,37.67m,6812
75,07/20/16,55.26,55.76,55.20,55.62,825570,0.5588,1.02%,55.5008,45.83m,6377
76,07/19/16,54.66,55.21,54.66,55.06,663030,0.169635,0.31%,54.942,36.5m,6122
77,07/18/16,54.79,54.97,54.65,54.89,609128,0.1397,0.26%,54.7723,33.4m,5684
78,07/15/16,55.05,55.15,54.67,54.75,685402,-0.129721,-0.24%,54.6326,37.59m,5594
