,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,10.25,10.35,9.80,9.91,459704,-0.28,-2.75%,9.91,4.57m,3253
2,10/31/16,10.08,10.25,10.025,10.19,396891,0.11,1.09%,10.19,4.03m,2473
3,10/28/16,10.17,10.33,10.03,10.08,334269,-0.13,-1.27%,10.08,3.39m,2513
4,10/27/16,10.31,10.35,9.98,10.21,390693,-0.06,-0.58%,10.21,3.97m,2399
5,10/26/16,10.33,10.50,10.24,10.27,265930,-0.15,-1.44%,10.27,2.75m,1711
6,10/25/16,10.42,10.66,10.34,10.42,447750,-0.06,-0.57%,10.42,4.69m,2761
7,10/24/16,10.37,10.54,10.32,10.48,293952,0.17,1.65%,10.48,3.07m,1970
8,10/21/16,10.08,10.42,10.022,10.31,228291,0.09,0.88%,10.31,2.35m,1658
9,10/20/16,10.16,10.26,10.04,10.22,257394,-0.01,-0.10%,10.22,2.62m,2061
10,10/19/16,10.25,10.50,10.1601,10.23,308494,-0.02,-0.20%,10.23,3.18m,2588
11,10/18/16,10.40,10.44,10.15,10.25,322242,-0.03,-0.29%,10.25,3.3m,2573
12,10/17/16,10.40,10.55,10.275,10.28,290774,-0.15,-1.44%,10.28,3.02m,2194
13,10/14/16,10.53,10.64,10.36,10.43,504092,0.01,0.10%,10.43,5.27m,3022
14,10/13/16,10.26,10.91,10.201,10.42,464688,0.00,0.00%,10.42,4.83m,3631
15,10/12/16,10.33,10.49,10.231,10.42,695697,0.10,0.97%,10.42,7.25m,2862
16,10/11/16,10.41,10.42,10.22,10.32,463946,-0.04,-0.39%,10.32,4.78m,3389
17,10/10/16,9.93,10.44,9.93,10.36,620612,0.58,5.93%,10.36,6.41m,4109
18,10/07/16,10.36,10.36,9.74,9.78,575471,-0.49,-4.77%,9.78,5.71m,3328
19,10/06/16,10.23,10.31,10.06,10.27,778501,0.01,0.10%,10.27,7.95m,3199
20,10/05/16,10.03,10.345,9.889,10.26,563797,0.38,3.85%,10.26,5.79m,3398
21,10/04/16,9.90,10.14,9.84,9.88,544543,0.04,0.41%,9.88,5.42m,2224
22,10/03/16,10.20,10.29,9.83,9.84,394799,-0.28,-2.77%,9.84,3.95m,3010
23,09/30/16,10.07,10.19,9.835,10.12,704756,0.11,1.10%,10.12,7.11m,4046
24,09/29/16,9.45,10.05,9.27,10.01,1079033,0.55,5.81%,10.01,10.67m,6949
25,09/28/16,8.91,9.50,8.91,9.46,534577,0.604997,6.83%,9.46,4.98m,3444
26,09/27/16,8.92,8.93,8.74,8.86,213360,-0.049972,-0.56%,8.855,1.89m,1714
27,09/26/16,8.94,9.04,8.85,8.91,189822,-0.06996,-0.78%,8.905,1.7m,1486
28,09/23/16,9.22,9.30,8.93,8.98,263788,-0.279842,-3.02%,8.9749,2.39m,1947
