,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,108.02,108.03,106.163,106.84,2906926,-0.913595,-0.85%,106.0962,310.68m,26926
2,10/31/16,108.08,108.195,107.53,107.76,2328694,0.059582,0.06%,107.0098,251.29m,17719
3,10/28/16,108.30,108.46,106.99,107.70,2397464,-0.377354,-0.35%,106.9502,258.49m,21762
4,10/27/16,109.25,109.25,105.87,108.08,3532013,-0.52631,-0.49%,107.3275,379.71m,28448
5,10/26/16,107.60,109.04,107.59,108.61,3310138,0.764639,0.71%,107.8539,359.33m,25625
6,10/25/16,108.41,108.73,107.78,107.84,2242501,-0.605753,-0.56%,107.0892,242.52m,17829
7,10/24/16,107.82,108.52,107.75,108.45,1808339,1.281,1.20%,107.695,195.85m,15483
8,10/21/16,106.74,107.22,106.39,107.16,2816357,-0.238329,-0.22%,106.414,300.96m,21139
9,10/20/16,107.91,107.91,107.19,107.40,1946090,-0.645475,-0.60%,106.6523,209.28m,16687
10,10/19/16,108.23,108.5322,107.80,108.05,1991415,-0.079443,-0.07%,107.2978,215.5m,17290
11,10/18/16,108.45,108.97,108.05,108.13,1692297,0.099304,0.09%,107.3772,183.23m,15227
12,10/17/16,108.31,108.77,107.91,108.03,1759914,-0.387285,-0.36%,107.2779,190.39m,15403
13,10/14/16,108.71,109.06,108.41,108.42,1565980,0.119165,0.11%,107.6652,170.15m,13326
14,10/13/16,108.19,108.72,107.36,108.30,2089400,-0.436937,-0.40%,107.546,226m,18716
15,10/12/16,109.03,109.06,108.44,108.74,1484095,0.039721,0.04%,107.983,161.4m,15552
16,10/11/16,108.90,109.43,108.30,108.70,1944414,-0.347563,-0.32%,107.9432,211.36m,17787
17,10/10/16,109.28,109.61,108.96,109.05,1307705,0.24826,0.23%,108.2908,142.85m,11542
18,10/07/16,109.04,109.36,108.48,108.80,1442988,-0.317773,-0.29%,108.0425,157.13m,13596
19,10/06/16,108.91,109.46,108.65,109.12,1861829,-0.039721,-0.04%,108.3603,203.14m,17900
20,10/05/16,108.52,109.53,108.39,109.16,3019062,0.635544,0.59%,108.40,329.18m,25923
21,10/04/16,109.19,109.405,108.22,108.52,1742048,-0.655405,-0.60%,107.7645,189.31m,16379
