,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,1.57,1.57,1.52,1.53,38976,0.01,0.66%,1.53,59.63k,167
2,10/31/16,1.52,1.56,1.50,1.52,42555,-0.02,-1.30%,1.52,64.85k,245
3,10/28/16,1.59,1.59,1.51,1.54,172162,-0.03,-1.91%,1.54,264.24k,802
4,10/27/16,1.62,1.62,1.57,1.57,99162,-0.03,-1.88%,1.57,158.45k,319
5,10/26/16,1.574,1.6123,1.55,1.60,40179,0.05,3.23%,1.60,63.63k,153
6,10/25/16,1.56,1.60,1.54,1.55,55158,-0.01,-0.64%,1.55,86.15k,228
7,10/24/16,1.55,1.6099,1.53,1.56,90315,0.03,1.96%,1.56,140.76k,416
8,10/21/16,1.55,1.57,1.50,1.53,121793,-0.07,-4.37%,1.53,188.68k,582
9,10/20/16,1.61,1.63,1.59,1.60,28472,-0.01,-0.62%,1.60,45.85k,118
10,10/19/16,1.64,1.64,1.56,1.61,11921,0.00,0.00%,1.61,19.13k,83
11,10/18/16,1.59,1.66,1.55,1.61,36719,0.05,3.21%,1.61,57.99k,186
12,10/17/16,1.58,1.65,1.54,1.56,69937,0.00,0.00%,1.56,109.79k,308
13,10/14/16,1.59,1.61,1.54,1.56,32194,0.01,0.65%,1.56,50.44k,164
14,10/13/16,1.54,1.5959,1.51,1.55,87138,0.00,0.00%,1.55,136.3k,360
15,10/12/16,1.51,1.56,1.51,1.55,172079,-0.03,-1.90%,1.55,265.61k,705
16,10/11/16,1.74,1.74,1.4201,1.58,300059,-0.02,-1.25%,1.58,461.28k,761
17,10/10/16,1.65,1.66,1.5704,1.60,137202,0.00,0.00%,1.60,222.37k,471
18,10/07/16,1.70,1.74,1.58,1.60,191379,-0.06,-3.61%,1.60,307.64k,649
19,10/06/16,1.72,1.76,1.59,1.66,85701,-0.04,-2.35%,1.66,140.73k,415
20,10/05/16,1.68,1.77,1.68,1.70,203235,0.04,2.41%,1.70,349.47k,1061
21,10/04/16,1.69,1.73,1.65,1.66,144054,-0.06,-3.49%,1.66,243.28k,688
22,10/03/16,1.80,1.85,1.56,1.72,2738449,-0.06,-3.37%,1.72,4.69m,3052
23,09/30/16,1.74,1.8499,1.705,1.78,199521,0.05,2.89%,1.78,354.49k,1097
24,09/29/16,1.63,1.77,1.63,1.73,251274,0.12,7.45%,1.73,424.5k,1261
25,09/28/16,1.68,1.6899,1.55,1.61,434729,-0.06,-3.59%,1.61,703.55k,1447
26,09/27/16,1.69,1.69,1.56,1.67,802235,0.11,7.05%,1.67,1.27m,2135
27,09/26/16,1.87,1.90,1.51,1.56,805756,-0.35,-18.32%,1.56,1.28m,3282
28,09/23/16,2.06,2.10,1.90,1.91,141059,-0.15,-7.28%,1.91,276.76k,704
29,09/22/16,2.12,2.20,2.06,2.06,47250,-0.04,-1.90%,2.06,99.21k,292
30,09/21/16,2.29,2.41,2.0875,2.10,143151,-0.10,-4.55%,2.10,321.93k,562
